DateTime,Entries,UniqueIPs
1496714826,104,104
1496718434,96,96
1496722054,98,98
1496725653,97,97
1496729241,83,83
1496732826,105,105
1496736454,106,106
1496740024,106,106
1496743640,106,106
1496747211,100,100
1496750825,103,103
1496754415,107,107
1496758035,109,109
1496761646,104,104
1496765241,96,96
1496768832,80,80
1496772436,80,80
1496776056,75,75
1496779631,79,79
1496783222,93,93
1496786819,91,91
1496790446,89,89
1496794070,87,87
1496797617,79,79
1496801243,84,84
1496804833,78,78
1496808436,80,80
1496812022,103,103
1496815617,97,97
1496819251,96,96
1496822824,106,106
1496826419,104,104
1496830028,109,109
1496837207,109,109
1496840838,107,107
1496844434,103,103
1496848041,96,96
1496851629,83,83
1496855239,74,74
1496858842,71,71
1496862424,75,75
1496866051,71,71
1496869641,74,74
1496873240,73,73
1496876806,104,104
1496880433,109,109
1496884068,108,108
1496887667,108,108
1496891260,104,104
1496894845,82,82
1496898450,82,82
1496902026,103,103
1496905661,103,103
1496909252,104,104
1496912842,107,107
1496916459,95,95
1496920068,97,97
1496923639,95,95
1496927244,95,95
1496930849,96,96
1496934448,104,104
1496938036,101,101
1496941650,100,100
1496945262,99,99
1496948873,94,94
1496952469,94,94
1496956035,90,90
1496959654,90,90
1496963246,72,72
1496966905,71,71
1496970423,74,74
1496974054,68,68
1496977624,100,100
1496981257,98,98
1496984837,106,106
1496988426,105,105
1496992054,99,99
1496999237,102,102
1497002842,100,100
1497006445,100,100
1497010043,102,102
1497013668,73,73
1497017246,69,69
1497020864,67,67
1497024430,95,95
1497028013,106,106
1497031644,110,110
1497038834,110,110
1497042444,109,109
1497046056,100,100
1497049639,84,84
1497053289,74,74
1497056854,91,91
1497060429,106,106
1497064033,108,108
1497067642,109,109
1497071214,108,108
1497074850,107,107
1497078442,105,105
1497082061,105,105
1497085611,105,105
1497089242,103,103
1497092846,105,105
1497096440,108,108
1497100024,106,106
1497103624,107,107
1497107264,106,106
1497110820,103,103
1497114454,101,101
1497118033,99,99
1497121644,103,103
1497125234,104,104
1497128834,110,110
1497132428,109,109
1497136045,105,105
1497143252,101,101
1497146877,95,95
1497150431,105,105
1497154041,98,98
1497157635,106,106
1497161252,106,106
1497164860,103,103
1497168445,105,105
1497172032,106,106
1497175636,107,107
1497182848,105,105
1497186455,103,103
1497190059,104,104
1497193631,101,101
1497197269,101,101
1497200853,102,102
1497204450,94,94
1497208035,104,104
1497211664,105,105
1497215253,107,107
1497218854,106,106
1497222446,102,102
1497226087,104,104
1497229654,67,67
1497233233,102,102
1497236821,107,107
1497240444,108,108
1497247650,106,106
1497251219,107,107
1497254847,107,107
1497258462,108,108
1497265645,108,108
1497269255,105,105
1497272837,103,103
1497276463,100,100
1497280037,95,95
1497283645,95,95
1497287232,108,108
1497290831,109,109
1497294441,110,110
1497298058,109,109
1497301629,108,108
1497305243,109,109
1497308856,109,109
1497312473,111,111
1497316021,110,110
1497319655,106,106
1497323241,104,104
1497326851,92,92
1497330436,87,87
1497334047,92,92
1497337623,103,103
1497341250,103,103
1497344850,99,99
1497348446,94,94
1497352051,76,76
1497355639,70,70
1497359220,70,70
1497362832,56,56
1497366429,62,62
1497370036,70,70
1497373636,72,72
1497377238,77,77
1497380846,76,76
1497384419,79,79
1497388050,79,79
1497391643,77,77
1497395226,79,79
1497398872,80,80
1497402439,78,78
1497406022,106,106
1497409628,105,105
1497413230,103,103
1497416849,99,99
1497420436,73,73
1497424040,96,96
1497427628,95,95
1497431238,96,96
1497434816,102,102
1497438442,103,103
1497442022,105,105
1497445633,106,106
1497449208,107,107
1497452842,106,106
1497456427,101,101
1497460039,105,105
1497463636,85,85
1497467247,87,87
1497470841,87,87
1497474436,79,79
1497478054,76,76
1497481651,71,71
1497485270,76,76
1497488834,74,74
1497492439,80,80
1497496029,82,82
1497499619,77,77
1497503236,75,75
1497506850,73,73
1497510424,80,80
1497514027,77,77
1497517636,74,74
1497521208,102,102
1497528433,104,104
1497532032,105,105
1497535626,82,82
1497539215,79,79
1497542812,98,98
1497546423,98,98
1497550044,102,102
1497553639,106,106
1497557257,104,104
1497564423,99,99
1497568049,74,74
1497571667,68,68
1497575226,64,64
1497578818,64,64
1497582425,73,73
1497586012,72,72
1497589635,92,92
1497593218,93,93
1497596843,90,90
1497600414,88,88
1497604030,82,82
1497607625,80,80
1497611217,84,84
1497614827,82,82
1497618432,86,86
1497622007,104,104
