DateTime,Entries,UniqueIPs
1496315315,24,24
1496318866,24,24
1496322485,21,21
1496326097,20,20
1496329714,21,21
1496333289,16,16
1496340500,18,18
1496344099,20,20
1496347685,18,18
1496351315,19,19
1496354900,18,18
1496358487,17,17
1496362141,15,15
1496365687,14,14
1496369297,12,12
1496372905,12,12
1496376467,17,17
1496380102,15,15
1496383681,19,19
1496387281,21,21
1496390895,20,20
1496394500,20,20
1496398083,20,20
1496405306,18,18
1496408880,16,16
1496412487,14,14
1496416086,15,15
1496419682,16,16
1496423272,18,18
1496430484,17,17
1496434080,15,15
1496437707,16,16
1496441276,20,20
1496444895,20,20
1496448506,22,22
1496452044,21,21
1496455638,19,19
1496459249,18,18
1496462866,17,17
1496466468,15,15
1496470073,13,13
1496473667,10,10
1496480875,14,14
1496488040,16,16
1496491657,17,17
1496502451,15,15
1496506061,14,14
1496509663,15,15
1496516852,16,16
1496524065,15,15
1496527655,16,16
1496531279,11,11
1496534879,13,13
1496538464,14,14
1496542060,12,12
1496549278,10,10
1496552870,9,9
1496556477,8,8
1496560065,12,12
1496567255,14,14
1496570867,16,16
1496574451,14,14
1496578064,15,15
1496581672,14,14
1496585261,16,16
1496588867,13,13
1496592461,15,15
1496599651,14,14
1496603263,15,15
1496606875,13,13
1496610473,12,12
1496614041,12,12
1496617671,11,11
1496621314,16,16
1496624877,19,19
1496628500,18,18
1496632077,18,18
1496635700,15,15
1496639286,16,16
1496642865,17,17
1496646483,17,17
1496650076,16,16
1496653671,16,16
1496657265,16,16
1496660883,15,15
1496664488,15,15
1496668077,16,16
1496671705,16,16
1496675265,17,17
1496678854,16,16
1496682491,18,18
1496689679,19,19
1496696865,21,21
1496700477,20,20
1496704063,20,20
1496711259,19,19
1496714862,15,15
1496718473,11,11
1496722088,9,9
1496725686,8,8
1496729279,7,7
1496736489,8,8
1496740057,11,11
1496747251,14,14
1496754452,13,13
1496758072,14,14
1496761680,13,13
1496765275,11,11
1496768868,16,16
1496772471,15,15
1496776090,16,16
1496779668,17,17
1496783262,16,16
1496786855,15,15
1496790480,13,13
1496794105,11,11
1496797652,10,10
1496801277,11,11
1496808471,10,10
1496812059,11,11
1496815654,11,11
1496819285,11,11
1496822862,13,13
1496826454,11,11
1496830065,10,10
1496837246,10,10
1496848074,9,9
1496851663,7,7
1496858877,11,11
1496866087,12,12
1496869677,13,13
1496873281,15,15
1496876846,16,16
1496880471,18,18
1496884102,17,17
1496887702,16,16
1496891294,13,13
1496894880,11,11
1496898484,15,15
1496905697,14,14
1496909287,13,13
1496912883,12,12
1496916492,11,11
1496920104,11,11
1496930884,13,13
1496934487,14,14
1496945297,13,13
1496948908,11,11
1496952505,12,12
1496956070,14,14
1496959690,13,13
1496966950,15,15
1496970472,14,14
1496974097,14,14
1496977672,16,16
1496981295,17,17
1496988475,16,16
1496992099,19,19
1496995686,18,18
1496999282,17,17
1497002876,17,17
1497006490,16,16
1497010078,17,17
1497013710,18,18
1497017289,20,20
1497020909,17,17
1497024477,17,17
1497028060,18,18
1497031688,17,17
1497035286,19,19
1497042481,19,19
1497046101,18,18
1497049677,18,18
1497053329,18,18
1497056889,19,19
1497060466,17,17
1497064070,12,12
1497067677,11,11
1497071251,12,12
1497107298,11,11
1497114495,10,10
1497118068,9,9
1497121680,10,10
1497125267,11,11
1497128873,13,13
1497139718,12,12
1497143285,11,11
1497146912,11,11
1497157671,11,11
1497164898,10,10
1497172072,9,9
1497175673,10,10
1497179274,11,11
1497190095,13,13
1497197302,12,12
1497204488,13,13
1497211704,14,14
1497218893,13,13
1497222483,12,12
1497240483,13,13
1497247686,12,12
1497251259,12,12
1497254881,13,13
1497265681,12,12
1497269291,12,12
1497272873,11,11
1497280080,9,9
1497283683,12,12
1497290871,14,14
1497298094,13,13
1497301668,14,14
1497305279,13,13
1497308893,15,15
1497316071,14,14
1497323287,13,13
1497326893,12,12
1497337668,9,9
1497348493,10,10
1497362878,10,10
1497366470,12,12
1497380899,11,11
1497384467,10,10
1497388103,8,8
1497395276,9,9
1497398909,10,10
1497402476,9,9
1497406061,7,7
1497409667,6,6
1497413263,7,7
1497420471,8,8
1497424074,9,9
1497431271,8,8
1497438477,7,7
1497442057,4,4
1497449246,7,7
1497463669,6,6
1497467281,7,7
1497470879,8,8
1497474473,10,10
1497481687,11,11
1497488870,11,11
1497492473,9,9
1497496066,10,10
1497499652,11,11
1497503271,11,11
1497506888,11,11
1497510457,12,12
1497514064,13,13
1497517673,12,12
1497524859,13,13
1497528470,14,14
1497532069,16,16
1497535661,15,15
1497542851,14,14
1497557290,14,14
1497560861,15,15
1497564458,14,14
1497568085,12,12
1497571701,16,16
1497575262,14,14
1497578856,14,14
1497582460,16,16
1497586049,17,17
1497589671,16,16
1497593255,13,13
1497596884,12,12
1497600452,12,12
1497604066,12,12
1497607664,14,14
1497611251,14,14
1497618467,15,15
1497622047,14,14
1497632871,13,13
1497636452,14,14
1497640078,13,13
1497643671,14,14
1497647266,13,13
1497650861,14,14
1497654472,13,13
1497658105,12,12
1497661670,14,14
1497665270,14,14
1497668889,12,12
1497672455,12,12
1497676069,13,13
1497679654,10,10
1497683263,12,12
1497686872,12,12
1497690468,11,11
1497694057,12,12
1497697681,11,11
1497701250,16,16
1497704843,18,18
1497708471,17,17
1497712066,18,18
1497715692,19,19
1497719280,18,18
1497722876,17,17
1497726461,16,16
1497730058,17,17
1497733661,19,19
1497737273,18,18
1497740875,18,18
1497744490,16,16
1497748071,16,16
1497751689,14,14
1497755283,8,8
1497758871,12,12
1497762470,11,11
1497773287,9,9
1497798478,11,11
1497802074,10,10
1497805668,12,12
