DateTime,Entries,UniqueIPs
1496660945,95,95
1496664551,110,110
1496668152,112,112
1496671776,125,125
1496678922,123,123
1496686135,113,113
1496689742,119,119
1496693321,121,121
1496700540,111,111
1496704126,110,110
1496707777,108,108
1496711322,109,109
1496714926,107,107
1496718536,108,108
1496722151,121,121
1496725749,118,118
1496729342,119,119
1496732928,119,119
1496736553,109,109
1496740127,111,111
1496743737,109,109
1496747315,117,117
1496750925,119,119
1496754514,120,120
1496758134,117,117
1496761742,121,121
1496765338,120,120
1496768930,118,118
1496772535,118,118
1496776164,115,115
1496779731,116,116
1496783326,117,117
1496786920,120,120
1496790541,122,122
1496794169,121,121
1496797715,121,121
1496801340,121,121
1496804932,117,117
1496812122,114,114
1496815718,102,102
1496819348,112,112
1496822926,116,116
1496826517,117,117
1496830128,117,117
1496833736,117,117
1496837310,117,117
1496840935,118,118
1496844532,119,119
1496848141,116,116
1496851726,113,113
1496855339,100,100
1496858942,100,100
1496862521,99,99
1496866150,106,106
1496869739,121,121
1496876908,122,122
1496880534,122,122
1496884165,126,126
1496891357,124,124
1496898548,122,122
1496902123,122,122
1496905762,111,111
1496909349,113,113
1496912950,116,116
1496916556,119,119
1496920166,110,110
1496923736,105,105
1496927349,99,99
1496930947,108,108
1496934545,115,115
1496938133,118,118
1496941746,124,124
1496948967,125,125
1496963343,123,123
1496967015,125,125
1496970536,112,112
1496974164,123,123
1496977738,123,123
1496981358,120,120
1496984942,122,122
1496988538,113,113
1496992162,111,111
1496995749,116,116
1496999348,110,110
1497002938,112,112
1497006552,113,113
1497010142,110,110
1497013774,116,116
1497017353,121,121
1497020972,123,123
1497024540,125,125
1497031751,112,112
1497035349,106,106
1497038943,107,107
1497042544,110,110
1497046163,117,117
1497049741,116,116
1497053393,116,116
1497056952,118,118
1497060529,113,113
1497064133,111,111
1497067740,118,118
1497071316,121,121
1497074951,123,123
1497085714,124,124
1497096535,119,119
1497100121,120,120
1497103729,123,123
1497107361,121,121
1497110916,121,121
1497114558,120,120
1497118131,117,117
1497121741,113,113
1497125331,118,118
1497128946,117,117
1497132540,112,112
1497136143,118,118
1497139784,118,118
1497143347,117,117
1497146975,119,119
1497150530,112,112
1497154138,112,112
1497157734,112,112
1497161349,115,115
1497164961,122,122
1497168544,120,120
1497172135,124,124
1497175736,123,123
1497179339,116,116
1497182945,121,121
1497186555,121,121
1497190158,124,124
1497193734,123,123
1497197365,122,122
1497200961,124,124
1497204562,111,111
1497208139,117,117
1497211779,116,116
1497215355,113,113
1497218954,113,113
1497222545,108,108
1497226187,107,107
1497229754,118,118
1497233335,120,120
1497236921,119,119
1497240546,118,118
1497244157,114,114
1497247750,113,113
1497251322,116,116
1497254943,113,113
1497258567,118,118
1497262124,117,117
1497265744,116,116
1497269354,114,114
1497272937,110,110
1497276558,119,119
1497280143,118,118
1497283746,119,119
1497290936,114,114
1497294542,116,116
1497298158,117,117
1497301733,123,123
1497305343,121,121
1497308958,121,121
1497312594,120,120
1497316134,119,119
1497319761,121,121
