DateTime,AddedIPs,RemovedIPs
1495267826,3,2
1495271423,2,1
1495275020,2,0
1495278641,1,1
1495282227,1,3
1495285824,1,1
1495289438,1,1
1495293024,0,3
1495296644,2,0
1495300235,2,1
1495303814,1,1
1495307426,1,1
1495311003,1,0
1495314616,0,1
1495318239,2,2
1495321848,1,1
1495325517,14,1
1495329032,0,2
1495332665,0,2
1495336230,0,23
1495339859,0,1
1495365041,1,0
1495379447,0,2
1495383032,1,0
1495412277,10,0
1495422627,1,16
1495426240,0,1
1495437040,1,1
1495440640,1,1
1495444215,1,0
1495447848,1,0
1495451433,0,1
1495455020,1,0
1495458627,0,1
1495462239,2,1
1495469454,0,1
1495473028,1,0
1495476615,0,1
1495483818,1,0
1495487438,1,1
1495494631,1,0
1495498273,23,1
1495501797,1,1
1495509023,0,13
1495516209,1,1
1495519804,0,1
1495527011,1,0
1495530605,0,1
1495548622,0,2
1495552238,1,0
1495555806,1,0
1495584634,14,0
1495595397,0,17
1495599035,1,2
1495602594,1,0
1495606210,1,0
1495613413,0,1
1495620636,0,1
1495645792,1,0
1495656612,1,0
1495667424,1,0
1495671475,9,1
1495675181,2,0
1495679111,0,2
1495682365,1,14
1495689820,0,1
1495718112,0,1
1495721436,2,0
1495735810,0,1
1495757448,12,0
1495761003,1,0
1495764615,1,0
1495768205,0,21
1495771803,1,4
1495775409,1,1
1495789812,0,1
1495797018,1,0
1495804212,1,0
1495829397,1,0
1495833015,0,1
1495836608,0,1
1495843867,24,0
1495854620,0,10
1495861817,1,0
1495890606,0,1
1495901410,1,0
1495930833,14,1
1495941036,0,13
1495958997,0,1
1495966222,1,0
1496016677,6,0
1496020254,1,1
1496027466,0,9
1496031030,0,1
1496034648,0,1
1496081467,0,1
1496085043,1,0
1496103048,21,0
1496113844,0,24
1496117434,0,2
1496131844,0,2
1496135434,2,0
1496139057,1,0
1496149831,1,0
1496153455,0,2
1496157032,1,0
1496164228,2,1
1496167860,1,0
1496171423,2,2
1496178642,1,2
1496182233,0,3
1496189472,6,0
1496193026,3,1
1496196644,0,1
1496200235,0,12
1496203839,1,0
1496207447,1,0
1496218238,0,2
1496225462,0,2
1496229025,1,0
1496232633,2,0
1496243461,2,2
1496247042,1,0
1496254241,3,0
1496257846,2,2
1496265030,0,2
1496268626,0,3
1496275874,17,0
1496279460,2,0
1496286629,0,7
1496290237,0,2
1496293866,2,1
1496304651,0,2
1496308278,3,0
1496311847,2,0
1496319038,0,2
1496322642,0,3
1496333455,0,1
1496337064,1,0
1496358652,1,0
1496362291,16,0
1496365844,0,1
1496369441,1,0
1496373067,0,17
1496376631,0,1
1496394663,1,0
1496401872,1,0
1496416237,0,1
1496430633,1,0
1496441421,0,1
1496445075,1,2
1496448660,11,0
1496459394,0,7
1496463018,0,2
1496484617,1,0
1496495407,1,0
