DateTime,Entries,UniqueIPs
1495271423,62,62
1495275020,64,64
1495278641,64,64
1495282227,62,62
1495285824,62,62
1495289438,62,62
1495293024,59,59
1495296644,61,61
1495300235,62,62
1495303814,62,62
1495307426,62,62
1495311003,63,63
1495314616,62,62
1495318239,62,62
1495321848,62,62
1495325517,75,75
1495329032,73,73
1495332665,71,71
1495336230,48,48
1495339859,47,47
1495365041,48,48
1495379447,46,46
1495383032,47,47
1495412277,57,57
1495422627,42,42
1495426240,41,41
1495437040,41,41
1495440640,41,41
1495444215,42,42
1495447848,43,43
1495451433,42,42
1495455020,43,43
1495458627,42,42
1495462239,43,43
1495469454,42,42
1495473028,43,43
1495476615,42,42
1495483818,43,43
1495487438,43,43
1495494631,44,44
1495498273,66,66
1495501797,66,66
1495509023,53,53
1495516209,53,53
1495519804,52,52
1495527011,53,53
1495530605,52,52
1495548622,50,50
1495552238,51,51
1495555806,52,52
1495584634,66,66
1495595397,49,49
1495599035,48,48
1495602594,49,49
1495606210,50,50
1495613413,49,49
1495620636,48,48
1495645792,49,49
1495656612,50,50
1495667424,51,51
1495671475,59,59
1495675181,61,61
1495679111,59,59
1495682365,46,46
1495689820,45,45
1495718112,44,44
1495721436,46,46
1495735810,45,45
1495757448,57,57
1495761003,58,58
1495764615,59,59
1495768205,38,38
1495771803,35,35
1495775409,35,35
1495789812,34,34
1495797018,35,35
1495804212,36,36
1495829397,37,37
1495833015,36,36
1495836608,35,35
1495843867,59,59
1495854620,49,49
1495861817,50,50
1495890606,49,49
1495901410,50,50
1495930833,63,63
1495941036,50,50
1495958997,49,49
1495966222,50,50
1496016677,56,56
1496020254,56,56
1496027466,47,47
1496031030,46,46
1496034648,45,45
1496081467,44,44
1496085043,45,45
1496103048,66,66
1496113844,42,42
1496117434,40,40
1496131844,38,38
1496135434,40,40
1496139057,41,41
1496149831,42,42
1496153455,40,40
1496157032,41,41
1496164228,42,42
1496167860,43,43
1496171423,43,43
1496178642,42,42
1496182233,39,39
1496189472,45,45
1496193026,47,47
1496196644,46,46
1496200235,34,34
1496203839,35,35
1496207447,36,36
1496218238,34,34
1496225462,32,32
1496229025,33,33
1496232633,35,35
1496243461,35,35
1496247042,36,36
1496254241,39,39
1496257846,39,39
1496265030,37,37
1496268626,34,34
1496275874,51,51
1496279460,53,53
1496286629,46,46
1496290237,44,44
1496293866,45,45
1496304651,43,43
1496308278,46,46
1496311847,48,48
1496319038,46,46
1496322642,43,43
1496333455,42,42
1496337064,43,43
1496358652,44,44
1496362291,60,60
1496365844,59,59
1496369441,60,60
1496373067,43,43
1496376631,42,42
1496394663,43,43
1496401872,44,44
1496416237,43,43
1496430633,44,44
1496441421,43,43
1496445075,42,42
1496448660,53,53
1496459394,46,46
1496463018,44,44
1496484617,45,45
1496495407,46,46
1496509826,45,45
1496524209,46,46
1496535030,65,65
1496538615,67,67
1496542212,69,69
1496545807,55,55
1496549417,54,54
1496553010,53,53
1496556644,51,51
1496560218,52,52
1496563824,52,52
1496571011,52,52
1496574612,50,50
1496578216,50,50
1496581844,51,51
1496589003,51,51
1496599802,51,51
1496607019,52,52
1496610632,51,51
1496614190,50,50
1496617808,49,49
1496621477,65,65
1496625028,66,66
1496632231,52,52
1496635861,49,49
1496639434,50,50
1496643017,51,51
1496650227,51,51
1496653833,52,52
1496661026,51,51
1496664630,52,52
1496668256,52,52
1496671868,51,51
1496675422,51,51
1496682639,50,50
1496689849,51,51
1496693418,51,51
1496700635,50,50
1496704217,49,49
1496707874,78,78
1496711419,79,79
1496715028,80,80
1496718624,68,68
1496725843,68,68
1496736638,67,67
1496743818,67,67
1496747389,67,67
1496751020,68,68
1496754615,67,67
1496758238,68,68
1496761831,68,68
1496769019,68,68
1496772615,68,68
1496783405,67,67
1496787027,66,66
1496790636,67,67
1496794260,77,77
1496797815,76,76
1496801434,75,75
1496805006,60,60
1496823014,59,59
1496841043,60,60
1496851814,59,59
1496880616,91,91
1496884250,92,92
1496891455,78,78
1496898633,77,77
1496967106,98,98
1496977819,71,71
1496981464,70,70
1496988643,71,71
1497003035,70,70
1497006634,71,71
1497021090,70,70
1497046249,71,71
1497053486,79,79
1497060625,78,78
