DateTime,Entries,UniqueIPs
1497719564,291,291
1497721459,291,291
1497723400,290,290
1497725320,286,286
1497727313,287,287
1497729187,288,288
1497731087,285,285
1497733000,285,285
1497734917,284,284
1497736987,283,283
1497739046,290,290
1497740932,287,287
1497742828,287,287
1497744865,286,286
1497746669,284,284
1497748637,281,281
1497750538,278,278
1497752465,274,274
1497754379,270,270
1497756269,269,269
1497758200,258,258
1497760107,260,260
1497762112,261,261
1497764231,255,255
1497766121,253,253
1497768052,242,242
1497769991,243,243
1497771865,239,239
1497774070,229,229
1497775984,231,231
1497777883,228,228
1497779796,233,233
1497781989,236,236
1497783881,233,233
1497785807,233,233
1497787721,233,233
1497789661,232,232
1497791576,232,232
1497793461,233,233
1497795664,234,234
1497797576,232,232
1497799484,231,231
1497801391,230,230
1497803588,230,230
1497805486,227,227
1497807535,223,223
1497809338,224,224
1497811253,225,225
1497813184,225,225
1497815083,223,223
1497817284,225,225
1497819177,226,226
1497821327,242,242
1497823407,245,245
1497825276,242,242
1497827112,238,238
1497828995,237,237
1497830925,237,237
1497833107,238,238
1497835266,237,237
1497837167,236,236
1497839073,241,241
1497840978,250,250
1497842899,253,253
1497844956,259,259
1497846834,256,256
1497848682,256,256
1497850595,259,259
1497852533,258,258
1497854443,255,255
1497856398,256,256
1497858278,261,261
1497860263,265,265
1497862130,267,267
1497864069,268,268
1497866013,267,267
1497867882,267,267
1497869809,263,263
1497871724,261,261
1497873781,636,636
1497875789,638,638
1497877710,641,641
1497879661,642,642
1497881571,640,640
1497883474,641,641
1497885385,642,642
1497887584,640,640
1497889515,640,640
1497891402,639,639
1497893314,702,702
1497895316,703,703
1497897177,704,704
1497899317,702,702
1497901272,701,701
1497903453,704,704
1497905324,709,709
1497907283,696,696
1497909158,692,692
1497911080,691,691
1497913030,688,688
1497914950,687,687
1497916894,685,685
1497918768,687,687
1497920684,689,689
1497922639,692,692
1497924542,693,693
1497926443,695,695
1497928361,691,691
1497930288,688,688
1497932109,690,690
1497934138,692,692
1497936021,691,691
1497937939,691,691
1497940144,694,694
1497942085,698,698
1497943963,696,696
1497945950,691,691
1497947822,698,698
1497949700,699,699
1497951621,697,697
1497953556,705,705
1497955473,704,704
1497957407,704,704
1497959334,711,711
1497961281,390,390
1497963447,387,387
1497965361,387,387
1497967376,384,384
1497969179,382,382
1497971089,387,387
1497973155,385,385
1497975215,384,384
1497977083,387,387
1497979033,397,397
1497980937,399,399
1497982843,401,401
1497984800,400,400
1497986672,401,401
1497988630,404,404
1497990530,398,398
1497992687,402,402
1497994625,405,405
1497996977,404,404
1497998925,420,420
1498000830,423,423
1498002757,426,426
1498004651,423,423
1498006621,423,423
1498008530,425,425
