DateTime,Entries,UniqueIPs
1497811449,1738,1750
1497812180,1740,1752
1497814358,1741,1753
1497817273,1744,1756
1497818658,1745,1759
1497819370,1744,1758
1497820109,1743,1757
1497820837,1742,1756
1497822261,1743,1757
1497824712,1742,1756
1497826353,1741,1755
1497827076,1743,1757
1497828056,1742,1756
1497828762,1744,1758
1497832622,1744,1758
1497835451,1745,1759
1497843371,1748,1762
1497844943,1749,1763
1497845554,1750,1764
1497847959,1749,1763
1497848672,1751,1765
1497849657,1750,1764
1497850359,1750,1764
1497852522,1749,1763
1497853961,1750,1764
1497855718,1750,1764
1497856380,1749,1763
1497857053,1748,1762
1497858493,1749,1763
1497859291,1750,1764
1497860240,1751,1765
1497860889,1750,1764
1497861655,1751,1765
1497863067,1750,1764
1497863776,1749,1763
1497865971,1748,1762
1497866911,1747,1761
1497867636,1746,1760
1497868372,1744,1758
1497869046,1370,1380
1497871256,1373,1383
1497871959,1372,1382
1497874846,1373,1383
1497875570,1372,1382
1497877690,1373,1383
1497878455,1373,1383
1497879858,1374,1384
1497880571,1372,1382
1497881321,1371,1381
1497882765,1371,1381
1497883457,1370,1380
1497885639,1371,1381
1497886359,1374,1384
1497889002,1373,1383
1497889976,1374,1384
1497892868,1374,1384
1497897166,1375,1385
1497897861,1376,1386
1497898957,1375,1385
1497899560,1378,1388
1497901075,1379,1389
1497907960,1380,1390
1497909736,1379,1389
1497910623,1380,1390
1497911578,1381,1391
1497913011,1383,1393
1497913717,1384,1394
1497915417,1383,1393
1497918269,1382,1392
1497921179,1381,1391
1497922620,1381,1391
1497923323,1383,1393
1497926647,1384,1394
1497929540,1385,1395
1497930272,1384,1394
1497930994,1386,1396
1497931734,1388,1398
1497932472,1391,1401
1497933138,1394,1404
1497934595,1393,1403
1497939673,1394,1404
1497940620,1398,1408
1497941320,1401,1411
1497942740,1401,1411
1497943464,1405,1415
1497945132,1411,1421
1497945934,1412,1422
1497946598,1415,1425
1497947347,1414,1424
1497948743,1415,1425
1497951162,1416,1426
1497952595,1416,1426
1497953327,1418,1428
1497954737,1417,1427
1497958340,1418,1428
1497959799,1420,1430
1497960518,1420,1430
1497961261,1422,1432
1497962658,1424,1434
1497964118,1425,1435
1497964833,1429,1439
1497965826,1430,1440
1497966780,1431,1441
1497967744,1434,1444
1497973468,1435,1445
1497981151,1433,1443
1497981871,1435,1445
1497983336,1436,1446
1497984028,1437,1447
1497985739,1436,1446
1497986412,1437,1447
1497987147,1440,1450
1497987858,1444,1454
1497988619,1446,1456
1497990013,1444,1454
1497990750,1443,1453
1497991447,1444,1454
1497992210,1446,1456
1497994339,1447,1457
1497995799,1450,1460
1497996967,1449,1459
1497997738,1454,1464
1497999142,1456,1466
1498000602,1458,1468
1498002747,1457,1467
1498004218,1455,1465
1498004933,1452,1462
1498005614,1453,1463
1498006235,1454,1464
1498007828,1453,1463
1498008519,1455,1465
1498010673,1453,1463
1498012137,1453,1463
1498012811,1454,1464
1498015038,1455,1465
1498017384,1456,1466
1498018089,1455,1465
1498018875,1453,1463
1498022457,1454,1464
1498023167,1455,1465
1498023858,1456,1466
1498024579,1455,1465
1498026045,1454,1464
1498033257,1456,1466
1498033965,1457,1467
1498034661,1456,1466
1498035374,1455,1465
1498036863,1456,1466
1498037589,1455,1465
1498039303,1460,1471
1498041655,1459,1470
1498045028,1460,1471
1498045700,1462,1473
1498046553,1464,1475
1498047165,1461,1472
1498048570,1516,1528
1498049311,1515,1527
1498050109,1516,1528
1498050784,1519,1531
1498051459,1519,1531
1498052459,1519,1531
1498053179,1519,1531
1498053868,1519,1531
1498054579,1520,1532
1498055337,1521,1533
1498056773,1551,1563
1498057406,1600,1612
1498058191,1622,1635
1498058889,1655,1669
1498059653,1701,1715
1498060364,1711,1725
1498061086,1715,1729
1498062538,1738,1752
1498063245,1769,1783
1498063977,1807,1822
1498064920,1813,1828
1498065707,1818,1834
1498066625,1839,1855
1498067295,1857,1873
1498068122,1876,1892
1498068745,1938,1955
1498069460,1939,1956
1498070205,1968,1985
1498070932,1979,1996
1498071642,1984,2001
1498072350,2000,2017
1498073048,2050,2067
1498073802,2087,2104
1498074544,2091,2108
1498075293,2125,2142
1498075946,2145,2162
1498076655,2174,2191
1498077672,2197,2215
1498078625,2237,2255
1498079321,2237,2255
1498080029,2238,2256
1498082231,2239,2257
1498082924,2238,2256
1498083615,2239,2257
1498089416,2240,2258
1498090149,2239,2257
1498091075,2240,2258
1498093385,2242,2260
1498094238,2244,2262
1498098037,2245,2263
1498098737,2246,2264
1498099468,2175,2193
1498102336,2176,2194
1498103809,2175,2193
1498105725,2174,2192
1498107137,2175,2193
1498108605,2177,2195
1498110014,2176,2194
1498111472,2175,2193
1498112214,2174,2192
1498114351,2173,2191
1498115382,2170,2188
1498116269,2167,2185
1498117005,2163,2181
1498117773,2161,2179
1498118507,2155,2173
1498119847,2153,2171
1498120602,2152,2170
1498121370,2147,2165
1498122115,2146,2164
1498122769,2141,2159
1498123450,2133,2151
1498124183,2130,2148
1498124898,2127,2145
1498125735,2124,2142
1498126375,2123,2141
1498127069,2122,2140
1498127772,2119,2137
1498128510,2117,2135
1498129387,2116,2134
1498130197,2114,2132
1498131654,2113,2131
1498132361,2111,2129
1498133079,2111,2129
1498134084,2107,2125
1498136172,2106,2124
1498136915,2104,2122
1498137645,2102,2120
1498138374,2099,2117
1498139059,2098,2116
1498139804,2096,2114
1498141258,2092,2110
1498141979,2090,2108
1498144089,2091,2109
1498144888,2092,2110
1498145571,2090,2108
1498146258,2089,2107
1498147509,2088,2106
1498148206,2087,2105
1498149620,2086,2104
1498150342,2085,2103
1498150991,2084,2102
1498151841,2083,2101
1498154931,2080,2098
1498157070,2081,2099
1498157800,2081,2099
1498158525,2082,2100
1498159217,2082,2100
1498162121,2081,2099
1498162881,2082,2100
1498165005,2081,2099
1498167399,2079,2097
1498169545,2082,2100
1498171465,2081,2099
1498172578,2080,2098
1498175069,2079,2097
1498175799,2078,2096
1498176527,2077,2095
1498177471,2075,2093
1498178456,2072,2090
1498181563,2071,2089
1498182262,2069,2087
1498184457,2070,2088
1498185858,2068,2086
1498186911,2066,2084
1498187564,2064,2082
1498188261,2062,2080
1498188970,2061,2079
1498191169,2060,2078
1498192114,2058,2076
1498194513,2057,2075
1498195252,2054,2072
1498197732,2053,2071
1498198620,2051,2069
1498200056,2049,2067
1498200764,2045,2063
1498202458,2042,2060
1498203161,2040,2058
1498205313,2039,2057
1498206763,2038,2056
1498208931,2039,2057
1498213236,2040,2058
1498213937,2039,2057
