DateTime,Entries,UniqueIPs
1498243733,11644,11743
1498244478,11641,11740
1498245137,11641,11740
1498245871,11643,11742
1498246872,11641,11740
1498247533,11643,11742
1498248277,11642,11741
1498249009,11638,11737
1498249743,11622,11721
1498250681,11627,11726
1498251406,11626,11725
1498252135,11622,11721
1498252812,11627,11726
1498253555,11620,11719
1498254251,11618,11717
1498255017,11618,11717
1498255742,11617,11716
1498256363,11615,11714
1498257183,11613,11712
1498258608,11615,11714
1498259588,11611,11710
1498260255,11611,11710
1498261019,11609,11708
1498261993,11613,11712
1498262945,11611,11710
1498263620,11607,11707
1498264381,11606,11706
1498265053,11602,11702
1498265819,11607,11707
1498266520,11606,11706
1498267255,11601,11701
1498267992,11600,11700
1498268650,11595,11695
1498269418,11592,11692
1498270137,11590,11690
1498270833,11593,11693
1498271538,11596,11696
1498272258,11598,11698
1498273025,11595,11695
1498273726,11605,11705
1498274428,11599,11699
1498275137,11603,11703
1498275865,11604,11704
1498276580,11604,11704
1498277294,11597,11697
1498278067,11600,11700
1498278775,11598,11698
1498279464,11601,11701
1498280177,11605,11705
1498280913,11599,11699
1498281696,11600,11700
1498282378,11602,11702
1498283062,11605,11705
1498283775,11597,11697
1498284517,11596,11696
1498285251,11600,11700
1498285973,11601,11701
1498286662,11603,11703
1498287380,11599,11699
1498288117,11605,11705
1498288847,11610,11710
1498289597,11614,11714
1498290253,11616,11716
1498290987,11617,11717
1498291691,11622,11722
1498292479,11615,11715
1498293173,11618,11718
1498293861,11620,11720
1498294573,11629,11729
1498295319,11627,11727
1498296049,11632,11732
1498297040,11628,11728
1498297697,11626,11726
1498298509,11624,11724
1498299180,11623,11723
1498299854,11628,11728
1498300585,11625,11725
1498301307,11623,11723
1498302135,11622,11722
1498302792,11620,11720
1498303467,11618,11718
1498304185,11618,11718
1498305196,11619,11719
1498306124,11616,11716
1498306863,11623,11723
1498307573,11630,11730
1498308261,11624,11724
1498309357,11628,11728
1498310422,11631,11731
1498311306,11624,11724
1498312105,11624,11724
1498312916,11623,11723
1498313580,11624,11724
1498314255,11624,11724
1498314987,11624,11725
1498315696,11623,11724
1498316552,11627,11728
1498317171,11631,11732
1498317867,11633,11734
1498318610,11633,11734
1498319342,11630,11730
1498320140,11629,11729
1498320768,11628,11728
1498321465,11632,11733
1498322173,11630,11731
1498322912,11631,11732
1498323715,11628,11729
1498324643,11634,11735
1498325324,11641,11742
1498326025,11643,11744
1498326734,11640,11741
1498327475,11640,11741
1498328175,11643,11744
1498328944,11641,11742
1498329616,11650,11751
1498330347,11653,11754
1498331339,11649,11750
1498332047,11655,11756
1498332792,11652,11753
1498333455,11658,11759
1498334183,11654,11754
1498334916,11655,11755
1498336293,11659,11759
1498337076,11656,11756
1498337803,11657,11757
1498338526,11658,11758
1498339470,11657,11757
1498340201,11653,11753
1498340947,11649,11749
1498341695,11650,11750
1498342347,11646,11746
1498343051,11650,11750
1498343822,11656,11756
1498344787,11651,11751
1498345710,11651,11751
1498346717,11648,11748
1498347662,11646,11746
1498348362,11644,11744
