DateTime,Entries,UniqueIPs
1498095191,6029,6029
1498095852,6034,6034
1498096616,6028,6028
1498097328,6021,6021
1498098041,6022,6022
1498098740,6020,6020
1498099472,6017,6017
1498100205,6007,6007
1498100931,5998,5998
1498101633,5989,5989
1498102339,5987,5987
1498103062,5995,5995
1498103812,6003,6003
1498105036,5989,5989
1498105728,5987,5987
1498106430,6001,6001
1498107140,6007,6007
1498107872,6008,6008
1498108608,6022,6022
1498109346,6018,6018
1498110017,6012,6012
1498110759,6002,6002
1498111475,5992,5992
1498112217,5991,5991
1498112936,5992,5992
1498113616,5997,5997
1498114354,6017,6017
1498115385,6028,6028
1498116273,6047,6047
1498117008,6028,6028
1498117776,6033,6033
1498118511,6044,6044
1498119156,6058,6058
1498119850,6053,6053
1498120606,6040,6040
1498121374,6050,6050
1498122118,6052,6052
1498122772,6042,6042
1498123453,6058,6058
1498124186,6065,6065
1498124901,6075,6075
1498125739,6084,6084
1498126378,6039,6039
1498127073,6063,6063
1498127775,6065,6065
1498128513,6063,6063
1498129390,6029,6029
1498130200,6031,6031
1498130892,6043,6043
1498131658,6045,6045
1498132364,6053,6053
1498133083,6045,6045
1498134087,6071,6071
1498134771,6103,6103
1498135461,6110,6110
1498136175,6102,6102
1498136918,6109,6109
1498137648,6109,6109
1498138377,6120,6120
1498139063,6118,6118
1498139807,6121,6121
1498140493,6117,6117
1498141261,6126,6126
1498141982,6121,6121
1498142666,6142,6142
1498143385,6142,6142
1498144092,6132,6132
1498144891,6145,6145
1498145575,6136,6136
1498146261,6130,6130
1498147512,6128,6128
1498148210,6130,6130
1498148935,6138,6138
1498149624,6140,6140
1498150345,6127,6127
1498150994,6121,6121
1498151844,6120,6120
1498152772,6122,6122
1498153456,6121,6121
1498154231,6120,6120
1498154935,6119,6119
1498155632,6123,6123
1498156341,6117,6117
1498157073,6111,6111
1498157804,6117,6117
1498158528,6113,6113
1498159220,6131,6131
1498159954,6135,6135
1498160650,6140,6140
1498161415,6139,6139
1498162124,6139,6139
1498162885,6135,6135
1498163570,6112,6112
1498164264,6117,6117
1498165009,6105,6105
1498165741,6103,6103
1498166685,6096,6096
1498167403,6103,6103
1498168139,6101,6101
1498168898,6089,6089
1498169548,6093,6093
1498170545,6090,6090
1498171468,6092,6092
1498172582,6098,6098
1498173425,6092,6092
1498174121,6087,6087
1498175072,6070,6070
1498175803,6064,6064
1498176530,6068,6068
1498177474,6080,6080
1498178459,6077,6077
1498179418,6071,6071
1498180121,6055,6055
1498180869,6025,6025
1498181566,6034,6034
1498182265,6052,6052
1498182971,6046,6046
1498183697,6052,6052
1498184460,6044,6044
1498185173,6051,6051
1498185861,6033,6033
1498186914,6040,6040
1498187567,6020,6020
1498188265,6029,6029
1498188974,6010,6010
1498189713,6010,6010
1498190471,6020,6020
1498191172,6025,6025
1498192117,6020,6020
1498192840,6003,6003
1498193579,6006,6006
1498194516,6012,6012
1498195256,6006,6006
1498195970,6022,6022
1498196674,6030,6030
1498197736,6024,6024
1498198623,6023,6023
1498199292,6018,6018
1498200059,6023,6023
1498200767,6023,6023
1498201474,6020,6020
1498202462,6042,6042
1498203165,6047,6047
1498203868,6049,6049
1498204578,6052,6052
