DateTime,AddedIPs,RemovedIPs
1498182144,6,4
1498184169,4,11
1498185032,3,2
1498185775,3,1
1498187668,5,7
1498189632,2,8
1498190745,3,8
1498191627,1,0
1498192500,4,17
1498193478,2,14
1498194323,5,10
1498195239,1,3
1498196161,1,5
1498197386,3,3
1498198831,2,2
1498200052,1,10
1498201853,5,3
1498203032,4,6
1498203951,2,1
1498205124,5,6
1498206049,1,3
1498207368,4,8
1498208180,2,4
1498209058,1,6
1498210120,7,1
1498210982,1,30
1498211923,2,30
1498212931,7,1
1498213804,5,16
1498214732,3,4
1498215684,5,5
1498216548,2,1
1498217432,2,5
1498218354,6,3
1498219241,6,8
1498220128,2,1
1498221749,9,6
1498223184,42,6
1498224027,10,0
1498225374,6,4
1498226336,7,3
1498228310,7,6
1498229136,3,4
1498231028,6,11
1498232440,9,7
1498233771,4,4
1498234708,3,1
1498236144,6,16
1498237202,9,11
1498238593,9,2
1498240498,6,4
1498241423,2,6
1498243339,8,10
1498244155,5,2
1498245373,7,40
1498246937,5,32
1498247856,28,3
1498249133,33,36
1498250555,14,28
1498251383,7,2
1498252274,2,5
1498253129,3,0
1498253311,2,0
1498254380,4,12
1498256447,14,9
1498257319,2,6
1498259144,9,5
1498259698,1,0
1498260628,2,10
1498261371,4,0
1498263263,10,18
1498264391,6,20
1498265795,4,3
1498267230,6,10
1498268078,0,39
1498269358,5,1
1498270226,1,22
1498272024,8,19
1498273549,44,6
1498274426,29,0
1498275633,13,12
1498277424,17,7
1498279078,1,8
1498280143,6,0
1498281255,4,7
1498282224,3,6
1498282961,3,1
1498283800,5,2
1498284630,5,10
1498285506,5,2
1498286074,3,9
1498287545,3,6
1498288830,6,0
1498290356,7,10
1498291304,1,11
1498292133,0,1
1498293754,2,21
1498295147,3,9
1498295990,15,2
1498297084,13,35
1498298724,5,25
1498299642,10,2
1498300852,2,11
1498301724,4,3
1498302645,2,11
1498303828,4,10
1498304756,2,0
1498305928,4,16
1498306458,3,1
1498307862,3,18
1498309066,1,1
1498310423,8,11
1498311954,6,18
1498313126,4,15
1498314044,0,2
1498315002,5,9
1498318233,18,16
1498319155,3,3
1498320323,1,9
1498321245,2,1
1498322219,4,12
1498323944,3,9
1498324824,4,0
1498326365,11,18
1498327522,4,5
1498328436,4,1
1498329739,13,2
1498330593,10,2
1498331442,3,6
1498333373,6,7
1498335259,5,9
1498336727,8,10
1498337925,8,7
1498339778,5,8
1498340752,0,2
1498342927,9,11
1498344927,11,17
1498345830,5,13
1498347032,3,4
1498348556,5,2
1498349658,6,7
1498351224,6,11
1498353627,6,3
1498354105,2,0
1498356625,8,8
1498358544,5,5
1498360819,5,7
1498362141,6,5
1498363517,6,8
1498370352,10,26
1498378022,0,817
1498379472,806,0
1498381018,3,6
1498382144,5,0
1498383321,9,6
1498384150,2,1
1498385125,5,10
1498386042,2,1
1498387532,6,4
1498388477,1,8
1498389649,3,1
1498390528,3,3
1498392357,6,26
1498393723,3,3
1498395410,2,27
1498396317,6,0
1498398441,17,6
1498400135,10,7
1498401587,5,13
1498402672,6,1
1498403904,4,4
1498405247,4,6
1498406456,3,14
1498407334,1,0
1498408184,1,7
1498409131,6,0
1498410060,3,4
