DateTime,Entries,UniqueIPs
1498006583,9441,9441
1498007731,9443,9443
1498009231,9441,9441
1498010745,9442,9442
1498011640,9443,9443
1498012102,9446,9446
1498013746,9446,9446
1498015170,9445,9445
1498016128,9441,9441
1498016955,9441,9441
1498018328,9442,9442
1498019728,9444,9444
1498021048,9450,9450
1498022127,9461,9461
1498023186,9459,9459
1498024524,9483,9483
1498025367,9475,9475
1498026641,9472,9472
1498027588,9469,9469
1498028192,9473,9473
1498029029,9429,9429
1498030836,9434,9434
1498032737,9433,9433
1498034594,9437,9437
1498036532,9440,9440
1498038149,9436,9436
1498040289,9433,9433
1498041950,9471,9471
1498043005,9462,9462
1498044037,9466,9466
1498045355,9468,9468
1498046188,9471,9471
1498047050,9467,9467
1498048106,9468,9468
1498049195,9453,9453
1498050290,9423,9423
1498051255,9426,9426
1498052338,9389,9389
1498053387,9391,9391
1498054850,9383,9383
1498055740,9378,9378
1498057455,9375,9375
1498059632,9358,9358
1498061112,9366,9366
1498062079,9367,9367
1498062506,9369,9369
1498063452,9346,9346
1498064996,9336,9336
1498067137,9338,9338
1498068086,9338,9338
1498070055,9340,9340
1498071409,9341,9341
1498072243,9341,9341
1498073401,9342,9342
1498074178,9354,9354
1498075038,9372,9372
1498076202,9393,9393
1498077043,9405,9405
1498077958,9417,9417
1498078578,9427,9427
1498079434,9431,9431
1498081338,9437,9437
1498082183,9438,9438
1498083055,9440,9440
1498084230,9441,9441
1498085143,9443,9443
1498086857,9451,9451
1498088423,9457,9457
1498089322,9462,9462
1498090246,9459,9459
1498092158,9463,9463
1498092980,9471,9471
1498093788,9472,9472
1498095257,9478,9478
1498096521,9487,9487
1498097452,9494,9494
1498098628,9501,9501
1498099542,9523,9523
1498100725,9519,9519
1498101649,9533,9533
1498102534,9530,9530
1498102938,9529,9529
1498104340,9528,9528
1498105688,9525,9525
1498106896,9527,9527
1498108458,9530,9530
1498109423,9529,9529
1498110145,9525,9525
1498111112,9511,9511
1498112131,9509,9509
1498113045,9482,9482
1498114365,9491,9491
1498115427,9465,9465
1498116429,9475,9475
1498118384,9464,9464
1498119634,9469,9469
1498120841,9464,9464
1498122632,9472,9472
1498122867,9473,9473
1498124538,9481,9481
1498125654,9490,9490
1498126837,9507,9507
1498128580,9531,9531
1498129414,9495,9495
1498136340,9374,9374
1498137396,9377,9377
1498138647,9385,9385
1498139758,9391,9391
1498140910,9392,9392
1498141889,9397,9397
1498145748,9401,9401
1498147644,9401,9401
1498148486,9403,9403
1498154095,9386,9386
1498155459,9391,9391
1498156331,9381,9381
1498158337,9386,9386
1498160325,9382,9382
1498162760,9381,9381
1498164042,9387,9387
1498165528,9387,9387
1498166489,9391,9391
1498167746,9389,9389
1498169798,9388,9388
1498170647,9391,9391
1498171548,9393,9393
1498172726,9393,9393
1498173631,9400,9400
1498174432,9401,9401
1498175781,9403,9403
1498176696,9401,9401
1498177730,9402,9402
1498178746,9402,9402
1498179846,9397,9397
