DateTime,Entries,UniqueIPs
1497969196,1021,1021
1497970018,1019,1019
1497971671,1020,1020
1497972654,1004,1004
1497974752,993,993
1497975708,994,994
1497976708,992,992
1497976991,991,991
1497978111,990,990
1497978955,993,993
1497979894,990,990
1497980682,994,994
1497981945,998,998
1497982923,1005,1005
1497984993,979,979
1497985859,973,973
1497986926,985,985
1497989230,981,981
1497990079,983,983
1497990933,969,969
1497992022,973,973
1497993339,961,961
1497995503,956,956
1497996834,957,957
1497997722,958,958
1497998812,954,954
1497999739,950,950
1498001730,947,947
1498002155,945,945
1498002994,947,947
1498004035,942,942
1498005328,941,941
1498006231,944,944
1498006591,946,946
1498007741,950,950
1498009239,951,951
1498010790,952,952
1498011650,953,953
1498012111,955,955
1498013754,955,955
1498015177,950,950
1498016137,947,947
1498017003,947,947
1498018351,947,947
1498019739,947,947
1498021056,948,948
1498022136,958,958
1498023232,956,956
1498024531,976,976
1498025438,971,971
1498026659,970,970
1498027637,967,967
1498028201,970,970
1498029038,929,929
1498030846,931,931
1498032792,930,930
1498034691,930,930
1498036542,933,933
1498038157,932,932
1498040316,934,934
1498042020,966,966
1498043022,964,964
1498044119,969,969
1498045364,969,969
1498046200,972,972
1498047098,968,968
1498048116,968,968
1498049262,958,958
1498050299,933,933
1498051349,935,935
1498052359,898,898
1498053396,900,900
1498054877,895,895
1498055751,893,893
1498057472,890,890
1498059641,874,874
1498061158,880,880
1498062104,879,879
1498062517,880,880
1498063522,859,859
1498065005,850,850
1498067145,850,850
1498068169,848,848
1498070083,849,849
1498071474,851,851
1498072310,849,849
1498073485,853,853
1498074207,865,865
1498075067,878,878
1498076242,897,897
1498077073,909,909
1498078012,919,919
1498078585,929,929
1498079442,934,934
1498081346,943,943
1498082191,943,943
1498083103,944,944
1498084242,946,946
1498085198,947,947
1498086865,950,950
1498088430,955,955
1498089329,960,960
1498090322,961,961
1498092226,963,963
1498093041,969,969
1498094061,970,970
1498095318,977,977
1498096529,985,985
1498097521,994,994
1498098641,1002,1002
1498099606,1024,1024
1498100735,1019,1019
1498101711,1033,1033
1498102584,1030,1030
1498102946,1030,1030
1498104383,1028,1028
1498105697,1024,1024
1498106950,1024,1024
1498107937,1025,1025
1498109490,1024,1024
1498110153,1021,1021
1498111120,1008,1008
1498112140,1006,1006
1498113058,980,980
1498114429,986,986
1498115435,961,961
1498116503,970,970
1498117530,971,971
1498118392,964,964
1498119643,967,967
1498120925,961,961
1498121800,964,964
1498122641,966,966
1498122875,969,969
1498124546,977,977
1498125707,985,985
