DateTime,AddedIPs,RemovedIPs
1498171514,100,1
1498172706,139,222
1498173606,110,0
1498174410,72,212
1498175765,152,0
1498176656,101,239
1498177715,121,0
1498178721,102,199
1498179833,135,226
1498180717,95,0
1498182125,125,223
1498184127,199,225
1498185007,73,249
1498185741,81,0
1498187646,225,243
1498188721,83,199
1498189608,87,0
1498191605,221,197
1498192486,110,187
1498193451,86,83
1498194304,79,127
1498195205,117,1
1498196116,98,197
1498197365,141,0
1498198805,127,167
1498200007,121,525
1498200964,89,1
1498201828,83,294
1498203006,108,437
1498203924,83,0
1498205105,171,494
1498206005,144,0
1498207352,201,535
1498208166,133,0
1498209028,90,544
1498210103,162,1
1498210937,99,510
1498211879,130,1
1498212906,131,491
1498213713,97,1
1498215649,240,945
1498216518,117,0
1498217406,80,407
1498218322,120,0
1498219199,112,413
1498220106,123,20
1498221726,182,537
1498223147,151,390
1498224005,79,0
1498225337,106,485
1498226320,79,268
1498228264,152,486
1498229108,68,0
1498231015,129,523
1498232405,114,323
1498233753,118,237
1498234695,83,0
1498236126,107,263
1498237189,85,272
1498238580,109,16
1498240482,121,194
1498241405,51,205
1498243325,130,203
1498244142,55,0
1498245354,90,280
1498246901,118,244
1498247843,103,2
1498249119,127,246
1498250534,100,273
1498251365,62,0
1498252239,66,162
1498253285,88,0
1498255450,165,355
1498256406,74,0
1498257266,71,171
1498259115,190,163
1498259669,46,0
1498260606,75,166
1498261345,61,0
1498263245,171,225
1498264362,82,169
1498265782,120,0
1498267205,115,153
1498268064,55,187
1498269321,84,0
1498270206,57,165
1498272005,132,135
1498273521,136,141
1498274405,86,0
1498275605,84,207
1498276530,73,0
1498277405,67,98
1498279065,111,117
1498280129,87,0
1498281219,77,133
1498282205,55,107
1498282932,40,0
1498283779,53,0
1498284605,60,154
1498285468,49,0
1498286036,29,124
1498287532,87,117
1498288805,81,10
1498290324,93,142
1498291122,41,81
1498292106,50,11
1498293725,91,197
1498295114,78,108
1498295975,49,0
1498297071,74,152
1498298705,109,141
1498299606,53,0
1498300807,70,135
1498301764,62,1
1498302614,45,149
1498303806,76,122
1498304722,40,0
1498305904,66,149
1498306445,38,0
1498307830,64,287
1498309054,92,1
1498310405,106,224
1498311920,116,214
1498314005,135,172
1498314981,52,187
1498318205,201,372
1498319118,50,0
1498320305,52,143
1498321218,49,0
1498322165,52,225
1498323916,100,162
1498324805,58,0
1498326325,102,263
1498328405,101,175
1498329726,66,222
1498330581,65,0
1498331412,37,138
1498333347,95,225
1498335245,103,219
1498336671,59,181
1498337912,86,175
1498339737,111,9
1498340714,66,204
1498342890,148,197
1498344005,82,196
1498344905,47,0
1498345793,58,184
1498347006,89,201
1498348544,87,0
1498349644,82,214
1498351205,100,167
1498354085,198,185
1498356605,170,338
1498358531,109,186
1498360803,112,207
1498362105,75,200
1498363504,77,203
1498370340,292,701
1498378021,0,18207
1498379432,17452,0
1498381005,97,226
1498382108,59,0
1498383305,84,205
1498384122,43,0
1498386005,114,234
1498387506,80,187
1498388438,49,428
1498389630,76,0
1498390505,70,341
1498392344,129,208
1498393671,87,0
1498395365,94,164
1498396275,60,155
1498398411,151,184
1498400105,125,101
1498401539,81,200
1498402660,76,0
1498403877,62,101
1498405205,88,166
1498406438,77,152
1498407305,61,0
1498408112,53,0
1498410001,117,254
1498411685,104,6
1498412723,50,121
1498413638,51,153
1498414817,54,2
1498416305,95,127
1498417478,65,174
1498418293,53,0
1498419925,82,214
1498421177,67,104
1498422742,74,167
1498423582,36,0
1498424447,42,160
1498426205,121,134
1498427189,61,0
1498428906,133,193
1498430229,64,167
1498431365,76,1
1498432244,49,177
1498433105,54,0
1498434004,67,151
1498435505,98,157
1498436409,47,1
1498436888,28,0
1498437913,71,206
1498439551,104,95
1498440605,80,136
1498441626,82,0
1498443518,143,173
1498444932,95,177
1498445809,52,1
1498446605,39,154
1498447443,65,0
1498448406,57,150
1498449888,94,184
1498450805,46,0
1498451705,47,135
1498452128,26,0
1498452926,45,0
1498453805,48,136
1498454711,65,0
1498455726,50,116
1498457120,83,117
1498458005,67,1
1498458905,65,119
1498460165,102,2
1498461306,78,118
1498462928,118,107
1498464845,170,123
1498467005,206,131
1498467366,37,0
1498468445,131,128
1498469728,132,103
1498470607,103,0
1498470967,56,0
1498471877,90,133
1498473078,164,103
1498474565,187,0
1498475645,108,108
1498476735,97,106
1498477777,113,0
1498478196,51,1
1498479306,128,134
1498480508,208,144
1498481457,101,0
1498482695,118,133
1498483736,89,1
1498484769,104,103
1498486505,146,137
1498488453,172,113
1498490105,185,109
1498490913,72,0
1498492565,178,206
1498493406,96,88
1498494493,106,1
1498496332,185,235
1498498099,181,1
1498499107,106,148
1498500078,116,83
1498500846,92,1
1498503540,354,215
1498504445,107,0
1498506611,250,128
1498507789,104,95
1498509069,150,117
1498509735,82,38
1498510565,92,0
1498511405,79,100
1498513016,244,175
1498514684,184,112
1498515246,71,0
1498516178,103,134
1498517705,213,51
1498518604,92,97
1498520528,235,173
1498521364,102,0
1498522210,75,116
1498523410,111,161
1498524137,83,48
1498525045,107,0
1498526105,110,102
1498527019,103,126
1498527735,85,0
1498529407,192,130
1498531335,207,169
1498533020,158,74
1498534811,209,103
1498535704,106,0
1498536621,86,102
1498537693,112,1
1498538716,110,124
1498539751,114,60
1498540810,109,0
1498541705,99,111
1498542125,40,0
1498543810,169,85
1498544818,117,2
1498545730,111,126
1498547645,252,50
1498548619,130,88
1498549509,125,1
1498550523,113,124
1498551245,107,0
1498552284,147,110
1498553460,156,31
1498554611,170,73
1498556535,250,150
1498557646,137,78
1498558506,107,0
1498559293,112,1
1498560129,122,119
1498561447,365,142
1498562365,149,1
1498563305,112,130
1498564342,150,32
1498565412,163,87
1498566613,193,126
1498567815,162,1
1498568660,118,140
1498569605,125,0
1498570811,187,151
1498571766,140,0
1498572611,116,94
1498572851,29,0
1498573704,135,2
1498574716,161,136
1498575718,161,119
1498576761,170,1
1498577706,168,116
1498578127,57,30
1498578965,121,3
1498579813,116,92
1498580045,43,0
1498580945,125,0
1498581946,153,147
1498583645,225,78
1498584636,154,92
1498585579,550,35
1498587245,208,111
1498588221,124,112
1498590330,224,106
1498591205,108,0
1498592130,114,96
1498593037,112,26
1498595075,129,61
1498596908,217,170
1498597805,118,123
1498598734,103,0
1498599611,109,142
1498600412,76,2
1498601234,92,97
1498602485,122,0
1498603508,100,143
1498605005,136,90
1498606206,120,112
1498606935,78,42
1498607764,92,0
1498608610,86,93
1498610531,194,179
1498612205,183,110
1498613406,113,131
1498615807,242,106
1498617009,156,108
1498617909,84,44
1498619644,200,72
1498620456,72,1
1498621286,97,131
1498622119,84,1
1498623006,91,67
1498623946,114,0
1498624807,78,141
1498626605,171,69
1498627433,88,0
1498629306,197,153
1498630205,112,113
1498632132,252,149
1498632950,120,0
1498633808,138,92
1498634627,128,1
1498636564,215,189
1498637407,83,125
1498638314,122,1
1498639214,118,248
1498640165,127,1
1498641007,111,136
1498642207,157,208
1498643111,129,63
1498644596,200,140
1498645519,108,1
1498646527,121,204
1498647365,230,2
1498648207,246,120
1498649285,239,0
1498650123,0,25143
1498652045,25205,0
1498653013,146,140
1498655062,293,152
1498656007,121,1
1498656895,111,166
1498657331,57,51
1498658172,116,0
1498659006,124,117
1498660085,168,0
1498661107,173,199
1498662341,203,132
1498663206,126,0
1498663685,84,1
1498665046,211,174
1498666205,153,99
1498667408,167,134
1498668318,128,52
1498669804,0,26168
1498671724,26419,0
1498672615,192,1
1498673597,181,138
1498674609,175,177
1498677006,408,176
1498678059,154,1
1498679109,178,224
1498680283,177,116
1498681243,149,0
1498682407,175,256
1498684206,234,126
1498685407,164,173
1498686324,116,64
1498687805,202,138
1498689006,159,171
1498689915,106,69
1498691405,192,116
1498692323,132,0
1498693337,118,230
1498694242,110,0
1498695301,111,121
1498696207,123,172
1498697105,95,77
1498698208,118,113
1498698845,90,0
1498699685,105,0
1498701561,254,343
1498702506,103,10
1498703407,113,187
1498704305,104,65
1498704965,84,0
1498705805,95,132
1498706808,112,0
1498708455,194,229
1498709405,111,145
1498710607,139,167
1498711329,69,73
1498713523,255,116
1498714935,160,245
1498715771,108,0
1498716606,89,162
1498716845,27,0
1498717807,142,222
1498718734,116,69
1498719673,109,159
1498720446,88,0
1498721285,104,0
1498722126,107,293
1498723006,123,0
1498724046,132,183
1498725014,134,230
1498727010,261,216
1498728014,157,1
1498729207,164,298
1498731306,0,27833
1498732086,28072,0
1498733424,190,305
1498734845,169,192
1498735685,119,0
1498737307,215,325
1498738130,90,183
1498739297,142,1
1498741135,269,481
1498742000,111,17
1498742893,113,0
1498743805,122,327
1498744712,96,170
1498745645,120,28
1498746608,133,230
1498748106,226,101
1498749006,116,171
1498750085,132,0
1498751766,247,326
1498752606,125,170
1498754532,292,691
1498755365,119,0
1498756206,105,213
1498757285,168,0
1498759111,241,403
1498760107,144,14
1498761007,111,217
1498761743,80,59
1498762620,106,0
1498763449,110,136
1498763646,20,0
1498764606,114,76
