DateTime,Entries,UniqueIPs
1497838468,353,353
1497839303,354,354
1497841534,357,357
1497842867,368,368
1497845138,366,366
1497846050,368,368
1497851723,362,362
1497852633,364,364
1497852871,365,365
1497853833,364,364
1497854548,366,366
1497855930,368,368
1497856844,371,371
1497858155,369,369
1497860063,371,371
1497861001,371,371
1497861750,373,373
1497863684,378,378
1497864652,373,373
1497865541,373,373
1497866743,374,374
1497867654,377,377
1497869151,376,376
1497869789,378,378
1497870631,345,345
1497870863,350,350
1497872567,377,377
1497873387,378,378
1497874245,374,374
1497876151,370,370
1497878137,369,369
1497879052,368,368
1497879949,368,368
1497880592,369,369
1497881401,372,372
1497881670,374,374
1497882673,374,374
1497883538,375,375
1497884730,377,377
1497885652,376,376
1497886942,378,378
1497888328,379,379
1497889243,381,381
1497890552,382,382
1497891417,378,378
1497892229,377,377
1497893136,379,379
1497894344,381,381
1497895929,379,379
1497897043,377,377
1497897770,380,380
1497899653,380,380
1497900676,381,381
1497901354,383,383
1497902804,383,383
1497903921,388,388
1497904958,387,387
1497906332,384,384
1497907243,383,383
1497907706,387,387
1497909391,389,389
1497910470,389,389
1497911434,389,389
1497913524,388,388
1497915035,388,388
1497915741,390,390
1497916595,391,391
1497917441,393,393
1497919358,396,396
1497921267,402,402
1497922237,398,398
1497922942,399,399
1497923740,400,400
1497924630,402,402
1497925651,407,407
1497926734,406,406
1497928461,406,406
1497929445,404,404
1497930981,406,406
1497931827,403,403
1497933754,403,403
1497935661,402,402
1497936637,398,398
1497938355,395,395
1497939344,397,397
1497940966,398,398
1497941791,400,400
1497942670,399,399
1497944128,400,400
1497946250,401,401
1497948161,405,405
1497950846,412,412
1497952492,410,410
1497953402,409,409
1497955351,411,411
1497958255,412,412
1497958999,416,416
1497960870,423,423
1497962444,426,426
1497964452,426,426
1497965450,426,426
1497966419,429,429
1497966982,432,432
1497967846,431,431
1497969140,434,434
1497969945,436,436
1497971660,434,434
1497972643,435,435
1497974745,438,438
1497976950,441,441
