DateTime,Entries,UniqueIPs
1498178755,2292,2292
1498179848,2282,2282
1498180732,2293,2293
1498182149,2283,2283
1498185037,2258,2258
1498185785,2269,2269
1498187670,2262,2262
1498189635,2255,2255
1498190754,2247,2247
1498191629,2254,2254
1498192502,2246,2246
1498193488,2242,2242
1498194325,2240,2240
1498195248,2248,2248
1498196169,2222,2222
1498197388,2234,2234
1498198835,2237,2237
1498200064,2231,2231
1498201870,2230,2230
1498203036,2228,2228
1498203959,2230,2230
1498205126,2238,2238
1498206058,2250,2250
1498207370,2254,2254
1498208212,2240,2240
1498209066,2248,2248
1498210122,2256,2256
1498210990,2251,2251
1498211928,2246,2246
1498212933,2245,2245
1498213830,2241,2241
1498214736,2247,2247
1498215702,2236,2236
1498216556,2248,2248
1498217434,2240,2240
1498218362,2258,2258
1498219245,2253,2253
1498220130,2271,2271
1498221751,2276,2276
1498223194,2278,2278
1498224029,2286,2286
1498225382,2291,2291
1498226338,2292,2292
1498228321,2287,2287
1498229138,2293,2293
1498231031,2295,2295
1498232448,2304,2304
1498233773,2300,2300
1498234710,2302,2302
1498236149,2312,2312
1498237204,2307,2307
1498238595,2325,2325
1498240502,2334,2334
1498241425,2323,2323
1498243341,2338,2338
1498244157,2352,2352
1498245379,2329,2329
1498246947,2332,2332
1498247858,2339,2339
1498249135,2354,2354
1498250557,2348,2348
1498251385,2358,2358
1498252276,2360,2360
1498253131,2377,2377
1498253313,2377,2377
1498254397,2372,2372
1498256458,2377,2377
1498257327,2365,2365
1498259155,2379,2379
1498259706,2384,2384
1498260631,2382,2382
1498261379,2398,2398
1498263265,2393,2393
1498264402,2380,2380
1498265796,2398,2398
1498267232,2406,2406
1498268080,2407,2407
1498269368,2424,2424
1498270228,2422,2422
1498272026,2419,2419
1498273557,2410,2410
1498274428,2418,2418
1498275641,2413,2413
1498277426,2417,2417
1498279079,2425,2425
1498280145,2445,2445
1498281271,2438,2438
1498282226,2434,2434
1498282971,2444,2444
1498283802,2453,2453
1498284632,2442,2442
1498285514,2448,2448
1498286083,2439,2439
1498287547,2432,2432
1498288833,2437,2437
1498290364,2441,2441
1498291306,2440,2440
1498292135,2444,2444
1498293756,2427,2427
1498295156,2421,2421
1498295990,2426,2426
1498297090,2422,2422
1498298726,2433,2433
1498299655,2444,2444
1498300854,2426,2426
1498301726,2429,2429
1498302662,2415,2415
1498303832,2403,2403
1498304766,2412,2412
1498305929,2388,2388
1498306460,2392,2392
1498307879,2373,2373
1498309068,2388,2388
1498310425,2378,2378
1498311964,2377,2377
1498313128,2366,2366
1498314055,2372,2372
1498315027,2349,2349
1498318237,2336,2336
1498319166,2345,2345
1498320325,2339,2339
1498321256,2349,2349
1498322230,2365,2365
1498323959,2370,2370
1498324826,2381,2381
1498326376,2389,2389
1498327524,2394,2394
1498328449,2402,2402
1498329741,2387,2387
1498330595,2397,2397
1498331453,2397,2397
1498333384,2401,2401
1498335262,2409,2409
1498336737,2412,2412
1498337926,2422,2422
1498339780,2433,2433
1498340754,2444,2444
1498342930,2452,2452
1498344929,2446,2446
1498345840,2439,2439
1498347035,2432,2432
1498348558,2445,2445
1498349660,2438,2438
1498351226,2457,2457
1498353629,2467,2467
1498354107,2469,2469
1498356627,2444,2444
1498358546,2443,2443
1498360821,2450,2450
1498362151,2444,2444
1498363518,2433,2433
1498370353,2426,2426
1498379485,2419,2419
1498381020,2426,2426
1498382165,2439,2439
1498383323,2441,2441
1498384161,2452,2452
1498385127,2445,2445
1498386052,2452,2452
1498387536,2451,2451
1498388486,2284,2284
1498389651,2290,2290
1498390531,2170,2170
1498392359,2155,2155
1498393737,2173,2173
1498395415,2141,2141
1498396326,2150,2150
1498398450,2167,2167
1498400138,2172,2172
1498401593,2170,2170
1498402674,2186,2186
1498403906,2166,2166
1498405256,2156,2156
1498406460,2136,2136
1498407336,2142,2142
1498408195,2136,2136
1498409134,2146,2146
1498410071,2139,2139
1498411069,2160,2160
1498411702,2166,2166
1498412783,2160,2160
1498413658,2169,2169
1498414859,2184,2184
1498416333,2194,2194
1498418347,2216,2216
