DateTime,Entries,UniqueIPs
1498116422,26835,26835
1498118382,26793,26793
1498119631,26812,26812
1498120834,26767,26767
1498122627,26716,26716
1498122865,26723,26723
1498124536,26628,26628
1498125647,26546,26546
1498126827,26572,26572
1498128565,26329,26329
1498129412,26012,26012
1498136338,24962,24962
1498137391,25046,25046
1498138645,24847,24847
1498139756,24902,24902
1498140905,24694,24694
1498141876,24472,24472
1498145746,23939,23939
1498147637,23696,23696
1498148484,23744,23744
1498154093,22751,22751
1498155457,22608,22608
1498156324,22348,22348
1498158335,22094,22094
1498160323,21866,21866
1498162758,21623,21623
1498164035,21415,21415
1498165526,21388,21388
1498166479,21421,21421
1498167744,21390,21390
1498169795,21378,21378
1498170644,21362,21362
1498171541,21394,21394
1498172723,21346,21346
1498173624,21379,21379
1498174426,21314,21314
1498175776,21363,21363
1498176685,21297,21297
1498177727,21347,21347
1498178737,21305,21305
1498179844,21277,21277
1498180728,21304,21304
1498182139,21248,21248
1498184159,21220,21220
1498185027,21117,21117
1498185767,21141,21141
1498187663,21078,21078
1498189628,21057,21057
1498190738,21011,21011
1498191625,21041,21041
1498192498,21016,21016
1498193471,21008,21008
1498194321,20996,20996
1498195232,21023,21023
1498196150,20995,20995
1498197384,21025,21025
1498198828,21000,21000
1498200035,20771,20771
1498201846,20600,20600
1498203029,20297,20297
1498203941,20312,20312
1498205122,19978,19978
1498206035,20045,20045
1498207365,19753,19753
1498208178,19820,19820
1498209047,19462,19462
1498210117,19532,19532
1498210966,19209,19209
1498211918,18911,18911
1498212926,18965,18965
1498213785,18688,18688
1498214727,18598,18598
1498215674,18412,18412
1498216543,18454,18454
1498217427,18210,18210
1498218345,18270,18270
1498219239,18045,18045
1498220125,18116,18116
1498221747,17931,17931
1498223173,17682,17682
1498224023,17696,17696
1498225364,17399,17399
1498226334,17232,17232
1498228297,16972,16972
1498229130,17003,17003
1498231025,16690,16690
1498232430,16542,16542
1498233766,16479,16479
1498234706,16507,16507
1498236142,16431,16431
1498237200,16378,16378
1498238591,16419,16419
1498240492,16402,16402
1498241421,16326,16326
1498243336,16301,16301
1498244152,16318,16318
1498245365,16258,16258
1498246929,16237,16237
1498247854,16269,16269
1498249131,16219,16219
1498250552,16164,16164
1498251381,16194,16194
1498252263,16156,16156
1498253127,16201,16201
1498253305,16208,16208
1498254372,16172,16172
1498256435,16202,16202
1498257307,16173,16173
1498259137,16210,16210
1498259688,16238,16238
1498260626,16213,16213
1498261364,16257,16257
1498263261,16262,16262
1498264377,16230,16230
1498265793,16307,16307
1498267224,16320,16320
1498268076,16285,16285
1498269350,16336,16336
1498270224,16316,16316
1498272022,16348,16348
1498273542,16337,16337
1498274424,16366,16366
1498275625,16330,16330
1498276564,16365,16365
1498277422,16353,16353
1498279075,16379,16379
1498280141,16427,16427
1498281244,16405,16405
1498282222,16393,16393
1498282954,16411,16411
1498283798,16435,16435
1498284628,16403,16403
1498285494,16428,16428
1498286065,16408,16408
1498287543,16396,16396
1498288827,16436,16436
1498290344,16443,16443
1498291302,16439,16439
1498292128,16457,16457
1498293749,16444,16444
1498295139,16433,16433
1498295986,16450,16450
1498297081,16419,16419
1498298722,16439,16439
1498299629,16462,16462
1498300850,16440,16440
1498301722,16464,16464
1498302643,16424,16424
1498303823,16413,16413
1498304745,16438,16438
1498305926,16419,16419
1498306456,16439,16439
1498307853,16343,16343
1498309064,16401,16401
1498310421,16373,16373
1498311943,16346,16346
1498313124,16330,16330
1498314032,16364,16364
1498314994,16317,16317
1498318228,16281,16281
1498319132,16309,16309
1498320321,16289,16289
1498321235,16321,16321
1498322202,16285,16285
1498323940,16276,16276
1498324822,16312,16312
1498326358,16287,16287
1498327520,16276,16276
1498328428,16298,16298
1498329737,16249,16249
1498330591,16287,16287
1498331434,16263,16263
1498333365,16255,16255
1498335257,16235,16235
1498336715,16229,16229
1498337923,16228,16228
1498339776,16228,16228
1498340735,16280,16280
1498342916,16316,16316
1498344922,16345,16345
1498345822,16330,16330
1498347027,16314,16314
1498348554,16381,16381
1498349655,16362,16362
1498351222,16381,16381
1498353625,16450,16450
1498354103,16467,16467
1498356622,16447,16447
1498358542,16456,16456
1498360817,16447,16447
1498362133,16410,16410
1498363515,16384,16384
1498370350,16382,16382
1498378022,8244,8244
1498379464,16179,16179
1498381016,16137,16137
1498382134,16173,16173
1498383319,16127,16127
1498384141,16154,16154
1498385123,16120,16120
1498386033,16157,16157
1498387527,16141,16141
1498388465,15892,15892
1498389647,15937,15937
1498390526,15736,15736
1498392355,15754,15754
1498393707,15808,15808
1498395405,15770,15770
1498396305,15805,15805
1498398436,15842,15842
1498400130,15887,15887
1498401584,15870,15870
1498402670,15922,15922
1498403898,15922,15922
1498405234,15917,15917
1498406452,15905,15905
1498407331,15942,15942
1498408139,15976,15976
1498409126,15964,15964
1498410050,15954,15954
1498411698,16014,16014
1498412755,16000,16000
1498413652,15985,15985
1498414834,16012,16012
1498416326,16019,16019
1498418324,16032,16032
1498419956,16010,16010
1498421191,16025,16025
1498422779,15983,15983
1498423597,16003,16003
1498424469,15949,15949
1498425420,16001,16001
1498426230,15967,15967
1498427218,16011,16011
1498428931,15981,15981
1498430261,15938,15938
1498431323,15985,15985
1498432266,15920,15920
1498433119,15957,15957
1498434030,15898,15898
1498435521,15873,15873
1498436429,15907,15907
1498436913,15927,15927
1498437932,15854,15854
1498439561,15865,15865
1498440630,15842,15842
1498441647,15880,15880
1498443528,15865,15865
1498444949,15838,15838
1498445819,15867,15867
1498446917,15838,15838
1498447819,15794,15794
1498448725,15831,15831
1498449906,15767,15767
1498450825,15794,15794
1498451729,15776,15776
1498452145,15787,15787
1498453823,15792,15792
1498454731,15833,15833
1498455746,15813,15813
1498457138,15817,15817
1498458025,15862,15862
1498458920,15847,15847
1498460182,15920,15920
1498461326,15916,15916
1498462948,15945,15945
1498464858,16010,16010
1498467025,16110,16110
1498467379,16137,16137
1498468456,16172,16172
1498469748,16223,16223
1498470623,16312,16312
1498471018,16305,16305
1498471891,16373,16373
1498473100,16441,16441
1498474585,16587,16587
1498475656,16610,16610
1498476750,16624,16624
1498477789,16693,16693
1498478208,16727,16727
1498479330,16751,16751
1498480535,16752,16752
1498481475,16819,16819
1498482705,16820,16820
1498483778,16820,16820
1498484786,16880,16880
1498486525,16904,16904
1498488477,16963,16963
1498490121,17015,17015
1498490931,17060,17060
1498492586,17096,17096
1498493430,17121,17121
1498494519,17191,17191
1498496343,17195,17195
1498498125,17325,17325
1498499134,17320,17320
1498500097,17360,17360
1498500860,17420,17420
1498503556,17502,17502
1498504457,17565,17565
1498506635,17646,17646
1498507821,17658,17658
1498509091,17673,17673
1498509760,17699,17699
1498510604,17695,17695
1498511426,17743,17743
1498513032,17769,17769
1498515263,17829,17829
1498516199,17797,17797
1498517719,17857,17857
1498518624,17831,17831
1498520550,17821,17821
1498521376,17866,17866
1498522232,17825,17825
1498523429,17762,17762
1498524155,17770,17770
1498525064,17812,17812
1498526126,17797,17797
1498527043,17760,17760
1498527757,17793,17793
1498529431,17788,17788
1498531351,17783,17783
1498533039,17793,17793
1498534830,17801,17801
1498535721,17841,17841
1498536645,17804,17804
1498537533,17838,17838
1498538735,17812,17812
1498539773,17830,17830
1498541716,17837,17837
1498542143,17860,17860
1498543829,17877,17877
1498544837,17917,17917
1498545756,17902,17902
1498547661,17978,17978
1498548639,17995,17995
1498549529,18046,18046
1498550542,18037,18037
1498551271,18086,18086
1498552309,18099,18099
1498553489,18150,18150
1498554628,18184,18184
1498556560,18197,18197
1498557375,18237,18237
1498557669,18199,18199
1498558529,18238,18238
1498559314,18294,18294
1498560157,18282,18282
1498561468,18466,18466
1498562377,18556,18556
1498563323,18537,18537
1498564353,18588,18588
1498565435,18611,18611
1498566641,18624,18624
1498567842,18694,18694
1498568683,18664,18664
1498569625,18717,18717
1498571777,18789,18789
1498572638,18786,18786
1498572874,18800,18800
1498573716,18864,18864
1498574754,18868,18868
1498575739,18858,18858
1498576771,18930,18930
1498577725,18933,18933
1498578146,18942,18942
1498578980,19000,19000
1498579828,18997,18997
1498580062,19012,19012
1498580993,18996,18996
1498581964,19052,19052
1498583655,19105,19105
1498584669,19136,19136
1498585604,19179,19179
1498587258,19222,19222
1498588246,19198,19198
1498590349,19221,19221
1498591227,19261,19261
1498592142,19247,19247
1498593063,19277,19277
1498595094,19283,19283
1498596918,19245,19245
1498597822,19230,19230
1498598745,19259,19259
1498599632,19227,19227
1498600453,19254,19254
1498601359,19220,19220
1498602321,19248,19248
1498602503,19252,19252
1498603526,19198,19198
1498605025,19192,19192
1498606224,19156,19156
1498606952,19150,19150
1498607774,19184,19184
1498608628,19151,19151
1498610545,19099,19099
1498612222,19093,19093
1498613422,19061,19061
1498615825,19063,19063
1498617026,19075,19075
1498617929,19086,19086
1498619654,19106,19106
1498620480,19136,19136
1498621296,19092,19092
1498622146,19114,19114
1498623023,19108,19108
1498623957,19142,19142
1498624828,19071,19071
1498626630,19069,19069
1498627444,19091,19091
1498629320,19055,19055
1498630229,19027,19027
1498632156,19059,19059
1498632961,19118,19118
1498633829,19118,19118
1498634647,19173,19173
1498636575,19140,19140
1498637432,19084,19084
1498638341,19138,19138
1498639240,19001,19001
1498640109,19050,19050
1498641031,19001,19001
1498642231,18923,18923
1498643130,18929,18929
1498644623,18905,18905
1498645583,18953,18953
1498646549,18871,18871
1498647380,18909,18909
1498648233,18865,18865
1498649071,18902,18902
1498649296,18914,18914
1498650123,8244,8244
1498652064,18823,18823
1498653039,18778,18778
1498655085,18764,18764
1498656034,18794,18794
1498656910,18732,18732
1498657355,18715,18715
1498658183,18749,18749
1498659030,18703,18703
1498660103,18736,18736
1498661140,18665,18665
1498662372,18644,18644
1498663224,18685,18685
1498663703,18717,18717
1498665057,18668,18668
1498666225,18634,18634
1498667427,18590,18590
1498668338,18597,18597
1498669822,18581,18581
1498671735,18640,18640
1498672626,18726,18726
1498673608,18751,18751
1498674631,18716,18716
1498677032,18796,18796
1498678070,18869,18869
1498679125,18808,18808
1498680294,18806,18806
1498681285,18859,18859
1498682429,18776,18776
1498684230,18799,18799
1498685425,18768,18768
1498686344,18767,18767
1498687834,18761,18761
1498689026,18740,18740
1498689931,18749,18749
1498691428,18765,18765
1498692343,18811,18811
1498693355,18750,18750
1498694252,18787,18787
1498695326,18768,18768
1498696227,18738,18738
1498697123,18736,18736
1498698220,18739,18739
1498698861,18764,18764
1498699696,18801,18801
1498701571,18741,18741
1498702522,18771,18771
1498703426,18740,18740
1498704321,18734,18734
1498704975,18762,18762
1498705826,18734,18734
1498706819,18767,18767
1498708465,18744,18744
1498709428,18703,18703
1498710625,18679,18679
1498711351,18662,18662
1498713533,18676,18676
1498714956,18630,18630
1498715785,18669,18669
1498716632,18630,18630
1498716863,18646,18646
1498717829,18580,18580
1498718765,18583,18583
1498719692,18547,18547
1498720457,18583,18583
1498721301,18626,18626
1498722140,18514,18514
1498723017,18585,18585
1498724063,18562,18562
