DateTime,Entries,UniqueIPs
1497971661,216,216
1497972644,215,215
1497974745,218,218
1497976700,217,217
1497978083,213,213
1497978948,214,214
1497979862,213,213
1497980651,213,213
1497981935,213,213
1497982872,212,212
1497984984,215,215
1497985832,213,213
1497989195,207,207
1497990927,205,205
1497992011,208,208
1497993334,207,207
1497995498,211,211
1497996828,211,211
1497997715,214,214
1497998784,211,211
1498001725,215,215
1498004030,214,214
1498005311,212,212
1498007735,210,210
1498009234,209,209
1498010763,211,211
1498011644,212,212
1498013749,213,213
1498015172,213,213
1498016131,214,214
1498018345,217,217
1498019731,218,218
1498021051,219,219
1498022130,220,220
1498024526,221,221
1498025387,223,223
1498026650,221,221
1498028195,222,222
1498029032,223,223
1498032763,222,222
1498034637,220,220
1498036535,222,222
1498038152,220,220
1498040309,219,219
1498041982,221,221
1498043015,217,217
1498045358,218,218
1498046191,223,223
1498047062,221,221
1498048109,222,222
1498049222,221,221
1498050293,219,219
1498052343,218,218
1498053390,219,219
1498054856,218,218
1498055744,218,218
1498057465,215,215
1498059635,217,217
1498061128,211,211
1498063481,210,210
1498064999,209,209
1498067140,212,212
1498068111,214,214
1498070072,211,211
1498071436,215,215
1498073445,212,212
1498074193,211,211
1498075055,212,212
1498076218,213,213
1498077053,211,211
1498077983,213,213
1498078581,214,214
1498079437,213,213
1498081341,214,214
1498082185,215,215
1498083077,215,215
1498084236,215,215
1498085167,213,213
1498086860,214,214
1498088426,212,212
1498089325,212,212
1498090274,211,211
1498092188,209,209
1498093791,210,210
1498095278,213,213
1498096524,215,215
1498097475,214,214
1498098632,213,213
1498099566,212,212
1498100730,210,210
1498102557,210,210
1498104348,209,209
1498105691,210,210
1498106921,210,210
1498108460,211,211
1498109454,208,208
1498111115,206,206
1498113051,205,205
1498114398,207,207
1498115430,206,206
1498116457,208,208
1498118387,209,209
1498119637,211,211
1498120881,209,209
1498122635,208,208
1498122870,207,207
1498124541,205,205
1498125678,204,204
1498128609,202,202
1498129418,204,204
1498136343,202,202
1498137398,205,205
1498138650,206,206
1498139761,212,212
1498140915,212,212
1498141905,211,211
1498145757,209,209
1498147676,213,213
1498154098,213,213
1498155462,213,213
1498156350,222,222
1498158340,224,224
1498162763,226,226
1498164076,227,227
1498165531,225,225
1498166516,229,229
1498167749,228,228
1498170652,228,228
1498171570,231,231
1498172729,230,230
1498174651,229,229
1498175631,228,228
1498176722,229,229
1498177733,231,231
1498178769,233,233
1498179849,231,231
1498182150,232,232
1498185038,233,233
1498187671,233,233
1498189637,232,232
1498190769,234,234
1498192514,233,233
1498193501,234,234
1498194326,230,230
1498196184,230,230
1498197389,232,232
1498198837,230,230
1498200081,231,231
1498201010,229,229
1498203041,232,232
1498205127,239,239
1498206076,242,242
1498207372,242,242
1498208213,244,244
1498210123,245,245
1498211006,243,243
1498211930,245,245
1498212934,248,248
1498213865,249,249
1498214737,250,250
1498215717,248,248
1498216573,250,250
1498218379,252,252
1498220131,254,254
1498221752,257,257
1498223212,256,256
1498224030,260,260
1498226339,259,259
1498228342,261,261
1498229139,264,264
1498231040,266,266
1498232464,267,267
1498233774,268,268
1498234712,268,268
1498236150,268,268
1498237252,225,225
1498238596,226,226
1498239715,226,226
1498240791,224,224
1498242017,225,225
1498243342,226,226
1498245379,226,226
1498246973,221,221
1498247859,223,223
1498249136,221,221
1498250559,222,222
1498251386,224,224
1498252298,222,222
1498254413,217,217
1498256477,218,218
1498257353,217,217
1498259176,217,217
1498260633,216,216
1498263266,218,218
1498264420,217,217
1498267233,213,213
1498268081,212,212
1498270229,214,214
1498273573,208,208
1498274429,207,207
1498275659,208,208
1498277427,209,209
1498279080,212,212
1498280145,213,213
1498281290,214,214
1498284633,211,211
1498286099,209,209
1498287556,210,210
1498288834,210,210
1498290393,208,208
1498291307,208,208
1498293757,209,209
1498295174,207,207
1498295992,208,208
1498297097,206,206
1498298727,204,204
1498299691,205,205
1498301727,208,208
1498302678,209,209
1498303834,210,210
1498304793,211,211
1498305930,210,210
1498306461,211,211
1498307899,207,207
1498309069,209,209
1498310426,203,203
1498311989,203,203
1498313129,202,202
1498314073,201,201
1498315053,202,202
1498318238,202,202
1498319176,203,203
1498322252,202,202
1498323976,205,205
1498326394,196,196
1498327525,192,192
1498328467,191,191
1498329742,193,193
1498330596,195,195
1498331469,195,195
1498333402,193,193
1498335263,192,192
1498336762,192,192
1498337927,193,193
1498339781,193,193
1498340779,194,194
1498342947,190,190
1498345856,188,188
1498347038,185,185
1498349661,184,184
1498351227,184,184
1498353630,181,181
1498356629,181,181
1498358547,182,182
1498360822,177,177
1498362170,178,178
1498363519,178,178
1498370354,176,176
1498379497,169,169
1498381021,169,169
1498383324,167,167
1498385128,165,165
1498386070,167,167
1498387537,170,170
1498388507,168,168
1498389652,170,170
1498390532,169,169
1498392360,172,172
1498393793,173,173
1498395416,174,174
1498398465,173,173
1498400140,174,174
1498401597,174,174
1498402675,173,173
1498403908,171,171
1498405276,170,170
1498407338,171,171
1498408221,169,169
1498409135,170,170
1498411079,171,171
1498412802,170,170
1498413659,169,169
1498418368,167,167
1498419997,165,165
1498421196,164,164
1498422842,164,164
1498424972,164,164
1498427257,165,165
1498428939,164,164
1498430309,165,165
1498432311,164,164
1498434068,162,162
1498436447,163,163
1498437953,161,161
1498439566,164,164
1498440638,163,163
1498441666,166,166
1498443533,166,166
1498445824,167,167
1498446925,169,169
1498447830,167,167
1498449927,166,166
1498451736,166,166
1498453831,165,165
1498454758,168,168
1498455765,170,170
1498457156,165,165
1498458046,166,166
1498458925,164,164
1498461333,166,166
1498462970,168,168
1498464863,167,167
1498467032,166,166
1498468461,165,165
1498469754,166,166
1498471023,167,167
1498471897,166,166
1498473120,166,166
1498474590,167,167
1498475662,164,164
1498476759,163,163
1498477795,166,166
1498479337,163,163
1498480542,163,163
1498481490,164,164
1498482710,164,164
1498483783,163,163
1498484806,168,168
1498486545,168,168
1498487615,165,165
1498490129,168,168
1498490984,169,169
1498492590,171,171
1498493435,167,167
1498496347,169,169
1498498176,167,167
1498499152,167,167
1498500117,163,163
1498500866,165,165
1498503568,165,165
1498506662,167,167
1498509115,166,166
1498509789,165,165
1498510610,166,166
1498511431,165,165
1498513047,166,166
1498515268,169,169
1498516230,170,170
1498517724,171,171
1498520571,171,171
1498522252,172,172
1498524171,171,171
1498525070,174,174
1498526138,171,171
1498527064,169,169
1498529450,170,170
1498531369,168,168
1498533061,169,169
1498534873,174,174
1498535726,176,176
1498536675,177,177
1498538760,177,177
1498539791,178,178
1498541722,178,178
1498543856,177,177
1498545787,177,177
1498547666,178,178
1498548665,180,180
1498550569,179,179
1498551280,180,180
1498552342,184,184
1498553524,187,187
1498554653,189,189
1498556582,180,180
1498557380,181,181
1498557700,178,178
1498558538,180,180
1498559377,179,179
1498561494,175,175
1498562383,176,176
1498563330,169,169
1498565466,171,171
1498566652,170,170
1498568711,169,169
1498570863,168,168
1498571782,169,169
1498572676,170,170
1498574779,170,170
1498575757,171,171
1498576777,172,172
1498578171,171,171
1498581010,172,172
1498583660,171,171
1498585613,172,172
1498587263,173,173
1498588268,174,174
1498590382,176,176
1498591258,176,176
1498592147,174,174
1498593093,175,175
1498595116,176,176
1498596052,175,175
1498597826,176,176
1498599651,178,178
1498601364,177,177
1498605030,178,178
1498606231,178,178
1498606975,179,179
1498608632,178,178
1498610575,175,175
1498612227,176,176
1498613427,178,178
1498615830,178,178
1498617034,177,177
1498617963,178,178
1498619658,177,177
1498620506,179,179
1498621300,179,179
1498622173,181,181
1498623032,182,182
1498624859,179,179
1498626635,179,179
1498627458,178,178
1498629324,179,179
1498630233,180,180
1498632188,180,180
1498633177,179,179
1498634102,179,179
1498635004,177,177
1498637438,181,181
1498638361,182,182
1498639268,183,183
1498640181,182,182
1498641038,181,181
1498642241,181,181
1498643167,182,182
1498644629,182,182
1498646559,181,181
1498648238,180,180
1498649076,181,181
1498650135,177,177
1498652071,177,177
1498653049,178,178
1498655096,175,175
1498656922,175,175
1498659036,173,173
1498660108,174,174
1498661164,173,173
1498662413,170,170
1498663249,171,171
1498665062,169,169
1498666229,168,168
1498667434,170,170
1498668364,170,170
1498669826,174,174
1498671739,172,172
1498672640,174,174
1498673613,172,172
1498674641,170,170
1498677039,175,175
1498678075,178,178
1498679130,178,178
1498680299,179,179
