DateTime,AddedIPs,RemovedIPs
1498004021,72,104
1498005286,90,79
1498006573,87,2
1498007716,80,89
1498009221,91,89
1498010725,101,108
1498011622,58,0
1498012095,44,0
1498013740,126,112
1498015164,100,99
1498016123,68,83
1498016940,53,0
1498018309,104,74
1498019721,82,65
1498021040,72,0
1498022116,63,78
1498023168,56,82
1498024515,101,1
1498025348,53,114
1498026625,81,81
1498027567,57,26
1498028183,36,0
1498029019,77,71
1498030818,161,92
1498032724,123,126
1498034571,114,75
1498036520,141,1
1498038138,115,283
1498040267,118,76
1498041932,96,113
1498042991,61,118
1498044024,79,0
1498045338,71,102
1498046178,62,0
1498047029,51,130
1498048098,84,0
1498049177,78,116
1498050284,148,115
1498051224,105,0
1498052328,56,111
1498053373,67,0
1498054828,88,110
1498055727,58,104
1498057442,112,116
1498059619,183,114
1498061075,95,110
1498062497,85,0
1498063433,56,106
1498064989,112,127
1498067774,192,125
1498068064,16,195
1498070043,125,169
1498071397,78,1
1498072223,55,0
1498073341,65,1
1498074161,58,342
1498075029,68,2
1498076173,71,105
1498077028,60,149
1498077932,66,0
1498078572,33,1
1498079417,49,148
1498081333,127,164
1498082175,39,2
1498083036,39,178
1498084217,55,167
1498085126,41,53
1498086852,98,113
1498088415,77,143
1498089373,32,0
1498090223,33,152
1498091294,47,1
1498092141,47,129
1498092969,33,0
1498093782,37,154
1498095231,52,138
1498096512,41,0
1498097433,27,141
1498098620,51,172
1498099522,34,0
1498100715,35,144
1498101628,23,1
1498102517,23,123
1498102933,13,0
1498104323,47,128
1498105682,52,0
1498106880,48,126
1498108452,40,173
1498109407,37,185
1498110137,19,0
1498111080,34,0
1498112120,20,135
1498113030,32,156
1498114343,38,0
1498115416,36,173
1498116417,19,0
1498118379,50,282
1498119621,28,12
1498120820,36,140
1498122616,55,180
1498122856,8,1
1498124532,48,142
1498125612,30,152
1498126820,35,11
1498128553,52,152
1498129408,36,157
1498136335,187,524
1498137385,68,11
1498138642,68,125
1498139753,56,0
1498140898,34,148
1498141870,59,152
1498145742,160,293
1498147626,117,141
1498148480,54,0
1498154088,316,477
1498155450,116,117
1498156316,104,132
1498158332,127,133
1498160319,112,376
1498162754,190,157
1498164021,114,130
1498165517,110,142
1498166475,71,3
1498167741,81,145
1498169791,136,140
1498170636,64,116
1498171536,53,1
1498172714,89,118
1498173619,64,1
1498174422,50,108
1498175772,96,2
1498176671,60,124
1498177724,63,1
1498178733,56,113
1498179841,80,125
1498180724,58,0
1498182135,92,122
1498184146,138,128
1498185022,53,115
1498185760,51,0
1498187655,148,105
