DateTime,Entries,UniqueIPs
1497815198,13220,13220
1497817181,13231,13231
1497817701,13267,13267
1497820219,13303,13303
1497823186,13411,13411
1497825027,13385,13385
1497827652,13385,13385
1497828660,13325,13325
1497829332,13371,13371
1497830172,13410,13410
1497831019,13357,13357
1497831916,13423,13423
1497832820,13365,13365
1497833772,13416,13416
1497834617,13347,13347
1497835661,13394,13394
1497836717,13353,13353
1497837915,13296,13296
1497838457,13328,13328
1497839294,13368,13368
1497841526,13268,13268
1497842858,13371,13371
1497845130,13275,13275
1497846040,13331,13331
1497851715,13282,13282
1497852622,13225,13225
1497852860,13237,13237
1497853819,13213,13213
1497854537,13269,13269
1497855918,13226,13226
1497856820,13281,13281
1497858145,13234,13234
1497860054,13222,13222
1497860989,13170,13170
1497861737,13226,13226
1497863660,13216,13216
1497864610,13141,13141
1497865522,13199,13199
1497866727,13147,13147
1497867628,13198,13198
1497869120,13156,13156
1497869777,13193,13193
1497870619,13127,13127
1497870854,13135,13135
1497872545,13125,13125
1497873375,13191,13191
1497874226,13132,13132
1497876138,13135,13135
1497878117,13122,13122
1497879022,13063,13063
1497879933,13118,13118
1497880577,13165,13165
1497881393,13108,13108
1497881659,13122,13122
1497882656,13094,13094
1497883519,13152,13152
1497884714,13072,13072
1497885628,13119,13119
1497886934,13118,13118
1497888316,13104,13104
1497889227,13166,13166
1497890540,13131,13131
1497891375,13178,13178
1497892220,13086,13086
1497893123,13154,13154
1497894335,13109,13109
1497895919,13143,13143
1497897025,13114,13114
1497897758,13177,13177
1497899643,13182,13182
1497900662,13159,13159
1497901337,13218,13218
1497902794,13201,13201
1497903904,13300,13300
1497904946,13294,13294
1497906320,13281,13281
1497907696,13394,13394
1497909373,13419,13419
1497910458,13425,13425
1497911415,13418,13418
1497912316,13507,13507
1497913516,13506,13506
1497915022,13536,13536
1497915733,13606,13606
1497916578,13677,13677
1497917426,13676,13676
1497918250,13753,13753
1497919346,13778,13778
1497921256,13795,13795
1497922220,13784,13784
1497922933,13825,13825
1497923731,13887,13887
1497924619,13894,13894
1497925637,13978,13978
1497926716,13955,13955
1497928453,14025,14025
1497929424,14050,14050
1497930133,14130,14130
1497930972,14209,14209
1497931816,14197,14197
1497933742,14225,14225
1497935653,14302,14302
1497936620,14302,14302
1497937527,14377,14377
1497938347,14355,14355
1497939323,14444,14444
1497940940,14459,14459
1497941778,14504,14504
1497942638,14467,14467
1497944111,14543,14543
1497946224,14606,14606
1497948144,14678,14678
1497950826,14777,14777
1497952482,14809,14809
1497953390,14798,14798
1497955339,14873,14873
1497958220,14907,14907
1497958969,14963,14963
1497960858,15010,15010
1497962423,15014,15014
1497964428,15053,15053
1497965422,15004,15004
1497966387,15056,15056
1497966974,15104,15104
1497967820,15071,15071
1497969109,15063,15063
1497969928,15136,15136
1497971643,15180,15180
1497972623,15178,15178
1497974723,15210,15210
1497975621,15275,15275
1497978011,15248,15248
1497978927,15323,15323
1497979840,15292,15292
1497980614,15358,15358
1497981918,15372,15372
1497982822,15445,15445
1497984285,15454,15454
1497984973,15519,15519
1497985800,15518,15518
1497986902,15591,15591
1497989142,15587,15587
1497990048,15857,15857
1497990917,15553,15553
1497991986,15635,15635
1497993322,15642,15642
1497994312,15623,15623
1497995124,15649,15649
1497995999,15697,15697
1497996809,15750,15750
1497997699,15816,15816
1497998761,15810,15810
1497999671,15782,15782
1498001716,15815,15815
1498002133,15839,15839
1498002976,15892,15892
1498004021,15860,15860
1498005286,15871,15871
1498006573,15956,15956
1498007716,15947,15947
1498009221,15949,15949
1498010725,15942,15942
1498011622,16000,16000
1498012095,16044,16044
1498013740,16058,16058
1498015164,16059,16059
1498016123,16044,16044
1498016940,16097,16097
1498018309,16127,16127
1498019721,16144,16144
1498021040,16216,16216
1498022116,16201,16201
1498023168,16175,16175
1498024515,16275,16275
1498025348,16214,16214
1498026625,16214,16214
1498027567,16245,16245
1498028183,16281,16281
1498029019,16287,16287
1498030818,16356,16356
1498032724,16353,16353
1498034571,16392,16392
1498036520,16532,16532
1498038138,16364,16364
1498040267,16406,16406
1498041932,16389,16389
1498042991,16332,16332
1498044024,16411,16411
1498045338,16380,16380
1498046178,16442,16442
1498047029,16363,16363
1498048098,16447,16447
1498049177,16409,16409
1498050284,16442,16442
1498051224,16547,16547
1498052328,16492,16492
1498053373,16559,16559
1498054828,16537,16537
1498055727,16491,16491
1498057442,16487,16487
1498059619,16556,16556
1498061075,16541,16541
1498062497,16626,16626
1498063433,16576,16576
1498064989,16561,16561
1498067774,16628,16628
1498068064,16449,16449
1498070043,16405,16405
1498071397,16482,16482
1498072223,16537,16537
1498073341,16601,16601
1498074161,16317,16317
1498075029,16383,16383
1498076173,16349,16349
1498077028,16260,16260
1498077932,16326,16326
1498078572,16358,16358
1498079417,16259,16259
1498081333,16222,16222
1498082175,16259,16259
1498083036,16120,16120
1498084217,16008,16008
1498085126,15996,15996
1498086852,15981,15981
1498088415,15915,15915
1498089373,15947,15947
1498090223,15828,15828
1498091294,15874,15874
1498092141,15792,15792
1498092969,15825,15825
1498093782,15708,15708
1498095231,15622,15622
1498096512,15663,15663
1498097433,15549,15549
1498098620,15428,15428
1498099522,15462,15462
1498100715,15353,15353
1498101628,15375,15375
1498102517,15275,15275
1498102933,15288,15288
1498104323,15207,15207
1498105682,15259,15259
1498106880,15181,15181
1498108452,15048,15048
1498109407,14900,14900
1498110137,14919,14919
1498111080,14953,14953
1498112120,14838,14838
1498113030,14714,14714
1498114343,14752,14752
1498115416,14615,14615
1498116417,14634,14634
1498118379,14402,14402
1498119621,14418,14418
1498120820,14314,14314
1498122616,14189,14189
1498122856,14196,14196
1498124532,14102,14102
1498125612,13980,13980
1498126820,14004,14004
1498128553,13904,13904
1498129408,13783,13783
1498136335,13446,13446
1498137385,13503,13503
1498138642,13446,13446
1498139753,13502,13502
1498140898,13388,13388
1498141870,13295,13295
1498145742,13162,13162
1498147626,13138,13138
1498148480,13192,13192
1498154088,13031,13031
1498155450,13030,13030
1498156316,13002,13002
1498158332,12996,12996
1498160319,12732,12732
1498162754,12765,12765
1498164021,12749,12749
1498165517,12717,12717
1498166475,12785,12785
1498167741,12721,12721
1498169791,12717,12717
1498170636,12665,12665
1498171536,12717,12717
1498172714,12688,12688
1498173619,12751,12751
1498174422,12693,12693
1498175772,12787,12787
1498176671,12723,12723
1498177724,12785,12785
1498178733,12728,12728
1498179841,12683,12683
1498180724,12741,12741
1498182135,12711,12711
1498184146,12721,12721
1498185022,12659,12659
1498185760,12710,12710
1498187655,12753,12753
1498189622,12758,12758
1498190726,12748,12748
1498191615,12804,12804
1498192494,12770,12770
1498193467,12793,12793
1498194314,12773,12773
1498195218,12859,12859
1498196139,12799,12799
1498197378,12903,12903
1498198818,12890,12890
1498200022,12726,12726
1498200972,12788,12788
1498201839,12766,12766
1498203021,12739,12739
1498203937,12800,12800
1498205115,12808,12808
1498206020,12875,12875
1498207362,12838,12838
1498208174,12895,12895
1498209042,12811,12811
1498210113,12889,12889
1498210954,12845,12845
1498211887,12912,12912
1498212918,12863,12863
1498213734,12909,12909
1498214722,12843,12843
1498215662,12799,12799
1498216539,12861,12861
1498217417,12782,12782
1498218340,12821,12821
1498219207,12737,12737
1498220118,12776,12776
1498221739,12606,12606
1498223161,12588,12588
1498224016,12631,12631
1498225352,12553,12553
1498226328,12533,12533
1498228283,12450,12450
1498229120,12477,12477
