DateTime,Entries,UniqueIPs
1495881937,149,149
1495888229,148,148
1495889784,149,149
1495890626,148,148
1495893736,144,144
1495902044,145,145
1495902950,146,146
1495904404,147,147
1495911941,148,148
1495920504,150,150
1495930839,151,151
1495950333,152,152
1495953936,153,153
1495955146,152,152
1495959026,151,151
1495966469,150,150
1495967461,151,151
1495969548,150,150
1495976754,149,149
1495980064,150,150
1495981836,149,149
1495987132,148,148
1495994746,149,149
1495996528,149,149
1496002002,150,150
1496003733,149,149
1496009666,149,149
1496010625,148,148
1496012743,148,148
1496016194,150,150
1496018334,150,150
1496019525,150,150
1496020536,150,150
1496023288,150,150
1496024384,150,150
1496025416,149,149
1496027127,150,150
1496034333,147,147
1496041496,148,148
1496042432,149,149
1496046629,148,148
1496048701,147,147
1496049268,148,148
1496054567,149,149
1496059533,148,148
1496063429,150,150
1496065356,151,151
1496068111,152,152
1496076149,152,152
1496077530,154,154
1496078430,155,155
1496082633,156,156
1496083551,155,155
1496084727,155,155
1496086833,156,156
1496089836,154,154
1496091538,155,155
1496092536,160,160
1496093438,164,164
1496094149,165,165
1496110835,166,166
1496113833,165,165
1496114990,164,164
1496117428,165,165
1496119531,166,166
1496126209,169,169
1496131175,168,168
1496141167,169,169
1496158106,170,170
1496160896,169,169
1496165742,169,169
1496173186,168,168
1496182467,169,169
1496184167,170,170
1496195220,169,169
1496196328,168,168
1496200233,167,167
1496209364,168,168
1496210749,168,168
1496221830,169,169
1496233791,168,168
1496244003,169,169
1496245247,170,170
1496248617,167,167
1496252552,166,166
1496253754,167,167
1496254598,168,168
1496260590,169,169
1496264901,167,167
1496265929,168,168
1496269827,172,172
1496286145,171,171
1496289940,170,170
1496292055,169,169
1496305836,170,170
1496339145,169,169
1496342567,168,168
1496344472,167,167
1496350075,169,169
1496376348,166,166
1496379947,161,161
1496382990,162,162
1496383788,163,163
1496387664,162,162
1496391023,164,164
1496402465,163,163
1496407960,165,165
1496410954,163,163
1496414444,164,164
1496421030,165,165
1496428231,164,164
1496429408,165,165
1496435437,164,164
1496439325,163,163
1496441146,162,162
1496443371,163,163
1496445329,164,164
1496449251,165,165
1496457945,164,164
1496459663,165,165
1496465146,166,166
1496466926,167,167
1496480708,168,168
1496486755,167,167
1496487926,165,165
1496490344,162,162
1496491283,161,161
1496492077,165,165
1496507578,164,164
1496512601,163,163
1496514630,164,164
1496519148,163,163
1496524464,162,162
1496526344,161,161
1496544350,160,160
1496549671,159,159
1496550631,157,157
1496552756,156,156
1496554844,155,155
1496556634,153,153
1496558573,151,151
1496561433,154,154
1496564073,153,153
1496569542,152,152
1496570757,148,148
1496575159,145,145
1496576197,143,143
1496578470,144,144
1496579416,144,144
1496586630,143,143
1496589652,144,144
1496593786,138,138
1496596468,140,140
1496601036,141,141
1496610631,142,142
1496614237,142,142
1496615164,143,143
1496617834,142,142
1496620130,142,142
1496627723,145,145
1496634131,143,143
1496637631,142,142
1496641345,143,143
1496642187,144,144
1496643028,145,145
1496647595,146,146
1496650229,145,145
1496655752,146,146
1496661633,147,147
1496662523,149,149
1496663519,151,151
1496675128,152,152
1496695476,151,151
1496713351,152,152
1496714735,153,153
1496716943,152,152
1496727744,152,152
1496732616,151,151
1496739838,151,151
1496743742,170,170
1496744658,178,178
1496745596,184,184
1496746431,185,185
1496747351,186,186
1496749189,187,187
1496751873,188,188
1496752947,187,187
1496754334,191,191
1496755236,192,192
1496756435,191,191
1496761523,192,192
1496772627,191,191
1496795725,185,185
1496801462,184,184
1496810543,181,181
1496811972,176,176
1496813372,174,174
1496823272,173,173
1496831436,172,172
1496837336,171,171
1496842873,170,170
1496848475,168,168
1496853037,170,170
1496858346,179,179
1496875356,178,178
1496878206,179,179
1496898386,176,176
1496904188,178,178
1496905084,179,179
1496916663,180,180
1496920818,179,179
1496921709,176,176
1496924097,174,174
1496928936,173,173
1496931031,173,173
1496933856,174,174
1496935703,175,175
1496937727,173,173
1496943749,172,172
1496950442,171,171
1496952378,169,169
1496954611,127,127
1496958155,126,126
1496962014,127,127
1496970930,126,126
1496984327,125,125
1496990830,126,126
1496993478,127,127
1497000815,126,126
1497003637,128,128
1497005939,127,127
1497012252,128,128
1497022326,124,124
1497025036,123,123
1497030035,125,125
1497033821,129,129
1497034613,131,131
1497037826,130,130
1497070003,131,131
1497071134,132,132
1497073000,130,130
1497107256,129,129
1497111644,128,128
1497113958,129,129
1497119742,128,128
1497125514,129,129
1497138174,129,129
1497149962,128,128
1497153140,130,130
1497155112,131,131
1497157165,137,137
1497158133,138,138
1497159382,139,139
1497166944,138,138
1497169228,139,139
1497174020,138,138
1497180774,137,137
1497192432,136,136
1497198933,134,134
1497200339,135,135
1497205269,130,130
1497213064,131,131
1497217349,130,130
1497218535,131,131
1497219651,131,131
1497220910,131,131
1497226471,130,130
1497228146,131,131
1497230435,133,133
1497232190,133,133
1497240300,133,133
1497244832,132,132
1497251733,132,132
1497257968,133,133
1497260572,135,135
1497270935,136,136
1497273273,135,135
1497274950,136,136
1497282290,136,136
1497283359,136,136
1497285641,137,137
1497289129,135,135
1497290144,139,139
1497291277,140,140
1497297727,139,139
1497298842,140,140
1497300223,141,141
1497303968,140,140
1497305171,139,139
1497317435,138,138
1497327174,137,137
1497328538,136,136
1497352542,137,137
1497366351,136,136
1497375345,137,137
1497391812,136,136
1497397393,137,137
1497401141,138,138
1497411061,137,137
1497417066,136,136
1497426877,135,135
1497428849,139,139
1497433276,138,138
1497439532,139,139
1497459965,135,135
1497468187,140,140
1497471033,139,139
1497473144,140,140
1497481887,141,141
1497485434,142,142
1497487616,141,141
1497488792,142,142
1497496883,143,143
1497509203,143,143
1497514603,144,144
1497515694,143,143
1497517153,144,144
1497521252,145,145
1497528400,144,144
1497536203,145,145
1497548818,146,146
1497550385,145,145
1497551454,144,144
1497558782,145,145
1497560280,146,146
1497562956,148,148
1497563841,149,149
1497565069,155,155
1497566136,159,159
1497570154,160,160
1497582054,161,161
1497593844,160,160
1497598263,159,159
1497606455,160,160
1497609039,159,159
1497616910,158,158
1497626157,157,157
1497629628,158,158
1497631715,159,159
1497638692,158,158
1497642362,154,154
1497663483,155,155
1497683664,162,162
1497687729,161,161
1497690298,163,163
1497702524,167,167
1497705268,168,168
1497707138,166,166
1497723846,165,165
1497728750,164,164
1497747563,163,163
1497753300,162,162
1497762804,163,163
1497766846,162,162
1497772260,161,161
1497776872,160,160
1497788737,160,160
1497791078,159,159
1497791891,161,161
1497810532,160,160
1497817721,161,161
1497820237,158,158
1497825046,158,158
1497827664,158,158
1497834635,160,160
1497837930,161,161
1497845143,162,162
1497851727,160,160
1497852638,159,159
1497854553,160,160
1497855935,159,159
1497858159,160,160
1497860069,158,158
1497872572,155,155
1497873392,157,157
1497874250,158,158
1497879955,158,158
1497884736,156,156
1497886946,156,156
1497888332,158,158
1497895933,157,157
1497903927,158,158
1497904964,159,159
1497907249,160,160
1497924634,159,159
1497933759,165,165
1497935665,166,166
1497942692,167,167
1497958262,166,166
1497960876,166,166
1497962450,165,165
1497967852,164,164
1497971669,165,165
1497978101,164,164
1497989220,163,163
1497998800,162,162
1498004034,161,161
1498007739,160,160
1498018350,159,159
1498025404,158,158
1498029036,157,157
1498030844,158,158
1498038156,159,159
1498054865,160,160
1498057470,159,159
1498075065,160,160
1498089328,161,161
1498090307,160,160
1498092212,159,159
1498098637,158,158
1498102574,157,157
1498104372,156,156
1498106937,158,158
1498108464,159,159
1498112138,160,160
1498113057,159,159
1498125701,160,160
1498136347,159,159
1498138653,160,160
1498145761,158,158
1498160331,157,157
1498195296,159,159
1498203047,161,161
1498205131,159,159
1498208217,158,158
1498215738,157,157
1498221757,156,156
1498232484,155,155
1498246992,154,154
1498252327,153,153
1498253319,154,154
1498257370,153,153
1498279084,152,152
1498293762,153,153
1498297103,152,152
1498303838,152,152
1498315064,151,151
1498322281,150,150
1498329746,151,151
1498336788,152,152
1498360826,151,151
1498363523,149,149
1498370358,149,149
1498379513,147,147
1498383328,148,148
1498386089,149,149
1498387548,150,150
1498390536,159,159
1498400145,160,160
1498401615,158,158
1498407342,160,160
1498421200,159,159
1498422867,160,160
1498424996,161,161
1498428943,161,161
1498430335,161,161
1498437961,160,160
1498440642,159,159
1498443610,158,158
1498453834,158,158
1498458061,159,159
1498464868,158,158
1498468466,158,158
1498469759,157,157
1498473129,157,157
1498483787,156,156
1498490133,155,155
1498503572,154,154
1498507855,153,153
1498510614,152,152
1498517727,151,151
1498520583,151,151
1498524185,150,150
1498529453,149,149
1498541726,148,148
1498550579,147,147
1498552357,146,146
1498556597,147,147
1498559392,135,135
1498562387,137,137
1498567874,138,138
1498577734,139,139
1498578185,138,138
1498581029,137,137
1498585618,136,136
1498597829,137,137
1498613431,136,136
1498615833,135,135
1498617976,136,136
1498642247,135,135
1498646564,134,134
1498661182,132,132
1498663714,130,130
1498665066,132,132
1498666233,135,135
1498668373,134,134
1498698869,135,135
1498715000,136,136
1498715794,137,137
1498716872,138,138
