DateTime,Entries,UniqueIPs
1498154108,51924,51924
1498154707,51907,51907
1498155306,51887,51887
1498155906,51892,51892
1498156507,51865,51865
1498157108,51862,51862
1498157706,51948,51948
1498158306,52044,52044
1498158907,52041,52041
1498159508,51990,51990
1498160108,51985,51985
1498160707,51989,51989
1498161309,51984,51984
1498161959,51143,51143
1498162808,48616,48616
1498163139,47978,47978
1498163768,46811,46811
1498164308,46789,46789
1498164907,46782,46782
1498165506,46775,46775
1498166107,46749,46749
1498166707,46764,46764
1498167307,46745,46745
1498167908,46732,46732
1498168507,46701,46701
1498169106,46700,46700
1498169708,46775,46775
1498170306,46763,46763
1498170908,46743,46743
1498171507,46738,46738
1498172108,46719,46719
1498172707,46704,46704
1498173306,46698,46698
1498173907,46673,46673
1498174506,46656,46656
1498175107,46642,46642
1498175710,46643,46643
1498176306,46662,46662
1498176906,46641,46641
1498177514,46625,46625
1498178113,46595,46595
1498178709,46563,46563
1498179346,46463,46463
1498179910,46441,46441
1498180812,46371,46371
1498181408,46356,46356
1498182009,24771,24771
1498182609,46270,46270
1498183207,46262,46262
1498183807,46254,46254
1498184408,46233,46233
1498185007,46231,46231
1498185607,46228,46228
1498186206,46218,46218
1498186825,46211,46211
1498187406,46213,46213
1498188013,32429,32429
1498189220,39365,39365
1498190447,46157,46157
1498191008,46110,46110
1498191606,46106,46106
1498192206,46101,46101
1498192806,46095,46095
1498193408,46094,46094
1498194006,46094,46094
1498194607,46072,46072
1498195206,46052,46052
1498195808,46016,46016
1498196407,46002,46002
1498197006,45978,45978
1498197607,45962,45962
1498198208,45960,45960
1498198812,40946,40946
1498199407,45855,45855
1498200006,45869,45869
1498200608,45841,45841
1498201207,45846,45846
1498201812,45812,45812
1498202407,45900,45900
1498203007,45853,45853
1498203606,45847,45847
1498204207,45807,45807
1498204807,45824,45824
1498205407,45818,45818
1498206007,45806,45806
1498206311,45770,45770
1498206906,45763,45763
1498207507,47391,47391
1498208106,47391,47391
1498208708,47362,47362
1498209015,47340,47340
