DateTime,Entries,UniqueIPs
1496096883,6829,6829
1496102643,6820,6820
1496110323,6817,6817
1496116084,6796,6796
1496121844,6795,6795
1496125683,6803,6803
1496129523,6811,6811
1496133603,6822,6822
1496141523,6838,6838
1496147283,6842,6842
1496153283,6860,6860
1496159283,6890,6890
1496165044,6887,6887
1496170820,6889,6889
1496176563,6874,6874
1496180403,6859,6859
1496186644,6836,6836
1496192418,6819,6819
1496198405,6820,6820
1496202244,6795,6795
1496204404,6805,6805
1496210165,6794,6794
1496215924,6808,6808
1496219764,6804,6804
1496225524,6804,6804
1496229363,6828,6828
1496235365,6837,6837
1496237288,6839,6839
1496241123,6841,6841
1496247123,6885,6885
1496250963,6902,6902
1496254806,6881,6881
1496260564,6880,6880
1496266323,6880,6880
1496271123,6818,6818
1496276883,6836,6836
1496280723,6851,6851
1496290323,6852,6852
1496296082,6846,6846
1496299922,6867,6867
1496301844,6861,6861
1496305683,6873,6873
1496309763,6880,6880
1496315523,6891,6891
1496321283,6900,6900
1496323203,6901,6901
1496327044,6911,6911
1496332332,6932,6932
1496334966,6908,6908
1496339525,6952,6952
1496345046,6953,6953
1496353206,6951,6951
1496358016,6907,6907
1496364243,6903,6903
1496372644,6903,6903
1496376483,6890,6890
1496382245,6886,6886
1496384163,6891,6891
1496389924,6910,6910
1496394044,6913,6913
1496396165,6890,6890
1496403844,6898,6898
1496411526,6889,6889
1496415844,6882,6882
1496419683,6894,6894
1496423524,6915,6915
1496429284,6943,6943
1496438884,6924,6924
1496444884,6899,6899
1496452563,6905,6905
1496460247,6877,6877
1496463364,6866,6866
1496469618,6867,6867
1496472964,6890,6890
1496478724,6897,6897
1496482805,6923,6923
1496489284,6924,6924
1496497923,6941,6941
1496505616,6968,6968
1496509683,6975,6975
1496517603,6962,6962
1496521685,6947,6947
1496525523,6936,6936
1496529363,6928,6928
1496531283,6924,6924
1496538963,6926,6926
1496544723,6921,6921
1496550484,6917,6917
1496556484,6903,6903
1496564163,6920,6920
1496571845,6948,6948
1496575684,6954,6954
1496585284,6975,6975
1496589124,6980,6980
1496594884,6980,6980
1496596804,6988,6988
1496604483,7003,7003
1496608323,6981,6981
1496612164,6969,6969
1496616004,6946,6946
1496623684,6943,6943
1496631618,6964,6964
1496635444,6929,6929
1496639284,6925,6925
1496645044,6928,6928
1496648884,6923,6923
1496654645,6959,6959
1496664244,6969,6969
1496668084,6994,6994
1496673844,6990,6990
1496683450,6995,6995
1496689215,6995,6995
1496696883,6985,6985
1496704564,6947,6947
1496706483,6942,6942
1496712245,6915,6915
1496718015,6913,6913
1496725684,6920,6920
1496733364,6936,6936
1496737206,6944,6944
1496741045,6961,6961
1496746813,6975,6975
1496754488,6972,6972
1496762407,7018,7018
1496770324,7005,7005
1496774163,7031,7031
1496783763,7034,7034
1496787605,6984,6984
1496793365,6937,6937
1496797217,6920,6920
1496804884,6927,6927
1496808726,6912,6912
1496814723,6916,6916
1496820724,6932,6932
1496824564,6942,6942
1496828407,6948,6948
1496832244,6963,6963
1496836323,6962,6962
1496838247,6972,6972
1496845924,6967,6967
1496850005,6970,6970
1496853844,6974,6974
1496859844,7040,7040
1496863684,7034,7034
1496867524,7032,7032
1496871364,7010,7010
1496875208,7001,7001
1496877123,6988,6988
1496880963,6971,6971
1496888644,6956,6956
1496890564,6949,6949
1496898244,6936,6936
1496905924,6960,6960
1496911683,6930,6930
1496915523,6931,6931
1496923219,6966,6966
1496930883,6965,6965
1496936644,6962,6962
1496940483,6986,6986
1496946244,6988,6988
1496952011,7013,7013
1496958005,7000,7000
1496961844,6968,6968
1496963764,6960,6960
1496971443,6961,6961
1496973364,6927,6927
1496979124,6907,6907
1496984883,6907,6907
1496988723,6923,6923
1496992563,6916,6916
1497002164,6930,6930
1497010084,6947,6947
1497015844,6941,6941
1497019683,6954,6954
1497025445,6984,6984
1497033124,6991,6991
1497036964,6988,6988
1497042723,6997,6997
1497048484,6944,6944
1497056164,6956,6956
1497061923,6960,6960
1497063842,6941,6941
1497069605,6933,6933
1497075363,6945,6945
1497079204,6944,6944
1497084964,6960,6960
1497090724,6977,6977
1497098404,6993,6993
1497106084,7016,7016
1497111845,7004,7004
1497115683,6998,6998
1497121444,6992,6992
1497127206,6967,6967
1497135123,6913,6913
1497140884,6934,6934
1497148563,6938,6938
1497150485,6910,6910
1497154326,6899,6899
1497162004,6908,6908
1497163923,6936,6936
1497169684,6935,6935
1497175445,6954,6954
1497179283,6961,6961
1497185044,6972,6972
1497186963,6973,6973
1497192723,6988,6988
1497198724,6983,6983
1497200646,7000,7000
1497206406,6999,6999
1497212164,6998,6998
1497218165,6987,6987
1497222243,6936,6936
1497226084,6945,6945
1497231844,6921,6921
1497241684,6907,6907
1497245524,6904,6904
1497249605,6924,6924
1497257523,6943,6943
1497263523,6945,6945
1497269523,6953,6953
1497277206,6963,6963
1497281043,6966,6966
1497286816,6980,6980
1497292808,6985,6985
1497298803,7002,7002
1497306723,6987,6987
1497310563,6948,6948
1497318483,6941,6941
1497320405,6951,6951
1497324244,6932,6932
1497328084,6920,6920
1497331923,6918,6918
1497335764,6927,6927
1497341523,6938,6938
1497345363,6940,6940
1497349206,6943,6943
1497354965,6963,6963
1497360730,6957,6957
1497366484,6976,6976
1497374163,6975,6975
1497380165,6986,6986
1497382084,6996,6996
1497389763,6991,6991
1497395764,6939,6939
1497401523,6957,6957
1497405364,6937,6937
1497409214,6930,6930
1497414963,6926,6926
1497420724,6925,6925
1497426484,6947,6947
1497432244,6939,6939
1497438017,6968,6968
1497445684,6967,6967
1497449523,6991,6991
1497455283,7022,7022
1497465131,6992,6992
1497468964,6998,6998
1497470884,7002,7002
1497474723,6998,6998
1497478807,6953,6953
1497482884,6935,6935
1497486723,6936,6936
1497490563,6917,6917
1497492483,6919,6919
1497500163,6906,6906
1497505923,6910,6910
1497513617,6928,6928
1497521523,6941,6941
1497525363,6948,6948
1497533045,6961,6961
1497538814,6969,6969
1497544807,6977,6977
1497548645,6992,6992
1497552493,7008,7008
1497556323,7003,7003
1497560164,6993,6993
1497567844,6917,6917
1497575524,6918,6918
1497577443,6922,6922
1497583204,6903,6903
1497587044,6886,6886
1497590883,6885,6885
1497596643,6894,6894
1497602406,6911,6911
1497604324,6909,6909
1497608163,6906,6906
1497616085,6931,6931
1497619924,6947,6947
1497623763,6953,6953
1497627605,6955,6955
1497629765,6964,6964
1497633610,6969,6969
1497637683,6962,6962
1497643447,6949,6949
1497651366,6948,6948
1497659045,6934,6934
1497665043,6914,6914
1497668889,6905,6905
1497674643,6894,6894
1497682564,6920,6920
1497686414,6928,6928
1497690244,6956,6956
1497694084,6960,6960
1497697925,6967,6967
1497703924,6990,6990
1497709685,6990,6990
1497715444,6988,6988
1497723124,6996,6996
1497729124,6966,6966
1497736818,6958,6958
1497738964,6933,6933
1497744724,6928,6928
1497752403,6917,6917
1497758165,6917,6917
1497764164,6898,6898
1497768004,6925,6925
1497774004,6936,6936
1497777844,6949,6949
1497781924,6951,6951
1497785763,6954,6954
1497787684,6962,6962
1497793444,6972,6972
1497799444,6975,6975
1497807363,6982,6982
1497813126,6982,6982
1497817206,6973,6973
1497821286,6982,6982
1497825127,6956,6956
1497830884,6921,6921
1497837123,6908,6908
1497839043,6911,6911
1497844816,6886,6886
1497850563,6880,6880
1497854403,6910,6910
1497858244,6912,6912
1497862084,6941,6941
1497867844,6927,6927
1497873615,6912,6912
1497875525,6914,6914
1497881285,6931,6931
1497887045,6941,6941
1497894724,6961,6961
1497898817,6965,6965
1497907208,6968,6968
1497912964,6911,6911
1497920647,6890,6890
1497926404,6900,6900
1497928324,6888,6888
1497932406,6884,6884
1497940085,6904,6904
1497945844,6906,6906
1497953524,6916,6916
1497961220,6913,6913
1497967218,6931,6931
1497971050,6960,6960
1497975128,6951,6951
1497978966,6952,6952
1497980884,6968,6968
1497984724,6992,6992
1497988565,7000,7000
1497994563,7006,7006
1497998405,6978,6978
1498002243,6955,6955
1498008243,6932,6932
1498014012,6915,6915
1498021684,6915,6915
1498029605,6923,6923
1498033444,6946,6946
1498037525,6932,6932
1498047367,6945,6945
1498053125,6963,6963
1498059123,6960,6960
1498064885,6961,6961
1498070645,6975,6975
1498074484,6977,6977
1498082426,6948,6948
1498088164,6917,6917
1498094164,6901,6901
1498098004,6916,6916
1498103764,6902,6902
1498105683,6888,6888
1498111445,6914,6914
1498119124,6919,6919
1498123209,6917,6917
1498129220,6925,6925
1498134963,6934,6934
1498136884,6953,6953
1498144806,6968,6968
1498150816,6962,6962
1498156564,6975,6975
1498162331,6963,6963
1498166164,6963,6963
1498170005,6945,6945
1498173844,6917,6917
1498177924,6931,6931
1498183684,6929,6929
1498193523,6885,6885
1498195684,6877,6877
1498199523,6896,6896
1498203364,6904,6904
1498207204,6913,6913
1498211284,6916,6916
1498213206,6940,6940
1498217044,6938,6938
1498222817,6966,6966
1498228807,6958,6958
1498236484,6978,6978
1498242245,6982,6982
1498246325,6988,6988
1498252084,6975,6975
1498255924,6932,6932
1498263843,6934,6934
1498269843,6914,6914
1498273927,6906,6906
1498277764,6887,6887
1498283524,6878,6878
1498287617,6917,6917
1498295285,6942,6942
1498299363,6953,6953
1498307284,6948,6948
1498313045,6953,6953
1498320963,6956,6956
1498325044,6938,6938
1498330815,6951,6951
1498337044,6959,6959
1498342804,6937,6937
1498348564,6917,6917
1498354324,6900,6900
1498362004,6869,6869
1498365843,6859,6859
1498394643,6941,6941
1498396564,6954,6954
1498404243,6966,6966
1498410015,6972,6972
1498411924,6969,6969
1498417683,6960,6960
1498421523,6952,6952
1498429684,6901,6901
1498433525,6865,6865
1498435443,6879,6879
1498441206,6853,6853
1498445043,6838,6838
1498450803,6828,6828
1498456564,6837,6837
1498464244,6846,6846
1498470005,6860,6860
1498477923,6871,6871
1498479843,6868,6868
1498483683,6868,6868
1498487524,6872,6872
1498491364,6878,6878
1498498565,6888,6888
1498502408,6895,6895
1498505524,6907,6907
1498510323,6905,6905
1498514419,6897,6897
1498522083,6858,6858
1498527844,6841,6841
1498533603,6836,6836
1498539366,6821,6821
1498545123,6827,6827
1498548963,6838,6838
1498550887,6856,6856
1498556643,6859,6859
1498562644,6877,6877
1498568417,6885,6885
1498576084,6887,6887
1498578007,6883,6883
1498581844,6891,6891
1498585684,6906,6906
1498593366,6898,6898
1498597221,6869,6869
1498602964,6852,6852
1498606803,6821,6821
1498610643,6802,6802
1498616886,6804,6804
1498620725,6791,6791
1498624803,6766,6766
1498632724,6796,6796
1498640884,6823,6823
1498646644,6822,6822
1498654323,6841,6841
1498660083,6837,6837
1498665843,6827,6827
1498671607,6849,6849
1498679283,6839,6839
1498685052,6826,6826
1498687221,6816,6816
1498694883,6775,6775
1498700643,6770,6770
1498704724,6761,6761
1498710724,6733,6733
1498718404,6757,6757
1498724164,6762,6762
1498730643,6771,6771
1498734484,6775,6775
1498740244,6787,6787
1498744084,6801,6801
1498749844,6806,6806
1498753684,6827,6827
