DateTime,AddedIPs,RemovedIPs
1497673251,18,28
1497677051,49,54
1497678970,40,47
1497681176,25,37
1497683068,33,0
1497684981,37,36
1497686909,28,32
1497688854,25,34
1497690772,31,33
1497692658,21,27
1497694585,22,38
1497696506,23,0
1497698454,25,30
1497702260,28,44
1497704193,20,26
1497706114,30,26
1497708092,33,25
1497711781,24,42
1497713775,25,24
1497715691,28,0
1497717634,22,0
1497719562,17,11
1497721447,5,20
1497723389,10,15
1497725317,12,5
1497727287,19,0
1497729183,20,4
1497731071,28,22
1497732988,25,14
1497734911,23,22
1497736985,19,19
1497739028,17,23
1497740923,17,23
1497742819,21,29
1497744844,18,20
1497746666,23,22
1497748624,22,13
1497750515,22,30
1497756264,27,76
1497758188,16,38
1497760104,25,18
1497762109,27,0
1497764218,22,49
1497766118,17,40
1497768050,21,25
1497769978,29,30
1497771862,19,36
1497774067,30,31
1497777870,37,65
1497779793,24,18
1497783879,19,45
1497787718,15,20
1497789659,20,27
1497791565,11,20
1497793455,22,30
1497795662,14,26
1497799471,20,24
1497801388,11,23
1497803584,23,29
1497805482,11,25
1497807396,12,12
1497809326,6,5
1497813181,17,21
1497815069,28,17
1497817272,23,23
1497821323,17,59
1497823382,22,0
1497825650,28,33
1497827568,20,20
1497829458,24,23
1497831390,23,19
1497835264,22,45
1497837161,14,23
1497839060,15,0
1497840976,23,0
1497842896,29,25
1497844941,24,20
1497848671,26,53
1497850586,23,0
1497852520,20,44
1497854435,17,0
1497856378,28,23
1497858262,28,25
1497860239,37,25
1497862115,33,29
1497864060,34,0
1497865970,43,37
1497867872,34,25
1497869785,37,0
1497871714,45,18
1497873745,24,0
1497875568,32,22
1497879394,20,32
1497885162,16,45
1497887097,22,19
1497889000,14,14
1497890919,19,16
1497892867,15,11
1497894798,7,14
1497896918,11,10
1497898955,15,0
1497900783,11,15
1497903433,23,25
1497905309,24,21
1497907265,18,0
1497909148,17,16
1497911070,25,17
1497913010,21,28
1497914941,18,15
1497916875,24,18
1497918759,19,23
1497920675,15,0
1497922619,16,20
1497924534,16,22
1497926434,19,16
1497928351,18,24
1497930271,21,26
1497932471,22,25
1497934348,21,0
1497936265,26,31
1497938220,37,25
1497940134,31,18
1497942064,21,15
1497943953,19,30
1497947818,22,68
1497949697,18,31
