DateTime,Entries,UniqueIPs
1497657810,4981,5070
1497659771,4990,5079
1497661704,4990,5079
1497663647,5003,5092
1497665572,5005,5095
1497667460,5018,5108
1497669414,5017,5107
1497671316,5015,5105
1497673251,5017,5107
1497677051,5037,5128
1497678970,5040,5131
1497681176,5011,5104
1497683068,5028,5124
1497684981,5040,5136
1497686909,5014,5108
1497688854,5010,5104
1497690772,5019,5112
1497692658,5031,5125
1497694585,5013,5106
1497696506,5032,5125
1497698454,5022,5113
1497702260,5030,5121
1497704193,5028,5118
1497706114,5040,5130
1497708092,5053,5142
1497711781,5051,5140
1497713775,5051,5140
1497715691,5069,5158
1497717634,5070,5158
1497719562,5074,5163
1497721447,5068,5157
1497723389,5069,5158
1497725317,5072,5161
1497727287,5078,5167
1497729183,5087,5177
1497731071,5096,5186
1497732988,5105,5195
1497734911,5112,5201
1497736985,5114,5203
1497739028,5116,5204
1497740923,5117,5205
1497742819,5121,5209
1497744844,5121,5209
1497746666,5114,5201
1497748624,5116,5203
1497750515,5119,5206
1497756264,5082,5167
1497758188,5083,5168
1497760104,5083,5168
1497762109,5088,5173
1497764218,5082,5166
1497766118,5075,5159
1497768050,5073,5156
1497769978,5092,5176
1497771862,5084,5167
1497774067,5087,5171
1497777870,5088,5172
1497779793,5061,5145
1497783879,5045,5128
1497787718,5040,5123
1497789659,5032,5115
1497791565,5028,5111
1497793455,5029,5113
1497795662,5012,5096
1497799471,5003,5087
1497801388,5012,5096
1497803584,5006,5087
1497805482,5009,5090
1497807396,5016,5097
1497809326,5013,5094
1497813181,5018,5099
1497815069,5029,5110
1497817272,5043,5124
1497821323,5057,5138
1497823382,5056,5138
1497825650,5060,5141
1497827568,5057,5138
1497829458,5051,5133
1497831390,5058,5140
1497835264,5036,5118
1497837161,5029,5112
1497839060,5019,5102
1497840976,5016,5098
1497842896,5031,5113
1497844941,5032,5115
1497848671,5024,5107
1497850586,5019,5101
1497852520,5003,5085
1497854435,4988,5070
1497856378,4993,5075
1497858262,5016,5098
1497860239,5041,5124
1497862115,5047,5130
1497864060,5055,5138
1497865970,5060,5144
1497867872,5056,5141
1497869785,5067,5154
1497871714,5077,5164
1497873745,5081,5167
1497875568,5085,5171
1497879394,5074,5160
1497885162,5046,5132
1497887097,5055,5140
1497889000,5052,5136
1497890919,5052,5136
1497892867,5056,5140
1497894798,5050,5134
1497896918,5053,5137
1497898955,5058,5142
1497900783,5057,5142
1497903433,5064,5149
1497905309,5071,5156
1497907265,5075,5159
1497909148,5076,5160
1497911070,5090,5174
1497913010,5090,5174
1497914941,5085,5169
1497916875,5090,5174
1497918759,5092,5177
1497920675,5102,5187
1497922619,5113,5198
