DateTime,AddedIPs,RemovedIPs
1497546070,28,32
1497547936,33,28
1497550119,39,31
1497552040,18,43
1497553950,29,19
1497555863,58,22
1497557792,56,52
1497559706,51,58
1497561644,55,55
1497563579,51,57
1497565460,51,51
1497567399,57,48
1497569321,56,59
1497573135,50,55
1497575312,40,50
1497577240,52,41
1497579156,60,54
1497581050,43,59
1497583256,44,43
1497585191,55,43
1497587068,56,52
1497588989,52,58
1497590918,64,58
1497594031,59,62
1497596895,58,58
1497598847,57,57
1497600766,54,57
1497602658,61,55
1497604581,46,54
1497606507,63,50
1497610363,53,64
1497612251,42,54
1497614170,47,37
1497617062,53,47
1497618995,44,50
1497620916,42,47
1497622860,39,46
1497624786,42,42
1497626671,42,41
1497631957,27,39
1497634105,33,31
1497636102,28,33
1497637971,14,27
1497642049,17,12
1497643971,51,18
1497645864,35,48
1497647784,42,37
1497649699,45,41
1497651891,43,44
1497653780,51,40
1497655703,39,49
1497657810,45,44
1497659771,43,46
1497661704,35,41
1497663647,47,35
1497665572,52,50
1497667460,55,45
1497669414,37,55
1497671316,61,43
1497673251,41,54
1497677051,68,52
1497678970,57,62
1497681176,52,64
1497683068,51,48
1497684981,56,53
1497686909,52,54
1497688854,45,53
1497690772,58,43
1497692658,50,58
1497694585,46,41
1497696506,48,45
1497698454,43,54
1497702260,50,44
1497704193,46,49
1497706114,47,44
1497708092,51,51
1497711781,47,52
1497713775,52,52
1497715691,51,47
1497717634,46,50
1497719562,37,52
1497721447,17,37
1497723389,19,18
1497725317,24,18
1497727287,39,24
1497729183,50,34
1497731071,41,53
1497732988,47,42
1497734911,45,42
1497736985,47,44
1497739028,31,50
1497740923,44,30
1497742819,50,47
1497744844,50,49
1497746666,46,44
1497748624,50,49
1497750515,50,54
1497756264,53,49
1497758188,41,51
1497760104,48,39
1497762109,37,52
1497764218,53,38
1497766118,40,53
1497768050,44,40
1497769978,59,44
1497771862,45,56
1497774067,56,46
1497777870,58,58
1497779793,45,57
1497783879,43,44
1497787718,42,41
1497789659,47,47
1497791565,38,43
1497793455,47,39
1497795662,45,44
1497799471,43,47
1497801388,37,40
1497803584,37,40
1497805482,33,43
1497807396,39,32
1497809326,24,36
1497813181,50,25
1497815069,43,39
1497817272,46,54
1497821323,37,45
1497823382,37,36
1497825650,56,36
1497827568,44,54
1497829458,53,46
1497831390,47,50
1497835264,53,48
1497837161,48,55
1497839060,47,50
1497840976,48,42
1497842896,48,46
1497844941,49,51
1497848671,52,51
1497850586,46,52
1497852520,41,46
1497854435,30,44
1497856378,53,28
1497858262,46,53
1497860239,46,42
1497862115,56,53
1497864060,49,55
1497865970,66,52
1497867872,45,66
1497869785,58,46
1497871714,62,57
1497873745,34,61
1497875568,43,35
1497879394,42,41
1497885162,39,34
1497887097,33,35
1497889000,27,41
1497890919,45,30
1497892867,30,43
1497894798,15,32
1497896918,22,18
1497898955,28,23
1497900783,24,22
1497903433,46,22
1497905309,55,42
1497907265,45,56
1497909148,44,47
1497911070,52,45
1497913010,42,52
1497914941,48,44
1497916875,54,49
1497918759,42,49
1497920675,41,46
1497922619,46,42
1497924534,39,34
1497926434,47,41
1497928351,45,47
1497930271,40,45
1497932471,47,47
1497934348,49,49
1497936265,57,52
1497938220,59,56
1497940134,52,56
1497942064,41,45
1497943953,46,45
1497947818,41,55
1497949697,46,38
1497951618,39,41
1497953552,43,39
1497955459,55,47
1497957404,46,50
1497959331,40,46
1497961260,37,37
1497963430,30,38
1497965346,39,38
1497967353,50,37
1497969165,39,46
1497971085,53,42
1497973013,42,51
1497975199,33,46
1497977079,53,31
1497979020,49,56
1497982840,38,48
1497984788,43,37
1497986669,52,46
1497988618,35,50
1497990526,41,32
1497992684,35,45
1497994622,36,36
1497996966,55,37
1497998923,51,50
1498000827,50,46
1498002746,52,50
1498004648,51,56
1498006618,46,50
1498008518,43,51
1498010466,56,44
1498012339,54,49
1498014171,45,57
1498016430,34,43
1498018407,53,38
1498022181,53,53
1498024099,58,51
1498026043,45,57
1498029858,43,46
1498031770,53,44
1498033704,50,54
1498035686,60,46
1498037587,47,63
1498039715,56,44
1498041654,57,54
1498043573,42,56
1498045506,39,46
1498047397,40,36
1498049309,43,39
1498051282,40,43
1498053175,32,37
1498055333,47,40
1498059373,48,45
1498061291,50,44
1498063244,44,51
1498065170,44,45
1498067060,40,46
1498070931,51,46
1498074737,47,50
1498076653,46,45
1498078623,55,43
1498080541,40,50
1498082519,42,45
1498084352,38,43
1498086287,45,33
1498088218,47,48
1498090147,51,51
1498092028,51,52
1498094237,48,42
1498096144,49,56
1498098036,50,43
1498099987,48,53
1498101858,53,52
1498103807,40,47
1498105723,36,35
1498107705,40,42
1498109549,51,45
1498111470,44,48
1498113466,43,44
1498115380,48,43
1498117232,50,51
1498119150,53,45
1498121050,53,58
1498123276,52,52
1498125183,44,54
1498127068,43,35
1498129386,41,49
1498131374,39,34
1498133290,51,41
1498135245,35,63
1498137173,52,34
1498139058,51,45
1498142911,49,51
1498146794,43,50
1498148661,42,40
1498150989,43,45
1498153004,49,42
1498154929,38,50
1498157068,47,38
1498160942,38,43
1498162880,46,41
1498164788,31,48
1498166679,40,33
1498168617,42,38
1498170540,57,41
1498172577,57,57
1498174626,55,52
1498176525,51,56
1498178454,55,53
1498180460,52,51
1498182261,39,51
1498184180,40,43
1498186101,53,42
1498188040,50,56
1498189936,37,43
1498192112,36,39
1498194125,43,37
1498195965,53,45
1498198116,35,53
1498200054,46,37
1498201980,57,49
1498203863,66,49
1498205788,43,69
1498207725,53,43
1498209617,65,55
1498211561,45,65
1498213451,52,42
1498215402,47,49
1498217335,50,51
1498219280,47,50
1498222947,45,43
1498226928,45,48
1498228818,44,44
1498230737,43,45
1498232649,34,48
1498234620,50,31
1498236531,43,44
1498238448,41,41
1498242252,45,43
1498244207,53,55
1498246388,53,47
1498248272,45,51
1498250230,56,48
1498252130,59,58
1498254031,39,49
1498256359,57,43
1498258351,46,57
1498260250,51,48
1498266277,50,49
1498270132,55,52
1498272061,39,52
1498273961,50,42
1498275860,44,52
1498277784,40,45
1498279701,43,35
1498281692,59,51
1498283593,46,48
1498285721,41,49
1498287694,40,41
1498291476,50,45
1498293390,59,53
1498295314,45,59
1498297512,68,44
1498299379,45,60
1498301302,69,53
1498303269,51,69
1498305191,49,55
1498307308,44,39
1498311301,47,47
1498313288,40,42
1498315245,51,46
1498317167,54,49
1498319072,54,52
1498322907,42,49
1498325085,47,46
1498327024,23,45
1498328940,41,28
1498330942,41,45
1498332787,41,41
1498334912,50,37
1498337071,48,45
1498339041,41,46
1498340942,44,41
1498342866,45,46
1498344782,42,44
1498346711,46,48
1498348587,48,47
1498350494,47,48
1498352525,43,42
1498354367,39,44
1498356270,42,40
1498358184,45,42
1498360094,38,45
1498362057,42,42
1498363946,52,43
1498365865,43,50
1498367821,56,46
1498369726,57,53
1498371625,48,54
1498377402,44,52
1498379320,46,44
1498390859,45,48
1498392781,45,43
1498394688,44,47
1498396595,39,43
1498398513,36,33
1498400457,30,36
1498402339,34,29
1498404256,49,38
1498406174,60,51
1498408111,55,56
1498410163,42,52
1498411974,49,46
1498413871,53,53
1498415807,42,49
1498417715,42,43
1498419617,52,39
1498421547,42,49
1498423462,44,43
1498425428,43,44
1498427823,35,44
1498429705,50,42
1498431747,50,43
1498433550,42,47
1498435476,43,40
1498437417,46,50
1498439338,45,41
1498441252,39,50
1498443148,40,44
1498445060,41,39
1498447025,46,37
1498448953,44,43
1498450828,44,45
1498452778,39,45
1498454662,56,45
1498456606,52,53
1498458534,47,51
1498464270,53,53
1498466184,60,52
1498468115,63,61
1498472230,50,54
1498474136,59,53
1498476078,50,60
1498477951,44,54
1498479869,45,37
1498481810,51,50
1498483732,50,54
1498485741,46,48
1498487550,44,45
1498489470,42,45
1498491385,46,45
1498493294,37,35
1498496486,49,46
1498498873,50,47
1498501818,29,53
1498503656,52,29
1498506657,44,44
1498508987,39,40
1498510880,51,42
1498512737,46,56
1498515387,55,42
1498517328,56,61
1498519232,59,56
