DateTime,Entries,UniqueIPs
1498244487,114656,114656
1498245434,114646,114646
1498246393,114700,114700
1498247345,114691,114691
1498248286,114745,114745
1498249231,114751,114751
1498250234,114772,114772
1498251147,114771,114771
1498252146,114800,114800
1498253066,114831,114831
1498254036,114835,114835
1498255028,114855,114855
1498256372,114868,114868
1498257411,114895,114895
1498258361,114911,114911
1498259598,114921,114921
1498260540,114953,114953
1498261561,114956,114956
1498262567,115002,115002
1498263629,115026,115026
1498264608,115050,115050
1498265535,115087,115087
1498266530,115094,115094
1498267570,115130,115130
1498268660,115154,115154
1498269678,115200,115200
1498270612,115202,115202
1498271546,115241,115241
1498272542,115245,115245
1498273476,115267,115267
1498274437,115288,115288
1498275420,115310,115310
1498276347,115365,115365
1498277302,115379,115379
1498278250,115403,115403
1498279250,115424,115424
1498280185,115429,115429
1498281176,115367,115367
1498282107,115378,115378
1498283071,115402,115402
1498284134,115426,115426
1498285260,115453,115453
1498286198,115457,115457
1498287181,115478,115478
1498288128,115492,115492
1498289069,115505,115505
1498290065,115520,115520
1498290997,115527,115527
1498291987,115533,115533
1498292903,115554,115554
1498293871,115561,115561
1498294939,115585,115585
1498296057,115606,115606
1498297049,115616,115616
1498297981,115640,115640
1498298901,115653,115653
1498299865,115684,115684
1498300857,115698,115698
1498301775,115705,115705
1498302801,115733,115733
1498303706,115742,115742
1498304673,115760,115760
1498305751,115782,115782
1498306872,115804,115804
1498307785,115820,115820
1498308780,115818,115818
1498309726,115823,115823
1498310668,115863,115863
1498311662,115861,115861
1498312590,115889,115889
1498313590,115891,115891
1498314506,115933,115933
1498315461,115956,115956
1498316561,115974,115974
1498317613,115998,115998
1498318619,116017,116017
1498319578,116027,116027
1498320514,116043,116043
1498321474,116065,116065
1498322460,116093,116093
1498323384,116117,116117
1498324653,116132,116132
1498325811,116180,116180
1498326744,116203,116203
1498327730,116247,116247
1498328654,116269,116269
1498329625,116311,116311
1498330605,116335,116335
1498331579,116363,116363
1498332491,116389,116389
1498333464,116422,116422
