DateTime,Entries,UniqueIPs
1498243464,2582,2582
1498244487,2544,2544
1498246393,2550,2550
1498247345,2549,2549
1498248286,2533,2533
1498249231,2522,2522
1498250234,2512,2512
1498251147,2509,2509
1498252146,2500,2500
1498253066,2495,2495
1498254036,2498,2498
1498255028,2489,2489
1498256372,2490,2490
1498257411,2507,2507
1498258361,2500,2500
1498259598,2494,2494
1498260540,2490,2490
1498261561,2490,2490
1498262567,2494,2494
1498263629,2500,2500
1498264608,2500,2500
1498265535,2525,2525
1498266530,2525,2525
1498267570,2526,2526
1498268660,2533,2533
1498269678,2521,2521
1498270612,2528,2528
1498271546,2525,2525
1498272542,2530,2530
1498273476,2517,2517
1498274437,2511,2511
1498275420,2504,2504
1498276347,2518,2518
1498277302,2515,2515
1498278250,2513,2513
1498279250,2509,2509
1498280185,2502,2502
1498281176,2495,2495
1498282107,2501,2501
1498283071,2496,2496
1498284134,2494,2494
1498285260,2495,2495
1498286198,2497,2497
1498287181,2503,2503
1498288128,2491,2491
1498289069,2483,2483
1498290065,2480,2480
1498290997,2481,2481
1498291987,2477,2477
1498292903,2483,2483
1498293871,2492,2492
1498294939,2503,2503
1498296057,2496,2496
1498297049,2489,2489
1498297981,2488,2488
1498298901,2484,2484
1498299865,2484,2484
1498300857,2492,2492
1498301775,2498,2498
1498302801,2507,2507
1498303706,2499,2499
1498304673,2496,2496
1498305751,2490,2490
1498306872,2504,2504
1498307785,2504,2504
1498308780,2509,2509
1498309726,2507,2507
1498310668,2518,2518
1498311662,2516,2516
1498312590,2525,2525
1498313590,2523,2523
1498314506,2534,2534
1498315461,2536,2536
1498316561,2547,2547
1498317613,2518,2518
1498318619,2482,2482
1498319578,2477,2477
1498320514,2480,2480
1498321474,2492,2492
1498322460,2499,2499
1498323384,2504,2504
1498324653,2504,2504
1498325811,2509,2509
1498326744,2516,2516
1498327730,2545,2545
1498328654,2552,2552
1498329625,2555,2555
1498330605,2558,2558
1498331579,2553,2553
1498332491,2563,2563
1498333464,2612,2612
1498334520,2605,2605
1498335432,2577,2577
1498336632,2573,2573
1498337546,2585,2585
1498338535,2586,2586
1498339480,2592,2592
1498340430,2597,2597
1498341417,2593,2593
1498342356,2600,2600
1498343338,2619,2619
1498344292,2626,2626
1498345312,2638,2638
1498346235,2638,2638
1498347188,2649,2649
1498348109,2655,2655
1498349327,2659,2659
1498350262,2662,2662
1498351256,2663,2663
1498352192,2661,2661
1498353185,2675,2675
1498354107,2669,2669
1498355061,2662,2662
1498356091,2669,2669
1498357270,2675,2675
1498358195,2687,2687
1498359175,2691,2691
1498360108,2693,2693
1498361064,2672,2672
1498362062,2677,2677
1498363014,2706,2706
1498363963,2714,2714
1498364931,2737,2737
1498365870,2740,2740
1498366907,2750,2750
1498367825,2743,2743
1498369033,2750,2750
1498369943,2757,2757
1498370923,2755,2755
1498371861,2766,2766
1498372827,2752,2752
1498373812,2755,2755
1498374757,2746,2746
1498375732,2765,2765
1498376662,2756,2756
1498377683,2752,2752
1498378621,2736,2736
1498379550,2715,2715
1498380546,2721,2721
1498381718,2734,2734
1498382662,2734,2734
1498383666,2725,2725
1498384584,2719,2719
1498385577,2715,2715
1498386503,2709,2709
1498387471,2691,2691
1498388512,2690,2690
1498389428,2680,2680
1498390378,2669,2669
1498391308,2653,2653
1498392276,2645,2645
1498393266,2645,2645
1498394188,2642,2642
1498395180,2626,2626
1498396109,2617,2617
1498397091,2598,2598
1498398054,2590,2590
1498399016,2586,2586
1498399969,2593,2593
1498401669,2587,2587
1498402605,2593,2593
1498403553,2584,2584
1498404536,2584,2584
1498405491,2582,2582
1498406502,2576,2576
1498407648,2573,2573
1498408583,2565,2565
1498409569,2569,2569
1498410519,2570,2570
1498411461,2565,2565
1498412452,2558,2558
1498413394,2556,2556
1498414374,2544,2544
1498415337,2545,2545
1498416272,2540,2540
1498417251,2544,2544
1498418207,2540,2540
1498419145,2544,2544
1498420134,2547,2547
1498421070,2558,2558
1498422041,2559,2559
1498423009,2548,2548
1498423946,2531,2531
1498424927,2549,2549
1498425862,2549,2549
1498426851,2543,2543
1498427837,2542,2542
1498428809,2540,2540
1498429710,2532,2532
1498430662,2524,2524
1498431761,2519,2519
1498432813,2509,2509
1498433797,2506,2506
1498434741,2496,2496
1498435813,2489,2489
1498436925,2493,2493
1498437865,2483,2483
1498438880,2476,2476
1498439818,2477,2477
1498440759,2474,2474
1498441747,2456,2456
1498442671,2452,2452
1498443638,2440,2440
1498444610,2449,2449
1498445550,2455,2455
1498446524,2456,2456
1498447463,2449,2449
1498448428,2440,2440
1498449418,2435,2435
1498450349,2435,2435
1498451327,2434,2434
1498452273,2438,2438
1498453287,2434,2434
1498454219,2431,2431
1498455158,2438,2438
1498456131,2440,2440
1498457077,2443,2443
1498458035,2448,2448
1498459022,2446,2446
1498459949,2438,2438
1498460928,2442,2442
1498461862,2439,2439
1498462851,2429,2429
1498463799,2426,2426
1498464771,2433,2433
1498465702,2435,2435
1498466671,2435,2435
1498467694,2443,2443
1498468848,2435,2435
1498469773,2437,2437
1498470757,2433,2433
1498471727,2444,2444
1498472661,2452,2452
1498473626,2459,2459
1498474619,2457,2457
1498476092,2464,2464
1498477008,2474,2474
1498477956,2475,2475
1498478944,2474,2474
1498479873,2476,2476
1498480827,2482,2482
1498481826,2473,2473
1498482757,2466,2466
1498483737,2454,2454
1498484666,2458,2458
1498485755,2448,2448
1498486815,2447,2447
1498487797,2439,2439
1498488741,2444,2444
1498489717,2447,2447
1498490651,2450,2450
1498491647,2444,2444
1498492572,2440,2440
1498493585,2436,2436
1498494900,2446,2446
1498496500,2456,2456
1498498229,2454,2454
1498500084,2458,2458
1498501835,2459,2459
1498503261,2481,2481
1498504807,2480,2480
1498506673,2453,2453
1498507931,2474,2474
1498509002,2471,2471
1498510121,2466,2466
1498511078,2444,2444
1498512027,2449,2449
1498513008,2447,2447
1498513954,2441,2441
1498515401,2436,2436
1498516380,2437,2437
1498517333,2438,2438
1498518288,2444,2444
1498519236,2445,2445
1498520210,2453,2453
1498521154,2449,2449
1498522130,2447,2447
1498523066,2450,2450
1498524056,2446,2446
1498525017,2453,2453
1498525952,2450,2450
1498526932,2462,2462
1498527873,2453,2453
1498528903,2439,2439
1498529822,2433,2433
1498530755,2426,2426
1498531734,2428,2428
1498532680,2430,2430
1498533628,2433,2433
1498534613,2439,2439
1498535580,2441,2441
1498536495,2451,2451
1498537451,2457,2457
1498538454,2453,2453
1498539387,2455,2455
1498540375,2464,2464
1498541305,2472,2472
1498542275,2483,2483
1498543313,2476,2476
1498544481,2480,2480
1498545384,2478,2478
1498546367,2489,2489
1498547292,2492,2492
1498548262,2488,2488
1498549238,2481,2481
1498550172,2481,2481
1498551183,2492,2492
1498552134,2491,2491
1498553063,2491,2491
1498554119,2488,2488
1498555240,2482,2482
1498556181,2479,2479
1498557140,2481,2481
1498558117,2490,2490
1498559062,2475,2475
1498560064,2469,2469
1498560998,2449,2449
1498561951,2454,2454
1498562938,2458,2458
1498563862,2469,2469
1498564875,2457,2457
1498565811,2464,2464
1498566738,2469,2469
1498567721,2482,2482
1498568694,2471,2471
1498569631,2464,2464
1498570588,2456,2456
1498571580,2461,2461
1498572492,2462,2462
1498573450,2469,2469
1498574449,2468,2468
1498575372,2458,2458
1498576373,2464,2464
1498577302,2455,2455
1498578271,2460,2460
1498579286,2464,2464
1498580189,2464,2464
1498581189,2458,2458
1498582110,2460,2460
1498583076,2485,2485
1498584038,2482,2482
1498585010,2484,2484
1498585945,2477,2477
1498586931,2480,2480
1498588130,2483,2483
1498589062,2483,2483
1498590069,2475,2475
1498591015,2474,2474
1498591950,2468,2468
1498592945,2466,2466
1498593872,2459,2459
1498594830,2465,2465
1498595819,2461,2461
1498596751,2459,2459
1498597729,2453,2453
1498598662,2443,2443
1498599652,2447,2447
1498600596,2446,2446
1498601591,2445,2445
1498602506,2460,2460
1498603474,2469,2469
1498604533,2459,2459
1498605649,2456,2456
1498606584,2456,2456
1498607569,2455,2455
1498608512,2457,2457
1498609461,2452,2452
1498610455,2457,2457
1498611392,2449,2449
1498612376,2446,2446
1498613303,2444,2444
1498614273,2434,2434
1498615319,2437,2437
1498616569,2432,2432
1498617610,2427,2427
1498618580,2424,2424
1498619567,2430,2430
1498620502,2439,2439
1498621479,2435,2435
1498622502,2443,2443
1498623648,2443,2443
1498624595,2442,2442
1498625569,2445,2445
1498626493,2445,2445
1498627460,2440,2440
1498628455,2440,2440
1498629387,2434,2434
1498630385,2441,2441
1498631303,2442,2442
1498632271,2452,2452
1498633327,2456,2456
1498634440,2457,2457
1498635384,2458,2458
1498636356,2451,2451
1498637311,2459,2459
1498638274,2454,2454
1498639251,2449,2449
1498640186,2447,2447
1498641176,2459,2459
1498642877,2453,2453
1498643798,2456,2456
1498644780,2443,2443
1498645716,2450,2450
1498646685,2445,2445
1498647713,2458,2458
1498648847,2453,2453
1498649771,2456,2456
1498650754,2450,2450
1498651703,2466,2466
1498652651,2472,2472
1498653618,2477,2477
1498654605,2469,2469
1498655547,2466,2466
1498656526,2470,2470
1498657470,2471,2471
1498658650,2454,2454
1498659622,2456,2456
1498660596,2455,2455
1498661531,2452,2452
1498662527,2444,2444
1498663471,2441,2441
1498664426,2441,2441
1498665415,2450,2450
1498666347,2457,2457
1498667328,2452,2452
1498668278,2452,2452
1498669279,2446,2446
1498671145,2456,2456
1498672150,2453,2453
1498673088,2442,2442
1498674026,2435,2435
1498675010,2435,2435
1498675952,2446,2446
1498676918,2450,2450
1498677867,2453,2453
1498678827,2457,2457
1498679819,2455,2455
1498680748,2451,2451
1498681726,2456,2456
1498682676,2453,2453
1498683738,2460,2460
1498684816,2461,2461
1498685781,2465,2465
1498686755,2482,2482
1498687714,2477,2477
1498688713,2483,2483
1498689654,2473,2473
1498690595,2479,2479
1498691572,2492,2492
1498692505,2487,2487
