DateTime,Entries,UniqueIPs
1497949974,5902,6032
1497950902,5902,6032
1497951871,5897,6027
1497952873,5898,6028
1497953803,5902,6032
1497954747,5905,6035
1497955733,5893,6023
1497956671,5900,6030
1497957638,5891,6020
1497958611,5895,6024
1497959554,5888,6017
1497960528,5878,6007
1497961449,5878,6007
1497962412,5871,6000
1497963441,5896,5979
1497964352,5900,5976
1497965355,5890,5937
1497966277,5889,5935
1497967359,5886,5931
1497968427,5886,5929
1497969401,5890,5933
1497970336,5887,5930
1497971330,5882,5923
1497972260,5888,5931
1497973478,5874,5916
1497974513,5877,5919
1497975667,5857,5899
1497976612,5856,5898
1497978309,5839,5881
1497979227,5835,5877
1497980221,5818,5860
1497981162,5812,5854
1497982121,5810,5853
1497983057,5794,5837
1497984039,5798,5841
1497985334,5803,5846
1497986424,5798,5841
1497987404,5784,5827
1497988364,5785,5828
1497989355,5785,5828
1497990266,5781,5824
1497991226,5788,5831
1497992220,5773,5816
1497993147,5777,5820
1497994136,5762,5805
1497995069,5762,5805
1497996104,5767,5811
1497997265,5763,5807
1497998213,5756,5800
1497999153,5749,5793
1498000122,5753,5797
1498001050,5770,5814
1498002024,5765,5809
1498003011,5765,5809
1498003948,5769,5813
1498004945,5777,5821
1498005859,5793,5837
1498006891,5803,5847
1498007839,5797,5841
1498008751,5788,5832
1498009740,5783,5827
1498010682,5775,5819
1498011630,5774,5818
1498012618,5766,5809
1498013553,5757,5800
1498014538,5754,5797
1498015472,5748,5791
1498016433,5743,5786
1498017394,5739,5782
1498018410,5727,5770
1498019575,5724,5767
1498020495,5712,5755
1498021468,5702,5745
1498022468,5698,5741
1498023384,5691,5734
1498024385,5686,5729
1498025324,5680,5723
1498026261,5667,5710
1498027257,5662,5705
1498028192,5648,5691
1498029184,5635,5678
1498030103,5625,5668
1498031074,5621,5664
1498032099,5614,5657
1498033267,5601,5644
1498034192,5595,5638
1498035175,5591,5634
1498036103,5588,5631
1498037053,5627,5670
1498038066,5645,5688
1498038983,5670,5714
1498039978,5710,5754
1498040917,5766,5810
1498041866,5766,5810
1498042947,5815,5859
1498044058,5819,5863
1498045039,5836,5880
1498045986,5847,5891
1498046915,5859,5903
1498047872,5866,5910
1498048862,5882,5926
1498049783,5888,5932
1498050795,5890,5933
1498051982,5897,5940
1498052905,5898,5941
1498053879,5899,5943
1498054860,5896,5940
