DateTime,Entries,UniqueIPs
1498268658,550,550
1498269675,546,546
1498270610,553,553
1498271544,550,550
1498272540,556,556
1498273474,545,545
1498274435,540,540
1498275418,536,536
1498276346,547,547
1498277300,545,545
1498278248,543,543
1498279248,539,539
1498280183,540,540
1498281174,528,528
1498282105,529,529
1498283069,528,528
1498284128,525,525
1498285257,523,523
1498286193,526,526
1498287180,532,532
1498288126,526,526
1498289066,520,520
1498290063,515,515
1498290994,514,514
1498291985,510,510
1498292901,511,511
1498293868,514,514
1498294937,517,517
1498296055,519,519
1498297047,511,511
1498297979,509,509
1498298899,508,508
1498299862,510,510
1498300855,519,519
1498301772,521,521
1498302798,528,528
1498303703,526,526
1498304671,527,527
1498305746,521,521
1498306870,529,529
1498307783,527,527
1498308778,535,535
1498309724,536,536
1498310666,549,549
1498311660,547,547
1498312588,556,556
1498313588,555,555
1498314504,564,564
1498315459,565,565
1498316559,572,572
1498317611,545,545
1498318617,512,512
1498319576,510,510
1498320512,514,514
1498321472,520,520
1498322458,529,529
1498323381,536,536
1498324651,540,540
1498325806,545,545
1498326742,550,550
1498327728,570,570
1498328652,578,578
1498329623,587,587
1498330603,591,591
1498331577,591,591
1498332489,599,599
1498333461,612,612
1498334518,605,605
1498335430,613,613
1498336630,614,614
1498337545,623,623
1498338533,622,622
1498339478,631,631
1498340428,643,643
1498341415,640,640
1498342354,649,649
1498343336,661,661
1498344290,669,669
1498345310,676,676
1498346233,679,679
1498347185,686,686
1498348107,698,698
1498349324,698,698
1498350260,698,698
1498351254,704,704
1498352190,694,694
1498353182,699,699
1498354105,704,704
1498355059,702,702
1498356089,710,710
1498357268,714,714
1498358193,722,722
1498359174,731,731
1498360106,735,735
1498361062,740,740
1498362060,744,744
1498363011,751,751
1498363960,755,755
1498364929,773,773
1498365868,775,775
1498366905,781,781
1498367824,779,779
1498369027,789,789
1498369941,798,798
1498370921,796,796
1498371858,804,804
1498372825,797,797
1498373810,797,797
1498374755,794,794
1498375730,804,804
1498376659,798,798
1498377680,800,800
1498378619,789,789
1498379548,781,781
1498380544,773,773
1498381716,773,773
1498382660,769,769
1498383664,762,762
1498384582,761,761
1498385574,758,758
1498386501,749,749
1498387468,735,735
1498388510,727,727
1498389426,716,716
1498390376,705,705
1498391306,696,696
1498392274,691,691
1498393264,685,685
1498394185,678,678
1498395178,659,659
1498396107,652,652
1498397089,636,636
1498398051,631,631
1498399013,629,629
1498399966,630,630
1498401667,616,616
1498402603,617,617
1498403551,617,617
1498404534,611,611
1498405489,613,613
1498406497,616,616
1498407646,614,614
1498408581,605,605
1498409567,604,604
1498410517,601,601
1498411459,595,595
1498412450,586,586
1498413391,582,582
1498414372,574,574
1498415335,572,572
1498416269,569,569
1498417249,568,568
1498418205,564,564
1498419143,568,568
1498420132,566,566
1498421068,576,576
1498422039,581,581
1498423007,576,576
1498423944,565,565
1498424925,573,573
1498425860,571,571
1498426849,558,558
1498427835,562,562
1498428807,559,559
1498429708,554,554
1498430659,547,547
1498431759,537,537
1498432811,527,527
1498433793,529,529
1498434739,524,524
1498435811,520,520
1498436923,513,513
1498437863,505,505
1498438878,503,503
1498439816,503,503
1498440757,496,496
1498441745,488,488
1498442669,482,482
1498443636,475,475
1498444608,475,475
1498445548,472,472
1498446522,473,473
1498447461,468,468
1498448426,461,461
1498449415,461,461
1498450346,460,460
1498451325,455,455
1498452271,457,457
1498453285,455,455
1498454217,452,452
1498455156,455,455
1498456129,455,455
1498457068,458,458
1498458033,469,469
1498459020,467,467
1498459947,462,462
1498460926,462,462
1498461859,462,462
1498462850,459,459
1498463796,458,458
1498464769,460,460
1498465700,461,461
1498466669,459,459
1498467692,467,467
1498468845,463,463
1498469771,463,463
1498470755,464,464
1498471725,469,469
1498472659,476,476
1498473624,484,484
1498474616,487,487
1498476089,494,494
1498477006,501,501
1498477954,505,505
1498478942,503,503
1498479871,508,508
1498480825,512,512
1498481824,504,504
1498482755,497,497
1498483735,485,485
1498484664,486,486
1498485753,476,476
1498486813,471,471
1498487795,467,467
1498488739,476,476
1498489715,478,478
1498490649,478,478
1498491645,476,476
1498492569,473,473
1498493583,470,470
1498494898,470,470
1498496498,477,477
1498498226,481,481
1498500082,481,481
1498501832,486,486
1498503259,481,481
1498504805,480,480
1498506670,481,481
1498507929,474,474
1498508999,471,471
1498510119,466,466
1498511076,458,458
1498512025,462,462
1498513005,464,464
1498513952,463,463
1498515399,461,461
1498516378,460,460
1498517331,457,457
1498518286,462,462
1498519234,463,463
1498520208,465,465
1498521152,466,466
1498522128,467,467
1498523064,474,474
1498524054,469,469
1498525015,473,473
1498525949,472,472
1498526930,478,478
1498527871,473,473
1498528901,463,463
1498529820,456,456
1498530753,454,454
1498531732,452,452
1498532678,454,454
1498533626,460,460
1498534611,466,466
1498535577,465,465
1498536493,470,470
1498537449,477,477
1498538452,480,480
1498539384,481,481
1498540373,488,488
1498541302,495,495
1498542274,502,502
1498543311,505,505
1498544478,505,505
1498545382,505,505
1498546365,517,517
1498547290,519,519
1498548260,518,518
1498549236,518,518
1498550169,514,514
1498551181,521,521
1498552132,519,519
