DateTime,AddedIPs,RemovedIPs
1498273476,273,280
1498274437,301,247
1498275420,211,197
1498276347,332,224
1498277302,125,177
1498278250,195,297
1498279250,160,125
1498280185,126,452
1498281176,215,162
1498282107,173,253
1498283071,107,200
1498284134,176,208
1498285260,191,218
1498286198,95,256
1498287181,179,277
1498288128,165,447
1498289069,140,335
1498290065,192,337
1498290997,130,335
1498291987,173,330
1498292903,199,116
1498293871,86,236
1498294939,182,103
1498296057,173,206
1498297049,99,139
1498297981,177,180
1498298901,119,192
1498299865,169,167
1498300857,164,120
1498301775,116,188
1498302801,203,91
1498303706,199,195
1498304673,119,159
1498305751,173,71
1498306872,200,325
1498307785,103,0
1498308780,205,316
1498309726,142,0
1498310668,149,225
1498311662,152,345
1498312590,186,0
1498313590,188,296
1498314506,209,0
1498315461,171,203
1498316561,239,221
1498317613,189,238
1498318619,140,49
1498319578,191,304
1498320514,138,14
1498321474,211,388
1498322460,130,37
1498323384,190,418
1498324653,132,29
1498325811,326,31
1498326744,184,205
1498327730,153,495
1498328654,184,34
1498329625,212,21
1498330605,211,358
1498331579,141,0
1498332491,219,664
1498333464,643,74
1498334520,29,715
1498335432,378,205
1498336632,279,537
1498337546,153,188
1498338535,156,203
1498339480,187,425
1498340430,163,0
1498341417,188,237
1498342356,203,230
1498343338,181,291
1498344292,172,218
1498345312,210,178
1498346235,137,306
1498347188,190,80
1498348109,208,435
1498349327,145,187
1498350262,215,221
1498351256,134,108
1498352192,177,99
1498353185,237,426
1498354107,157,185
1498355061,186,361
1498356091,293,2
1498357270,252,377
1498358195,128,79
1498359175,284,365
1498360108,154,348
1498361064,268,287
1498362062,197,453
1498363014,286,176
1498363963,193,230
1498364931,208,188
1498365870,190,178
1498366907,217,258
1498367825,155,232
1498369033,241,156
1498369943,216,250
1498370923,148,250
1498371861,226,117
1498372827,196,254
1498373812,156,231
1498374757,211,162
1498375732,226,283
1498376662,156,146
1498377683,274,227
1498378621,150,258
1498379550,279,121
1498380546,174,223
1498381718,173,189
1498382662,199,92
1498383666,133,165
1498384584,170,109
1498385577,109,169
1498386503,206,158
1498387471,99,126
1498388512,267,184
1498389428,0,184
1498390378,267,82
1498391308,219,193
1498392276,131,193
1498393266,215,0
1498394188,112,271
1498395180,143,0
1498396109,163,149
1498397091,157,276
1498398054,155,0
1498399016,214,317
1498399969,184,0
1498401669,281,333
1498402605,115,197
1498403553,130,211
1498404536,218,109
1498405491,93,186
1498406502,305,104
1498407648,100,173
1498408583,181,100
1498409569,138,165
1498410519,174,132
1498411461,300,345
1498412452,143,144
1498413394,176,167
1498414374,114,166
1498415337,187,186
1498416272,92,217
1498417251,270,141
1498418207,0,251
1498419145,277,446
1498420134,179,38
1498421070,169,339
1498422041,181,310
1498423009,144,0
1498423946,92,182
1498424927,176,162
1498425862,158,236
1498426851,108,355
1498427837,199,220
1498428809,102,211
1498429710,180,0
1498430662,123,197
1498431761,233,317
1498432813,162,219
1498433797,137,280
1498434741,200,146
1498435813,151,209
1498436925,223,165
1498437865,100,230
1498438880,266,260
1498439818,89,149
1498440759,161,204
1498441747,206,290
1498442671,72,268
1498443638,190,0
1498444610,80,473
1498445550,200,0
1498446524,105,460
1498447463,164,0
1498448428,138,230
1498449418,180,545
1498450349,158,0
1498451327,110,223
1498452273,162,452
1498453287,161,0
1498454219,81,161
1498455158,185,324
1498456131,194,255
1498457077,99,170
1498458035,179,314
1498459022,84,317
1498459949,170,209
1498460928,111,324
1498461862,157,272
1498462851,153,193
1498463799,209,348
1498464771,157,208
1498465702,143,369
1498466671,118,296
1498467694,184,286
1498468848,196,228
1498469773,92,126
1498470757,156,150
1498471727,109,97
1498472661,125,235
1498473626,111,103
1498474619,128,305
1498476092,268,242
1498477008,151,203
1498477956,154,106
1498478944,154,207
1498479873,184,91
1498480827,213,128
1498481826,188,115
1498482757,171,137
1498483737,231,134
1498484666,94,169
1498485755,361,108
1498486815,150,258
1498487797,266,0
1498488741,175,147
1498489717,207,211
1498490651,249,200
1498491647,235,87
1498492572,247,278
1498493585,207,98
1498494900,373,210
1498496500,383,288
1498498229,381,436
1498500084,417,323
1498501835,420,300
1498503261,554,272
1498504807,37,239
1498506673,506,281
1498507931,84,187
1498509002,44,123
1498510121,3,103
1498511078,475,176
1498512027,102,134
1498513008,290,117
1498513954,185,160
1498515401,212,239
1498516380,362,121
1498517333,115,276
1498518288,354,154
1498519236,146,150
1498520210,285,155
1498521154,234,157
1498522130,224,0
1498523066,233,244
1498524056,207,77
1498525017,261,307
1498525952,178,105
1498526932,214,196
1498527873,163,185
1498528903,374,60
1498529822,29,192
1498530755,476,108
1498531734,143,220
1498532680,329,106
1498533628,169,189
1498534613,273,145
1498535580,217,173
1498536495,155,169
1498537451,252,115
1498538454,183,159
1498539387,201,168
1498540375,208,89
1498541305,192,195
1498542275,175,177
1498543313,246,82
1498544481,297,269
1498545384,142,0
1498546367,309,297
1498547292,164,0
1498548262,279,169
1498549238,206,143
1498550172,237,180
1498551183,254,350
1498552134,139,129
1498553063,148,0
1498554119,196,409
1498555240,181,0
1498556181,97,243
1498557140,208,0
1498558117,88,144
1498559062,182,153
1498560064,126,282
1498560998,191,0
1498561951,160,258
1498562938,147,144
1498563862,172,176
1498564875,209,157
1498565811,96,167
1498566738,246,152
1498567721,243,159
1498568694,160,171
1498569631,187,273
1498570588,143,95
1498571580,216,327
1498572492,127,131
1498573450,251,223
1498574449,180,173
1498575372,123,178
1498576373,180,180
1498577302,297,164
1498578271,206,251
1498579286,334,263
1498580189,8,481
1498581189,363,0
1498582110,55,349
1498583076,313,394
