DateTime,Entries,UniqueIPs
1498129714,120280,142517
1498130664,120344,142607
1498131667,120364,142652
1498132584,120398,142689
1498133580,120441,142749
1498134504,120474,142809
1498135480,120494,142834
1498136530,120563,142921
1498137657,120580,142953
1498138587,120614,143010
1498139549,120645,143053
1498140503,120676,143099
1498141453,120721,143157
1498142461,120745,143185
1498143394,120785,143237
1498144388,120805,143261
1498145304,120851,143322
1498146271,120873,143351
1498147522,120917,143417
1498148434,120953,143457
1498149416,120998,143508
1498150355,121033,143543
1498151416,121072,143586
1498152391,121125,143648
1498153467,121172,143703
1498154687,121296,143844
1498155644,121342,143896
1498156623,121418,143989
1498157545,121476,144055
1498158539,121545,144141
1498159466,121597,144210
1498160434,121652,144277
1498161425,121707,144347
1498162363,121755,144400
1498163311,121878,144562
1498164274,121878,144565
1498165329,121895,144584
1498166693,121892,144579
1498167624,121897,144586
1498168621,121900,144587
1498169557,121904,144592
1498170553,121905,144593
1498171476,121909,144596
1498172590,122035,144742
1498173629,122085,144807
1498174629,122149,144876
1498175581,122192,144924
1498176538,122250,144985
1498177482,122303,145048
1498178467,122359,145106
1498179425,122425,145175
1498180463,122470,145226
1498181574,122593,145361
1498182493,122632,145409
1498183464,122704,145498
1498184467,122749,145550
1498185385,122805,145611
1498186372,122852,145664
1498187309,122911,145737
1498188272,122960,145804
1498189247,123013,145861
1498190183,123067,145923
1498191180,123120,145982
1498192127,123183,146058
1498193062,123210,146092
1498194130,123299,146192
1498195265,123332,146231
1498196192,123391,146296
1498197176,123451,146352
1498198121,123489,146394
1498199061,123532,146444
1498200069,123569,146486
1498200986,123616,146542
1498201986,123709,146643
1498202906,123785,146728
1498203876,123837,146787
1498204910,123881,146841
1498206056,123941,146919
1498207013,123951,146936
1498207949,123994,146989
1498208946,124003,146999
1498209891,124030,147032
1498210856,124052,147054
1498211794,124076,147088
1498212779,124104,147120
1498213737,124126,147149
1498214670,124147,147178
1498215701,124189,147219
1498216610,124199,147234
1498217551,124238,147280
1498218544,124265,147311
1498219489,124275,147321
1498220440,124296,147342
1498221428,124320,147379
1498222345,124345,147410
1498223339,124360,147434
1498224280,124377,147472
1498225215,124405,147511
1498226204,124446,147558
1498227160,124469,147586
1498228137,124499,147620
1498229068,124520,147659
1498230086,124566,147713
1498231019,124559,147705
1498231950,124637,147801
1498232951,124657,147826
1498233871,124715,147899
1498234830,124754,147955
1498235833,124757,147964
1498236751,124820,148061
1498237728,124824,148065
1498238661,124822,148065
1498239627,124863,148122
1498240625,124895,148156
1498241560,124908,148174
1498242540,124911,148177
1498243464,124913,148181
1498244487,124974,148253
1498245434,124968,148247
1498246393,125035,148342
1498247345,125034,148337
1498248286,125110,148427
1498249231,125121,148448
1498250234,125160,148510
1498251147,125177,148530
1498252146,125214,148576
1498253066,125261,148636
1498254036,125273,148659
1498255028,125313,148703
1498256372,125333,148741
1498257411,125366,148788
1498258361,125392,148823
1498259598,125418,148854
1498260540,125459,148910
1498261561,125465,148922
1498262567,125520,148996
1498263629,125542,149027
1498264608,125570,149059
1498265535,125592,149084
1498266530,125600,149094
1498267570,125646,149153
1498268660,125671,149184
1498269678,125720,149247
1498270612,125720,149247
1498271546,125765,149299
1498272542,125774,149315
1498273476,125815,149359
1498274437,125863,149418
1498275420,125903,149461
1498276347,125966,149536
1498277302,125988,149562
1498278250,126019,149600
1498279250,126045,149629
1498280185,126063,149649
1498281176,125991,149554
1498282107,126012,149581
1498283071,126036,149607
1498284134,126069,149640
1498285260,126104,149678
1498286198,126117,149696
1498287181,126140,149726
1498288128,126170,149763
1498289069,126189,149788
1498290065,126216,149824
1498290997,126236,149849
1498291987,126257,149874
1498292903,126289,149915
1498293871,126292,149918
1498294939,126316,149942
1498296057,126339,149970
