DateTime,AddedIPs,RemovedIPs
1495962014,0,1
1495965614,1,1
1495969216,0,1
1495972814,0,1
1495980078,1,0
1495983624,0,2
1495987217,1,0
1495994415,0,1
1496005214,1,0
1496008814,0,1
1496012414,0,1
1496016014,0,1
1496034015,1,0
1496044814,0,1
1496048414,0,1
1496055615,2,0
1496059243,1,0
1496070014,1,0
1496080814,0,2
1496098814,1,0
1496109614,2,0
1496120420,0,1
1496127614,1,0
1496134815,1,0
1496138414,2,0
1496145615,0,1
1496163614,0,1
1496185216,0,1
1496188814,1,1
1496192414,1,0
1496196019,0,1
1496206814,0,1
1496210414,1,0
1496221214,0,1
1496232014,0,1
1496242839,0,1
1496246414,1,0
1496253614,1,0
1496257215,1,0
1496264416,1,1
1496268014,1,1
1496271614,0,1
1496275214,1,1
1496278815,0,1
1496286014,1,0
1496289614,3,0
1496293214,3,0
1496300415,9,0
1496304015,5,0
1496307615,3,0
1496311217,2,0
1496314816,2,0
1496318416,1,0
1496322015,4,1
1496325615,0,1
1496329215,0,3
1496332815,2,2
1496336415,1,3
1496340028,1,2
1496343616,2,2
1496347215,1,2
1496350816,0,3
1496354415,0,2
1496358015,0,2
1496361615,0,2
1496365215,0,3
1496368814,0,5
1496372414,0,5
1496376014,1,1
1496379614,0,2
1496383214,0,1
1496386834,0,2
1496390414,3,0
1496397614,0,2
1496401214,0,1
1496404816,3,0
1496415614,0,3
1496419213,0,1
1496422814,0,1
1496426414,1,1
1496433614,1,1
1496437214,2,0
1496440815,0,2
1496444414,1,0
1496448014,0,2
1496451614,1,0
1496455215,1,0
1496458815,1,0
1496466014,1,0
1496469615,1,1
1496473214,1,0
1496484014,0,1
1496487614,1,0
1496520014,0,1
1496523615,2,2
1496527215,5,0
1496530815,1,1
1496534414,1,1
1496538014,1,1
1496545214,1,0
1496552415,1,0
1496559615,1,0
1496563215,4,0
1496566815,3,0
1496574015,3,1
1496577615,1,0
1496581216,3,0
1496584815,5,3
1496588416,3,0
1496592017,4,1
1496595616,2,0
1496599216,1,0
1496602822,123,0
1496606423,14,1
1496610022,0,2
1496617222,0,1
1496620827,0,1
1496624437,3,4
1496628029,1,7
1496631621,0,1
1496638822,0,1
1496646022,1,0
1496649634,3,0
1496653222,16,0
1496656823,12,0
1496660423,8,0
1496664040,9,0
1496667624,6,0
1496671225,4,0
1496674824,2,1
1496678424,2,0
1496682025,1,0
1496685625,3,1
1496689233,2,0
1496692825,0,1
1496696425,0,1
1496726012,0,1
1496728825,2,1
1496746825,1,0
1496750426,1,0
1496754026,0,1
1496761225,0,1
1496772025,0,2
1496797225,0,1
1496800827,19,1
1496804428,9,0
1496808030,1,0
1496811626,0,2
1496822426,0,1
1496829627,1,0
1496836830,1,0
1496844033,1,0
1496851226,1,1
1496858425,1,1
1496862026,0,1
1496865632,1,0
1496869242,1,1
1496876426,2,1
1496883626,2,0
1496887231,1,0
1496890826,2,2
1496894427,1,1
1496898027,4,0
1496905226,5,3
1496908826,7,2
1496912427,2,0
1496916027,1,0
1496919641,3,1
1496923227,3,1
1496926827,1,1
1496952028,6,9
1496955627,2,1
1496959227,3,3
1496962829,5,0
1496966427,1,2
1496970028,0,2
1496973627,0,6
1496977226,1,3
1496988027,0,2
1496991635,1,0
1496995234,0,1
1496998826,2,1
1497006028,1,1
1497009626,0,4
1497016826,2,2
1497020448,0,3
1497024026,2,0
1497027633,2,0
1497031226,1,1
1497034826,1,0
1497038426,0,1
1497042026,1,2
1497049226,0,1
1497052829,1,0
1497063627,1,1
1497067226,0,1
1497078026,0,1
1497081626,1,0
1497085227,0,1
1497088827,1,1
1497092427,0,1
1497099627,0,1
1497117643,1,0
1497121229,0,1
1497124850,1,0
1497128426,1,1
1497132032,0,6
1497135626,2,1
1497139226,0,1
1497142826,1,0
1497153626,1,0
1497164449,6,0
1497168027,4,0
1497171628,2,0
1497175246,2,0
1497178827,2,0
1497182436,2,1
1497186026,1,0
1497189637,0,1
1497193227,0,1
1497196827,0,1
1497204049,1,1
1497207623,0,107
1497211221,0,30
1497214821,3,2
1497218420,0,1
1497222020,0,4
1497225620,1,1
1497229220,0,3
1497232820,0,4
1497236420,0,3
1497240019,1,0
1497250820,0,1
1497258021,0,2
1497261637,0,2
1497265219,1,1
1497268820,0,2
1497272421,2,5
1497276020,0,1
1497279619,0,4
1497283218,1,9
1497286819,0,9
1497290419,1,10
1497294018,0,15
1497297616,2,15
1497308416,1,0
1497312017,1,1
1497333616,1,1
1497337217,0,1
1497344417,1,1
1497348016,0,1
1497355216,0,1
1497362416,0,1
1497366016,0,4
1497373217,1,0
1497376816,2,1
1497387617,1,0
1497394817,1,0
1497402018,1,0
1497405617,2,0
1497409216,0,5
1497412815,0,18
1497416416,0,5
1497423616,0,1
1497427215,1,0
1497434416,0,1
1497438015,0,1
1497441615,0,1
1497445215,1,0
1497448815,0,1
1497456015,1,0
1497459615,1,0
1497466815,3,1
1497477615,3,0
1497481215,0,3
1497484815,1,1
1497488416,1,2
1497492015,2,1
1497499215,1,0
1497502815,2,1
1497506415,1,1
1497510016,1,2
1497513615,1,3
1497517215,1,2
1497524415,1,2
1497528015,4,2
1497538816,1,0
1497546015,0,2
1497549615,0,1
1497556815,0,1
1497560415,2,0
1497564015,1,1
1497567615,0,3
1497571215,1,2
1497578415,2,0
1497585615,0,1
1497589215,1,0
1497592815,0,1
1497596415,0,3
1497600015,1,0
1497603615,1,1
1497610815,1,0
1497614415,0,1
1497618014,0,1
1497621615,0,2
1497628814,1,2
1497632414,0,1
1497636014,1,1
1497639615,1,3
1497643215,1,0
1497646815,1,2
1497650417,1,0
1497654015,1,0
1497657617,0,1
1497668417,0,1
1497686415,0,1
1497690014,2,1
1497715214,1,0
1497729615,2,1
1497733215,0,1
1497740414,0,1
1497744014,1,0
1497747615,0,1
1497758416,0,1
1497769215,3,1
1497772816,4,0
1497776415,1,0
1497780015,5,0
1497783616,1,0
1497787215,0,1
1497790815,1,1
1497794416,1,1
1497805215,1,0
1497819615,0,2
1497823215,0,2
1497826816,0,1
1497830415,0,4
1497834015,0,3
1497837614,0,5
1497841215,0,4
1497844814,0,1
1497848414,0,1
1497870014,2,1
1497880814,1,0
1497884414,0,2
1497888014,2,1
1497895214,1,1
1497898816,1,0
1497902414,1,2
1497906014,0,1
1497913214,1,1
1497916815,2,0
1497938415,1,0
1497942014,2,0
1497949214,1,1
1497956414,2,0
1497960015,1,1
1497974414,2,0
1497978015,1,1
1497981615,1,1
1497985215,2,0
1497988814,2,1
1497992415,1,0
1497999615,0,1
1498006815,0,1
1498010414,0,2
1498014014,1,0
1498021214,0,1
1498028415,1,0
1498032014,1,0
1498035614,1,0
1498039215,1,0
1498042814,1,1
1498046415,1,0
1498053617,2,0
1498060816,0,1
1498064416,1,0
1498068015,1,1
1498075215,0,1
1498078814,1,1
1498082414,0,1
1498089615,0,1
1498093214,5,0
1498096817,1,2
1498100415,5,0
1498104016,10,1
1498107616,8,1
1498111216,6,0
1498114816,2,0
1498118417,10,0
1498122017,9,0
1498125618,3,1
1498129217,0,4
1498132817,0,2
1498136417,0,1
1498140017,1,2
1498147217,1,8
1498150818,1,0
1498154418,0,1
1498161618,0,1
1498176016,0,1
1498179617,1,0
1498183216,1,3
1498186817,1,0
1498194017,1,0
1498201220,0,1
1498212017,1,1
1498215616,2,0
1498219217,1,0
1498226417,1,0
1498233617,0,1
1498237217,0,1
1498240838,0,2
1498244420,0,1
1498248060,0,2
1498258829,0,1
1498262418,1,0
1498266016,3,0
1498269617,1,0
1498273218,5,0
1498276817,1,0
1498284022,1,0
1498287617,1,0
1498294817,0,1
1498302016,1,0
1498320020,0,1
1498323631,1,0
1498334480,0,2
1498348817,0,1
1498359617,1,0
1498374037,4,0
1498377651,3,0
1498381218,2,1
1498384818,4,0
1498388418,2,0
1498392017,2,0
1498406418,1,0
1498410017,0,1
1498413619,0,1
1498428018,4,0
1498435218,1,0
1498442418,1,0
1498446018,1,0
1498467618,0,3
1498474818,0,1
1498485618,0,1
1498492817,0,1
1498496418,0,1
1498500017,0,1
1498503617,2,0
1498507218,0,1
1498514418,1,0
1498521618,1,1
1498525218,1,0
1498528818,1,0
1498539618,1,0
1498543218,0,1
1498546818,0,1
1498550418,1,0
1498554018,9,0
1498557619,13,0
1498561219,1,0
1498564819,0,1
1498568419,1,0
1498572019,4,0
1498575619,7,0
1498582820,1,0
1498586420,2,2
1498590019,3,1
1498593619,1,1
1498604420,2,0
1498611620,2,0
1498618821,1,2
1498626021,5,0
1498629622,2,2
1498633221,3,0
1498644022,0,1
1498647620,5,1
