DateTime,Entries,UniqueIPs
1496769485,20000,20000
1496773092,20005,20005
1496776679,20021,20021
1496780272,20010,20010
1496783872,19998,19998
1496787491,20008,20008
1496791081,20010,20010
1496794672,20032,20032
1496798275,20060,20060
1496801887,20084,20084
1496805487,20103,20103
1496809078,20137,20137
1496812678,20126,20126
1496816285,20107,20107
1496819886,20111,20111
1496823489,20110,20110
1496827080,20080,20080
1496830686,20070,20070
1496834289,20056,20056
1496837880,20073,20073
1496841475,20020,20020
1496845084,20124,20124
1496852312,20208,20208
1496855879,20211,20211
1496859481,20203,20203
1496863079,20187,20187
1496866712,20163,20163
1496870288,20173,20173
1496873879,20129,20129
1496877475,20094,20094
1496881087,20063,20063
1496884685,20031,20031
1496888274,20023,20023
1496891875,20009,20009
1496895473,19968,19968
1496899080,19924,19924
1496902672,19903,19903
1496906269,19887,19887
1496909869,19866,19866
1496913478,19844,19844
1496917075,19843,19843
1496920656,19848,19848
1496924267,19831,19831
1496927873,19829,19829
1496952544,19736,19736
1496960243,19496,19496
1496963847,19612,19612
1496967481,19709,19709
1496971095,19825,19825
1496974663,19907,19907
1496978266,19948,19948
1496981866,19971,19971
1496985490,20022,20022
1496989075,20037,20037
1496992673,20075,20075
1496996277,20100,20100
1496999885,20148,20148
1497003491,20184,20184
1497007110,20220,20220
1497010682,20246,20246
1497014285,20276,20276
1497017886,20323,20323
1497021511,20386,20386
1497025099,20445,20445
1497028696,20530,20530
1497032300,20612,20612
1497035915,20672,20672
1497039520,20739,20739
1497043111,20769,20769
1497046711,20853,20853
1497050320,20886,20886
1497053933,20918,20918
1497057522,20958,20958
1497061116,20992,20992
1497064723,21032,21032
1497068332,21060,21060
1497071932,21075,21075
1497075527,21083,21083
1497079124,21086,21086
1497082736,21089,21089
1497086334,21095,21095
1497089929,21134,21134
1497093530,21154,21154
1497097136,21209,21209
1497100742,21235,21235
1497104336,21256,21256
1497107933,21254,21254
1497111538,21265,21265
1497115144,21274,21274
1497118741,21292,21292
1497122338,21285,21285
1497125938,21296,21296
1497129545,21323,21323
1497133143,21316,21316
1497136741,21331,21331
1497140340,21351,21351
1497143942,21350,21350
1497147546,21366,21366
1497151142,21391,21391
1497154743,21395,21395
1497158347,21393,21393
1497161951,21424,21424
1497165547,21434,21434
1497169147,21416,21416
1497172745,21406,21406
1497176347,21417,21417
1497179950,21419,21419
1497183546,21384,21384
1497187143,21362,21362
1497190741,21296,21296
1497194342,21276,21276
1497201534,21210,21210
1497205125,21164,21164
1497208724,21110,21110
1497212336,21092,21092
1497215938,21057,21057
1497219521,21034,21034
1497223120,21007,21007
1497226726,21007,21007
1497230335,20984,20984
1497233922,20968,20968
1497237517,20982,20982
1497241120,20974,20974
1497244731,20958,20958
1497248323,20907,20907
1497251914,20886,20886
1497255516,20878,20878
1497259119,20876,20876
1497262723,20877,20877
1497266315,20854,20854
1497269914,20857,20857
1497273623,20830,20830
1497277144,20841,20841
1497280714,20869,20869
1497284318,20846,20846
1497287918,20815,20815
1497291538,20800,20800
1497295198,20782,20782
1497298747,20771,20771
1497302316,20741,20741
1497305910,20708,20708
1497309509,20683,20683
1497313133,20731,20731
1497316723,20789,20789
1497320319,20881,20881
1497323921,20967,20967
1497327542,21054,21054
1497331149,21156,21156
1497334735,21186,21186
1497338335,21179,21179
1497341944,21201,21201
1497345551,21199,21199
1497349141,21178,21178
1497352735,21164,21164
1497359937,21117,21117
1497363531,21099,21099
1497367129,21085,21085
1497370740,21075,21075
1497374346,21067,21067
1497377933,21060,21060
1497381532,21066,21066
1497385132,21037,21037
1497388747,21004,21004
1497392332,20985,20985
1497395922,20939,20939
1497399525,20937,20937
1497403138,20911,20911
1497406730,20873,20873
1497410322,20851,20851
1497413917,20799,20799
1497417524,20777,20777
1497421126,20765,20765
1497424717,20764,20764
1497428317,20766,20766
1497431920,20781,20781
1497435524,20739,20739
1497439118,20705,20705
1497442714,20687,20687
1497446341,20680,20680
1497449939,20646,20646
1497453511,20650,20650
1497457109,20644,20644
1497460709,20604,20604
1497464331,20589,20589
1497467915,20615,20615
1497471507,20599,20599
1497475105,20580,20580
1497478716,20572,20572
1497482320,20576,20576
1497485909,20568,20568
1497489504,20571,20571
1497493110,20550,20550
1497496718,20544,20544
1497500308,20517,20517
1497503903,20518,20518
1497507503,20501,20501
1497511119,20482,20482
1497514712,20481,20481
1497518305,20476,20476
1497521902,20449,20449
1497525505,20431,20431
1497529109,20399,20399
1497532701,20353,20353
1497536302,20378,20378
1497539907,20425,20425
1497543515,20479,20479
1497547115,20563,20563
1497550715,20641,20641
1497554318,20703,20703
1497557928,20771,20771
1497561527,20730,20730
1497565114,20641,20641
1497568708,20543,20543
1497572308,20429,20429
1497575900,20295,20295
1497579488,20166,20166
1497583086,20114,20114
1497586686,20122,20122
1497590291,20112,20112
1497593887,20086,20086
1497597483,20094,20094
1497601087,20058,20058
1497604686,20025,20025
1497608284,20010,20010
1497611880,19998,19998
1497615480,19988,19988
1497619085,19997,19997
1497622687,20002,20002
1497626283,20011,20011
1497629881,20021,20021
1497633484,20019,20019
1497637086,20033,20033
1497640684,20033,20033
1497644282,20016,20016
1497647883,20034,20034
1497651486,20014,20014
1497655085,20022,20022
1497658685,20034,20034
1497662284,20053,20053
1497665886,20056,20056
1497669486,20073,20073
1497673083,20064,20064
1497676683,20068,20068
1497680286,20080,20080
1497683885,20079,20079
1497687491,20079,20079
1497691081,20048,20048
1497694682,20008,20008
1497698281,19963,19963
1497701879,19903,19903
1497705474,19884,19884
1497709073,19860,19860
1497712676,19839,19839
1497716273,19801,19801
1497719871,19778,19778
1497723468,19755,19755
1497727070,19737,19737
1497730666,19689,19689
1497734264,19649,19649
1497737863,19630,19630
1497741463,19631,19631
1497745070,19598,19598
1497748660,19582,19582
1497752260,19565,19565
1497755858,19543,19543
1497759458,19529,19529
1497763059,19516,19516
1497766657,19489,19489
1497770255,19479,19479
1497773884,19486,19486
1497777447,19460,19460
1497781048,19452,19452
1497784649,19444,19444
1497788267,19435,19435
1497791851,19418,19418
1497795445,19432,19432
1497799044,19392,19392
1497802654,19368,19368
1497806256,19337,19337
1497809844,19367,19367
1497813471,19339,19339
1497817043,19336,19336
1497820647,19337,19337
1497824240,19315,19315
1497827861,19278,19278
1497831447,19236,19236
1497835037,19220,19220
1497838636,19217,19217
1497842247,19192,19192
1497845845,19165,19165
1497849432,19133,19133
1497853033,19140,19140
1497856634,19116,19116
1497860264,19111,19111
1497863828,19077,19077
1497867429,19058,19058
1497871029,19068,19068
1497874647,19051,19051
1497878234,19032,19032
1497881832,19022,19022
1497885423,18944,18944
1497889036,18946,18946
1497892636,18950,18950
1497896225,18917,18917
1497899878,18949,18949
1497903428,19001,19001
1497907031,19046,19046
1497910629,19069,19069
1497914250,19107,19107
1497917846,19143,19143
1497921437,19177,19177
1497925037,19199,19199
1497928646,19211,19211
1497932251,19211,19211
1497935839,19204,19204
1497939441,19204,19204
1497943043,19218,19218
1497946655,19215,19215
1497950245,19235,19235
1497953841,19256,19256
1497957444,19316,19316
1497961054,19327,19327
1497964654,19368,19368
1497968246,19366,19366
1497971847,19383,19383
1497975459,19405,19405
1497979187,19439,19439
1497982679,19448,19448
1497986255,19458,19458
1497989853,19449,19449
1497993454,19489,19489
1497997069,19497,19497
1498000659,19515,19515
1498004255,19513,19513
1498007854,19508,19508
1498011464,19549,19549
1498015067,19564,19564
1498018658,19561,19561
1498022256,19554,19554
1498025866,19566,19566
1498029463,19589,19589
1498033057,19582,19582
1498036657,19565,19565
1498040265,19551,19551
1498043865,19576,19576
1498047466,19568,19568
1498051059,19561,19561
1498054658,19573,19573
1498058262,19546,19546
1498061869,19537,19537
1498065460,19542,19542
1498069057,19529,19529
1498072663,19499,19499
1498076264,19496,19496
1498079858,19486,19486
1498083453,19473,19473
1498087053,19485,19485
1498090659,19452,19452
1498094254,19443,19443
1498097854,19429,19429
1498101449,19404,19404
1498105053,19378,19378
1498108651,19339,19339
1498112248,19310,19310
1498115843,19253,19253
1498119446,19188,19188
1498123047,19156,19156
1498126646,19126,19126
1498130239,19103,19103
1498133838,19058,19058
1498137440,19024,19024
1498141035,18995,18995
1498144629,18954,18954
1498148229,18936,18936
1498151829,18880,18880
1498155430,18863,18863
1498159029,18895,18895
1498162628,18888,18888
1498166228,18862,18862
1498169829,18848,18848
1498173422,18822,18822
1498177021,18819,18819
1498180624,18847,18847
1498184221,18842,18842
1498187825,18872,18872
1498191424,18873,18873
1498195023,18883,18883
1498198629,18912,18912
1498202227,18921,18921
1498205834,18961,18961
1498209430,18984,18984
1498213036,19010,19010
1498216636,19007,19007
1498220422,19019,19019
1498223826,18988,18988
1498227422,18959,18959
1498230954,18892,18892
1498234560,18851,18851
1498238156,18810,18810
1498241744,18761,18761
1498245378,18707,18707
1498248937,18651,18651
1498252536,18605,18605
1498256189,18539,18539
1498259820,18488,18488
1498263405,18450,18450
1498266995,18400,18400
1498270591,18344,18344
1498274196,18283,18283
1498277797,18250,18250
1498281381,18202,18202
1498284977,18166,18166
1498288583,18135,18135
1498292189,18065,18065
1498295776,18018,18018
1498299369,17958,17958
1498302968,17938,17938
1498306578,17900,17900
1498310172,17829,17829
1498313766,17780,17780
1498317349,17725,17725
1498320970,17686,17686
1498324552,17626,17626
1498328144,17564,17564
1498331740,17483,17483
1498335339,17426,17426
1498338942,17350,17350
1498342546,17271,17271
1498346138,17195,17195
1498349733,17128,17128
1498353341,17080,17080
1498356930,17031,17031
1498360525,16970,16970
1498367724,16867,16867
1498371324,16824,16824
1498374913,16764,16764
1498378512,16691,16691
1498382102,16644,16644
1498385702,16576,16576
1498389316,16521,16521
1498392909,16461,16461
1498396494,16409,16409
1498400108,16347,16347
1498403694,16305,16305
1498407305,16239,16239
1498410886,16175,16175
1498414494,16097,16097
1498418092,16053,16053
1498421690,15986,15986
1498425280,15919,15919
1498428881,15855,15855
1498432482,15818,15818
1498436077,15765,15765
1498439670,15695,15695
1498443266,15626,15626
1498446869,15582,15582
1498450461,15561,15561
1498454057,15512,15512
1498457656,15459,15459
1498461254,15405,15405
1498464855,15343,15343
1498468449,15289,15289
1498472045,15228,15228
1498475641,15153,15153
1498479385,15099,15099
1498482830,15021,15021
1498486426,14953,14953
1498490024,14898,14898
1498493628,14841,14841
1498497230,14783,14783
1498500815,14733,14733
1498504410,14638,14638
1498508015,14564,14564
1498511617,14484,14484
1498515203,14422,14422
1498518797,14365,14365
1498522393,14296,14296
1498526001,14247,14247
1498529595,14191,14191
1498533188,14146,14146
1498536782,14128,14128
1498540390,14120,14120
1498543994,14100,14100
1498547584,14064,14064
1498551182,14018,14018
1498554785,14000,14000
1498558386,13966,13966
1498561980,13897,13897
1498565575,13869,13869
1498569173,13827,13827
1498572779,13819,13819
1498576377,13855,13855
1498579977,13909,13909
1498583578,13867,13867
1498587190,13870,13870
1498590779,13861,13861
1498594370,13859,13859
1498597979,13862,13862
1498601584,13891,13891
1498605175,13841,13841
