DateTime,AddedIPs,RemovedIPs
1496776650,100,83
1496780246,110,94
1496783845,110,119
1496787464,112,95
1496791060,97,107
1496794649,90,68
1496798249,121,85
1496801864,111,88
1496805455,105,83
1496809053,110,84
1496812656,98,105
1496816265,84,103
1496819864,100,96
1496823469,89,92
1496827060,85,119
1496830666,115,117
1496834269,96,112
1496837860,105,91
1496841447,78,128
1496845058,163,118
1496852277,234,192
1496855853,113,100
1496859455,83,104
1496863053,103,125
1496866688,84,125
1496870255,99,106
1496873849,91,141
1496877448,83,113
1496881066,97,120
1496884660,80,114
1496888253,98,97
1496891855,96,116
1496895451,85,121
1496899054,69,109
1496902648,88,103
1496906244,99,114
1496909849,89,110
1496913458,82,105
1496917052,90,86
1496920674,98,97
1496924247,96,126
1496927853,91,95
1496952407,24,111
1496956612,314,704
1496960220,193,80
1496963818,183,75
1496967446,176,79
1496971059,168,58
1496974636,154,64
1496978233,98,61
1496981839,92,69
1496985457,103,55
1496989039,84,62
1496992649,81,50
1496996246,84,61
1496999857,96,55
1497003466,93,50
1497007075,89,54
1497010651,95,66
1497014255,86,50
1497017857,88,54
1497021486,99,20
1497025067,101,33
1497028668,117,33
1497032277,117,30
1497035891,104,37
1497039489,96,26
1497043078,70,38
1497046682,103,29
1497050288,71,43
1497053901,70,36
1497057491,77,43
1497061085,90,58
1497064694,94,59
1497068302,81,65
1497071899,86,76
1497075497,85,74
1497079096,82,85
1497082711,82,89
1497086305,121,110
1497089902,133,98
1497093508,115,102
1497097111,136,81
1497100710,125,91
1497104307,111,90
1497107907,102,105
1497111509,109,97
1497115120,113,104
1497118717,126,93
1497122311,99,106
1497125909,113,101
1497129514,131,89
1497133116,107,112
1497136710,106,82
1497140310,109,97
1497143911,89,94
1497147512,100,90
1497151109,114,94
1497154711,87,90
1497158321,87,91
1497161929,96,71
1497165524,78,73
1497169123,76,84
1497172723,94,99
1497176324,88,83
1497179927,103,81
1497183517,81,116
1497187113,79,98
1497190711,64,119
1497194303,77,100
1497201500,165,231
1497205097,76,120
1497208696,85,125
1497212309,89,104
1497215911,80,106
1497219496,89,109
1497223093,91,118
1497226700,114,115
1497230302,82,104
1497233888,90,106
1497237487,95,87
1497241087,77,85
1497244706,94,108
1497248298,79,127
1497251880,79,103
1497255489,84,93
1497259089,100,97
1497262695,101,100
1497266287,82,104
1497269889,98,96
1497273608,92,101
1497277104,84,104
1497280682,139,110
1497284290,82,109
1497287891,81,114
1497291510,98,123
1497295164,83,98
1497298714,90,104
1497302289,80,111
1497305888,73,100
1497309480,89,106
1497313104,91,43
1497316686,80,26
1497320290,106,22
1497323891,98,22
1497327508,95,21
1497331119,103,12
1497334704,86,67
1497338309,90,94
1497341920,103,91
1497345522,84,90
1497349106,71,98
1497352711,67,89
1497356419,86,104
1497359899,82,105
1497363494,78,93
1497367095,88,95
1497370712,83,90
1497374307,89,100
1497377900,93,104
1497381503,103,96
1497385100,91,117
1497388714,81,114
1497392295,91,113
1497395893,79,103
1497399492,84,91
1497403105,84,112
1497406698,82,127
1497410286,69,102
1497413889,79,112
1497417492,82,107
1497421093,75,90
1497424686,82,78
1497428282,83,86
1497431883,103,81
1497435486,85,122
1497439083,74,102
1497442680,83,106
1497446301,85,92
1497449895,73,104
1497453472,123,107
1497457077,92,104
1497460675,87,122
1497464303,97,98
1497467882,120,103
1497471481,85,96
1497475083,91,110
1497478687,87,99
1497482289,82,82
1497485881,92,97
1497489479,75,74
1497493079,72,92
1497496682,86,92
1497500272,67,97
1497503867,90,94
1497507470,78,98
1497511089,83,100
1497514678,85,93
1497518269,88,95
1497521877,84,102
1497525475,68,88
1497529083,86,121
1497532668,75,97
1497536271,74,49
1497539878,77,30
1497543491,79,26
1497547088,106,19
1497550687,98,19
1497554292,72,15
1497557898,98,40
1497561499,98,134
1497565088,94,169
1497568680,92,186
1497572277,91,205
1497575870,68,209
1497579465,82,215
1497583055,70,112
1497586660,92,85
1497590259,84,87
1497593860,67,89
1497597453,85,78
1497601055,61,90
1497604659,75,107
1497608255,86,104
1497611854,89,95
1497615452,94,99
1497619057,104,98
1497622656,94,86
1497626253,102,92
1497629853,100,93
1497633457,106,110
1497637064,107,95
1497640662,94,101
1497644262,79,94
1497647859,100,81
1497651463,88,104
1497655058,85,65
1497658656,87,68
1497662253,88,74
1497665859,100,88
1497669462,86,80
1497673057,80,87
1497676657,86,86
1497680255,91,81
1497683856,84,75
1497687463,85,84
1497691055,83,104
1497694659,89,122
1497698259,84,113
1497701854,75,128
1497705454,103,118
1497709052,91,106
1497712652,73,101
1497716253,76,113
1497719850,82,106
1497723446,88,115
1497727043,81,98
1497730645,71,105
1497734243,66,116
1497737838,89,107
1497741438,95,95
1497745043,72,103
1497748636,73,89
1497752237,73,90
1497755834,83,104
1497759438,73,82
1497763038,79,88
1497766631,64,88
1497770227,62,69
1497773849,83,75
1497777427,64,92
1497781026,79,87
1497784624,80,99
1497788241,73,90
1497791827,66,86
1497795422,79,63
1497799020,58,96
1497802632,65,97
1497806233,63,96
1497809825,101,71
1497813439,66,102
1497817017,71,81
1497820615,71,74
1497824215,72,85
1497827841,60,95
1497831419,74,110
1497835011,78,91
1497838616,71,83
1497842223,69,96
1497845817,55,77
1497849402,71,103
1497853005,89,81
1497856610,69,88
1497860229,84,95
1497863807,71,111
1497867409,86,95
1497871010,86,76
1497874623,89,106
1497878212,90,100
1497881809,86,90
1497885402,70,144
1497889014,85,76
1497892611,87,80
1497896204,85,109
1497899828,120,93
1497903407,145,86
1497907007,117,79
1497910604,104,90
1497914227,123,85
1497917817,131,96
1497921407,123,90
1497925013,114,89
1497928627,109,97
1497932220,103,96
1497935816,103,104
1497939421,99,92
1497943024,97,84
1497946633,107,102
1497950226,112,87
1497953821,104,82
1497957418,127,68
1497961030,94,89
1497964626,105,77
1497968223,88,88
1497971825,99,91
1497975440,92,79
1497979167,130,91
1497982652,101,96
1497986236,116,95
1497989834,89,97
1497993432,97,71
1497997047,97,91
1498000634,89,89
1498004228,85,85
1498007822,73,86
1498011442,99,78
1498015038,92,73
1498018634,80,82
1498022236,81,86
1498025847,85,76
1498029481,89,71
1498033073,69,78
1498036637,79,102
1498040246,73,91
1498043845,94,74
1498047438,79,90
1498051034,82,92
1498054630,87,75
1498058237,84,113
1498061833,80,89
1498065433,87,81
1498069035,88,96
1498072643,87,107
1498076245,98,91
1498079834,86,100
1498083425,71,87
1498087029,84,68
1498090635,77,101
1498094233,67,77
1498097824,60,72
1498101420,53,91
1498105024,45,72
1498108625,48,90
1498112221,45,72
1498115823,45,100
1498119427,40,94
1498123028,48,87
1498126627,44,74
1498130220,38,64
1498133819,46,79
1498137421,56,86
1498141015,42,77
1498144609,43,85
1498148209,66,82
1498151810,59,107
1498155403,80,98
1498159001,99,72
1498162601,86,92
1498166195,81,104
1498169797,83,91
1498173391,76,102
1498176990,84,90
1498180595,93,60
1498184197,77,79
1498187800,94,65
1498191402,99,90
1498195002,95,84
1498198607,95,75
1498202207,101,84
1498205813,96,61
1498209407,95,69
1498213017,102,79
1498216617,81,83
1498220402,97,85
1498223804,72,96
1498227400,60,82
1498231004,52,103
1498234612,50,92
1498238182,53,97
1498241760,62,99
1498245360,50,93
1498248953,51,97
1498252552,47,93
1498256206,44,97
1498259802,38,85
1498263387,52,87
1498266977,53,94
1498270573,32,100
1498274177,43,84
1498277774,41,82
1498281363,49,96
1498284956,56,96
1498288563,48,81
1498292168,28,85
1498295756,31,79
1498299351,34,95
1498302948,54,75
1498306560,35,76
1498310154,32,114
1498313749,45,92
1498317364,38,86
1498320953,43,79
1498324568,29,88
1498328159,38,98
1498331755,26,97
1498335354,19,85
1498338956,19,90
1498342532,20,102
1498346121,18,88
1498349716,20,83
1498353324,24,65
1498356913,21,68
1498360508,17,78
1498367708,31,137
1498371307,25,74
1498374896,15,76
1498378496,21,81
1498382116,25,65
1498385717,15,89
1498389300,27,72
1498392893,21,73
1498396508,23,71
1498400091,23,82
1498403707,12,67
1498407288,12,74
1498410899,18,71
1498414478,23,101
1498418076,22,71
1498421674,19,80
1498425264,19,73
1498428866,17,78
1498432467,19,57
1498436061,28,76
1498439653,20,88
1498443251,18,86
1498446853,23,67
1498450441,22,49
1498454042,25,70
1498457641,24,78
1498461235,22,73
1498464839,22,89
1498468434,32,74
1498472030,27,85
1498475626,23,101
1498479370,26,86
1498482811,25,98
1498486407,23,93
1498490002,23,77
1498493612,31,84
1498497211,32,90
1498500798,35,81
1498504395,39,115
1498508000,57,139
1498511599,52,131
1498515188,67,116
1498518782,56,115
1498522376,71,132
1498525985,69,118
1498529574,77,130
1498533167,80,115
1498536767,76,98
1498540374,88,96
1498543976,82,95
1498547567,76,110
1498551168,72,105
1498554772,81,108
1498558389,82,110
1498561966,46,125
1498565561,88,112
1498569156,68,112
1498572763,88,91
1498576360,135,101
1498579963,153,90
1498583564,80,123
1498587176,91,94
1498590765,91,114
1498594382,81,92
1498597966,85,80
1498601571,121,93
1498605187,70,101
