DateTime,Entries,UniqueIPs
1496909849,17363,17363
1496913458,17340,17340
1496917052,17344,17344
1496920674,17345,17345
1496924247,17315,17315
1496927853,17311,17311
1496952407,17224,17224
1496956612,16834,16834
1496960220,16947,16947
1496963818,17055,17055
1496967446,17152,17152
1496971059,17262,17262
1496974636,17352,17352
1496978233,17389,17389
1496981839,17412,17412
1496985457,17460,17460
1496989039,17482,17482
1496992649,17513,17513
1496996246,17536,17536
1496999857,17577,17577
1497003466,17620,17620
1497007075,17655,17655
1497010651,17684,17684
1497014255,17720,17720
1497017857,17754,17754
1497021486,17833,17833
1497025067,17901,17901
1497028668,17985,17985
1497032277,18072,18072
1497035891,18139,18139
1497039489,18209,18209
1497043078,18241,18241
1497046682,18315,18315
1497050288,18343,18343
1497053901,18377,18377
1497057491,18411,18411
1497061085,18443,18443
1497064694,18478,18478
1497068302,18494,18494
1497071899,18504,18504
1497075497,18515,18515
1497079096,18512,18512
1497082711,18505,18505
1497086305,18516,18516
1497089902,18551,18551
1497093508,18564,18564
1497097111,18619,18619
1497100710,18653,18653
1497104307,18674,18674
1497107907,18671,18671
1497111509,18683,18683
1497115120,18692,18692
1497118717,18725,18725
1497122311,18718,18718
1497125909,18730,18730
1497129514,18772,18772
1497133116,18767,18767
1497136710,18791,18791
1497140310,18803,18803
1497143911,18798,18798
1497147512,18808,18808
1497151109,18828,18828
1497154711,18825,18825
1497158321,18821,18821
1497161929,18846,18846
1497165524,18851,18851
1497169123,18843,18843
1497172723,18838,18838
1497176324,18843,18843
1497179927,18865,18865
1497183517,18830,18830
1497187113,18811,18811
1497190711,18756,18756
1497194303,18733,18733
1497201500,18667,18667
1497205097,18623,18623
1497208696,18583,18583
1497212309,18568,18568
1497215911,18542,18542
1497219496,18522,18522
1497223093,18495,18495
1497226700,18494,18494
1497230302,18472,18472
1497233888,18456,18456
1497237487,18464,18464
1497241087,18456,18456
1497244706,18442,18442
1497248298,18394,18394
1497251880,18370,18370
1497255489,18361,18361
1497259089,18364,18364
1497262695,18365,18365
1497266287,18343,18343
1497269889,18345,18345
1497273608,18336,18336
1497277104,18316,18316
1497280682,18345,18345
1497284290,18318,18318
1497287891,18285,18285
1497291510,18260,18260
1497295164,18245,18245
1497298714,18231,18231
1497302289,18200,18200
1497305888,18173,18173
1497309480,18156,18156
1497313104,18204,18204
1497316686,18258,18258
1497320290,18342,18342
1497323891,18418,18418
1497327508,18492,18492
1497331119,18583,18583
1497334704,18602,18602
1497338309,18598,18598
1497341920,18610,18610
1497345522,18604,18604
1497349106,18577,18577
1497352711,18555,18555
1497356419,18537,18537
1497359899,18514,18514
1497363494,18499,18499
1497367095,18492,18492
