DateTime,Entries,UniqueIPs
1496851250,598,598
1496854846,593,593
1496858444,590,590
1496862046,587,587
1496865642,585,585
1496869242,583,583
1496872842,584,584
1496876441,583,583
1496880054,578,578
1496883648,574,574
1496887241,573,573
1496890844,575,575
1496894453,572,572
1496898054,574,574
1496901645,572,572
1496905241,574,574
1496908840,579,579
1496912443,577,577
1496916047,576,576
1496919643,577,577
1496923259,573,573
1496926842,575,575
1496952040,564,564
1496955639,566,566
1496959239,565,565
1496962839,568,568
1496966439,567,567
1496970052,569,569
1496973639,570,570
1496977239,572,572
1496980844,571,571
1496984440,575,575
1496988049,586,586
1496991641,585,585
1496995239,581,581
1496998844,549,549
1497002440,556,556
1497006044,556,556
1497009643,557,557
1497013238,558,558
1497016849,558,558
1497020449,552,552
1497024050,550,550
1497027645,551,551
1497031244,554,554
1497034855,554,554
1497045642,555,555
1497049241,562,562
1497052843,565,565
1497056454,566,566
1497060040,566,566
1497063641,566,566
1497067242,565,565
1497070841,563,563
1497078053,561,561
1497081641,560,560
1497085242,558,558
1497088842,558,558
1497092445,563,563
1497096042,572,572
1497099641,575,575
1497103241,573,573
1497106849,573,573
1497110441,571,571
1497114041,574,574
1497117643,576,576
1497121240,575,575
1497124849,573,573
1497128441,572,572
1497132041,572,572
1497135653,572,572
1497139245,560,560
1497142841,554,554
1497146440,547,547
1497150044,523,523
1497153639,513,513
1497157239,513,513
1497160839,513,513
1497164449,514,514
1497168043,516,516
1497171641,515,515
1497175246,516,516
1497178842,518,518
1497182446,522,522
1497186039,521,521
1497189640,518,518
1497193242,518,518
1497196839,518,518
1497200442,516,516
1497204050,515,515
1497207638,514,514
1497211241,519,519
1497214839,514,514
1497218451,530,530
1497222041,529,529
1497225641,530,530
1497229241,533,533
1497232853,532,532
1497236455,531,531
1497240049,529,529
1497243641,528,528
1497247249,529,529
1497250853,527,527
1497254441,526,526
1497258053,524,524
1497261640,524,524
1497265239,523,523
1497268839,523,523
1497272440,524,524
1497276042,525,525
1497279641,523,523
1497283240,520,520
1497286845,521,521
1497290454,523,523
1497294041,524,524
1497297641,524,524
1497301243,523,523
1497304838,524,524
1497308441,526,526
1497312044,528,528
1497315646,530,530
1497319241,531,531
1497322853,534,534
1497326443,533,533
1497330042,534,534
1497333639,533,533
1497337243,533,533
1497340847,532,532
1497348041,531,531
1497351641,529,529
1497355241,527,527
1497358842,526,526
1497362442,530,530
1497366048,527,527
1497369641,525,525
1497373246,527,527
1497376841,525,525
1497380441,522,522
1497384048,523,523
1497387639,519,519
1497391240,515,515
1497394844,516,516
1497398439,519,519
1497402040,517,517
1497405642,518,518
1497409242,518,518
1497412839,516,516
1497416441,515,515
1497420041,515,515
1497423652,513,513
1497427253,513,513
1497430841,514,514
1497434441,512,512
1497438053,510,510
1497441650,512,512
1497445240,505,505
1497448842,504,504
1497452440,502,502
1497456048,502,502
1497459640,502,502
1497463247,500,500
1497466839,501,501
1497470450,500,500
1497474050,502,502
1497477640,505,505
1497481240,509,509
1497484843,510,510
1497488440,512,512
1497492044,514,514
1497495641,515,515
1497499240,518,518
1497502839,515,515
1497506439,517,517
1497510052,515,515
1497513646,514,514
1497517240,517,517
1497520840,518,518
1497524442,518,518
1497528045,518,518
1497531640,516,516
1497535251,515,515
1497538845,514,514
1497542441,516,516
1497546042,514,514
1497549640,510,510
1497553245,512,512
1497556854,513,513
1497560442,512,512
1497564050,509,509
1497567640,508,508
1497571240,509,509
1497574841,508,508
1497578449,505,505
1497582039,502,502
1497585640,501,501
1497589254,502,502
1497592839,489,489
1497596438,487,487
1497600039,485,485
1497603638,482,482
1497607239,473,473
1497610838,472,472
1497614452,467,467
1497618039,465,465
1497621646,461,461
1497625238,462,462
1497628856,463,463
1497632439,465,465
1497636053,465,465
1497639647,464,464
1497643238,465,465
1497646840,469,469
1497650439,467,467
1497654043,459,459
1497657645,460,460
1497661245,458,458
1497664840,459,459
1497668444,459,459
1497675649,463,463
1497679241,464,464
1497682850,463,463
1497686439,463,463
1497690055,465,465
1497693639,466,466
1497697244,462,462
1497700839,457,457
1497704454,459,459
1497708042,459,459
1497711641,459,459
1497715245,461,461
1497718850,465,465
1497722445,466,466
1497726039,469,469
1497733254,470,470
1497736839,469,469
1497740445,467,467
1497744041,464,464
1497747649,467,467
1497751246,466,466
1497754853,464,464
1497758453,465,465
1497765639,465,465
1497769238,466,466
1497780039,465,465
1497783639,465,465
1497787240,463,463
1497790844,463,463
1497794454,463,463
1497798048,465,465
1497801638,467,467
1497805240,466,466
1497808878,464,464
1497812440,465,465
1497816040,467,467
1497819639,468,468
1497823238,468,468
1497826837,452,452
1497830451,451,451
1497834038,448,448
1497837637,447,447
1497841238,448,448
1497844837,449,449
1497848448,450,450
1497852039,448,448
1497855641,443,443
1497859238,444,444
1497862837,444,444
1497866437,445,445
1497870039,446,446
1497873643,446,446
1497877239,449,449
1497880838,449,449
1497884438,450,450
1497888037,449,449
1497891638,450,450
1497895238,449,449
1497898840,448,448
1497902446,448,448
1497906042,451,451
1497909638,454,454
1497913238,452,452
1497916840,451,451
1497920439,454,454
1497924044,456,456
1497927637,456,456
1497931239,459,459
1497934847,461,461
1497938448,462,462
1497942039,463,463
1497945639,463,463
1497949245,465,465
1497952841,467,467
1497956446,466,466
1497960039,470,470
1497963640,470,470
1497967238,468,468
1497970852,470,470
1497974439,473,473
1497978045,475,475
1497981641,476,476
1497985240,479,479
1497988850,480,480
1497992440,479,479
1497996054,479,479
1497999655,482,482
1498003240,481,481
1498006841,483,483
1498010441,483,483
1498014041,486,486
1498017640,487,487
1498021243,487,487
1498024840,488,488
1498028442,492,492
1498032051,493,493
1498035642,511,511
1498039243,517,517
1498042843,520,520
1498046446,522,522
1498050043,524,524
1498053646,524,524
1498057242,528,528
1498060855,532,532
1498064444,531,531
1498068046,535,535
1498071644,537,537
1498075243,539,539
1498078843,535,535
1498082449,535,535
1498086059,537,537
1498089642,532,532
1498093243,530,530
1498096844,527,527
1498100450,526,526
1498104042,523,523
1498107642,521,521
1498111243,515,515
1498118447,517,517
1498122041,522,522
1498125643,530,530
1498129257,531,531
1498132844,528,528
1498136442,530,530
1498140057,530,530
1498143643,529,529
1498147243,531,531
1498150841,531,531
1498154444,533,533
1498158045,536,536
1498161646,534,534
1498165257,534,534
1498168847,536,536
1498172453,536,536
1498176045,536,536
1498179656,535,535
1498183264,535,535
1498186849,534,534
1498190457,537,537
1498194071,534,534
1498197644,532,532
1498201273,531,531
1498204854,531,531
1498208455,556,556
1498212044,556,556
1498215675,557,557
1498219293,559,559
1498222858,568,568
1498226482,570,570
1498230072,571,571
1498233689,577,577
1498237260,580,580
1498240868,582,582
1498244453,595,595
1498248060,594,594
1498251647,596,596
1498255245,595,595
1498258842,594,594
1498262441,595,595
1498266047,590,590
1498269642,591,591
1498273242,594,594
1498276842,594,594
1498280451,592,592
1498284098,590,590
1498291289,591,591
1498294887,593,593
1498298487,596,596
1498302089,597,597
1498305699,598,598
1498309289,598,598
1498312884,598,598
1498316489,600,600
1498320097,601,601
1498323691,602,602
1498327288,597,597
1498330866,596,596
1498334497,595,595
1498338060,594,594
1498341669,593,593
1498345264,591,591
1498348868,593,593
1498352469,591,591
1498356061,591,591
1498366865,591,591
1498370482,592,592
1498374084,590,590
1498377677,592,592
1498381279,592,592
1498384848,591,591
1498388463,590,590
1498392056,588,588
1498395646,586,586
1498399246,586,586
1498402845,586,586
1498406446,583,583
1498410050,579,579
1498413645,578,578
1498417245,577,577
1498420845,578,578
1498424444,578,578
1498428044,577,577
1498431645,578,578
1498442445,577,577
1498446044,573,573
1498449658,575,575
1498453245,575,575
1498456845,573,573
1498460444,574,574
1498464045,576,576
1498467651,575,575
1498471246,572,572
1498474851,573,573
1498478456,575,575
1498482046,573,573
1498489244,570,570
1498492861,570,570
1498496457,569,569
1498500044,572,572
1498503664,570,570
1498507244,573,573
1498510844,571,571
1498514445,568,568
1498518044,567,567
1498521646,567,567
1498525243,571,571
1498528844,569,569
1498532444,566,566
1498536043,565,565
1498539644,563,563
1498543244,564,564
1498546844,564,564
1498550443,562,562
1498554043,561,561
1498557645,565,565
1498561255,565,565
1498564843,562,562
1498568443,561,561
1498572043,560,560
1498575644,560,560
1498579252,556,556
1498582846,557,557
1498586444,559,559
1498590043,559,559
1498593650,556,556
1498597246,556,556
1498604444,556,556
1498608048,555,555
1498611645,558,558
1498618844,554,554
1498626044,554,554
1498629646,552,552
1498633245,549,549
1498636861,548,548
1498640443,534,534
1498644059,529,529
1498647644,531,531
1498651243,532,532
1498654861,531,531
1498658442,529,529
1498662060,529,529
1498665642,527,527
1498669242,526,526
1498672842,521,521
1498676446,521,521
1498680045,513,513
1498683643,513,513
1498687251,509,509
1498690842,509,509
1498694441,506,506
1498698042,506,506
1498701642,505,505
1498705241,505,505
1498708841,506,506
1498716042,508,508
1498723241,505,505
1498726841,502,502
1498730448,502,502
1498734041,499,499
1498737641,501,501
1498741242,500,500
1498744840,499,499
