DateTime,Entries,UniqueIPs
1496857683,7037,7037
1496861763,7031,7031
1496865607,7029,7029
1496867523,7007,7007
1496871363,6998,6998
1496875204,6984,6984
1496879043,6967,6967
1496882883,6953,6953
1496886723,6964,6964
1496890563,6946,6946
1496894406,6949,6949
1496898243,6933,6933
1496900163,6954,6954
1496905923,6957,6957
1496907842,6927,6927
1496911682,6914,6914
1496915522,6928,6928
1496919363,6946,6946
1496923206,6963,6963
1496925123,6954,6954
1496928962,6962,6962
1496932803,6959,6959
1496936643,6972,6972
1496940482,6983,6983
1496946243,6985,6985
1496950083,7001,7001
1496952006,7010,7010
1496953922,6997,6997
1496958004,6965,6965
1496961843,6957,6957
1496965682,6958,6958
1496969522,6930,6930
1496973363,6924,6924
1496979123,6904,6904
1496982965,6904,6904
1496986803,6920,6920
1496990644,6918,6918
1496994483,6914,6914
1496998323,6926,6926
1497000244,6927,6927
1497007922,6944,6944
1497012002,6938,6938
1497015842,6926,6926
1497017763,6976,6976
1497019682,6951,6951
1497023522,6970,6970
1497027363,6981,6981
1497033123,6985,6985
1497036963,6996,6996
1497040804,6994,6994
1497044643,6952,6952
1497048483,6941,6941
1497052322,6956,6956
1497054243,6952,6952
1497056163,6953,6953
1497060005,6957,6957
1497061922,6938,6938
1497065763,6924,6924
1497069603,6930,6930
1497073442,6942,6942
1497077283,6941,6941
1497081122,6951,6951
1497084963,6957,6957
1497088805,6970,6970
1497090723,6974,6974
1497094562,6991,6991
1497098404,6990,6990
1497102243,6995,6995
1497106083,7013,7013
1497109922,7001,7001
1497111844,6991,6991
1497113764,6995,6995
1497117607,6993,6993
1497119523,6989,6989
1497123363,6986,6986
1497127203,6964,6964
1497131042,6949,6949
1497133202,6995,6995
1497135122,6910,6910
1497138963,6951,6951
1497142811,6931,6931
1497146642,6935,6935
1497148562,6907,6907
1497152403,6896,6896
1497156243,6905,6905
1497160082,6922,6922
1497163922,6933,6933
1497167763,6932,6932
1497171612,6951,6951
1497173522,6942,6942
1497177362,6957,6957
1497181203,6968,6968
1497185043,6969,6969
1497188882,6996,6996
1497192722,6984,6984
1497196563,6980,6980
1497198723,6997,6997
1497202562,6996,6996
1497206402,6996,6996
1497210243,6995,6995
1497214323,6984,6984
1497218164,6954,6954
1497220323,6932,6932
1497224163,6941,6941
1497228003,6919,6919
1497231843,6917,6917
1497235922,6916,6916
1497239763,6903,6903
1497243605,6900,6900
1497245523,6927,6927
1497249604,6920,6920
1497253443,6930,6930
1497257522,6939,6939
1497261612,6941,6941
1497263522,6940,6940
1497267603,6949,6949
1497271442,6948,6948
1497277203,6959,6959
1497279122,6962,6962
1497281042,6948,6948
1497282966,6960,6960
1497286810,6977,6977
1497288722,6982,6982
1497292807,6993,6993
1497296882,6999,6999
1497300723,7004,7004
1497304808,6984,6984
1497308642,6941,6941
1497310562,6945,6945
1497316563,6937,6937
1497318482,6948,6948
1497322322,6929,6929
1497326163,6917,6917
1497330006,6915,6915
1497331923,6924,6924
1497333843,6945,6945
1497335763,6934,6934
1497339604,6935,6935
1497343443,6937,6937
1497347282,6940,6940
1497351122,6948,6948
1497353044,6940,6940
1497354964,6960,6960
1497358807,6954,6954
1497360724,6977,6977
1497366483,6973,6973
1497368402,6965,6965
1497374162,6972,6972
1497376083,6983,6983
1497380164,6997,6997
1497382083,6993,6993
1497387844,6995,6995
1497389762,6988,6988
1497393603,6936,6936
1497397682,6954,6954
1497401522,6934,6934
1497405363,6938,6938
1497409210,6927,6927
1497411122,6923,6923
1497414962,6909,6909
1497418804,6922,6922
1497422643,6918,6918
1497426483,6944,6944
1497430323,6936,6936
1497434163,6955,6955
1497438005,6965,6965
1497439922,6965,6965
1497443762,6964,6964
1497447603,6965,6965
1497449522,6988,6988
1497451443,6988,6988
1497455282,7019,7019
1497459122,6999,6999
1497463210,6989,6989
1497465130,6995,6995
1497470883,6999,6999
1497472803,6995,6995
1497476643,6949,6949
1497480722,6931,6931
1497484811,6932,6932
1497486723,6913,6913
1497490562,6915,6915
1497492482,6907,6907
1497498242,6902,6902
1497502083,6886,6886
1497505922,6906,6906
1497509763,6913,6913
1497513610,6924,6924
1497515523,6922,6922
1497519602,6937,6937
1497523444,6944,6944
1497527283,6953,6953
1497529214,6957,6957
1497534963,6971,6971
1497536883,6965,6965
1497540722,6973,6973
1497544803,6988,6988
1497548644,7004,7004
1497552491,6999,6999
1497556322,6978,6978
1497560163,6989,6989
1497564011,6954,6954
1497565922,6913,6913
1497569762,6914,6914
1497573603,6914,6914
1497577442,6918,6918
1497581283,6899,6899
1497585122,6882,6882
1497588963,6881,6881
1497592809,6896,6896
1497594722,6890,6890
1497598563,6907,6907
1497602404,6905,6905
1497606243,6902,6902
1497610083,6916,6916
1497613923,6927,6927
1497618008,6943,6943
1497619923,6949,6949
1497623762,6951,6951
1497627604,6960,6960
1497631686,6965,6965
1497635763,6958,6958
1497639615,6946,6946
1497643445,6945,6945
1497645363,6956,6956
1497649202,6944,6944
1497653283,6931,6931
1497657122,6930,6930
1497661207,6921,6921
1497663122,6910,6910
1497668882,6901,6901
1497670803,6899,6899
1497676802,6890,6890
1497678722,6916,6916
1497682563,6924,6924
1497686412,6932,6932
1497692162,6956,6956
1497696004,6963,6963
1497699843,6975,6975
1497705842,6986,6986
1497707763,6986,6986
1497711608,6996,6996
1497713523,6984,6984
1497717362,6976,6976
1497721204,6992,6992
1497725284,6979,6979
1497729123,6962,6962
1497732964,6954,6954
1497736806,6929,6929
1497738963,6916,6916
1497742803,6925,6925
1497746643,6916,6916
1497750482,6914,6914
1497754323,6898,6898
1497756243,6914,6914
1497758164,6914,6914
1497762005,6895,6895
1497764163,6898,6898
1497766083,6896,6896
1497768002,6922,6922
1497771843,6933,6933
1497775922,6946,6946
1497779763,6948,6948
1497781923,6951,6951
1497785762,6959,6959
1497789603,6969,6969
1497793442,6977,6977
1497797523,6972,6972
1497801364,6981,6981
1497805445,6979,6979
1497807362,6980,6980
1497811203,6979,6979
1497815042,6970,6970
1497819122,6979,6979
1497823213,6953,6953
1497825126,6920,6920
1497828964,6918,6918
1497835203,6905,6905
1497837122,6908,6908
1497840963,6874,6874
1497844806,6883,6883
1497846723,6877,6877
1497850562,6907,6907
1497854402,6909,6909
1497858243,6907,6907
1497860164,6938,6938
1497862083,6909,6909
1497864004,6938,6938
1497865923,6924,6924
1497869763,6909,6909
1497873607,6911,6911
1497875524,6923,6923
1497879364,6928,6928
1497885122,6932,6932
1497887044,6909,6909
1497888962,6938,6938
1497890884,6958,6958
1497894723,6957,6957
1497898809,6962,6962
1497900723,6971,6971
1497905282,6965,6965
1497909123,6963,6963
1497912963,6908,6908
1497916808,6908,6908
1497920646,6887,6887
1497922564,6897,6897
1497926403,6885,6885
1497930244,6881,6881
1497936243,6876,6876
1497938164,6901,6901
1497942005,6896,6896
1497943923,4003,4003
1497945842,6903,6903
1497947762,6914,6914
1497951603,6913,6913
1497957362,6913,6913
1497959283,6910,6910
1497963364,6928,6928
1497967206,6957,6957
1497971043,6948,6948
1497972962,6949,6949
1497977043,6965,6965
1497980883,6989,6989
1497984723,7008,7008
1497988564,6997,6997
1497992643,7003,7003
1497994562,6975,6975
1497998404,6948,6948
1498002242,6952,6952
1498006082,6929,6929
1498010163,6934,6934
1498012082,6912,6912
1498017843,6920,6920
1498019762,6912,6912
