DateTime,Entries,UniqueIPs
1498260250,41201,43755
1498260540,41293,43861
1498261561,41244,43815
1498262567,41503,44100
1498263629,41558,44165
1498264608,41609,44238
1498265154,39887,42388
1498265535,39827,42333
1498266277,39811,42318
1498266530,39760,42272
1498267570,39709,42224
1498268660,39750,42269
1498268754,39781,42306
1498269678,39793,42315
1498270132,39768,42290
1498270612,39638,42155
1498271546,39661,42179
1498272061,39668,42186
1498272542,39648,42161
1498273476,39621,42132
1498273961,39632,42144
1498274437,39661,42182
1498275420,39648,42181
1498275860,39657,42189
1498275954,39697,42229
1498276347,39783,42330
1498277302,39718,42265
1498277784,39718,42265
1498278250,39618,42176
1498279250,39626,42187
1498279701,39701,42262
1498280185,39391,41932
1498281176,39430,41987
1498281692,39434,41992
1498282107,39348,41907
1498283071,39258,41820
1498283593,39321,41888
1498284134,39258,41827
1498285260,39215,41795
1498285721,39219,41799
1498286198,39062,41635
1498286754,39121,41698
1498287181,39022,41615
1498287694,39027,41619
1498288128,38773,41341
1498289069,38587,41153
1498290065,38418,40998
1498290354,38503,41084
1498290997,38310,40877
1498291476,38312,40877
1498291987,38152,40707
1498292903,38221,40787
1498293390,38227,40794
1498293871,38102,40662
1498293954,38193,40757
1498294939,38251,40844
1498295314,38253,40847
1498296057,38213,40797
1498297049,38187,40768
1498297512,38193,40777
1498297554,38246,40831
1498297981,38238,40822
1498298901,38166,40749
1498299379,38167,40749
1498299865,38144,40720
1498300857,38165,40751
1498301302,38273,40862
1498301775,38222,40788
1498302801,38322,40879
1498303269,38323,40880
1498303706,38325,40894
1498304673,38317,40873
1498305191,38374,40933
1498305751,38450,41014
1498306872,38346,40900
1498307308,38342,40896
1498307785,38420,40981
1498308354,38489,41053
1498308780,38391,40946
1498309726,38495,41059
1498310668,38453,40997
1498311301,38456,41000
1498311662,38265,40800
1498311954,38319,40861
1498312590,38477,41040
1498313288,38483,41046
1498313590,38385,40932
1498314506,38549,41120
1498315245,38540,41112
1498315461,38535,41097
1498315554,38605,41169
1498316561,38595,41168
1498317167,38603,41175
1498317613,38545,41116
1498318619,38613,41204
1498319072,38616,41207
1498319154,38661,41257
1498319578,38548,41142
1498320514,38645,41251
1498321474,38514,41090
1498322460,38585,41166
1498322907,38689,41269
1498323384,38491,41051
1498324653,38560,41121
1498325085,38567,41124
1498325811,38796,41376
1498326354,38826,41407
1498326744,38814,41385
1498327024,38818,41389
1498327730,38570,41142
1498328654,38690,41275
1498328940,38689,41274
1498329625,38844,41449
1498329954,38889,41496
1498330605,38838,41446
1498330942,38834,41442
1498331579,38957,41573
1498332491,38548,41160
1498332787,38553,41166
1498333464,38895,41568
1498333555,38938,41611
1498334520,38329,40975
1498334912,38326,40971
1498335432,38416,41094
1498336632,38152,40836
1498337071,38153,40837
1498337154,38210,40900
1498337546,38175,40858
1498338535,38129,40802
1498339041,38132,40803
1498339480,37946,40583
1498340430,38078,40729
1498340942,38129,40785
1498341417,38069,40728
1498342356,38039,40689
1498342866,38033,40683
1498343338,37951,40590
1498344292,37898,40524
1498344782,37938,40569
1498345312,37950,40603
1498346235,37797,40424
1498346711,37801,40427
1498347188,37913,40544
1498347626,37906,40535
1498348109,37772,40377
1498348587,37785,40390
1498349327,37750,40353
1498350262,37752,40347
1498350494,37768,40363
1498351256,37791,40390
1498351449,37810,40409
1498351554,36224,38711
1498352192,36278,38768
1498352525,36288,38778
1498353185,36110,38591
1498354107,36075,38570
1498354367,36074,38568
1498355061,35910,38384
1498355303,36041,38533
1498356091,36298,38812
1498356270,36304,38818
1498357270,36215,38718
1498358195,36274,38779
1498358754,36308,38818
1498359175,36264,38746
1498360108,36092,38566
1498361064,36064,38537
1498362062,35854,38299
1498362354,35913,38364
1498363014,35982,38455
1498363963,35923,38392
1498364931,35947,38417
1498365870,35952,38432
1498365954,35991,38471
1498366907,35931,38419
1498367825,35870,38345
1498369033,35922,38395
1498369726,35960,38435
1498369943,35941,38409
1498370923,35850,38304
1498371625,35853,38306
1498371861,35942,38403
1498372827,35875,38324
1498373154,35924,38376
1498373812,35853,38294
1498374757,35890,38327
1498375732,35854,38301
1498376662,35848,38299
1498376754,35916,38372
1498377402,35916,38371
1498377683,35972,38421
1498378621,35873,38303
1498379320,35873,38304
1498379550,35973,38440
1498380546,35964,38440
1498381718,35948,38402
