DateTime,AddedIPs,RemovedIPs
1498162921,7,0
1498164243,64,3
1498165386,1,3
1498166164,53,53
1498166522,6,0
1498167122,4,1
1498167721,1,0
1498168928,25,4
1498169522,1,13
1498170005,0,66
1498170121,1,1
1498170781,2,1
1498171321,0,1
1498171922,52,5
1498172522,1,0
1498172586,1,2
1498173122,0,2
1498173844,0,75
1498174381,1,3
1498174921,4,1
1498175762,80,0
1498176121,4,0
1498176187,0,1
1498176722,3,0
1498177321,1,1
1498177924,47,64
1498178521,0,2
1498179122,13,3
1498179727,12,1
1498180921,1,1
1498181762,75,6
1498182121,2,1
1498182722,2,0
1498183322,0,1
1498183684,0,121
1498183923,8,4
1498184522,13,0
1498185722,2,0
1498186321,3,0
1498186987,2,2
1498187522,72,0
1498188122,4,3
1498188722,1,0
1498189442,80,6
1498190588,4,7
1498191121,5,0
1498191722,1,0
1498192381,2,0
1498192923,3,0
1498193523,94,187
1498194187,2,1
1498194722,4,0
1498195684,2,81
1498196522,1,0
1498197122,7,5
1498197610,77,0
1498197787,2,7
1498198321,2,1
1498199523,51,64
1498200121,4,0
1498201388,6,8
1498201921,10,1
1498202521,3,3
1498203364,42,41
1498203721,7,5
1498204321,5,0
1498204987,2,2
1498206122,3,2
1498206723,2,0
1498207204,50,34
1498207322,20,0
1498207921,3,0
1498208588,0,4
1498209122,6,3
1498209723,1,1
1498210322,0,1
1498211284,58,42
1498211522,1,0
1498213206,0,38
1498213322,4,1
1498214522,1,0
1498215123,39,3
1498215723,35,9
1498215789,0,3
1498216321,11,12
1498217044,6,39
1498217521,1,0
1498218121,1,5
1498219387,4,2
1498219922,2,0
1498220522,1,1
1498220883,63,0
1498221121,0,1
1498221181,1,0
1498221722,4,3
1498222321,3,5
1498222817,44,76
1498222987,0,2
1498223522,4,1
1498224121,1,0
1498224964,54,0
1498225322,6,0
1498225922,4,1
1498226521,0,2
1498226588,0,3
1498227722,2,0
1498228322,3,0
1498228807,44,99
1498228921,0,1
1498229521,3,0
1498230188,2,3
1498231322,1,6
1498231921,1,2
1498232642,58,0
1498233121,1,9
1498233788,1,0
1498234322,8,0
1498234922,7,0
1498235581,33,10
1498236122,1,5
1498236484,0,39
1498237322,1,0
1498237388,2,1
1498237922,1,1
1498238402,45,0
1498238521,4,0
1498239721,19,2
1498240323,59,7
1498240929,2,6
1498242245,9,99
1498243321,1,1
1498244163,67,0
1498244528,0,4
1498245721,1,5
1498246325,51,46
1498246922,8,0
1498248189,5,14
1498248722,0,12
1498249981,6,7
1498250522,2,1
1498251121,4,0
1498252084,33,103
1498252321,5,1
1498252922,2,2
1498253522,1,0
1498254003,55,0
1498254722,1,0
1498255388,8,5
1498255924,71,66
1498256521,2,1
1498257121,1,0
1498257843,1,69
1498258922,17,12
1498259521,1,1
1498260121,0,2
1498260721,1,0
1498261322,3,6
1498261922,77,1
1498262591,1,2
1498263843,3,74
1498264323,3,0
1498264922,32,0
1498265522,19,2
1498265763,46,0
1498266122,20,0
1498266191,0,2
1498266721,11,3
1498267322,4,0
1498267921,2,1
1498268521,2,0
1498269122,2,1
1498269843,78,60
1498270321,2,0
1498270921,1,1
1498271522,1,0
1498272003,67,10
1498272123,7,1
1498272721,5,0
1498273330,5,0
1498273927,8,144
1498274522,6,0
1498275843,83,0
1498276322,0,2
1498276931,14,0
1498277522,1,0
1498277764,0,94
1498278121,1,0
1498278723,25,0
1498279322,8,1
1498279682,73,0
1498279922,4,0
1498280590,3,2
1498281122,7,1
1498281721,5,1
1498282381,43,11
1498282921,5,11
1498283524,87,84
1498284191,6,4
1498284721,0,2
1498285321,4,3
1498285922,3,0
1498286521,3,3
1498287617,44,90
1498287792,19,4
1498288322,4,0
1498289523,58,0
1498290122,1,0
1498291392,0,1
1498291922,2,2
1498292521,2,0
1498293121,2,4
1498293364,49,7
1498293721,1,1
1498294323,17,0
1498295285,8,74
1498296781,8,0
1498297443,52,1
1498297922,1,0
1498298522,2,0
1498298591,0,2
1498299122,2,0
1498299363,52,40
1498300321,1,0
1498300922,2,2
1498301284,0,47
1498301521,1,0
1498302122,22,0
1498302191,0,3
1498302722,24,2
1498303322,41,8
1498303921,2,0
1498304521,44,0
1498305123,87,0
1498305791,23,2
1498306321,7,0
1498307284,8,63
1498307521,22,0
1498307581,1,0
1498308121,14,0
1498308721,17,3
1498309391,10,1
1498309922,7,1
1498310522,11,0
1498311122,123,1
1498311722,13,5
1498313045,10,101
1498313522,1,2
1498314121,5,1
1498314723,7,0
1498314962,52,0
1498315322,3,0
1498315921,2,0
1498316592,5,9
1498317722,3,2
1498319044,46,7
1498319521,25,5
1498320191,2,4
1498320963,54,20
1498321321,1,1
1498321921,4,0
1498322521,4,0
1498322883,33,102
1498323731,24,8
1498324321,7,2
1498325044,9,55
1498326122,11,0
1498326963,64,0
1498327332,9,6
1498327922,12,0
1498328522,5,0
1498329722,3,5
1498330321,3,0
1498330921,50,102
1498330991,0,4
1498332122,8,2
1498332722,62,0
1498334591,4,7
1498335122,2,0
1498335722,2,2
1498336381,11,0
1498337044,88,106
1498337521,9,0
1498338122,7,1
1498338192,0,4
1498338721,17,0
1498339322,1,2
1498339922,4,1
1498340522,1,1
1498340882,42,0
1498341121,2,0
1498341791,39,9
1498342321,5,0
1498342804,0,65
1498342921,1,0
1498343522,1,4
1498344121,2,2
1498344723,66,1
1498345391,11,2
1498345922,8,0
1498346522,10,0
1498347121,14,0
1498347722,13,6
1498348564,71,136
1498348992,5,2
1498349522,5,2
1498350122,3,2
1498350722,5,0
1498351322,6,0
1498352404,43,0
1498352531,5,1
1498353122,8,0
1498353722,5,2
1498354324,74,124
1498354922,3,1
1498355522,3,1
1498356192,2,2
1498356721,3,2
1498357321,2,1
1498357922,3,0
1498358162,69,0
1498358522,1,0
