DateTime,Entries,UniqueIPs
1497740281,17821,653159150
1497741608,17829,653159158
1497743805,17829,653159158
1497744003,17831,653159160
1497745202,17835,653159167
1497748803,17849,653159181
1497752402,17845,653159177
1497754202,17845,653159177
1497755732,17833,653159164
1497759313,17834,653159165
1497763207,17830,653159161
1497766544,17824,653159155
1497770702,17821,653159152
1497774007,17836,653159167
1497775534,17836,653159167
1497777318,17830,653159161
1497780940,17816,653159147
1497784803,17810,653159141
1497788702,17830,653159160
1497791711,17830,653159160
1497792303,17830,653159161
1497795610,17827,653159158
1497799447,17839,653159170
1497801368,17839,653159170
1497802524,17834,653159165
1497804602,17834,653159165
1497805452,17835,653159677
1497806142,17840,653159682
1497808503,17840,653159682
1497810002,17839,653159681
1497811208,17839,653159681
1497812103,17839,653159681
1497813902,17832,653159674
1497815048,17832,653159674
1497815703,17832,653159674
1497817214,17830,653159672
1497819302,17830,653159672
1497820518,17831,653159673
1497824651,17816,653159658
1497825020,17817,653159659
1497828003,17832,653159674
1497828485,17831,653159673
1497831902,17848,653159690
1497835208,17850,653159692
1497835822,17849,653159691
1497838522,17853,653159695
1497840967,17852,653159695
1497842147,17826,653159669
1497846626,17821,653159665
1497849606,17814,653159658
1497853691,17828,653159672
1497855483,17828,653159672
1497856810,17828,653159672
1497858305,17828,653159672
1497860646,17817,653159660
1497864002,17822,653159665
1497867602,17822,653159665
1497871206,17825,653159669
1497873903,17827,653159671
1497874203,17825,653159669
1497875287,17825,653159669
1497878403,17826,653159670
1497882006,17823,653159667
1497883928,17824,653159668
1497884103,17825,653159412
1497886089,17828,653159415
1497889203,17829,653159416
1497891303,17829,653159416
1497891611,17832,653152248
1497892809,17839,653152255
1497897015,17839,653152255
1497898202,17839,653152255
1497898525,17839,653152255
1497900620,17828,653152243
1497903846,17804,653152218
1497904803,17803,653152217
1497905109,17804,653152218
1497907691,17798,653152212
1497911419,17788,653152202
1497914407,17797,653152212
1497917769,17813,653152229
1497921307,17814,653152230
1497921315,17810,653152226
1497925202,17819,653152235
1497928805,17790,653152205
1497932135,17791,653152206
1497932885,17823,653152239
1497936003,17824,653152240
1497939618,17829,653152245
1497943446,17819,653152236
1497946552,17810,653152227
1497947286,17811,653152228
1497949221,17812,653152229
1497950405,17832,653152248
1497953741,17833,653152249
1497954245,17836,653152253
1497954303,17835,653152252
1497956415,17834,653152251
1497957309,17835,653152252
1497957324,17822,653152238
1497959110,17823,653152239
1497961502,17844,653152260
1497964803,17841,653152257
1497966002,17840,653152256
1497966691,17841,653152257
1497968402,17837,653152253
1497970502,17838,653152510
1497972303,17842,653152514
1497973204,17842,653152514
1497974103,17842,653152513
1497975607,17841,653152512
1497978009,17845,653130752
1497979502,17840,653130747
1497980403,17840,653130747
1497982808,17835,653130742
1497983102,17834,653130741
1497983403,17835,653130742
1497984936,17834,653130742
1497986647,17833,653130741
1497989723,17835,653130742
1497992103,17835,653130742
1497992649,17834,653130741
1497992703,17835,653130742
1497993603,17833,653130740
1497995821,17833,653130741
1497997502,17834,653130742
1497998409,17833,653130741
1497998756,17834,653130742
1497999321,17835,653130742
1498000503,17836,653130743
1498000506,17834,653130741
1498004702,17862,653130769
1498005303,17861,653130768
1498008247,17855,653130763
1498009503,17856,653130764
1498011003,17857,653130765
1498012086,17854,653130762
1498012503,17853,653130761
1498015204,17841,653130748
1498018808,17840,653130747
1498019455,17839,653130746
1498019703,17840,653130747
1498020302,17839,653130746
1498022403,17846,653130753
1498025103,17847,653130754
1498025737,17844,653130752
1498028703,17843,653130751
