DateTime,AddedIPs,RemovedIPs
1497669389,8,6
1497670256,0,33
1497672996,1,0
1497674406,3,1
1497679309,1,0
1497680167,2,0
1497680630,7,9
1497682082,27,1
1497687369,1,0
1497689763,32,2
1497691524,10,6
1497694568,3,0
1497695460,44,0
1497697443,2,2
1497700246,1057,254
1497701283,2,3
1497701765,1,0
1497702463,6,4
1497703213,24,0
1497705366,1,0
1497705423,7,1
1497708962,2,2
1497708965,5,0
1497713530,4,1583
1497714709,915,0
1497716643,2,0
1497723365,5,0
1497723551,74,0
1497724323,2,1
1497724566,3,3
1497726905,0,255
1497730565,2,0
1497732003,3,3
1497733275,0,256
1497734355,64,0
1497735632,6,6
1497737765,6,0
1497739682,4,4
1497744963,8,1
1497745865,48,0
1497746630,16,6
1497747364,1,1
1497752163,3,0
1497753053,29,632
1497755284,15,16
1497755769,0,18
1497757667,6,2
1497759381,5,0
1497763203,24,4
1497766564,3,1
1497767044,3,2
1497768746,5,9
1497771801,27,0
1497773767,5,0
1497774722,5,3
1497779736,3,6
1497780962,1,2
1497782403,5,4
1497786638,236,160
1497788167,3,0
1497790083,3,2
1497790916,5,7
1497791706,1,0
1497791823,11,0
1497793886,45,0
1497795364,2,0
1497797764,2,2
1497798963,0,1810
1497801167,255,0
1497801694,77,6
1497802563,4,0
1497805443,4,258
1497809763,2,2
1497811779,94,0
1497812637,10,4
1497813124,5,1
1497815638,253,0
1497816963,4,0
1497821284,98,5
1497823609,5,9
1497824162,2,1
1497825124,3,2
1497831366,9,0
1497832262,73,0
1497833043,18,16
1497834691,5,6
1497838561,3,1
1497839454,45,988
1497840723,2,2
1497842163,0,25
1497845777,13,3
1497847888,36,0
1497848403,4,4
1497852963,3,0
1497855171,37,0
1497856324,2,1
1497856691,3,5
1497864003,3,2
1497866476,34,0
1497867363,6,1
1497867476,7,2
1497870965,1,0
1497871683,1,1
1497873091,159,163
1497874563,3,0
1497878380,35,7
1497879103,2,1
1497879363,2,1
1497880923,2,9
1497881764,7,0
1497883207,3,1
1497883982,252,0
1497886278,0,2067
1497888076,49,0
1497888963,6,0
1497889296,4,8
1497890882,2,1
1497896159,5,0
1497896347,161,0
1497898869,1,2
1497900093,3,7
1497903364,17,0
1497907202,3,2
1497907866,130,0
1497910565,6,1
1497910943,6,8
1497914883,3,3
1497917764,3,0
1497918666,97,0
1497921305,1,0
1497922048,3,6
1497922563,18,21
1497925026,3,0
1497925855,37,804
1497928564,0,27
1497930243,4,3
1497932182,1,0
1497933063,6,6
1497934293,50,0
1497937923,3,2
1497939362,2,0
1497941763,2,4
1497942906,44,0
1497943934,5,8
1497946563,4,0
1497947030,2,1
1497948956,2,1
1497949443,1,1
1497951103,0,1
1497952277,53,0
1497953760,2,0
1497955231,5,3
1497957123,4,0
1497958325,1,0
1497959553,190,160
1497960962,2,0
1497964802,7,6
1497965478,2,1
1497966252,1,2
1497968167,2,0
1497968674,2,2
1497970404,103,0
1497971767,0,15
1497972483,4,3
1497973564,255,0
1497974474,1,0
1497975367,5,0
1497977257,12,6
1497978966,1,0
1497979148,201,0
1497982569,5,0
1497983470,1,0
1497986162,1,0
1497987843,3,1
1497988355,7,4
1497989766,4,0
1497989947,126,0
1497993362,1,0
1497995522,3,4
