DateTime,AddedIPs,RemovedIPs
1496727376,0,5
1496734818,1,0
1496735296,0,1
1496742363,1,0
1496743455,1,0
1496743935,0,1
1496744417,1,0
1496747783,1,0
1496753568,57,0
1496757853,0,1
1496758347,1,0
1496758819,0,1
1496759539,1,0
1496769616,0,2
1496770342,0,1
1496771304,1,0
1496776575,1,1
1496778019,2,0
1496778494,3,3
1496783778,0,1
1496784737,1,2
1496790253,1,1
1496795534,0,1
1496796498,1,0
1496797314,56,0
1496797697,2,0
1496798180,0,1
1496798653,0,1
1496801056,0,1
1496801757,1,0
1496819054,1,0
1496820738,1,0
1496822659,0,1
1496823133,1,0
1496829134,0,2
1496829856,1,1
1496831461,1,0
1496833458,1,0
1496837774,0,1
1496841175,49,0
1496845882,1,0
1496849538,2,0
1496850977,2,0
1496856736,0,1
1496858174,0,2
1496858656,1,0
1496862256,1,0
1496863219,1,0
1496863701,1,2
1496864653,2,6
1496884849,47,0
1496885295,1,1
1496885777,1,0
1496886744,0,1
1496887456,0,1
1496897297,0,1
1496906899,2,0
1496915540,0,2
1496921472,1,0
1496928517,49,0
1496939294,1,1
1496941456,2,0
1496943376,0,1
1496945053,1,0
1496946974,1,1
1496948659,0,2
1496951056,5,5
1496955141,2,0
1496961615,0,2
1496968575,2,0
1496971940,0,1
1496972196,55,0
1496973376,1,1
1496973861,1,0
1496975295,0,2
1496981534,0,1
1496983454,1,0
1496983945,0,1
1496989455,1,1
1496991133,2,0
1496997854,0,2
1496999303,2,0
1497004578,0,1
1497005053,1,0
1497011456,4,0
1497015140,0,1
1497015858,54,0
1497018014,0,1
1497020901,1,0
1497022816,1,0
1497024733,0,1
1497031697,1,0
1497032654,0,2
1497037945,5,5
1497046097,0,1
1497047053,1,0
1497051854,1,1
1497056658,0,1
1497057139,1,1
1497057616,1,0
1497059557,58,0
1497063855,1,0
1497082816,2,0
1497103303,60,0
1497103701,1,0
1497106574,1,0
1497110655,1,0
1497120015,0,2
1497120494,0,1
1497124095,5,2
1497132257,2,0
1497133858,1,0
1497135135,1,0
1497138016,0,1
1497138499,1,0
1497144015,0,1
1497144744,1,0
1497146178,0,1
1497147167,55,0
1497151940,1,0
1497159379,0,2
1497161298,2,0
1497165134,0,1
1497176419,1,1
1497177377,0,2
1497184093,2,0
1497190855,57,0
1497194177,0,1
1497210256,2,2
1497214340,2,2
1497221298,2,0
1497230416,0,1
1497231140,1,1
1497231616,1,0
1497234521,49,0
1497250093,0,2
1497277224,2,0
1497278199,55,0
1497291373,0,2
1497296895,2,1
1497309617,2,0
1497310340,1,0
1497315855,0,1
1497316818,1,0
1497317539,0,1
1497318974,1,2
1497321876,49,0
1497325215,3,1
1497338181,0,2
1497346816,2,0
1497348256,0,1
1497348739,1,0
1497349700,1,0
1497352333,1,1
1497359299,0,2
1497361224,2,0
1497365563,56,0
1497367935,1,0
1497372734,0,1
1497373705,1,0
1497375615,1,1
1497376574,0,2
1497382099,0,1
1497383061,3,3
1497387857,1,1
1497399854,1,1
1497401056,2,0
1497401538,0,1
1497402499,1,0
1497402976,1,1
1497403458,1,0
1497403934,1,1
1497404416,1,0
1497406340,0,1
1497407303,1,0
1497409351,57,0
1497413061,1,1
1497414983,0,1
1497417615,1,0
1497420737,1,1
1497429374,0,1
1497430338,1,0
1497437053,1,1
1497441861,1,0
1497442829,0,1
1497443779,1,0
1497444736,1,1
1497445934,0,1
1497446894,1,0
1497453416,48,1
1497462737,0,2
1497467057,1,0
1497469453,2,4
1497475216,0,1
1497476417,1,0
1497481456,2,0
1497488174,0,2
1497488660,0,1
1497490093,1,0
1497492253,0,1
1497493875,1,0
1497494419,3,1
1497497063,46,0
1497497458,1,0
1497510255,1,1
1497511703,0,2
1497519139,1,0
1497526574,2,0
1497534016,0,2
1497535934,1,0
1497538333,1,0
1497540765,49,0
1497546735,0,2
1497555856,3,3
1497565454,0,1
1497565935,1,0
1497575299,1,0
1497576734,1,0
1497581299,2,0
1497584421,47,0
1497587060,0,1
1497587535,1,0
1497588493,0,2
1497594254,2,0
1497600260,0,1
1497601218,1,0
1497602653,1,1
1497609853,0,1
1497611533,1,0
1497622820,0,1
1497624737,1,0
1497628140,54,0
1497630256,0,2
1497630735,1,1
1497632658,2,0
1497634254,1,0
1497636256,1,0
1497641056,0,2
1497642499,0,1
1497653304,0,1
1497653774,0,1
1497655229,2,0
1497659534,1,0
1497660494,2,0
1497661697,0,1
1497662180,1,1
1497662654,1,0
1497663138,1,3
1497663616,1,0
1497664102,0,1
1497664575,1,1
1497671794,38,0
1497677304,0,2
1497679696,1,0
1497686900,2,0
1497701303,0,1
1497703940,1,0
1497705859,1,1
1497706334,0,1
1497706816,1,0
1497707779,1,0
1497710653,1,0
1497715482,60,3
1497717379,2,0
1497726258,0,2
1497728653,1,1
1497739454,3,1
1497748096,0,3
1497756255,2,0
1497759187,47,0
1497791296,1,0
1497802863,46,0
1497804494,1,0
1497804975,0,1
1497805466,0,1
1497805940,1,0
1497812658,0,2
1497815060,3,3
1497820096,2,0
1497826095,0,2
1497833061,2,0
1497835938,0,1
1497839454,1,0
1497841697,0,2
1497846786,43,0
1497850094,2,0
1497858256,1,1
1497864017,0,1
1497865455,0,2
1497869297,0,1
1497870260,1,0
1497874097,4,2
1497882019,0,2
1497887537,0,1
1497888496,1,0
1497890455,50,0
1497891374,1,1
1497897857,2,0
1497898333,1,2
1497899296,1,0
1497901463,3,9
1497904818,1,1
1497905296,1,1
1497906255,1,0
1497911056,0,1
1497917296,0,2
1497920661,1,1
1497921134,2,2
1497921617,2,0
1497922098,0,1
1497923536,2,0
1497930741,0,2
1497932423,2,0
1497934136,46,0
1497952337,1,0
1497953539,0,1
1497954014,1,1
1497958325,1,0
1497979216,0,2
1497988102,5,5
1497995538,0,1
1497997218,1,0
1497998654,3,1
1497999858,1,0
1498004416,0,1
1498004898,0,2
1498007301,1,1
1498007778,0,2
1498008260,1,0
1498008735,1,0
1498009216,0,1
1498009697,1,2
1498010182,2,0
1498010656,1,0
1498011141,1,0
1498011616,1,0
1498012099,2,0
1498012577,0,1
1498014981,0,1
1498021987,115,0
1498024052,1,0
1498028174,0,2
1498034174,1,0
1498034656,1,1
1498035854,2,0
1498039702,0,1
1498040895,1,0
1498041854,0,1
1498042337,1,0
1498043300,0,2
1498049774,2,0
1498050258,1,1
1498058180,1,0
1498058654,1,2
1498062976,0,1
1498064900,1,0
1498065705,56,0
1498066101,1,1
1498071855,0,2
1498074498,3,4
1498083382,2,0
1498090579,0,2
1498093697,1,0
1498095140,0,1
1498095617,1,0
1498097539,0,1
1498102577,2,0
1498109341,59,0
1498111457,0,2
1498117220,1,1
1498119616,0,1
1498123226,1,0
1498124174,2,0
1498140255,0,2
1498140743,2,0
1498153015,60,0
1498155616,0,2
1498160897,6,4
1498161857,2,2
1498172900,2,0
1498180334,0,1
1498180819,1,0
1498182253,0,1
1498182736,1,0
1498192581,0,1
1498196669,50,0
1498198101,1,0
1498200017,1,1
1498201458,0,2
1498207454,3,1
1498223784,1,0
1498232415,0,2
1498240345,63,0
1498247295,4,6
1498258336,2,1
1498260018,1,0
1498264334,1,1
1498270817,0,2
1498278016,3,1
1498284126,43,0
1498285707,1,2
1498286174,0,1
1498288580,1,0
1498293853,3,1
1498302255,1,1
1498310657,1,1
1498318333,0,2
1498327953,67,0
1498329905,1,0
1498333698,5,3
1498344255,2,0
1498350254,0,2
1498358658,2,0
1498369455,0,1
1498370654,1,0
1498371636,35,0
1498380495,0,2
1498380974,3,1
1498384102,1,0
1498388899,1,1
1498413860,2,4
1498415332,47,0
1498419853,1,4
1498421057,0,1
1498422497,1,0
1498432578,2,0
1498438333,0,2
1498444575,2,0
1498448908,1,0
1498456095,1,0
1498459017,45,0
1498461378,0,1
1498462337,1,0
1498469055,2,3
1498478898,0,1
1498479379,1,0
1498481298,1,0
1498482734,0,1
1498483216,1,0
1498488015,0,1
1498488974,0,2
1498491376,1,0
1498503244,70,0
1498505616,6,2
1498509380,4,1
1498515863,0,3
1498522096,0,2
1498525460,0,1
1498525934,1,0
1498526421,0,1
1498526894,1,0
1498530735,2,1
1498531217,1,0
1498543696,0,3
1498546904,43,0
1498567456,0,2
1498567933,2,0
1498588577,0,2
1498590556,77,0
1498592897,5,5
1498610897,1,0
1498611374,2,0
1498611856,0,1
1498612333,2,0
1498613294,0,1
1498613773,2,0
1498615697,2,0
1498621456,0,1
1498621939,1,0
1498630337,0,1
1498630823,1,0
1498634196,56,0
1498634658,0,1
1498639217,0,2
1498640898,2,2
1498646659,2,0
1498648581,3,4
1498649533,0,1
1498650496,0,2
1498650974,1,0
1498659376,2,0
1498676655,0,2
1498677862,64,0
1498679300,3,7
1498698260,0,1
1498698735,1,1
1498699219,0,1
1498699941,1,0
1498700893,3,0
1498701374,0,1
1498721572,51,0
1498735456,0,1
1498735938,1,0
1498746974,0,1
1498747455,1,0
1498757538,0,2
1498761137,0,1
1498761616,1,0
1498765453,5,6
1498777696,1,1
