DateTime,Entries,UniqueIPs
1496713215,28377,28474
1496714176,28378,28475
1496727376,28373,28470
1496734818,28374,28471
1496735296,28373,28470
1496742363,28374,28471
1496743455,28375,28472
1496743935,28374,28471
1496744417,28375,28472
1496747783,28376,28473
1496753568,28433,28530
1496757853,28432,28529
1496758347,28433,28530
1496758819,28432,28529
1496759539,28433,28530
1496769616,28431,28528
1496770342,28430,28527
1496771304,28431,28528
1496776575,28431,28528
1496778019,28433,28530
1496778494,28433,28530
1496783778,28432,28529
1496784737,28431,28528
1496790253,28431,28528
1496795534,28430,28527
1496796498,28431,28528
1496797314,28487,28584
1496797697,28489,28586
1496798180,28488,28585
1496798653,28487,28584
1496801056,28486,28583
1496801757,28487,28584
1496819054,28488,28585
1496820738,28489,28586
1496822659,28488,28585
1496823133,28489,28586
1496829134,28487,28584
1496829856,28487,28584
1496831461,28488,28585
1496833458,28489,28586
1496837774,28488,28585
1496841175,28537,28634
1496845882,28538,28635
1496849538,28540,28637
1496850977,28542,28639
1496856736,28541,28638
1496858174,28539,28636
1496858656,28540,28637
1496862256,28541,28638
1496863219,28542,28639
1496863701,28541,28638
1496864653,28537,28634
1496884849,28584,28681
1496885295,28584,28681
1496885777,28585,28682
1496886744,28584,28681
1496887456,28583,28680
1496897297,28582,28679
1496906899,28584,28681
1496915540,28582,28679
1496921472,28583,28680
1496928517,28632,28729
1496939294,28632,28729
1496941456,28634,28731
1496943376,28633,28730
1496945053,28634,28731
1496946974,28634,28731
1496948659,28632,28729
1496951056,28632,28729
1496955141,28634,28731
1496961615,28632,28729
1496968575,28634,28731
1496971940,28633,28730
1496972196,28688,28785
1496973376,28688,28785
1496973861,28689,28786
1496975295,28687,28784
1496981534,28686,28783
1496983454,28687,28784
1496983945,28686,28783
1496989455,28686,28783
1496991133,28688,28785
1496997854,28686,28783
1496999303,28688,28785
1497004578,28687,28784
1497005053,28688,28785
1497011456,28691,28789
1497015140,28690,28788
1497015858,28744,28842
1497018014,28743,28841
1497020901,28744,28842
1497022816,28745,28843
1497024733,28744,28842
1497031697,28745,28843
1497032654,28743,28841
1497037945,28743,28841
1497046097,28742,28840
1497047053,28743,28841
1497051854,28743,28841
1497056658,28742,28840
1497057139,28742,28840
1497057616,28743,28841
1497059557,28801,28899
1497063855,28802,28900
1497082816,28804,28902
1497103303,28864,28962
1497103701,28865,28963
1497106574,28866,28964
1497110655,28867,28965
1497120015,28865,28963
1497120494,28864,28962
1497124095,28867,28965
1497132257,28869,28967
1497133858,28870,28968
1497135135,28871,28969
1497138016,28870,28968
1497138499,28871,28969
1497144015,28870,28968
1497144744,28871,28969
1497146178,28870,28968
1497147167,28925,29023
1497151940,28926,29024
1497159379,28924,29022
1497161298,28926,29024
1497165134,28925,29023
1497176419,28925,29023
1497177377,28923,29021
1497184093,28925,29023
1497190855,28982,29080
1497194177,28981,29079
1497210256,28981,29079
1497214340,28981,29079
1497221298,28983,29081
1497230416,28982,29080
1497231140,28982,29080
1497231616,28983,29081
1497234521,29032,29130
1497250093,29030,29128
1497277224,29032,29130
1497278199,29086,29185
1497291373,29084,29183
1497296895,29085,29184
1497309617,29087,29186
1497310340,29088,29187
1497315855,29087,29186
1497316818,29088,29187
1497317539,29087,29186
1497318974,29086,29185
1497321876,29135,29234
1497325215,29137,29236
1497338181,29135,29234
1497346816,29137,29236
1497348256,29136,29235
1497348739,29137,29236
1497349700,29138,29237
1497352333,29138,29237
1497359299,29136,29235
1497361224,29138,29237
1497365563,29193,29293
1497367935,29194,29294
1497372734,29193,29293
1497373705,29194,29294
1497375615,29194,29294
1497376574,29192,29292
1497382099,29191,29291
1497383061,29191,29291
1497387857,29191,29291
1497399854,29191,29291
1497401056,29193,29293
1497401538,29192,29292
1497402499,29193,29293
1497402976,29193,29293
1497403458,29194,29294
1497403934,29194,29294
1497404416,29195,29295
1497406340,29194,29294
1497407303,29195,29295
1497409351,29252,29352
1497413061,29252,29352
1497414983,29251,29351
1497417615,29252,29352
1497420737,29252,29352
1497429374,29251,29351
1497430338,29252,29352
1497437053,29252,29352
1497441861,29253,29353
1497442829,29252,29352
1497443779,29253,29353
1497444736,29253,29353
1497445934,29252,29352
1497446894,29253,29353
1497453416,29300,29400
1497462737,29298,29398
1497467057,29299,29399
1497469453,29297,29397
1497475216,29296,29396
1497476417,29297,29397
1497481456,29299,29399
1497488174,29297,29397
1497488660,29296,29396
1497490093,29297,29397
1497492253,29296,29396
1497493875,29297,29397
1497494419,29299,29399
1497497063,29345,29445
1497497458,29346,29446
1497510255,29346,29446
1497511703,29344,29444
1497519139,29345,29445
1497526574,29347,29447
1497534016,29345,29445
1497535934,29346,29446
1497538333,29347,29447
1497540765,29395,29496
1497546735,29393,29494
1497555856,29393,29494
1497565454,29392,29493
1497565935,29393,29494
1497575299,29394,29495
1497576734,29395,29496
1497581299,29397,29498
1497584421,29444,29545
1497587060,29443,29544
1497587535,29444,29545
1497588493,29442,29543
1497594254,29444,29545
1497600260,29443,29544
1497601218,29444,29545
1497602653,29444,29545
1497609853,29443,29544
1497611533,29444,29545
1497622820,29443,29544
1497624737,29444,29545
1497628140,29498,29599
1497630256,29496,29597
1497630735,29496,29597
1497632658,29498,29599
1497634254,29499,29600
1497636256,29500,29601
1497641056,29498,29599
1497642499,29497,29598
1497653304,29496,29597
1497653774,29495,29596
1497655229,29497,29598
1497659534,29498,29599
1497660494,29500,29601
1497661697,29499,29600
1497662180,29499,29600
1497662654,29500,29601
1497663138,29499,29599
1497663616,29500,29600
1497664102,29499,29599
1497664575,29499,29599
1497671794,29537,29637
1497677304,29535,29635
1497679696,29536,29636
1497686900,29538,29638
1497701303,29537,29637
1497703940,29538,29638
1497705859,29538,29638
1497706334,29537,29637
1497706816,29538,29638
1497707779,29539,29639
1497710653,29539,29640
1497715482,29596,29697
1497717379,29598,29699
1497726258,29596,29697
1497728653,29596,29697
1497739454,29599,29699
1497748096,29596,29696
1497756255,29598,29698
1497759187,29645,29745
1497791296,29646,29746
1497802863,29692,29792
1497804494,29693,29793
1497804975,29692,29792
1497805466,29691,29791
1497805940,29692,29792
1497812658,29690,29790
1497815060,29690,29790
1497820096,29692,29792
1497826095,29690,29790
1497833061,29692,29792
1497835938,29691,29791
1497839454,29692,29792
1497841697,29690,29790
1497846786,29733,29833
1497850094,29735,29835
1497858256,29735,29835
1497864017,29734,29834
1497865455,29732,29832
1497869297,29731,29831
1497870260,29732,29832
1497874097,29734,29834
1497882019,29732,29832
1497887537,29731,29831
1497888496,29732,29832
1497890455,29782,29882
1497891374,29782,29882
1497897857,29784,29884
1497898333,29783,29883
1497899296,29784,29884
1497901463,29778,29878
1497904818,29778,29878
1497905296,29778,29878
1497906255,29779,29879
1497911056,29778,29878
1497917296,29776,29876
1497920661,29776,29876
1497921134,29776,29876
1497921617,29778,29878
1497922098,29777,29877
1497923536,29779,29879
1497930741,29777,29877
1497932423,29779,29879
1497934136,29825,29925
1497952337,29826,29926
1497953539,29825,29925
1497954014,29825,29925
1497958325,29826,29926
1497979216,29824,29924
1497988102,29824,29924
1497995538,29823,29923
1497997218,29824,29924
1497998654,29826,29926
1497999858,29827,29927
1498004416,29826,29926
1498004898,29824,29924
1498007301,29824,29924
1498007778,29822,29922
1498008260,29823,29923
1498008735,29824,29924
1498009216,29823,29923
1498009697,29822,29922
1498010182,29824,29924
1498010656,29825,29925
1498011141,29826,29926
1498011616,29827,29927
1498012099,29829,29929
1498012577,29828,29928
1498014981,29827,29927
1498021987,29942,30042
1498024052,29942,30043
1498028174,29940,30041
1498034174,29941,30042
1498034656,29941,30042
1498035854,29943,30044
1498039702,29942,30043
1498040895,29943,30044
1498041854,29942,30043
1498042337,29943,30044
1498043300,29941,30042
1498049774,29943,30044
1498050258,29943,30044
1498058180,29944,30045
1498058654,29943,30044
1498062976,29942,30043
1498064900,29943,30044
1498065705,29999,30100
1498066101,29999,30100
1498071855,29997,30098
1498074498,29996,30097
1498083382,29998,30099
1498090579,29996,30097
1498093697,29997,30098
1498095140,29996,30097
1498095617,29997,30098
1498097539,29996,30097
1498102577,29998,30099
1498109341,30057,30158
1498111457,30055,30156
1498117220,30055,30156
1498119616,30054,30155
1498123226,30055,30156
1498124174,30057,30158
1498140255,30055,30156
1498140743,30057,30158
1498153015,30117,30218
1498155616,30115,30216
1498160897,30117,30218
1498161857,30117,30218
1498172900,30119,30220
1498180334,30118,30219
1498180819,30119,30220
1498182253,30118,30219
1498182736,30119,30220
1498192581,30118,30219
1498196669,30168,30269
1498198101,30169,30270
1498200017,30169,30270
1498201458,30167,30268
1498207454,30169,30270
1498223784,30170,30271
1498232415,30168,30269
1498240345,30231,30332
1498247295,30229,30330
1498258336,30230,30331
1498260018,30231,30332
1498264334,30231,30332
1498270817,30229,30330
1498278016,30231,30332
1498284126,30274,30375
1498285707,30273,30374
1498286174,30272,30373
1498288580,30273,30374
1498293853,30275,30376
1498302255,30275,30376
1498310657,30275,30376
1498318333,30273,30374
1498327953,30340,30441
1498329905,30341,30442
1498333698,30343,30444
1498344255,30345,30446
1498350254,30343,30444
1498358658,30345,30446
1498369455,30344,30445
1498370654,30345,30446
1498371636,30380,30481
1498380495,30378,30479
1498380974,30380,30481
1498384102,30381,30482
1498388899,30381,30482
1498413860,30378,30480
1498415332,30425,30527
1498419853,30422,30524
1498421057,30421,30523
1498422497,30422,30524
1498432578,30424,30526
1498438333,30422,30524
1498444575,30424,30526
1498448908,30425,30527
1498456095,30426,30528
1498459017,30471,30573
1498461378,30471,30572
1498462337,30471,30573
1498469055,30471,30572
1498478898,30470,30571
1498479379,30471,30572
1498481298,30472,30573
1498482734,30471,30572
1498483216,30472,30573
1498488015,30471,30572
1498488974,30469,30570
1498491376,30470,30571
1498503244,30540,30641
1498505616,30544,30645
1498509380,30547,30648
1498515863,30544,30645
1498522096,30542,30643
1498525460,30541,30642
1498525934,30542,30643
1498526421,30541,30642
1498526894,30542,30643
1498530735,30543,30644
1498531217,30544,30645
1498543696,30541,30642
1498546904,30584,30685
1498567456,30582,30683
1498567933,30584,30685
1498588577,30582,30683
1498590556,30659,30760
1498592897,30659,30760
1498610897,30660,30761
1498611374,30662,30763
1498611856,30661,30762
1498612333,30663,30764
1498613294,30662,30763
1498613773,30664,30765
1498615697,30666,30767
1498621456,30665,30766
1498621939,30666,30767
1498630337,30665,30766
1498630823,30666,30767
1498634196,30722,30823
1498634658,30721,30822
1498639217,30719,30820
1498640898,30719,30820
1498646659,30721,30822
1498648581,30720,30821
1498649533,30719,30820
1498650496,30717,30818
1498650974,30718,30819
1498659376,30720,30821
1498676655,30718,30819
1498677862,30782,30883
1498679300,30778,30879
1498698260,30777,30878
1498698735,30777,30878
1498699219,30776,30877
1498699941,30777,30878
1498700893,30780,30881
1498701374,30779,30880
1498721572,30830,30931
1498735456,30829,30930
1498735938,30830,30931
1498746974,30829,30930
1498747455,30830,30931
1498757538,30828,30929
1498761137,30827,30928
1498761616,30828,30929
