DateTime,Entries,UniqueIPs
1497740924,971,971
1497742820,989,989
1497744845,1077,1077
1497746667,1112,1112
1497748625,1136,1136
1497750516,1153,1153
1497752456,1175,1175
1497754376,1220,1220
1497756265,1255,1255
1497758189,1283,1283
1497760105,1292,1292
1497762110,1312,1312
1497764219,1345,1345
1497766119,1363,1363
1497768051,1375,1375
1497769979,1399,1399
1497771863,1431,1431
1497774068,1477,1477
1497775982,1510,1510
1497777871,1539,1539
1497779794,1552,1552
1497781988,1571,1571
1497783880,1602,1602
1497785795,1699,1699
1497787719,1752,1752
1497789660,1766,1766
1497791566,1788,1788
1497793456,1811,1811
1497795663,1885,1885
1497797574,1918,1918
1497799472,1956,1956
1497801389,1965,1965
1497803585,1982,1982
1497805485,1994,1994
1497807397,2015,2015
1497811252,2042,2042
1497813182,2082,2082
1497815070,2112,2112
1497817272,2138,2138
1497819175,2145,2145
1497821324,2158,2158
1497823383,2175,2175
1497825651,2177,2177
1497827569,2207,2207
1497829459,2216,2216
1497831391,2244,2244
1497833307,2252,2252
1497835265,2266,2266
1497837162,2277,2277
1497839061,2321,2321
1497840977,2331,2331
1497842897,2352,2352
1497844942,2382,2382
1497846776,2419,2419
1497848672,2448,2448
1497850587,2460,2460
1497852522,2485,2485
1497854436,2500,2500
1497856379,2510,2510
1497858263,2517,2517
1497860240,2532,2532
1497862116,2547,2547
1497864061,2569,2569
1497865971,2578,2578
1497867873,1167,1167
1497869786,1142,1142
1497871715,1814,1814
1497873746,1812,1812
1497875569,1787,1787
1497877473,1796,1796
1497879395,1801,1801
1497881321,1800,1800
1497883261,1783,1783
1497885163,1809,1809
1497887098,1801,1801
1497889001,1806,1806
1497890920,1806,1806
1497892868,1799,1799
1497894799,1799,1799
1497896919,1796,1796
1497898956,1802,1802
1497900784,1788,1788
1497903434,1770,1770
1497905310,1766,1766
1497907266,1745,1745
1497909148,1747,1747
1497911071,1738,1738
1497913011,1705,1705
1497914942,2347,2347
1497916876,2337,2337
1497918760,2312,2312
1497920676,2279,2279
1497922620,2275,2275
1497924535,2270,2270
1497928352,2227,2227
1497930272,2232,2232
1497932472,2230,2230
1497934349,2230,2230
1497936266,2231,2231
1497938222,2232,2232
1497940135,2235,2235
1497942065,2238,2238
1497943954,2232,2232
1497945933,2209,2209
1497949698,2235,2235
1497951619,2245,2245
1497953553,1154,1154
