DateTime,AddedIPs,RemovedIPs
1498156204,253,328
1498157103,241,355
1498158004,278,361
1498158904,427,545
1498159804,589,636
1498160704,457,535
1498161603,414,526
1498162503,434,514
1498163403,490,1425
1498164303,376,837
1498165204,402,759
1498166103,337,567
1498167003,316,596
1498167903,366,694
1498168804,335,653
1498169703,336,593
1498170603,401,576
1498171503,327,709
1498172403,366,632
1498173304,311,499
1498174203,338,632
1498175103,375,592
1498176003,402,609
1498176902,340,1060
1498177803,299,602
1498178703,426,443
1498179602,439,461
1498180503,293,638
1498181402,383,721
1498182303,352,651
1498183203,390,678
1498184103,993,491
1498185003,867,1379
1498185902,1158,1153
1498186803,714,571
1498187703,490,1067
1498188603,389,609
1498189503,425,597
1498190403,399,534
1498191303,394,296
1498192203,444,352
1498193103,375,379
1498194003,382,328
1498194903,405,408
1498195802,357,320
1498196704,342,271
1498197603,279,279
1498198502,346,257
1498199403,327,245
1498200303,361,225
1498201203,393,233
1498202103,399,403
1498203003,399,353
1498203903,494,534
1498204803,451,437
1498205703,1116,386
1498206603,3032,629
1498207504,3471,588
1498208403,2627,629
1498209303,2183,999
1498210203,360,257
1498211104,403,266
1498212003,479,310
1498212903,428,346
1498213804,551,454
1498214704,423,503
1498215603,677,438
1498216504,807,453
1498217403,829,359
1498218304,891,393
1498219204,1047,672
1498220103,1225,738
1498221003,1334,883
1498221904,421,299
1498222803,202,153
1498223703,183,151
1498224603,343,283
1498225503,377,287
1498226403,417,490
1498227303,258,477
1498228203,892,938
1498229104,9418,6394
1498230004,6753,5943
1498230904,1218,1263
1498231804,1571,1664
1498232704,1118,1276
1498233604,947,1027
1498234503,1034,1171
1498235404,798,872
1498236303,713,857
1498237203,637,731
1498238103,587,732
1498239003,583,800
1498239904,597,826
1498240803,674,896
1498241703,713,1044
1498242603,925,1224
1498243503,1090,1330
1498244404,640,861
1498245304,482,537
1498246204,2232,2328
1498247103,732,933
1498248003,509,730
1498248904,531,753
1498249803,519,655
1498250704,602,689
1498251604,725,828
1498252503,723,833
1498253404,801,971
1498254303,466,629
1498255204,389,512
1498256103,394,549
1498257004,347,556
1498257904,369,613
1498258803,394,557
1498259703,340,520
1498260604,369,501
1498261504,320,463
1498262404,323,455
1498263304,347,484
1498264203,298,435
1498265104,312,422
1498266004,304,431
1498266904,376,489
1498267804,360,491
1498268703,450,606
1498269603,297,387
1498270504,318,425
1498271404,258,373
1498272305,326,435
1498273203,570,696
1498274103,539,6554
1498275003,594,1128
1498275903,636,1228
1498276803,541,962
1498277703,600,882
1498278602,589,881
1498279503,534,763
1498280403,614,654
1498281302,592,572
1498282203,597,524
1498283103,655,465
1498284003,551,445
1498284903,564,516
1498285803,501,497
1498286703,644,473
1498287602,486,520
1498288503,482,609
1498289403,475,445
1498290303,530,1730
1498291203,471,668
1498292103,562,433
1498293003,603,451
1498293903,626,447
1498294803,576,562
1498295702,626,548
1498296603,508,631
1498297502,608,502
1498298403,524,418
1498299303,714,337
1498300204,493,368
1498301102,529,308
1498302002,500,315
1498302903,545,363
1498303803,393,316
1498304703,424,349
1498305603,417,349
1498306503,417,351
1498307402,333,333
1498308303,381,284
1498309203,324,406
1498310103,452,288
1498311003,452,365
1498311903,429,326
1498312803,440,321
1498313703,378,311
1498314602,448,317
1498315502,495,302
1498316403,455,368
1498317303,462,509
1498318203,461,586
1498319104,540,640
1498320004,563,656
1498320903,252,586
1498321804,986,647
1498322703,628,623
1498323604,484,636
1498324502,511,620
1498325402,435,645
1498326303,399,594
1498327202,412,633
1498328103,380,516
1498329003,395,635
1498329903,395,504
1498330803,305,522
1498331703,361,475
1498332603,353,569
1498333502,365,519
1498334403,406,511
1498335303,380,511
1498336203,458,585
1498337103,462,597
1498338002,536,609
1498338902,469,631
1498339802,409,647
1498340702,483,548
1498341603,420,630
1498342503,1621,559
1498343402,748,715
1498344302,640,523
1498345203,500,593
1498346102,454,482
1498347003,408,682
1498347903,441,422
1498348803,341,431
1498349704,781,415
1498350602,527,352
1498351503,516,314
1498352402,572,370
1498353303,487,308
1498354203,510,371
1498355102,479,410
1498356003,772,394
1498356902,652,404
1498357803,537,354
1498358703,572,440
1498359603,474,438
1498360503,523,467
1498361403,493,453
1498362303,729,425
1498363203,531,618
1498364102,690,547
1498365003,496,452
1498365903,570,1078
1498366803,611,521
1498367703,1051,463
1498368603,695,361
1498369503,535,413
1498370403,465,405
1498371303,451,427
1498372203,440,486
1498373102,470,464
1498374003,755,462
1498374903,577,355
1498375803,464,413
1498376703,397,443
1498377603,516,444
1498378503,559,597
1498379403,767,467
1498380302,502,488
1498381203,609,499
1498382102,418,517
1498383002,466,491
1498383904,831,471
1498384803,738,537
1498385703,649,463
1498386603,605,1183
1498387503,582,677
1498388403,866,668
1498389304,702,469
1498390203,731,556
1498391102,554,578
1498392003,615,447
1498392903,557,360
1498393802,624,653
1498394704,934,496
1498395604,647,495
1498396503,519,638
1498397403,541,445
1498398303,594,423
1498399203,812,407
1498400103,772,648
1498401003,509,688
1498401904,452,717
1498402803,514,617
1498403703,812,493
1498404603,635,552
1498405503,607,500
1498406403,932,905
1498407303,991,671
1498408204,917,876
1498409102,931,685
1498410003,744,690
1498410904,653,831
1498411804,692,1055
1498412703,973,628
1498413603,829,625
1498414502,765,533
1498415404,541,497
1498416303,727,537
1498417203,801,597
1498418103,763,726
1498419003,786,653
1498419903,155,555
1498420803,907,456
1498421703,1003,574
1498422604,1075,539
1498423503,1088,631
1498424403,986,481
1498425303,956,605
1498426203,825,610
1498427103,705,1358
1498428004,662,971
1498428903,701,1519
1498429804,796,1391
1498430703,688,1255
1498431603,854,1361
1498432503,748,1219
1498433403,789,1089
1498434303,732,1211
1498435203,627,873
1498436103,579,832
1498437003,628,1002
1498437903,597,1480
1498438804,797,1319
1498439704,954,1234
1498440603,811,1097
1498441504,799,1104
1498442404,742,1161
1498443304,604,390
1498444203,694,384
1498445104,999,1406
1498446003,702,1066
1498446904,1051,1536
1498447804,1411,1416
1498448704,938,1446
1498449603,901,1219
1498450503,703,771
1498451404,629,806
1498452304,605,475
1498453204,547,609
1498454104,497,537
1498455004,1015,949
1498455904,625,440
1498456804,661,714
1498457704,659,556
1498458604,529,638
1498459504,853,933
1498460405,973,825
1498461304,682,951
1498462203,1009,918
1498463104,1060,671
1498464004,1067,655
1498464904,1241,1021
1498465805,909,1068
1498466705,805,668
1498467606,1694,1554
1498468506,6158,4419
1498469407,4086,2333
1498470306,4095,2131
1498471206,3012,2037
1498472106,2627,1648
1498473006,2270,1504
1498473907,2095,1521
1498474807,803,1304
1498475706,1384,1722
1498476606,503,826
1498477506,592,658
1498478406,982,1045
1498479306,617,903
1498480206,624,744
1498481106,778,1407
1498482006,793,1367
1498482906,1361,1504
1498483806,1436,1375
1498484706,1759,1793
1498485606,1321,1398
1498486506,1058,1217
1498487406,1234,1489
1498488306,1558,1620
1498489206,1985,1760
1498490106,1367,1380
1498491005,1310,1444
1498491906,1515,1648
1498492806,1636,1865
1498494606,3053,3356
1498496406,3072,2338
1498498205,2962,2051
1498500005,2524,2123
1498501806,2089,3164
1498502705,1180,1295
1498503606,820,972
1498504505,749,771
1498506305,1919,2059
1498507206,733,854
1498508107,731,980
1498509006,883,1351
1498509907,1018,1341
1498510806,875,1372
1498511707,722,1332
1498512607,783,1055
1498513506,715,1252
1498514406,711,852
1498515305,647,774
1498516206,856,1070
1498517105,820,827
1498518005,787,970
1498518905,661,906
1498519806,836,1515
1498520706,695,1278
1498521606,638,1219
1498522505,471,716
1498523405,168,154
1498524305,152,148
1498525206,1020,1015
1498526105,820,757
1498527005,801,832
1498527905,1258,944
1498528805,900,762
1498529705,899,798
1498530605,1057,989
1498531505,892,892
1498532404,749,752
1498533305,732,655
1498534204,954,879
1498535105,836,721
1498536005,809,611
1498536906,1246,804
1498537806,1203,836
1498538704,1139,609
1498539603,1090,589
1498540505,948,685
1498541405,1138,574
1498542304,997,598
1498543205,860,511
1498544105,1150,739
1498545004,1529,1062
1498545905,1100,787
1498546804,922,610
1498547704,845,522
1498548605,1069,586
1498549504,1205,490
1498550404,1151,726
1498551304,1197,578
1498552204,962,552
1498553104,750,446
1498554004,913,849
1498554905,811,485
1498555804,1354,869
1498556704,1074,693
1498557604,971,889
1498558504,831,765
1498559404,1077,951
1498560304,1300,1247
1498561205,1209,1194
1498562104,1475,1343
1498563005,1010,977
1498563904,1012,932
1498564804,904,842
1498565704,1102,1095
1498566604,1815,1613
1498567504,1438,1353
1498568404,1310,1266
1498569304,1416,1325
1498570204,1242,1141
1498571103,1282,1235
1498572005,1314,1328
1498572904,1149,1119
1498573804,1193,1158
1498574703,1023,1045
1498575604,965,1009
1498576504,1030,1049
1498577404,1190,1235
1498578304,992,1094
1498579204,1902,1805
1498580104,573,565
1498581004,535,611
1498581904,977,1033
1498582804,1089,1122
1498583704,919,963
1498584604,894,994
1498585504,840,871
1498586404,643,672
1498587303,515,534
1498588204,576,608
1498589103,829,883
1498590004,721,789
1498590903,702,655
1498591804,782,798
1498592704,711,722
1498593604,699,735
1498594504,679,733
1498595404,741,753
1498596304,635,598
1498597204,602,638
1498598104,624,654
1498599004,675,703
1498599903,2650,2375
1498600805,716,723
1498601704,633,651
1498602604,672,679
1498603504,629,603
1498604403,679,670
1498605304,651,719
1498606204,738,754
1498607103,694,669
1498608004,634,608
1498608904,588,598
1498609803,496,518
1498610704,78,73
