DateTime,Entries,UniqueIPs
1497094575,5050,5050
1497096499,5051,5051
1497102017,5050,5050
1497102497,5051,5051
1497107298,5050,5050
1497109222,5051,5051
1497111135,5050,5050
1497111614,5050,5050
1497112339,5051,5051
1497122416,5050,5050
1497123148,5051,5051
1497128901,5050,5050
1497130334,5051,5051
1497133216,5050,5050
1497133696,5051,5051
1497143056,5048,5048
1497143533,5045,5045
1497144015,5046,5046
1497144744,5048,5048
1497145215,5049,5049
1497145694,5050,5050
1497146178,5049,5049
1497146657,5049,5049
1497147140,5050,5050
1497165134,5049,5049
1497176419,5049,5049
1497180018,5049,5049
1497180973,5048,5048
1497183624,5048,5048
1497187218,5048,5048
1497188417,5047,5047
1497188900,5048,5048
1497195617,5047,5047
1497196095,5048,5048
1497198016,5047,5047
1497198746,5048,5048
1497211937,5047,5047
1497212414,5046,5046
1497212896,5047,5047
1497213373,5048,5048
1497214340,5050,5050
1497217216,5049,5049
1497217694,5050,5050
1497219617,5049,5049
1497220338,5050,5050
1497220816,5049,5049
1497221298,5050,5050
1497229459,5046,5046
1497229940,5047,5047
1497230416,5047,5047
1497231140,5046,5046
1497231616,5047,5047
1497232094,5048,5048
1497232574,5050,5050
1497233060,5049,5049
1497248178,5047,5047
1497248658,5049,5049
1497254658,5048,5048
1497255137,5049,5049
1497264016,5048,5048
1497264501,5049,5049
1497284901,5048,5048
1497292821,5047,5047
1497293293,5048,5048
1497309617,5047,5047
1497310340,5048,5048
1497315855,5044,5044
1497316337,5044,5044
1497316818,5046,5046
1497317539,5048,5048
1497318016,5048,5048
1497318504,5045,5045
1497318974,5046,5046
1497319458,5048,5048
1497325215,5048,5048
1497326656,5047,5047
1497327138,5048,5048
1497331457,5046,5046
1497331938,5048,5048
1497348256,5047,5047
1497348739,5048,5048
1497352333,5048,5048
1497352817,5047,5047
1497353294,5048,5048
1497359299,5046,5046
1497359783,5048,5048
1497375615,5048,5048
1497387857,5048,5048
1497397216,5047,5047
1497397702,5048,5048
1497399854,5048,5048
1497402499,5042,5042
1497402976,5041,5041
1497403458,5046,5046
1497403934,5047,5047
1497404416,5049,5049
1497404894,5050,5050
1497405379,5049,5049
1497405858,5051,5051
1497406340,5050,5050
1497406816,5049,5049
1497407303,5050,5050
1497411617,5049,5049
1497412101,5050,5050
1497413061,5050,5050
1497420737,5050,5050
1497436576,5048,5048
1497437053,5050,5050
1497444736,5050,5050
1497450016,5049,5049
1497450501,5050,5050
1497466344,5051,5051
1497467057,5050,5050
1497475216,5049,5049
1497475694,5050,5050
1497486738,5049,5049
1497487216,5049,5049
1497487697,5050,5050
1497488660,5047,5047
1497489134,5047,5047
1497489618,5048,5048
1497490093,5040,5040
1497490579,5042,5042
1497491056,5040,5040
1497491542,5038,5038
1497492253,5040,5040
1497493216,5039,5039
1497493694,5040,5040
1497494419,5040,5040
1497500416,5039,5039
1497500899,5040,5040
1497507616,5039,5039
1497508094,5040,5040
1497510255,5040,5040
1497522017,5039,5039
1497522501,5039,5039
1497522977,5040,5040
1497534016,5039,5039
1497534497,5040,5040
1497535934,5039,5039
1497536417,5038,5038
1497536900,5039,5039
1497538333,5040,5040
1497552017,5039,5039
1497552508,5040,5040
1497565454,5039,5039
1497565935,5040,5040
1497572416,5039,5039
1497572898,5040,5040
1497575299,5039,5039
1497575773,5038,5038
1497576255,5039,5039
1497576734,5041,5041
1497577216,5042,5042
1497577694,5043,5043
1497578896,5044,5044
1497587060,5043,5043
1497587535,5044,5044
1497590417,5043,5043
1497590899,5044,5044
1497601218,5043,5043
1497601697,5044,5044
1497602653,5044,5044
1497605059,5044,5044
1497608418,5044,5044
1497611533,5044,5044
1497617056,5043,5043
1497617533,5044,5044
1497620417,5043,5043
1497620901,5044,5044
1497630256,5044,5044
1497630735,5044,5044
1497633636,5044,5044
1497637454,5044,5044
1497638416,5043,5043
1497638894,5044,5044
1497642015,5043,5043
1497642499,5044,5044
1497652817,5043,5043
1497653304,5044,5044
1497661697,5041,5041
1497662180,5039,5039
1497662654,5041,5041
1497663138,5039,5039
1497663616,5040,5040
1497664102,5041,5041
1497664575,5040,5040
1497665057,5040,5040
1497698416,5039,5039
1497698898,5040,5040
1497703217,5039,5039
1497703940,5040,5040
1497705378,5038,5038
1497705859,5041,5041
1497706816,5040,5040
1497707297,5041,5041
1497709216,5040,5040
1497709703,5041,5041
1497710653,5042,5042
1497714015,5041,5041
1497714498,5042,5042
1497715458,5041,5041
1497724816,5040,5040
1497725302,5041,5041
1497732017,5040,5040
1497732495,5041,5041
1497739454,5041,5041
1497748096,5045,5045
1497748580,5047,5047
1497749054,5045,5045
1497749541,5046,5046
1497750015,5046,5046
1497750499,5048,5048
1497750974,5051,5051
1497751460,5052,5052
