DateTime,Entries,UniqueIPs
1496132177,172,172
1496147054,172,172
1496157379,171,171
1496157854,172,172
1496176338,174,174
1496183292,172,172
1496192899,171,171
1496193378,171,171
1496195802,170,170
1496196501,171,171
1496207779,173,173
1496209698,172,172
1496210654,173,173
1496219301,172,172
1496219777,173,173
1496220256,171,171
1496244019,171,171
1496273538,170,170
1496274976,171,171
1496279777,169,169
1496281216,166,166
1496281697,169,169
1496282174,168,168
1496282656,167,167
1496283617,168,168
1496291058,168,168
1496299457,167,167
1496299934,166,166
1496309304,167,167
1496309776,166,166
1496320573,165,165
1496321053,166,166
1496322503,168,168
1496325138,167,167
1496326095,168,168
1496337629,166,166
1496360422,168,168
1496366421,167,167
1496366893,168,168
1496367860,168,168
1496370025,170,170
1496370494,169,169
1496388974,169,169
1496389940,170,170
1496390655,169,169
1496391136,170,170
1496391617,169,169
1496392095,170,170
1496395225,169,169
1496399537,168,168
1496407218,169,169
1496410097,170,170
1496412254,169,169
1496413943,167,167
1496415859,166,166
1496416335,167,167
1496421373,169,169
1496445855,167,167
1496447774,169,169
1496452095,168,168
1496452574,169,169
1496454018,171,171
1496516658,170,170
1496524578,168,168
1496531774,170,170
1496538497,168,168
1496538979,168,168
1496539935,169,169
1496541375,170,170
1496546896,172,172
1496555054,170,170
1496555536,172,172
1496566096,170,170
1496572334,172,172
1496580018,171,171
1496580500,172,172
1496598256,171,171
1496598738,169,169
1496599457,171,171
1496610737,172,172
1496612656,170,170
1496618899,172,172
1496626338,171,171
1496626815,170,170
1496627293,171,171
1496627784,170,170
1496648656,171,171
1496649134,170,170
1496666653,168,168
1496675054,170,170
1496678656,169,169
1496679140,170,170
1496682497,171,171
1496684417,170,170
1496685376,168,168
1496690900,167,167
1496691376,168,168
1496697854,169,169
1496698339,168,168
1496704098,169,169
1496704580,170,170
1496711295,170,170
1496712736,168,168
1496713215,168,168
1496714176,169,169
1496727376,164,164
1496734818,165,165
1496735296,164,164
1496743455,165,165
1496743935,164,164
1496757853,163,163
1496758347,164,164
1496758819,163,163
1496759539,164,164
1496769616,162,162
1496770342,161,161
1496771304,162,162
1496776575,162,162
1496778019,164,164
1496783778,163,163
1496784737,162,162
1496790253,162,162
1496795534,161,161
1496796498,162,162
1496797697,164,164
1496798180,163,163
1496798653,162,162
1496801056,161,161
1496822659,160,160
1496823133,161,161
1496829134,159,159
1496829856,159,159
1496837774,158,158
1496849538,160,160
1496850977,162,162
1496856736,161,161
1496858174,159,159
1496863219,160,160
1496863701,159,159
1496885295,159,159
1496885777,160,160
1496886744,159,159
1496887456,158,158
1496897297,157,157
1496906899,159,159
1496915540,157,157
1496939294,157,157
1496941456,159,159
1496943376,158,158
1496945053,159,159
1496946974,159,159
1496948659,157,157
1496955141,159,159
1496961615,157,157
1496968575,159,159
1496971940,158,158
1496973376,158,158
1496973861,159,159
1496975295,157,157
1496981534,156,156
1496983454,157,157
1496983945,156,156
1496989455,156,156
1496991133,158,158
1496997854,156,156
