DateTime,AddedIPs,RemovedIPs
1498138922,80,80
1498139521,80,80
1498140122,41,41
1498140722,67,67
1498141322,79,79
1498142521,79,79
1498143121,80,80
1498143722,79,79
1498144322,80,80
1498144922,80,80
1498145522,80,80
1498146121,80,80
1498146721,80,80
1498147323,80,80
1498147922,80,80
1498148522,80,80
1498149121,79,79
1498149722,80,80
1498150321,80,80
1498150921,80,80
1498151522,80,80
1498152122,80,80
1498152722,80,80
1498153321,80,80
1498153921,78,78
1498154522,80,80
1498155122,47,47
1498155722,62,62
1498156321,80,80
1498156922,76,76
1498157522,80,80
1498158122,80,80
1498158722,79,79
1498159322,78,78
1498159922,80,80
1498160522,80,80
1498161122,80,80
1498161722,79,79
1498162322,80,80
1498162921,80,80
1498163521,20,20
1498164122,67,67
1498164721,80,80
1498165322,80,80
1498166522,80,80
1498167122,80,80
1498167721,80,80
1498168921,70,70
1498169522,80,80
1498170121,80,80
1498170722,78,78
1498171321,80,80
1498171921,80,80
1498173122,74,74
1498173721,80,80
1498174322,80,80
1498174921,80,80
1498175522,80,80
1498176121,80,80
1498176722,80,80
1498177321,80,80
1498177921,79,79
1498178521,79,79
1498179122,80,80
1498179721,80,80
1498180921,72,72
1498182121,80,80
1498182722,80,80
1498183322,77,77
1498183923,77,77
1498184522,80,80
1498185722,71,71
1498186321,63,63
1498186922,78,78
1498188122,80,80
1498188722,78,78
1498189322,80,80
1498190574,80,80
1498191121,80,80
1498191722,80,80
1498192322,78,78
1498192923,80,80
1498193522,80,80
1498194121,79,79
1498194722,77,77
1498195323,80,80
1498196522,78,78
1498197122,75,75
1498197721,76,76
1498198321,80,80
1498198921,80,80
1498199522,79,79
1498200121,75,75
1498201323,80,80
1498201921,74,74
1498202521,80,80
1498203721,78,78
1498204321,77,77
1498204921,77,77
1498206122,78,78
1498206723,78,78
1498207322,80,80
1498207921,73,73
1498208521,80,80
1498209122,80,80
1498209723,80,80
1498210322,80,80
1498210921,80,80
1498211522,63,63
1498212124,72,72
1498213322,80,80
1498214522,78,78
1498215122,79,79
1498215723,80,80
1498216321,80,80
1498216921,80,80
1498218121,77,77
1498219322,78,78
1498219922,76,76
1498220522,77,77
1498221121,80,80
1498221722,77,77
1498222321,79,79
1498223522,80,80
1498224121,77,77
1498224721,80,80
1498225322,80,80
1498225922,80,80
1498226521,76,76
1498227121,80,80
1498227722,76,76
1498228322,80,80
1498228921,80,80
1498229521,79,79
1498230122,77,77
1498231322,75,75
1498231921,72,72
1498232522,80,80
1498233121,41,41
1498233722,59,59
1498234322,75,75
1498234922,80,80
1498236122,29,29
1498236721,80,80
1498237322,26,26
1498237922,73,73
1498238521,80,80
1498239721,79,79
1498240321,80,80
1498240921,80,80
1498241522,80,80
1498242121,62,62
1498243321,80,80
1498243921,80,80
1498244521,80,80
1498245121,78,78
1498245721,80,80
1498246322,80,80
1498246922,79,79
1498248122,79,79
1498248722,80,80
1498249321,80,80
1498249923,80,80
1498250522,79,79
1498251121,78,78
1498251722,78,78
1498252321,80,80
1498252922,80,80
1498253522,80,80
1498254121,54,54
1498254722,79,79
1498255322,80,80
1498256521,73,73
1498257722,70,70
1498258322,79,79
1498258922,71,71
1498259521,80,80
1498260121,80,80
1498260721,80,80
1498261322,80,80
1498261922,80,80
1498262522,80,80
1498263723,75,75
1498264323,80,80
1498264922,80,80
1498265522,80,80
1498266122,80,80
1498266721,80,80
1498267322,80,80
1498267921,79,79
1498268521,52,52
1498269122,80,80
1498269721,80,80
1498270321,49,49
1498270921,80,80
1498271522,80,80
1498272123,80,80
1498272721,80,80
1498273322,80,80
1498273922,80,80
1498274522,80,80
1498275721,80,80
1498276922,80,80
1498278121,70,70
1498279322,80,80
1498279922,76,76
1498280522,75,75
1498281122,80,80
1498281721,63,63
1498282921,78,78
1498283522,74,74
1498284122,80,80
1498284721,74,74
1498285321,76,76
1498285922,80,80
1498286521,80,80
1498287121,79,79
1498287724,79,79
1498288322,73,73
1498288922,73,73
1498289522,78,78
1498290122,72,72
1498291321,80,80
1498291922,80,80
1498292521,79,79
1498293121,76,76
1498293721,78,78
1498294323,79,79
1498294922,76,76
1498296722,75,75
1498297322,79,79
1498297922,78,78
1498298522,63,63
1498299122,77,77
1498299721,78,78
1498300321,80,80
1498300922,76,76
1498301521,80,80
1498302122,74,74
1498302722,80,80
1498303322,80,80
1498303921,75,75
