DateTime,Entries,UniqueIPs
1498493522,80,80
1498494721,80,80
1498495922,80,80
1498497721,80,80
1498498321,80,80
1498499521,80,80
1498501321,80,80
1498503121,80,80
1498504322,80,80
1498506122,80,80
1498507322,80,80
1498508521,80,80
1498509122,80,80
1498509722,80,80
1498510322,80,80
1498510922,80,80
1498511521,80,80
1498512121,80,80
1498513322,80,80
1498513922,80,80
1498514522,80,80
1498515722,80,80
1498516321,80,80
1498516921,80,80
1498517522,80,80
1498518122,80,80
1498518722,80,80
1498519321,80,80
1498520522,80,80
1498521122,80,80
1498521723,80,80
1498522321,80,80
1498522921,80,80
1498523521,80,80
1498524121,80,80
1498524722,80,80
1498525322,80,80
1498525921,80,80
1498526522,80,80
1498527721,80,80
1498528321,80,80
1498528921,80,80
1498529522,80,80
1498530121,80,80
1498530722,80,80
1498531322,80,80
1498532521,80,80
1498533722,80,80
1498534322,80,80
1498534922,80,80
1498535522,80,80
1498536122,80,80
1498536722,80,80
1498537321,80,80
1498538522,80,80
1498539122,80,80
1498539722,80,80
1498540321,80,80
1498540921,80,80
1498541521,80,80
1498542122,80,80
1498542723,80,80
1498543322,80,80
1498544828,80,80
1498545122,80,80
1498545721,80,80
1498546322,80,80
1498546922,80,80
1498547522,80,80
1498548122,80,80
1498548723,80,80
1498549322,80,80
1498549921,80,80
1498550521,80,80
1498551121,80,80
1498551722,80,80
1498552921,80,80
1498553522,80,80
1498554122,80,80
1498554722,80,80
1498555321,80,80
1498556522,80,80
1498557122,80,80
1498557721,80,80
1498558321,80,80
1498558922,80,80
1498559522,80,80
1498560121,80,80
1498560722,80,80
1498561322,80,80
1498561922,80,80
1498562521,80,80
1498563122,80,80
1498563722,80,80
1498564322,80,80
1498564922,80,80
1498565522,80,80
1498566122,80,80
1498566722,80,80
1498567322,80,80
1498567922,80,80
1498568522,80,80
1498569121,80,80
1498569722,80,80
1498570922,80,80
1498571521,80,80
1498572122,80,80
1498572721,80,80
1498573322,80,80
1498573922,80,80
1498574522,80,80
1498575122,80,80
1498575722,80,80
1498576321,80,80
1498576922,80,80
1498577521,80,80
1498578121,80,80
1498578722,80,80
1498579322,80,80
1498579921,80,80
1498580521,80,80
1498581122,80,80
1498581721,80,80
1498582322,80,80
1498582921,80,80
1498584122,80,80
1498584721,80,80
1498585321,80,80
1498585922,80,80
1498587121,80,80
1498587721,80,80
1498588322,80,80
1498588922,80,80
1498589522,80,80
1498590122,80,80
1498591321,80,80
1498592521,80,80
1498593123,80,80
1498593722,80,80
1498594322,80,80
1498594921,80,80
1498596122,80,80
1498596722,80,80
1498597321,80,80
1498597924,80,80
1498598521,80,80
1498599122,80,80
1498599722,80,80
1498600321,80,80
1498600922,80,80
1498601522,80,80
1498602122,80,80
1498603321,80,80
1498603922,80,80
1498604522,80,80
1498605722,80,80
1498606322,80,80
1498606922,80,80
1498607522,80,80
1498608122,80,80
1498608721,80,80
1498609322,80,80
1498609921,80,80
1498610522,80,80
1498611122,80,80
1498611722,80,80
1498612921,80,80
1498613522,80,80
1498614122,80,80
1498614722,80,80
1498615321,80,80
1498615922,80,80
1498616521,80,80
1498617122,80,80
1498617722,80,80
1498618322,80,80
1498618922,80,80
1498619521,80,80
1498620122,80,80
1498621322,80,80
1498621921,80,80
1498622521,80,80
1498623122,80,80
1498623722,80,80
1498624321,80,80
1498624922,80,80
1498625522,80,80
1498626122,80,80
1498626722,80,80
1498627322,80,80
1498627922,80,80
1498628523,80,80
1498629722,80,80
1498630322,80,80
1498630922,80,80
1498631521,80,80
1498632122,80,80
1498632721,80,80
1498633322,80,80
1498633921,80,80
1498634521,80,80
1498635121,80,80
1498635721,80,80
1498636321,80,80
1498636922,80,80
1498637522,80,80
1498638122,80,80
1498638722,80,80
1498639321,80,80
1498639922,80,80
1498640523,80,80
1498641122,80,80
1498641721,80,80
1498642322,80,80
1498642922,80,80
1498643522,80,80
1498644122,80,80
1498644721,80,80
1498645322,80,80
1498646521,80,80
1498647121,80,80
