DateTime,AddedIPs,RemovedIPs
1498151522,3,1
1498152122,1,0
1498152722,2,0
1498153921,0,1
1498155122,3,0
1498155722,2,1
1498156321,0,1
1498158722,1,0
1498159322,0,4
1498161722,0,1
1498162322,0,1
1498162921,7,0
1498164122,1,1
1498165322,1,0
1498166521,4,3
1498167122,3,0
1498168921,1,0
1498169522,0,9
1498170121,0,1
1498170722,0,1
1498171921,0,1
1498172522,1,0
1498174322,0,1
1498174921,1,1
1498176121,1,1
1498177321,0,1
1498177921,0,2
1498178521,0,2
1498179122,6,0
1498179721,10,0
1498180921,1,0
1498182121,0,1
1498183321,0,1
1498183923,6,0
1498184522,12,0
1498186321,2,0
1498186922,0,1
1498188121,0,3
1498188722,1,0
1498190574,1,0
1498191121,1,0
1498192923,3,0
1498193522,5,1
1498194121,1,0
1498195322,1,0
1498197122,1,3
1498197721,1,3
1498198321,0,1
1498199521,0,1
1498201323,1,0
1498201921,4,0
1498202521,1,1
1498203721,2,5
1498204321,1,0
1498206122,1,3
1498207322,16,0
1498208521,2,4
1498209122,4,0
1498209723,1,0
1498210921,0,3
1498211522,0,2
1498213322,2,0
1498215723,3,0
1498216921,5,0
1498217521,1,0
1498218121,1,1
1498219322,4,4
1498219922,2,0
1498220522,1,0
1498221722,3,1
1498222321,1,0
1498223522,1,0
1498224121,0,3
1498225322,2,0
1498225922,1,1
1498226521,0,2
1498227722,1,0
1498228321,4,0
1498229521,2,0
1498230122,0,1
1498231322,0,5
1498233121,1,1
1498234322,6,0
1498234922,6,0
1498236122,2,3
1498237922,0,1
1498238521,1,0
1498239721,0,2
1498240921,0,3
1498242121,5,1
1498243321,1,0
1498244521,0,4
1498245721,0,5
1498246921,7,0
1498248122,4,0
1498248722,0,6
1498249923,4,0
1498250522,1,0
1498251121,1,0
1498252321,1,0
1498252922,1,2
1498253522,1,0
1498255321,7,3
1498256521,1,1
1498257121,1,0
1498257722,0,1
1498258922,5,0
1498259521,1,0
1498261322,4,2
1498261922,1,1
1498262522,1,1
1498263723,3,0
1498264922,34,1
1498265522,18,1
1498266122,18,0
1498266721,9,0
1498267322,3,0
1498267921,2,1
1498268521,2,0
1498269122,2,0
1498269721,2,0
1498270321,2,1
1498270921,1,0
1498272123,4,3
1498273322,1,0
1498273922,2,1
1498274522,1,0
1498275721,1,0
1498276322,0,3
1498276922,1,0
1498277522,1,0
1498278723,25,2
1498279321,4,0
1498280521,2,1
1498281122,4,0
1498281721,3,0
1498282921,1,4
1498283522,1,1
1498284122,1,0
1498284721,0,2
1498285321,2,1
1498286521,0,1
1498287724,16,1
1498288322,4,0
1498289522,3,0
1498291922,1,0
1498292521,1,0
1498293721,1,1
1498294323,15,0
1498294921,4,1
1498296722,3,1
1498297322,1,1
1498300922,0,2
1498302722,24,1
1498303322,34,0
1498304521,42,0
1498305122,27,1
1498305722,21,2
1498306321,7,0
1498306922,8,0
1498307521,16,0
1498308121,14,0
1498308721,13,2
1498309321,4,0
1498309922,6,0
1498310522,11,0
1498311121,12,0
1498311722,10,0
1498312922,7,1
1498314121,3,2
1498314723,7,0
1498315321,3,0
1498315921,2,0
1498316522,4,0
1498317722,3,2
1498318922,0,1
1498320121,1,1
1498321321,1,1
1498321921,4,0
1498322521,1,0
1498323722,16,0
1498324321,7,0
1498324921,3,0
1498326121,9,0
1498327321,9,0
1498327922,12,0
1498328522,2,0
1498329722,3,2
1498330321,2,0
1498332122,6,3
1498334521,3,2
1498335122,2,0
1498335722,0,3
1498336322,5,0
1498336922,22,0
1498337521,9,0
1498338122,3,0
1498338721,1,0
1498339322,1,0
1498339922,3,0
1498340522,1,1
1498341721,10,0
1498342321,2,1
1498343522,1,0
1498344121,2,2
1498344721,13,1
1498345321,11,0
1498345922,7,2
1498346522,10,0
1498347121,13,0
1498347722,13,2
1498348923,5,1
1498349522,5,1
1498350122,3,0
1498350722,5,0
1498351321,6,0
1498352521,4,5
1498353122,8,0
1498353722,3,0
1498354921,3,0
1498355522,2,0
1498356121,2,0
1498356721,1,0
1498357321,1,1
1498357922,3,0
1498358522,1,0
1498359122,1,0
1498359722,1,1
1498360322,1,0
1498360922,2,0
1498362122,1,5
1498362723,8,0
1498363321,7,0
1498363921,9,1
1498364521,5,2
1498365721,6,0
1498366322,6,0
1498366922,2,1
1498368122,1,2
1498368722,2,0
1498369322,1,0
1498371122,0,2
1498371722,2,1
1498372322,4,0
1498373522,0,1
1498374121,1,0
1498377121,2,1
1498377723,5,0
1498378922,5,1
1498379522,2,0
1498380122,3,0
1498380722,0,6
1498381321,2,0
1498381922,3,0
1498383722,0,2
1498384922,4,0
1498385521,1,1
1498386122,2,6
1498387322,3,1
1498387921,4,0
1498388521,4,0
1498389121,2,0
1498390321,1,0
1498390922,1,0
1498392123,11,0
1498392722,14,2
1498393322,8,0
1498394522,16,0
1498395122,1,0
1498396322,7,1
1498396921,3,0
1498398122,4,1
1498399321,3,1
1498400521,4,1
1498401122,9,2
1498401722,4,0
1498402322,1,0
1498402922,1,0
1498404721,1,3
1498405321,1,0
1498406522,2,1
1498407722,2,1
1498408321,3,0
1498408921,3,0
1498410721,1,0
1498411922,1,0
1498412522,1,0
1498413121,1,1
1498414922,1,0
1498416121,2,3
1498416722,4,0
1498417321,1,1
1498419721,6,1
1498420322,2,0
1498420921,1,0
1498421522,0,1
1498422721,2,1
1498423322,2,0
1498423922,1,0
1498426322,0,1
1498426922,0,3
1498427522,1,0
1498428722,2,4
1498429322,1,3
1498430521,14,2
1498431122,7,0
1498431722,1,0
1498432322,7,0
1498432921,4,0
1498434121,0,1
1498434722,2,0
1498435322,11,0
1498435922,5,1
1498436521,6,0
1498438321,4,0
1498440122,2,1
1498440722,1,0
1498441322,1,0
1498444922,1,0
1498445521,1,0
1498446122,4,0
1498446722,2,0
1498447322,1,0
1498447921,1,1
1498448522,1,0
1498449721,0,2
1498450922,2,1
1498451521,3,0
1498452122,1,1
1498453322,0,1
1498453921,1,0
1498454522,2,0
1498456922,1,1
1498457522,0,1
1498458121,0,2
1498459323,4,0
1498459922,1,1
1498460522,0,2
1498461122,2,2
1498461721,1,0
1498462321,1,0
1498462922,1,0
1498464121,0,2
1498467123,1,1
1498467722,1,1
1498470121,1,2
1498471921,1,0
1498472522,1,0
1498474322,0,9
1498474923,6,0
1498475522,4,1
1498476121,2,3
1498478522,1,8
1498479123,4,0
1498479721,1,0
1498480921,0,4
1498482122,0,2
1498483322,0,2
1498485722,0,1
1498486921,1,2
1498488121,1,1
1498489321,2,1
1498489923,0,3
1498491721,2,3
1498492922,2,0
1498493522,0,3
1498494721,6,0
1498495922,8,1
1498497721,2,7
1498498321,3,0
1498499521,1,9
1498501321,0,2
1498503121,5,4
1498504322,0,3
1498506121,1,3
1498507322,1,3
1498508521,1,0
1498509122,9,0
1498509721,14,0
1498510322,4,0
1498510921,1,2
1498511521,2,0
1498512121,2,0
1498513322,2,5
1498513922,1,0
1498515722,1,0
1498516921,1,4
1498518122,8,2
1498519321,1,0
1498519921,0,1
1498520522,0,5
1498521723,3,0
1498522321,2,0
1498522921,2,2
1498525322,2,0
1498525921,1,0
1498526522,9,0
1498527721,6,1
1498528321,5,0
1498528921,2,0
1498529522,1,1
1498530722,1,1
1498531321,1,0
1498531921,1,3
1498533722,2,2
1498534922,1,1
1498537321,0,2
1498539121,1,0
1498539722,0,1
1498541521,0,3
1498542122,1,0
1498542723,8,0
1498543322,2,0
1498543922,2,0
1498544828,3,3
1498545122,0,2
1498546322,0,2
1498549322,2,1
1498549921,1,1
1498550521,0,1
1498551121,0,1
1498553522,1,0
1498554122,11,1
1498554722,15,0
1498555321,8,0
1498556521,2,0
1498558921,2,0
1498560722,1,0
1498561322,12,0
1498561922,13,3
1498562521,7,0
1498563122,2,0
1498563721,0,3
1498564922,3,3
1498566122,0,1
1498567322,1,0
1498568522,0,2
1498569722,1,0
1498570922,1,2
1498571521,1,3
1498573322,2,1
1498573922,0,1
1498575722,0,2
1498576321,0,2
1498578121,3,1
1498578722,0,2
1498579921,2,0
1498580521,1,0
1498581122,1,2
1498582921,0,1
1498584122,2,0
1498584721,1,2
1498585321,2,1
1498586522,4,0
1498587121,5,1
1498587721,0,1
1498590122,1,4
1498590722,1,0
1498591321,2,1
1498592521,5,1
1498593722,1,0
1498594921,5,1
1498596122,1,0
1498598521,4,1
1498600321,2,1
1498600922,1,0
1498601522,2,0
1498602122,1,2
1498603321,1,0
1498603922,0,2
1498604522,0,7
1498605722,3,0
1498606322,3,1
1498606921,0,1
1498608122,2,1
1498608721,3,0
1498609322,1,3
1498609921,1,0
1498611122,4,0
1498611722,1,0
1498612322,30,0
1498612921,5,0
1498614122,6,0
1498614722,1,1
1498615321,1,0
1498616521,4,1
1498617722,7,0
1498618322,1,0
1498619521,3,0
1498620122,0,1
1498621322,1,4
1498623722,0,2
1498624922,8,0
1498625522,15,0
1498626122,6,1
1498627322,11,0
1498627922,1,1
1498628523,6,0
1498629121,2,0
1498629722,0,1
