DateTime,Entries,UniqueIPs
1497922922,1544,1574
1497924721,1554,1584
1497925322,1558,1587
1497925921,1559,1588
1497927722,1563,1592
1497928321,1561,1590
1497930122,1557,1586
1497932523,1558,1587
1497933722,1562,1591
1497934322,1561,1591
1497936722,1556,1586
1497937322,1556,1586
1497938521,1556,1586
1497939123,1564,1594
1497939722,1566,1596
1497940322,1564,1594
1497940921,1563,1593
1497941522,1564,1594
1497942121,1566,1596
1497942722,1567,1597
1497943322,1566,1596
1497943921,1565,1595
1497945122,1573,1603
1497945722,1575,1605
1497946321,1576,1605
1497947522,1574,1603
1497948122,1576,1605
1497949922,1574,1603
1497951723,1581,1610
1497952322,1579,1608
1497952922,1578,1607
1497954122,1577,1606
1497955321,1578,1607
1497956521,1576,1605
1497957122,1579,1608
1497957722,1586,1615
1497958321,1587,1616
1497959521,1586,1615
1497960121,1584,1613
1497961321,1586,1615
1497962522,1585,1614
1497963122,1584,1613
1497964921,1584,1614
1497965521,1589,1620
1497966122,1587,1618
1497967321,1588,1619
1497968522,1587,1618
1497970922,1587,1618
1497971521,1586,1617
1497972722,1587,1618
1497973921,1586,1617
1497975122,1585,1616
1497975722,1584,1615
1497978121,1586,1617
1497978722,1585,1616
1497980522,1578,1609
1497981722,1580,1611
1497982921,1579,1610
1497984721,1579,1610
1497986522,1577,1608
1497987121,1578,1609
1497988322,1576,1606
1497989521,1577,1607
1497990121,1574,1604
1497990722,1576,1606
1497991322,1583,1613
1497991922,1584,1613
1497992522,1586,1615
1497993722,1587,1616
1497994921,1586,1615
1497996122,1585,1614
1497996722,1587,1616
1497998521,1584,1613
1497999721,1585,1614
1498000922,1585,1614
1498002121,1584,1613
1498002722,1583,1612
1498003922,1582,1610
1498005123,1583,1610
1498005722,1583,1610
1498006322,1580,1607
1498006921,1588,1615
1498007521,1585,1612
1498008122,1586,1613
1498010521,1588,1615
1498011121,1585,1612
1498012921,1586,1613
1498014123,1578,1605
1498015321,1579,1606
1498015922,1580,1607
1498016521,1578,1605
1498017722,1577,1604
1498018321,1575,1602
1498018922,1573,1600
1498020124,1575,1602
1498020721,1582,1609
1498021321,1580,1607
1498022522,1579,1606
1498024322,1578,1605
1498024921,1575,1602
1498026122,1576,1603
1498026722,1577,1603
1498027322,1580,1606
1498029122,1581,1607
1498030322,1580,1606
1498030921,1579,1605
1498031521,1578,1604
1498033321,1575,1601
1498033922,1576,1602
1498034522,1587,1613
1498035722,1589,1615
1498036322,1589,1615
1498036921,1587,1613
1498037522,1586,1612
1498039322,1585,1611
1498041121,1584,1610
1498041721,1582,1608
1498042922,1580,1606
1498043522,1581,1607
1498044121,1582,1608
1498044721,1583,1609
1498045321,1577,1603
1498047721,1584,1610
1498048321,1585,1611
1498050122,1587,1613
1498050721,1588,1614
1498051321,1590,1616
1498052521,1591,1617
1498053123,1594,1620
1498053722,1594,1620
1498054322,1593,1619
1498054922,1592,1618
1498056121,1596,1622
1498058521,1595,1621
1498059722,1592,1618
1498060921,1586,1612
1498061522,1587,1613
1498063922,1589,1615
1498064522,1588,1614
1498065721,1589,1615
1498066322,1588,1614
1498066922,1589,1615
1498068121,1586,1612
1498070522,1587,1614
1498072922,1588,1615
1498073521,1586,1613
1498074122,1587,1614
1498074722,1592,1619
1498075322,1591,1618
1498075921,1592,1619
1498077122,1589,1616
1498077721,1588,1615
1498078322,1589,1616
1498079521,1589,1616
1498080721,1587,1614
1498081322,1582,1609
1498081921,1580,1607
1498082523,1587,1614
1498083121,1584,1611
1498083721,1583,1610
1498085522,1582,1609
1498086121,1582,1609
1498088521,1583,1610
1498089122,1581,1608
1498090323,1583,1610
1498090922,1584,1611
1498091521,1588,1615
1498092121,1589,1616
1498092721,1587,1614
1498093922,1585,1612
1498094521,1586,1613
1498095722,1587,1614
1498096321,1586,1613
1498097521,1588,1615
1498098122,1589,1616
1498099322,1585,1613
1498099921,1593,1621
1498100522,1591,1619
1498101121,1594,1622
1498101722,1592,1620
1498104122,1591,1619
1498104722,1591,1619
1498105321,1589,1617
1498107124,1590,1618
1498107721,1592,1620
1498108922,1596,1624
1498110122,1594,1622
1498111322,1593,1621
1498111922,1594,1622
