DateTime,Entries,UniqueIPs
1496810748,4811,4811
1496814348,4925,4925
1496817948,5070,5070
1496821548,5246,5246
1496825148,5399,5399
1496828749,5548,5548
1496832348,5701,5701
1496835948,5871,5871
1496839548,6006,6006
1496843148,6153,6153
1496846749,6264,6264
1496850349,6395,6395
1496853949,6506,6506
1496857549,6696,6696
1496861148,6938,6938
1496864748,7043,7043
1496868349,7127,7127
1496871948,7215,7215
1496875549,7312,7312
1496879148,7395,7395
1496882748,4612,4612
1496886348,4714,4714
1496889949,4818,4818
1496893548,4919,4919
1496897148,5065,5065
1496900748,5172,5172
1496904349,5337,5337
1496907949,5554,5554
1496911548,5698,5698
1496915149,5807,5807
1496918749,5939,5939
1496922348,6102,6102
1496925949,6225,6225
1496929549,6338,6338
1496933149,6591,6591
1496936749,6719,6719
1496940348,6808,6808
1496943949,6936,6936
1496947548,7047,7047
1496951148,7134,7134
1496954749,7226,7226
1496958349,7307,7307
1496961949,7416,7416
1496965549,7509,7509
1496969149,4319,4319
1496972749,4420,4420
1496976349,4543,4543
1496979949,4642,4642
1496983549,4761,4761
1496987148,4900,4900
1496990748,5017,5017
1496994348,5155,5155
1496997949,5303,5303
1497001549,5436,5436
1497005149,5560,5560
1497008748,5732,5732
1497012349,5867,5867
1497015949,5982,5982
1497019549,6131,6131
1497023149,6324,6324
1497026749,6413,6413
1497030349,6509,6509
1497033949,6604,6604
1497037549,6700,6700
1497041149,6794,6794
1497044749,6896,6896
1497048349,7000,7000
1497051949,7103,7103
1497055549,4166,4166
1497059149,4252,4252
1497062749,4362,4362
1497066349,4529,4529
1497069949,4656,4656
1497073549,4816,4816
1497077149,4945,4945
1497080749,5091,5091
1497084349,5238,5238
1497087949,5347,5347
1497091549,5482,5482
1497095149,5624,5624
1497098749,5728,5728
1497102349,5830,5830
1497105949,5920,5920
1497109550,6014,6014
1497113149,6118,6118
1497116749,6230,6230
1497120349,6335,6335
1497123949,6449,6449
1497127549,6535,6535
1497131149,6614,6614
1497134749,6690,6690
1497138349,6772,6772
1497141949,3990,3990
1497145549,4095,4095
1497149149,4210,4210
1497152749,4327,4327
1497156349,4420,4420
1497159949,4523,4523
1497163550,4620,4620
1497167149,4729,4729
1497170750,4822,4822
1497174349,4918,4918
1497177950,5044,5044
1497181549,5144,5144
1497185149,5274,5274
1497188750,5357,5357
1497192349,5468,5468
1497195949,5563,5563
1497199550,5642,5642
1497203149,5725,5725
1497206750,5815,5815
1497210350,5890,5890
1497213949,6117,6117
1497217550,6191,6191
1497221150,6274,6274
1497224749,6350,6350
1497228350,3691,3691
1497231950,3789,3789
1497235550,3899,3899
1497239150,3995,3995
1497242750,4102,4102
1497246350,4271,4271
1497249950,4399,4399
1497253550,4552,4552
1497257150,4709,4709
1497260750,4872,4872
1497264350,5043,5043
1497267950,5169,5169
1497271549,5290,5290
1497275150,5400,5400
1497278750,5531,5531
1497282350,5626,5626
1497285950,5751,5751
1497289550,5840,5840
1497293150,5920,5920
1497296750,6032,6032
1497300350,6135,6135
1497303950,6242,6242
1497307550,6340,6340
1497311150,6427,6427
1497314750,4090,4090
1497318350,4207,4207
1497321950,4315,4315
1497325550,4415,4415
1497329150,4531,4531
1497332750,4651,4651
1497336351,4808,4808
1497339950,4957,4957
1497343550,5118,5118
1497347150,5288,5288
1497350751,5461,5461
1497354351,5623,5623
1497357950,5768,5768
1497361550,5868,5868
1497365150,6004,6004
1497368751,6092,6092
1497372351,6247,6247
1497375950,6323,6323
1497379550,6411,6411
1497383151,6497,6497
1497386750,6597,6597
1497390350,6683,6683
1497393951,6760,6760
1497397551,6830,6830
1497401150,4126,4126
1497404751,4271,4271
1497408351,4398,4398
1497411951,4521,4521
1497415550,4641,4641
1497419151,4775,4775
1497422751,4928,4928
1497426350,5049,5049
1497429951,5210,5210
1497433551,5338,5338
1497437150,5530,5530
1497440750,5690,5690
1497444351,5836,5836
1497447951,5986,5986
1497451550,6117,6117
1497455151,6230,6230
1497458751,6309,6309
1497462351,6398,6398
1497465951,6487,6487
1497469551,6564,6564
1497473150,6647,6647
1497476751,6739,6739
1497480351,6829,6829
1497483951,6898,6898
1497487551,4155,4155
1497491151,4265,4265
1497494751,4370,4370
1497498351,4469,4469
1497501951,4578,4578
1497505551,4705,4705
1497509151,4814,4814
1497512751,4985,4985
1497516351,5137,5137
1497519951,5290,5290
1497523551,5430,5430
1497527151,5571,5571
1497530751,5699,5699
1497534351,5812,5812
1497537951,5921,5921
1497541551,6044,6044
1497545151,6145,6145
1497548751,6243,6243
1497552351,6355,6355
1497555951,6467,6467
1497559551,6577,6577
1497563151,6648,6648
1497566751,6732,6732
1497570351,6818,6818
1497573951,4018,4018
1497577551,4122,4122
1497581151,4272,4272
1497584751,4422,4422
1497588351,4550,4550
1497591951,4685,4685
1497595551,4845,4845
1497599151,4998,4998
1497602751,5170,5170
1497606351,5323,5323
1497609951,5452,5452
1497613551,5591,5591
1497617151,5738,5738
1497620751,5858,5858
1497624352,5971,5971
1497627952,6080,6080
1497631551,6179,6179
1497635151,6298,6298
1497638751,6398,6398
1497642352,6873,6873
1497645951,6970,6970
1497649551,7065,7065
1497653151,7223,7223
1497656751,7298,7298
1497660351,4662,4662
1497663951,4760,4760
1497667551,4959,4959
1497671151,5077,5077
1497674751,5187,5187
1497678352,5312,5312
1497681952,5452,5452
1497685552,5596,5596
1497689152,5726,5726
1497692751,5835,5835
1497696352,5972,5972
1497699952,6129,6129
1497703552,6235,6235
1497707152,6344,6344
1497710752,6460,6460
1497714351,6626,6626
1497717952,6771,6771
1497721551,6875,6875
1497725152,6971,6971
1497728752,7099,7099
1497732351,7210,7210
1497735952,7318,7318
1497739552,7409,7409
1497743152,7512,7512
1497746752,4265,4265
1497750352,4383,4383
1497753951,4470,4470
1497757551,4578,4578
1497761152,4668,4668
1497764751,4785,4785
1497768352,4884,4884
1497771952,5003,5003
1497775552,5093,5093
1497779152,5208,5208
1497782752,5348,5348
1497786352,5438,5438
1497789952,5548,5548
1497793552,5660,5660
1497797153,5870,5870
1497800752,6056,6056
1497804352,6180,6180
1497807952,6354,6354
1497811552,6511,6511
1497815152,6659,6659
1497818752,6811,6811
1497822352,7012,7012
1497825952,7203,7203
1497829552,7354,7354
1497833152,4783,4783
1497836752,4934,4934
1497840352,5085,5085
1497843952,5233,5233
1497847552,5321,5321
1497851152,5457,5457
1497854752,5612,5612
1497858353,5781,5781
1497861952,5923,5923
1497865552,6066,6066
1497869152,6193,6193
1497872752,6311,6311
1497876352,6447,6447
1497879953,6601,6601
1497883552,6726,6726
1497887152,6844,6844
1497890753,6931,6931
1497894352,7029,7029
1497897952,7142,7142
1497901553,7241,7241
1497905152,7440,7440
1497908752,7564,7564
1497912352,7642,7642
1497915953,7737,7737
1497919553,4594,4594
1497923152,4710,4710
1497926753,4841,4841
1497930353,4958,4958
1497933953,5089,5089
1497937552,5218,5218
1497941152,5375,5375
1497944753,5531,5531
1497948352,5713,5713
1497951953,5875,5875
1497955553,6032,6032
1497959152,6179,6179
1497962753,6314,6314
1497966353,6430,6430
1497969953,6542,6542
1497973553,6737,6737
1497977153,6816,6816
1497980753,6908,6908
1497984353,7012,7012
1497987952,7103,7103
1497991552,7211,7211
1497995153,7792,7792
1497998752,8456,8456
1498002353,8823,8823
1498005953,5987,5987
1498009553,6104,6104
1498013153,6223,6223
1498016753,6342,6342
1498020353,6439,6439
1498023952,6603,6603
1498027553,6765,6765
1498031153,6920,6920
1498034753,7044,7044
1498038353,7196,7196
1498041953,7322,7322
1498045553,7470,7470
1498049153,7740,7740
1498052753,7881,7881
1498056354,8029,8029
1498059953,8148,8148
1498063553,8253,8253
1498067153,8732,8732
1498070753,8963,8963
1498074354,9100,9100
1498077954,9212,9212
1498081553,9329,9329
1498085153,9443,9443
1498088753,9545,9545
1498092353,5746,5746
1498095953,5867,5867
1498099553,6049,6049
1498103153,6218,6218
1498106753,6364,6364
1498110353,6513,6513
1498113954,6666,6666
1498117553,6836,6836
1498121153,7000,7000
1498124753,7101,7101
1498128353,7249,7249
1498131953,7376,7376
1498135553,7525,7525
1498139153,7642,7642
1498142754,7746,7746
1498146354,7849,7849
1498149953,7954,7954
1498153553,8031,8031
1498157153,8313,8313
1498160754,8687,8687
1498164353,8781,8781
1498167953,8908,8908
1498171553,9032,9032
1498175153,9148,9148
1498178754,5784,5784
1498182353,5892,5892
1498185954,5982,5982
1498189553,6090,6090
1498193154,6198,6198
1498196753,6575,6575
1498200354,6703,6703
1498203953,6825,6825
1498207554,6950,6950
1498211154,7040,7040
1498214754,7166,7166
1498218353,7272,7272
1498221953,7429,7429
1498225553,7535,7535
1498229153,7649,7649
1498232754,7758,7758
1498236354,7983,7983
1498239954,8101,8101
1498243554,8196,8196
1498247154,8275,8275
1498250753,8389,8389
1498254353,8479,8479
1498257954,8597,8597
1498261554,8714,8714
1498265154,4798,4798
1498268754,4888,4888
1498272354,5004,5004
1498275954,5109,5109
1498279554,5230,5230
1498283154,5345,5345
1498286754,5456,5456
1498290354,5596,5596
1498293954,5755,5755
1498297554,5859,5859
1498301154,6016,6016
1498304754,6138,6138
1498308354,6289,6289
1498311954,6405,6405
1498315554,6531,6531
1498319154,6629,6629
1498322754,6764,6764
1498326354,6842,6842
1498329954,6936,6936
1498333555,7029,7029
1498337154,7136,7136
1498340754,7233,7233
1498344354,7308,7308
1498347954,7423,7423
1498351554,4083,4083
1498355154,4416,4416
1498358754,4522,4522
