DateTime,Entries,UniqueIPs
1495817185,20713,20713
1495822581,20708,20708
1495829779,20710,20710
1495836979,20708,20708
1495844180,20704,20704
1495850494,20703,20703
1495851378,20700,20700
1495858581,20695,20695
1495865777,20692,20692
1495872981,20693,20693
1495880177,20691,20691
1495887375,20690,20690
1495894576,20693,20693
1495901781,20692,20692
1495902680,21391,21391
1495903578,20720,20720
1495908979,20719,20719
1495909882,20718,20718
1495916173,20715,20715
1495923374,20720,20720
1495930575,20721,20721
1495937770,20720,20720
1495943174,20718,20718
1495944976,20716,20716
1495952176,20718,20718
1495959373,20717,20717
1495966575,20717,20717
1495973771,20714,20714
1495980977,20718,20718
1495985473,20715,20715
1495988183,20716,20716
1495989086,19923,19923
1495989975,20614,20614
1495995370,20614,20614
1496002577,20615,20615
1496009771,20615,20615
1496016979,20610,20610
1496024171,20609,20609
1496031372,20612,20612
1496038574,20614,20614
1496045773,20614,20614
1496052970,20614,20614
1496060173,20613,20613
1496067374,20616,20616
1496074582,20616,20616
1496075486,20617,20617
1496076370,20438,20438
1496081775,20438,20438
1496088086,20437,20437
1496088978,20441,20441
1496096172,20439,20439
1496103388,20441,20441
1496110577,20437,20437
1496117772,20437,20437
1496124972,20436,20436
1496132176,20435,20435
1496139371,20438,20438
1496146574,20437,20437
1496153772,20438,20438
1496160986,20447,20447
1496161884,21039,21039
1496162774,20676,20676
1496168172,20675,20675
1496175377,20680,20680
1496182572,20678,20678
1496189772,20682,20682
1496196979,20682,20682
1496204172,20678,20678
1496211377,20681,20681
1496218577,20679,20679
1496225775,20677,20677
1496232975,20679,20679
1496240176,20677,20677
1496246485,20676,20676
1496247381,20677,20677
1496249187,19949,19949
1496250091,21363,21363
1496254575,21356,21356
1496259977,21355,21355
1496261777,21353,21353
1496268976,21358,21358
1496276178,21362,21362
1496283376,21373,21373
1496290579,21370,21370
1496297780,21377,21377
1496304978,21377,21377
1496312175,21379,21379
1496319373,21376,21376
1496326578,21375,21375
1496327475,21371,21371
1496331974,21348,21348
1496334674,21922,21922
1496337377,21369,21369
1496339178,21367,21367
1496341874,21370,21370
1496349982,21368,21368
1496355377,21373,21373
1496362581,21377,21377
1496369778,21371,21371
1496376973,21369,21369
1496384175,21370,21370
1496391382,21373,21373
1496398578,21360,21360
1496405785,21357,21357
1496412980,21362,21362
1496416580,21363,21363
1496420188,21360,21360
1496427372,21360,21360
1496434574,21368,21368
1496441774,21364,21364
1496446274,20837,20837
1496448977,20839,20839
1496449875,20837,20837
1496452578,20836,20836
1496457977,20835,20835
1496464276,20835,20835
1496470572,20829,20829
1496477773,20829,20829
1496484972,20829,20829
1496488571,20830,20830
1496492176,20831,20831
1496499376,20827,20827
1496502978,21587,21587
1496507477,21584,21584
1496512885,20864,20864
1496513782,20867,20867
1496520087,20864,20864
1496520977,20860,20860
1496528172,20852,20852
1496535375,20853,20853
1496542582,20848,20848
1496549778,20846,20846
1496556973,20843,20843
1496564173,20842,20842
1496571377,20841,20841
1496578573,20834,20834
1496585775,20838,20838
1496589375,21529,21529
1496593880,21529,21529
1496599288,20834,20834
1496600177,20833,20833
1496607377,20830,20830
1496614573,20833,20833
1496618177,20829,20829
1496621774,20831,20831
1496628977,20833,20833
1496636172,20827,20827
1496643372,20825,20825
1496650573,20819,20819
1496657772,20824,20824
1496664974,20823,20823
1496672172,20828,20828
1496674890,21630,21630
1496679383,21627,21627
1496683873,21626,21626
1496686574,21219,21219
1496690174,21218,21218
1496693778,21219,21219
1496700974,21216,21216
1496708178,21217,21217
1496711774,21216,21216
1496715373,21217,21217
1496722573,21214,21214
1496729774,21214,21214
1496736979,21215,21215
1496744171,21217,21217
1496751377,21219,21219
1496758579,21217,21217
1496763984,21933,21933
1496765787,21937,21937
1496769373,21369,21369
1496772978,21373,21373
1496780175,21375,21375
1496787375,21376,21376
1496790973,21368,21368
1496794570,21367,21367
1496801771,21365,21365
1496808973,21362,21362
1496816177,21367,21367
1496818886,21366,21366
1496823376,21366,21366
1496824270,21367,21367
1496830573,21369,21369
1496837773,21369,21369
1496844975,21366,21366
1496852176,21916,21916
1496853072,21654,21654
1496853973,21274,21274
1496859371,21295,21295
1496866581,21296,21296
1496871073,21298,21298
1496873772,21293,21293
1496880973,21298,21298
1496888173,21298,21298
1496895388,21295,21295
1496902578,21295,21295
1496909777,21293,21293
1496916975,21295,21295
1496924171,21296,21296
1496931380,21294,21294
1496938577,21295,21295
1496945772,21285,21285
1496952980,21286,21286
1496960177,21283,21283
1496967381,21281,21281
