DateTime,AddedIPs,RemovedIPs
1491644479,0,1
1491679007,0,1
1491682846,0,1
1491705859,0,1
1491717383,0,1
1491729183,0,3
1491732996,1,0
1491736965,2,0
1491752193,2,0
1491756053,1,1
1491759878,1,0
1491763710,0,1
1491767592,3,2
1491775344,0,2
1491783190,0,1
1491786996,2,1
1491790865,0,4
1491798521,0,1
1491802392,0,1
1491806197,1,3
1491810049,0,1
1491833373,1,1
1491856366,3,0
1491871726,1,1
1491875563,1,2
1491883315,0,1
1491887355,0,2
1491902667,1,0
1491910371,0,1
1491933744,0,2
1491941353,1,0
1491972060,0,1
1491979729,1,0
1491995327,0,1
1491999180,0,1
1492018377,0,1
1492033726,1,0
1492052921,0,1
1492068279,0,1
1492075967,1,1
1492083666,0,3
1492118198,1,1
1492226470,1,0
1492230279,0,1
1492257170,0,1
1492260997,0,2
1492276602,1,138
1492280451,2,0
1492284265,2,0
1492292163,1,0
1492299856,1,0
1492307554,2,0
1492311723,2,0
1492327278,1,0
1492331059,1,0
1492338749,1,0
1492342588,1,0
1492350274,1,0
1492354109,1,0
1492377166,2,0
1492392516,3,0
1492400201,1,0
1492407882,2,0
1492415588,2,0
1492434992,1,0
1492450368,2,0
1492454460,1,0
1492458477,1,0
1492473735,1,0
1492485381,3,31
1492516101,2,0
1492531725,1,0
1492539407,1,0
1492543273,2,0
1492554773,1,0
1492566256,3,0
1492570105,2,0
1492577795,1,0
1492581710,1,0
1492600875,1,0
1492616185,1,0
1492620039,1,0
1492624034,1,0
1492631554,1,0
1492650766,2,0
1492654578,1,0
1492689146,1,0
1492693532,2,0
1492701149,1,0
1492712660,1,0
1492731863,1,0
1492739547,1,0
1492743396,1,0
1492747295,1,0
1492758737,1,0
1492762581,1,0
1492766461,1,0
1492777982,1,0
1492798028,2,0
1492813462,1,0
1492817309,1,0
1492825002,1,0
1492832671,1,0
1492836521,1,0
1492913583,1,0
1492917385,1,0
1492948126,1,0
1492951959,1,0
1492959710,2,0
1492982718,1,0
1492986518,1,0
1493001871,1,0
1493013395,2,0
1493021315,1,0
1493036717,1,0
1493048212,1,0
1493071486,1,0
1493141069,1,0
1493176126,1,0
1493179947,1,0
1493183820,1,0
1493203029,1,0
1493214550,1,0
1493226281,1,0
1493286276,2,0
1493290140,2,0
1493314145,1,0
1493321843,1,0
1493325629,1,0
1493341050,1,0
1493348684,1,0
1493410149,1,0
1493421674,1,0
1493456977,1,0
1493518839,1,0
1493538252,1,0
1493542127,1,0
1493549817,1,0
1493553722,1,0
1493557522,1,0
1493581263,3,0
1493585068,1,0
1493592761,1,0
1493596585,1,0
1493600487,2,0
1493604533,1,0
1493654519,1,0
1493673860,2,0
1493677720,1,0
1493681554,1,0
1493689259,1,0
1493693062,1,0
1493754514,1,0
1493781415,1,0
1493835459,2,0
1493839246,3,0
1493846953,2,0
1494168501,15,2
1494172558,0,1
1494176506,2,0
1494180277,1,0
1494184111,1,1
1494187956,0,1
1494203556,1,1
1494207394,0,1
1494215083,0,1
1494218910,1,0
1494238383,1,0
1494276775,1,0
1494303649,1,0
1494342104,0,1
1494346124,0,1
1494357643,0,1
1494369153,1,0
1494384516,0,1
1494388357,1,0
1494399882,0,1
1494415230,0,1
1494434336,0,1
1494449571,0,1
1494465169,1,0
1494474774,0,1
1494486274,1,3
1494532112,2,0
1494539808,2,0
1494547487,1,0
1494559003,1,0
1494562818,1,0
1494566678,2,0
1494570521,1,0
1494593565,5,0
1494609169,1,0
1494616845,0,2
1494624712,0,1
1494640113,0,1
1494643958,0,2
1494647853,1,0
1494651693,0,2
1494659552,2,0
1494663376,3,1
1494667240,1,1
1494672268,0,1
1494676121,1,0
1494695549,0,1
1494699386,0,1
1494703254,1,0
1494722449,1,0
1494730103,0,1
1494737795,2,1
1494760830,0,1
1494772350,1,0
1494783875,1,0
1494787720,1,0
1494791577,3,1
1494799309,0,1
1494814857,1,1
1494818675,1,0
1494822527,1,0
1494826361,2,1
1494864779,0,1
1494884220,1,2
1494895731,0,1
1494899593,0,1
1494911100,1,1
1494926457,0,1
1494949246,2,0
1494960783,2,1
1494972306,1,1
1494987919,1,0
1494995601,1,0
1494999581,0,1
1495014692,3,1
1495033733,1,0
1495070896,1,0
1495078632,0,2
1495082415,0,1
1495116987,0,1
1495120864,1,0
1495124681,1,1
1495132352,2,0
1495136201,1,1
1495143872,0,1
1495151565,1,0
1495174627,0,1
1495182287,0,3
1495186134,1,0
1495193801,1,0
1495224542,1,0
1495247543,1,1
1495251399,0,1
1495259085,1,0
1495301856,0,1
1495309487,0,1
1495320982,0,2
1495328692,0,1
1495336378,1,1
1495351733,0,1
1495374793,1,0
1495378621,1,0
1495394067,3,0
1495419414,1,0
1495427081,0,1
1495442450,0,1
1495453982,1,0
1495457802,0,1
1495461762,0,1
1495465740,0,1
1495477248,0,1
1495481080,1,1
1495484923,0,1
1495507965,1,0
1495550442,0,134
1495557981,1,0
1495561713,2,0
1495581166,1,0
1495588852,3,0
1495592656,2,0
1495600351,2,0
1495608025,1,0
1495611854,1,0
1495650849,2,0
1495658447,2,0
1495673822,1,0
1495677750,1,0
1495704524,1,0
1495708366,1,0
1495712604,1,0
1495716278,1,0
1495723962,2,0
1495731720,1,0
1495735728,2,0
1495743388,1,0
1495754933,1,0
1495758744,2,0
1495766417,2,0
1495827944,1,0
1495835806,1,0
1495847568,2,0
1495851385,1,0
1495855247,1,0
1495874422,2,0
1495893901,2,0
1495932279,1,0
1495936126,2,0
1495978372,1,0
1495982202,1,0
1495986041,2,0
1495997320,2,0
1496020865,2,0
1496063082,1,0
1496070764,1,0
1496090203,1,0
1496113295,3,0
1496170600,1,0
1496197722,1,0
1496216903,1,0
1496228509,1,0
1496240203,2,0
1496247859,1,0
1496278897,2,0
1496282678,1,0
1496294183,1,0
1496298203,2,0
1496305723,1,0
1496309804,1,0
1496325161,1,0
1496473848,1,0
1496524196,1,0
1496578125,2,0
1496589658,2,0
1496628097,14,0
1496639308,1,0
1496689292,4,0
1496693075,1,0
1496735333,1,0
1496750688,1,0
1496781865,1,0
1496785728,1,0
1496801072,1,0
1496804915,2,0
1496808775,1,0
1496843304,1,0
1496897326,2,0
1496901166,1,0
1496908894,1,0
1496916510,1,0
1496924216,0,1
1496931858,1,1
1496939563,1,0
1496951302,4,2
1496955180,1,0
1496959010,1,0
1496962898,1,1
