DateTime,AddedIPs,RemovedIPs
1496486303,103,71
1496490414,35,38
1496494130,27,54
1496497956,63,25
1496502069,35,43
1496506129,77,97
1496513809,150,138
1496517667,125,95
1496521716,62,42
1496525583,23,44
1496529404,10,11
1496533274,41,65
1496537087,10,17
1496540923,49,20
1496544765,58,39
1496548578,49,52
1496552540,25,23
1496556270,28,22
1496575724,109,134
1496579574,18,14
1496583394,46,42
1496591090,39,33
1496594915,20,45
1496610275,179,89
1496629733,122,243
1496633561,16,12
1496637400,7,8
1496641236,9,30
1496645077,37,25
1496652752,34,30
1496687315,191,129
1496691157,117,130
1496695004,67,126
1496698841,41,80
1496702689,57,61
1496706539,63,66
1496710374,63,37
1496718151,115,162
1496721876,120,206
1496725713,176,120
1496729557,125,176
1496733426,170,91
1496737252,135,204
1496741058,151,135
1496744931,186,151
1496748775,155,186
1496752618,135,145
1496756451,201,145
1496760260,155,200
1496764111,86,100
1496767964,111,45
1496771817,208,142
1496775704,149,271
1496779719,139,152
1496783547,172,139
1496787407,138,172
1496791272,141,138
1496795086,159,140
1496798909,146,159
1496802758,134,147
1496806626,148,134
1496810436,148,82
1496814286,65,39
1496818115,35,32
1496821948,87,34
1496825796,59,86
1496829741,46,44
1496833478,77,85
1496837345,67,115
1496841182,91,113
1496844993,90,20
1496848832,140,262
1496852925,148,141
1496856771,151,145
1496860599,51,31
1496864436,142,86
1496868282,43,63
1496872370,179,209
1496876210,159,180
1496880147,161,159
1496883884,87,69
1496887711,109,53
1496891587,138,139
1496895419,172,234
1496899264,73,55
1496903124,149,57
1496906933,91,99
1496910797,40,48
1496914621,70,79
1496918451,161,257
1496922280,115,124
1496926168,125,51
1496929972,79,52
1496933793,155,253
1496937700,207,155
1496941497,203,207
1496945321,158,203
1496949172,176,158
1496953090,159,176
1496956837,193,159
1496960700,151,193
1496964524,150,151
1496968363,67,35
1496972220,92,71
1496976032,72,44
1496979885,73,61
1496983608,137,99
1496987580,109,120
1496991381,147,114
1496995290,44,10
1496999333,81,64
1497003174,37,18
1497007015,18,24
1497014680,39,47
1497018530,22,72
1497022369,42,28
1497037806,239,124
1497045756,56,79
1497053338,51,87
1497064866,81,139
1497068682,53,57
1497072535,42,38
1497076366,44,23
1497084031,46,37
1497087866,37,55
1497095564,206,152
1497099405,140,79
1497103324,104,107
1497111169,82,84
1497115273,27,120
1497123186,126,123
1497127011,70,24
1497130849,71,40
1497138533,112,171
1497142376,50,45
1497146219,43,31
1497150173,24,54
1497153885,15,18
1497165395,82,140
1497169242,80,35
1497173090,62,41
1497176930,97,29
1497180767,53,77
1497184613,61,94
1497188448,15,15
1497192281,29,54
1497203797,145,151
1497207696,92,30
1497211482,92,59
1497215331,14,35
1497219173,22,30
1497222852,32,67
1497226586,12,34
1497230434,35,67
1497234271,73,54
1497238105,96,95
1497241952,68,63
1497245804,109,126
1497249632,42,57
1497253474,75,99
1497257316,50,46
1497261182,42,84
1497265002,83,43
1497268937,50,47
1497272955,73,80
1497276776,89,54
1497280626,72,92
1497284452,138,301
1497288271,37,22
1497292108,145,154
1497295965,189,142
1497299814,154,192
1497303624,182,153
1497307454,79,35
1497311357,177,227
1497315158,182,177
1497319001,167,182
1497322922,176,162
1497326678,181,180
1497330537,155,182
1497334357,123,73
1497338215,43,28
1497342055,85,64
1497345868,30,11
1497349722,77,58
1497353556,166,279
