DateTime,AddedIPs,RemovedIPs
1496220794,104,66
1496224601,186,202
1496228522,188,186
1496232293,196,188
1496236134,195,196
1496240218,198,195
1496244057,192,198
1496247870,184,192
1496251983,205,184
1496255825,175,205
1496259655,195,175
1496263499,196,195
1496267323,217,196
1496271153,177,217
1496275018,175,177
1496278913,219,175
1496282689,178,219
1496286615,193,178
1496290443,176,193
1496294197,194,176
1496298215,198,194
1496301931,136,148
1496305743,179,186
1496309815,167,179
1496313679,183,167
1496317487,199,183
1496321314,198,199
1496325173,205,198
1496459748,253,187
1496464547,197,271
1496469239,167,197
1496478321,201,167
1496482330,161,168
1496486315,123,136
1496490437,162,181
1496494163,91,76
1496497971,74,94
1496502099,188,156
1496506145,202,183
1496513814,233,208
1496517670,245,231
1496521720,154,56
1496525587,31,26
1496529407,0,2
1496533277,4,5
1496537090,5,4
1496540926,89,46
1496544769,90,63
1496548581,73,85
1496552543,26,28
1496556273,1,2
1496575728,8,15
1496579577,5,9
1496583398,2,4
1496591093,12,16
1496594918,6,1
1496610279,19,27
1496629737,11,35
1496633564,2,7
1496637403,2,4
1496641239,4,11
1496645080,0,5
1496652755,1,5
1496687320,82,217
1496691161,130,198
1496695011,125,133
1496698847,126,125
1496702693,129,126
1496706544,127,129
1496710378,132,127
1496718185,132,132
1496721881,124,132
1496725719,129,124
1496729561,129,129
1496733447,122,129
1496737258,133,122
1496741063,128,133
1496744947,132,128
1496748779,133,132
1496752623,126,133
1496756464,135,126
1496760264,137,135
1496764117,136,137
1496767971,128,136
1496771848,139,128
1496775715,135,139
1496779725,136,135
1496783554,139,136
1496787426,136,139
1496791276,135,136
1496795091,131,135
1496798915,130,131
1496802761,133,130
1496806631,132,133
1496810444,127,132
1496814291,124,127
1496818121,59,55
1496821954,136,128
1496825803,133,136
1496829751,105,104
1496833482,109,122
1496837350,124,120
1496841187,133,125
1496844997,131,133
1496848835,158,131
1496852929,169,157
1496856776,170,170
1496860604,170,169
1496864444,174,170
1496868286,147,175
1496872374,153,147
1496876217,152,153
1496880153,155,152
1496883889,164,155
1496887716,171,164
1496891605,182,171
1496895426,172,182
1496899269,190,172
1496906942,178,190
1496910801,134,178
1496914627,145,134
1496918456,158,145
1496922285,146,158
1496926173,136,146
1496929976,135,136
1496933798,208,134
1496937711,213,209
1496941517,202,213
1496945327,218,202
1496949176,216,218
1496953097,204,216
1496956847,189,204
1496960705,145,189
1496964528,143,145
1496968367,161,143
1496972224,142,161
1496976037,143,142
1496979891,253,143
1496983613,200,253
1496987597,221,200
1496991385,218,193
1496995294,243,100
1496999338,33,17
1497003177,2,0
1497007019,2,1
1497014684,6,5
1497018533,2,1
1497022372,148,113
1497037810,426,421
1497045761,51,53
1497053341,4,6
1497064870,377,378
1497068686,228,223
1497072541,277,276
1497076369,164,164
1497084035,3,4
1497087869,1,1
1497095569,95,97
1497099409,78,76
1497103333,58,83
1497111172,3,4
1497123189,4,2
1497127017,97,93
1497130853,265,245
1497138537,444,445
1497142380,295,293
1497146223,242,242
1497150177,1,1
1497165402,84,90
1497169248,214,214
1497173094,185,180
1497176934,219,220
1497180771,154,153
1497184616,2,2
1497188455,1,1
1497192284,3,3
1497203801,341,342
1497207700,222,220
1497211485,201,201
1497215334,37,37
1497219176,2,3
1497222855,1,2
1497226590,4,8
1497230437,0,1
1497234276,239,252
1497238115,205,429
1497241958,218,207
1497245809,204,218
1497249638,162,204
1497253480,149,162
1497257320,166,149
1497261188,156,166
1497265008,216,156
1497268945,193,216
1497272983,227,193
1497276782,205,227
1497280631,166,205
1497284457,154,166
1497288276,157,154
1497292113,149,157
1497295972,159,149
1497299820,177,159
