DateTime,AddedIPs,RemovedIPs
1495620098,5,0
1495624140,13,0
1495631791,2,0
1495635674,1,0
1495639469,1,0
1495643146,1,0
1495650860,2,0
1495654630,5,0
1495658467,1,0
1495662290,1,0
1495666140,1,0
1495669983,2,0
1495677760,2,0
1495681492,2,0
1495685322,3,0
1495689165,1,0
1495693031,2,0
1495696976,6,0
1495700706,3,0
1495708377,4,0
1495712618,6,0
1495716290,1,0
1495720147,2,0
1495723974,1,0
1495727827,1,0
1495731756,4,0
1495735746,1,0
1495739592,3,0
1495743404,6,0
1495751099,1,0
1495754947,1,0
1495758758,2,0
1495762600,1,0
1495766434,5,0
1495770276,5,0
1495774129,1,1
1495777967,2,4
1495781791,6,0
1495786147,0,6
1495793812,4,5
1495797656,2,1
1495801491,1,2
1495805172,2,7
1495808933,3,2
1495812772,3,0
1495816607,0,6
1495820407,1,3
1495824287,2,0
1495827957,4,2
1495831977,18,2
1495835829,1,0
1495839725,0,1
1495843768,0,1
1495851398,1,1
1495859074,0,2
1495862947,0,4
1495866772,1,0
1495870608,2,1
1495874434,1,2
1495878276,4,0
1495882121,5,1
1495885954,2,0
1495889808,1,0
1495897744,1,2
1495901576,0,5
1495909257,1,1
1495913095,1,0
1495920781,1,1
1495924596,1,1
1495932292,0,1
1495939977,1,1
1495943822,20,15
1495947730,2,2
1495951491,2,0
1495955314,2,0
1495959167,2,0
1495962982,1,1
1495966871,3,1
1495974538,0,2
1495986052,1,2
1495989892,0,2
1495997333,0,4
1496001180,1,0
1496005378,0,1
1496016772,0,1
1496024696,4,3
1496028513,0,2
1496032360,0,1
1496036224,2,0
1496040051,0,4
1496043900,0,2
1496051578,4,1
1496055422,0,2
1496059439,0,4
1496067149,0,1
1496071129,1,1
1496074879,1,0
1496078705,2,1
1496082554,2,13
1496086380,0,3
1496090223,3,2
1496094075,0,1
1496097898,0,1
1496101743,0,6
1496105557,0,5
1496109397,2,3
1496113314,1,2
1496120920,0,1
1496128604,1,0
1496132437,0,3
1496136282,2,3
1496140120,3,3
1496143982,1,4
1496147803,1,1
1496151636,1,4
1496163171,0,3
1496174692,1,0
1496182454,1,1
1496190068,0,1
1496193903,0,1
1496197746,1,3
1496201577,2,8
1496205421,0,2
1496209253,3,8
1496213081,0,2
1496216927,1,0
1496220800,1,4
1496224605,2,1
1496228527,2,0
1496232297,2,5
1496240224,1,0
1496244064,1,0
1496251992,1,1
