DateTime,Entries,UniqueIPs
1496278932,180,180
1496282707,178,178
1496286641,180,180
1496290459,181,181
1496294212,186,186
1496298235,188,188
1496301948,181,181
1496305772,179,179
1496309833,168,168
1496313697,169,169
1496317507,170,170
1496321330,169,169
1496325189,167,167
1496462929,172,172
1496467771,179,179
1496472602,183,183
1496476893,183,183
1496480715,183,183
1496484946,190,190
1496488842,190,190
1496493081,190,190
1496497157,193,193
1496500996,193,193
1496504688,193,193
1496508747,189,189
1496516714,177,177
1496520525,181,181
1496524212,179,179
1496527985,176,176
1496531823,176,176
1496535849,173,173
1496539712,171,171
1496543570,172,172
1496547415,168,168
1496551255,166,166
1496574283,157,157
1496578138,155,155
1496581975,148,148
1496585816,150,150
1496589670,150,150
1496593490,146,146
1496628111,164,164
1496639324,166,166
1496643177,167,167
1496689326,187,187
1496693100,195,195
1496704648,202,202
1496712304,198,198
1496719998,192,192
1496731503,189,189
1496739195,183,183
1496743052,181,181
1496750772,185,185
1496754548,181,181
1496758437,179,179
1496762476,177,177
1496766304,177,177
1496770439,173,173
1496774219,172,172
1496778060,180,180
1496781889,181,181
1496785753,185,185
1496789592,188,188
1496793437,188,188
1496797359,188,188
1496801097,187,187
1496804947,189,189
1496808921,185,185
1496812626,184,184
1496816479,185,185
1496820365,184,184
1496824141,183,183
1496827976,184,184
1496831807,187,187
1496835644,184,184
1496839480,184,184
1496843338,176,176
1496847201,177,177
1496851059,178,178
1496855085,177,177
1496862777,178,178
1496866600,179,179
1496870470,179,179
1496874308,179,179
1496878147,178,178
1496881992,180,180
1496885869,182,182
1496889666,183,183
1496893554,183,183
1496897349,185,185
1496901195,193,193
1496905051,195,195
1496908916,195,195
1496912708,194,194
1496916530,190,190
1496920392,193,193
1496924239,191,191
1496928067,194,194
1496931879,198,198
1496935733,199,199
1496939594,201,201
1496943723,197,197
1496947503,197,197
1496951327,196,196
1496955201,196,196
1496959059,200,200
1496962937,199,199
1496966706,201,201
1496970548,200,200
1496974377,198,198
1496978221,202,202
1496982079,206,206
1496985879,207,207
1496989869,211,211
1496997420,212,212
1497001257,214,214
1497008929,216,216
1497020580,187,187
1497024292,189,189
1497031982,191,191
1497035805,195,195
1497039911,203,203
1497043739,202,202
1497051412,208,208
1497055263,209,209
1497059093,209,209
1497062930,211,211
1497070623,216,216
1497074576,221,221
1497078293,223,223
1497085976,218,218
1497089813,217,217
1497093677,218,218
1497097502,219,219
1497101589,221,221
1497113071,219,219
1497116933,210,210
1497128541,218,218
1497132295,221,221
1497136139,218,218
1497139970,221,221
1497143813,219,219
1497151481,213,213
1497159434,202,202
1497167070,203,203
1497170932,204,204
1497174767,200,200
1497178611,203,203
1497182603,205,205
1497186287,207,207
1497190118,208,208
1497201668,208,208
1497205573,208,208
1497209343,216,216
1497224677,225,225
1497228535,227,227
1497232358,228,228
1497236207,229,229
1497240136,227,227
1497244027,227,227
1497247759,223,223
1497251594,222,222
1497255674,214,214
1497263340,209,209
1497267209,219,219
1497271063,220,220
1497274978,221,221
1497278698,224,224
1497282542,226,226
1497286396,228,228
1497290644,231,231
1497294645,233,233
1497298385,235,235
1497302492,241,241
1497306306,244,244
1497310389,244,244
1497314219,241,241
1497318075,239,239
1497321914,241,241
1497325749,243,243
1497329573,243,243
1497333422,245,245
1497337311,247,247
1497341115,245,245
1497344965,245,245
1497348802,247,247
1497352614,244,244
1497356486,237,237
1497360298,235,235
1497364279,230,230
1497367986,232,232
1497371824,231,231
1497375656,232,232
1497379399,232,232
1497383099,240,240
1497386947,240,240
1497390788,238,238
1497394613,237,237
1497402670,234,234
1497406509,231,231
1497410230,227,227
1497414049,5,5
1497417862,21,21
1497421724,33,33
1497425563,47,47
1497429408,54,54
1497433244,59,59
1497437077,69,69
1497440925,76,76
1497444771,88,88
1497448592,107,107
1497452554,110,110
1497456283,117,117
1497479316,163,163
1497483177,171,171
1497490859,181,181
1497494664,184,184
1497498508,189,189
1497502373,194,194
1497506193,199,199
1497510076,206,206
1497513915,211,211
1497517716,214,214
1497521575,220,220
1497525396,224,224
1497529272,222,222
1497533079,223,223
1497536921,216,216
1497540792,217,217
1497544603,219,219
1497548392,218,218
1497552075,220,220
1497555885,227,227
1497559721,223,223
1497563595,224,224
1497567440,226,226
1497571358,227,227
1497575331,231,231
1497579173,229,229
1497583287,228,228
1497587086,223,223
1497590949,223,223
1497594800,218,218
1497598626,216,216
1497602452,222,222
1497606278,234,234
1497610119,230,230
1497614005,226,226
1497618204,225,225
1497621906,223,223
1497625738,214,214
1497629859,206,206
1497633702,207,207
1497637475,200,200
1497641307,201,201
1497645244,201,201
1497649050,200,200
1497652945,197,197
1497656715,196,196
1497660522,201,201
1497664381,199,199
1497668231,200,200
1497695155,198,198
1497706871,198,198
1497710683,198,198
1497714523,202,202
1497722590,206,206
1497726299,211,211
1497730140,208,208
1497738636,207,207
1497742354,210,210
1497750071,215,215
1497761590,216,216
1497765389,217,217
1497792512,234,234
1497796380,229,229
1497804075,227,227
1497815537,223,223
1497819407,226,226
1497827105,217,217
1497834792,211,211
1497838873,208,208
1497846808,212,212
1497866007,211,211
1497873772,210,210
1497881352,212,212
1497916372,214,214
1497920244,207,207
1497924176,203,203
1497927911,203,203
1497932091,198,198
1497935851,199,199
1497939704,198,198
1497943504,198,198
1497951203,199,199
1497963023,191,191
1497966824,183,183
1497970665,181,181
1497974696,175,175
1497978391,169,169
1497982151,169,169
1497985966,176,176
1497989848,181,181
1497993668,178,178
1497997774,178,178
1498001573,180,180
1498005450,178,178
1498009265,170,170
1498017187,169,169
1498021009,166,166
1498024990,168,168
1498028699,170,170
1498032530,168,168
1498036482,166,166
1498040565,165,165
1498044632,165,165
1498048410,11,11
1498052485,18,18
1498056281,36,36
1498060129,46,46
1498063995,53,53
1498067848,65,65
1498071667,80,80
1498075486,86,86
1498079347,91,91
1498083445,100,100
1498087122,111,111
1498091104,116,116
1498095214,126,126
1498099045,131,131
1498102842,139,139
1498106674,141,141
1498110547,147,147
1498114378,148,148
1498118235,151,151
1498122149,156,156
1498126132,156,156
1498129997,158,158
1498134112,158,158
1498138142,155,155
1498142051,152,152
1498145848,154,154
1498149649,156,156
1498153686,155,155
1498157360,153,153
1498161166,162,162
1498165036,163,163
1498168926,164,164
1498172613,165,165
1498176288,166,166
1498180148,166,166
1498184000,168,168
1498187812,174,174
1498191693,176,176
1498195735,178,178
1498199610,178,178
1498203407,178,178
1498207238,177,177
1498211079,177,177
1498215211,180,180
1498219057,177,177
1498222988,179,179
1498226695,176,176
1498230573,182,182
1498234380,181,181
1498238239,178,178
1498242060,180,180
1498245937,181,181
1498249798,192,192
1498253623,197,197
1498257437,197,197
1498261246,200,200
1498265080,207,207
1498268966,207,207
1498272758,207,207
1498276631,204,204
1498280584,207,207
1498284550,208,208
1498288665,212,212
1498292506,209,209
1498296525,208,208
1498300394,210,210
1498304219,207,207
1498308065,213,213
1498311880,214,214
1498315734,208,208
1498319608,210,210
1498323421,213,213
1498327282,214,214
1498330967,217,217
1498334953,216,216
1498339067,214,214
1498342891,214,214
1498346746,214,214
1498350519,210,210
1498354403,204,204
1498358226,196,196
1498362101,196,196
1498365896,197,197
1498369762,199,199
1498373559,200,200
1498377426,197,197
1498381366,197,197
1498385109,201,201
1498388954,201,201
1498392809,204,204
1498396623,202,202
1498400485,200,200
1498404277,201,201
1498408145,203,203
1498412002,201,201
1498423494,206,206
1498427417,203,203
1498431185,200,200
1498435021,191,191
1498438936,190,190
1498442693,191,191
1498446546,190,190
1498450371,193,193
1498458056,195,195
1498461882,196,196
1498465730,199,199
1498469601,204,204
1498473414,205,205
1498477240,206,206
1498481076,209,209
1498484948,204,204
1498488763,203,203
1498492596,200,200
1498496521,201,201
1498501860,201,201
1498506696,203,203
1498510380,205,205
1498514538,209,209
1498518312,209,209
1498522151,203,203
1498525974,203,203
1498529846,205,205
1498533653,206,206
1498537474,206,206
1498541327,203,203
1498545194,204,204
1498549029,203,203
1498552838,201,201
1498556681,201,201
1498560482,200,200
1498564380,197,197
1498568231,198,198
1498572158,200,200
1498575903,200,200
1498579748,193,193
1498583571,195,195
1498587262,195,195
1498591062,196,196
1498594918,200,200
1498598745,201,201
1498602546,204,204
1498606403,204,204
1498610114,205,205
1498613823,204,204
1498617644,199,199
1498621517,195,195
1498625331,195,195
1498629185,194,194
1498633000,195,195
1498637006,191,191
1498640944,192,192
1498644812,197,197
1498648622,204,204
1498652482,205,205
1498656295,207,207
1498660167,207,207
1498663994,198,198
1498667835,197,197
1498671711,201,201
1498675502,202,202
1498679400,210,210
1498683220,213,213
1498687380,212,212
1498691109,212,212
1498694956,213,213
1498698824,213,213
1498702896,214,214
1498706690,209,209
1498710810,209,209
1498714625,209,209
1498718492,213,213
1498722297,207,207
1498726172,211,211
1498729971,212,212
1498733863,216,216
1498737924,215,215
1498741755,216,216
1498745585,219,219
1498749429,212,212
1498753255,211,211
1498757111,210,210
1498761207,213,213
1498765060,214,214
1498768860,220,220
