DateTime,Entries,UniqueIPs
1496182461,250,250
1496186225,269,269
1496190078,277,277
1496193915,284,284
1496197752,272,272
1496201583,288,288
1496205430,295,295
1496209261,327,327
1496213088,450,450
1496216938,272,272
1496220808,291,291
1496224617,272,272
1496228540,292,292
1496232304,290,290
1496236157,281,281
1496240235,445,445
1496244071,448,448
1496247882,292,292
1496252005,295,295
1496255843,304,304
1496259672,289,289
1496263511,371,371
1496267337,281,281
1496271165,290,290
1496275030,297,297
1496278929,296,296
1496282703,291,291
1496286635,285,285
1496290456,289,289
1496294209,402,402
1496298231,287,287
1496301944,278,278
1496305767,310,310
1496309829,306,306
1496313693,348,348
1496317504,445,445
1496321326,440,440
1496325185,446,446
1496462907,440,440
1496467766,282,282
1496472583,294,294
1496476877,312,312
1496480692,295,295
1496484926,300,300
1496488836,290,290
1496493065,270,270
1496497140,235,235
1496500982,198,198
1496504675,188,188
1496508729,284,284
1496516711,336,336
1496520523,437,437
1496524209,443,443
1496527982,434,434
1496531820,420,420
1496535847,405,405
1496539707,386,386
1496543567,443,443
1496547412,443,443
1496551252,443,443
1496574281,349,349
1496578135,334,334
1496581973,305,305
1496585814,274,274
1496589668,272,272
1496593488,252,252
1496628108,225,225
1496639321,234,234
1496643175,242,242
1496689319,247,247
1496693094,222,222
1496696935,214,214
1496704641,235,235
1496712299,289,289
1496716141,259,259
1496719995,369,369
1496723841,294,294
1496731498,230,230
1496739185,441,441
1496743033,448,448
1496750763,201,201
1496754545,397,397
1496758426,438,438
1496762473,234,234
1496766300,215,215
1496770427,239,239
1496774215,394,394
1496778056,435,435
1496781885,442,442
1496785748,434,434
1496789588,439,439
1496793428,442,442
1496797353,441,441
1496801091,445,445
1496804939,443,443
1496808887,248,248
1496812622,216,216
1496816474,207,207
1496820352,247,247
1496824136,155,155
1496827973,168,168
1496831804,147,147
1496835640,140,140
1496839476,153,153
1496843331,155,155
1496847197,225,225
1496851048,448,448
1496855080,361,361
1496858995,294,294
1496862765,311,311
1496866596,162,162
1496870466,157,157
1496874304,170,170
1496878144,202,202
1496881988,178,178
1496885866,165,165
1496889663,274,274
1496893529,439,439
1496897345,286,286
1496901190,286,286
1496905046,279,279
1496908913,164,164
1496912704,178,178
1496916526,157,157
1496920388,184,184
1496924235,191,191
1496928063,171,171
1496931875,168,168
1496935728,451,451
1496939588,445,445
1496943718,444,444
1496947498,432,432
1496951322,440,440
1496955197,445,445
1496959049,428,428
1496962928,412,412
1496966702,165,165
1496970544,162,162
1496974373,169,169
1496978217,248,248
1496982075,294,294
1496985876,264,264
1496989842,278,278
1496997417,443,443
1497001255,434,434
1497008926,389,389
1497020576,315,315
1497024289,449,449
1497031979,446,446
1497035801,445,445
1497039908,440,440
1497043737,432,432
1497051409,407,407
1497055257,399,399
1497059091,383,383
1497062927,449,449
1497070618,443,443
1497074572,445,445
1497078290,434,434
1497085974,395,395
1497089810,380,380
1497093674,426,426
1497097499,439,439
1497101586,439,439
1497113068,398,398
1497116930,359,359
1497128539,428,428
1497132292,443,443
1497136136,444,444
1497139968,435,435
1497143810,443,443
1497151478,420,420
1497159432,349,349
1497167068,400,400
1497170928,429,429
1497174764,430,430
1497178607,428,428
1497182600,413,413
1497186285,395,395
1497190115,359,359
