DateTime,AddedIPs,RemovedIPs
1496290468,4,7
1496294220,4,1
1496298243,6,5
1496301955,5,7
1496305779,8,3
1496309842,3,1
1496313705,1,3
1496317514,4,3
1496321338,4,4
1496325196,5,3
1496462983,1,2
1496467779,7,7
1496472639,3,5
1496476931,4,1
1496480754,5,3
1496484989,6,12
1496488852,3,3
1496493120,3,7
1496497186,1,9
1496501020,4,1
1496504708,4,8
1496508787,6,4
1496516721,11,7
1496520531,0,4
1496524217,3,9
1496527991,1,4
1496531829,3,3
1496535854,3,4
1496539720,4,2
1496543575,1,2
1496547421,3,4
1496551260,3,4
1496574289,30,20
1496578143,0,1
1496581980,4,2
1496585821,3,3
1496589676,4,4
1496593496,0,2
1496628116,22,23
1496639329,2,8
1496643184,4,2
1496689348,26,35
1496693108,13,8
1496696948,4,0
1496704666,13,1
1496712312,11,0
1496716155,7,4
1496720005,3,3
1496723870,5,4
1496731510,9,3
1496739217,5,3
1496750797,4,1
1496754560,2,0
1496758464,1,0
1496762483,4,1
1496766312,2,3
1496770465,13,9
1496774228,2,1
1496778069,1,2
1496781903,0,3
1496785761,3,3
1496789603,1,0
1496793454,1,2
1496797370,2,1
1496801112,3,1
1496804977,6,5
1496812638,15,14
1496816490,8,10
1496820404,3,2
1496824150,3,9
1496827988,7,11
1496831815,6,9
1496835652,6,7
1496839489,7,15
1496843347,5,8
1496847212,4,5
1496851079,1,3
1496855093,2,2
1496859035,2,7
1496862810,6,5
1496866607,2,1
1496870478,1,3
1496874317,1,0
1496878155,1,3
1496882000,3,3
1496885877,11,12
1496889675,8,8
1496893598,5,9
1496897357,4,5
1496901209,11,15
1496905059,7,8
1496908923,6,4
1496912718,8,7
1496916539,5,3
1496920400,2,2
1496924249,2,2
1496928075,4,4
1496931887,4,5
1496935743,0,1
1496939610,2,2
1496943730,2,1
1496947511,5,0
1496951336,2,2
1496955211,0,1
1496959076,2,1
1496962957,3,7
1496966716,1,2
1496970561,4,4
1496974385,6,11
1496978230,3,0
1496982089,4,2
1496985888,4,3
1496989923,8,8
1496997624,10,5
1497001452,2,9
1497020921,14,16
1497024767,5,2
1497036268,13,8
1497040209,2,0
1497043940,3,1
1497047775,1,2
1497051622,1,2
1497055461,3,1
1497059332,3,5
1497063147,2,1
1497067323,2,4
1497071081,2,4
1497074919,5,2
1497078764,8,5
1497094604,14,16
1497098437,1,6
1497102254,2,2
1497113800,8,9
1497121478,6,3
1497125295,2,3
1497129154,6,4
1497132897,1,2
1497136615,4,5
1497140444,2,2
1497144269,3,4
1497167325,15,13
1497171160,4,2
1497174997,0,1
1497178938,1,3
1497182612,3,2
1497186294,4,9
1497190125,2,4
1497201676,7,7
1497205580,5,3
1497209351,1,1
1497224683,8,10
1497228543,3,2
1497232364,5,7
1497236220,1,0
1497240144,6,1
1497244075,4,6
1497247770,4,2
1497251605,4,2
1497255682,7,3
1497259524,3,4
1497263351,4,1
1497267218,2,5
1497271101,3,4
1497278709,7,9
1497282549,3,1
1497286405,5,2
1497290652,6,5
1497294683,4,6
1497298396,2,1
1497302503,1,1
1497306315,3,7
1497310397,4,3
1497314228,2,2
1497318083,2,0
1497321924,3,2
1497325757,3,3
1497329581,3,1
1497333430,4,2
1497337320,3,3
1497341126,3,7
1497344978,16,13
1497348834,4,6
1497352625,3,2
1497356496,3,3
1497360306,1,3
