DateTime,AddedIPs,RemovedIPs
1493569667,2,2
1493573626,2,2
1493577404,2,0
1493581288,4,4
1493585102,2,0
1493592791,1,0
1493604567,4,1
1493612256,2,0
1493616085,1,0
1493619902,3,2
1493623764,0,2
1493627626,2,1
1493631419,1,5
1493639106,0,5
1493642965,1,1
1493654546,1,1
1493658556,2,0
1493662402,2,0
1493666218,2,0
1493670087,1,0
1493673892,1,1
1493681582,1,1
1493689297,0,1
1493693117,0,3
1493696964,1,2
1493700807,0,3
1493704632,1,2
1493708596,1,0
1493712562,2,4
1493716413,0,3
1493720259,1,2
1493724210,2,3
1493727928,0,1
1493731732,0,1
1493735428,3,4
1493743017,2,0
1493746883,0,7
1493750783,1,8
1493754581,4,2
1493758409,4,0
1493762216,1,0
1493766145,1,0
1493773768,0,1
1493781445,0,1
1493785296,1,2
1493789088,0,4
1493792937,0,1
1493796818,1,1
1493800653,3,1
1493804486,3,0
1493808294,2,0
1493812149,0,2
1493835677,3,11
1493839389,3,1
1493847117,8,1
1494168793,7,1
1494176531,1,0
1494180303,1,0
1494253743,1,0
1494257637,1,0
1494261457,1,0
1494284576,1,0
1494338334,1,0
1494346149,2,0
1494365344,1,0
1494388382,2,0
1494399908,1,0
1494415255,1,0
1494434362,2,0
1494438138,1,0
1494457321,2,0
1494469021,2,0
1494476690,1,0
1494484398,4,0
1494492064,1,0
1494495889,1,0
1494503595,1,0
1494515097,1,0
1494522789,1,0
1494530496,1,0
1494542216,1,0
1494549892,1,0
1494557586,1,0
1494569099,1,0
1494595986,1,0
1494603654,2,0
1494611358,2,0
1494615184,2,0
1494619034,4,0
1494622925,2,0
1494626947,1,0
1494630778,1,0
1494634640,1,0
1494638464,1,0
1494650004,1,0
1494678399,1,0
1494689830,1,0
1494693655,2,0
1494697490,2,0
1494705210,1,0
1494713020,1,0
1494716720,1,0
1494724420,1,0
1494735900,1,0
1494739872,1,0
1494743581,1,0
1494751624,1,0
1494778386,2,0
1494789912,2,1
1494793759,1,1
1494801569,1,1
1494805363,1,0
1494809134,1,0
1494813131,2,1
1494820669,1,0
1494832153,3,2
1494835999,1,1
1494839846,0,1
1494843735,1,0
1494847534,0,1
1494851516,1,0
1494870863,5,1
1494874751,0,1
1494878685,3,0
1494905534,3,5
1494909368,0,2
1495009709,13,4
1495013590,0,3
1495032868,2,6
1495064223,3,13
1495068033,1,1
1495071862,2,3
1495075731,1,2
1495079580,1,2
1495083395,0,2
1495091090,1,0
1495094945,0,3
1495098779,0,1
1495102599,0,1
1495110294,1,2
1495114134,0,2
1495117916,1,0
1495129497,1,1
1495137173,3,1
1495144966,1,2
1495152533,1,4
1495156384,0,4
1495160217,0,3
1495164087,1,2
1495167883,0,3
1495171756,0,1
1495175586,1,0
1495183249,1,0
1495198602,0,2
1495202567,1,1
1495213985,0,1
1495217801,2,2
1495221675,1,1
1495225515,2,3
1495233186,0,2
1495237015,1,1
1495240869,2,1
1495244761,1,2
1495256215,1,0
1495260139,0,1
1495263928,0,1
1495267778,2,0
1495271610,0,2
1495275675,0,2
1495279512,1,3
1495295107,1,0
1495302818,1,0
1495310585,1,0
1495314308,1,1
1495322447,0,1
1495360924,1,0
1495387979,2,0
1495395813,1,0
1495399749,1,0
1495422775,1,0
1495430466,0,1
1495449657,1,0
1495453501,1,0
1495457351,0,3
1495465010,1,0
1495472697,1,0
1495476535,1,2
1495480370,0,1
1495488080,1,0
1495492194,0,2
1495507495,2,1
1495523100,0,2
1495546132,0,88
1495553807,1,0
1495557627,1,0
1495561472,4,0
1495565334,2,0
1495569174,2,0
1495580947,4,0
1495588590,1,0
1495603963,1,0
1495607812,1,0
1495611660,1,0
1495623189,1,0
1495638530,2,0
1495642380,4,0
1495646199,1,0
1495650246,3,0
1495657981,1,0
1495673334,1,0
1495677185,2,0
1495696992,1,0
1495704560,3,0
1495708393,2,0
1495727851,1,0
1495739618,1,0
1495743424,1,0
1495762618,1,0
1495770290,1,0
1495786175,1,0
1495816626,1,0
1495820423,1,0
1495824311,5,0
1495832198,1,0
1495847601,1,0
1495851413,2,0
1495905420,1,0
1495909271,2,0
1495913111,1,0
1495920795,1,0
1495932309,1,0
1495959194,1,0
1495986065,2,0
1495993582,2,0
1495997349,2,0
1496001201,1,0
1496005393,1,0
1496009124,1,0
1496074903,1,0
1496082586,2,0
1496086405,1,0
1496090248,1,0
1496094107,1,0
1496097924,2,0
1496105586,1,0
1496147833,1,0
1496151658,1,0
1496163193,0,1
1496170967,1,2
1496174711,1,1
1496178537,6,0
1496182476,0,1
1496190095,0,1
1496201598,1,0
1496205445,1,0
1496209275,1,0
1496216960,10,3
1496220834,1,14
1496224637,2,1
1496228561,1,0
1496232317,1,1
1496236186,2,0
1496247897,1,0
1496252030,2,0
1496255865,2,0
1496259693,2,0
1496263524,1,0
1496267349,1,0
1496282718,7,4
1496286652,0,8
1496290471,0,1
1496294224,2,4
1496305783,0,1
1496309846,1,3
1496313708,0,2
1496325200,2,2
1496463013,2,1
1496467785,4,0
1496472655,4,1
1496476944,2,1
1496485008,1,2
1496493143,0,25
1496497202,3,0
1496501035,2,0
1496516723,3,0
1496524220,2,0
1496535857,0,3
1496539724,3,8
1496543577,0,12
1496574291,2,0
1496585824,2,0
1496593499,2,0
1496628120,7,0
1496639793,1,0
1496662836,1,0
1496685874,2,0
1496693563,4,0
1496697409,1,4
1496701277,0,13
1496705093,0,12
1496712799,1,0
1496724272,1,0
1496736066,1,1
1496747819,1,0
1496755492,1,0
1496759572,3,2
1496763412,0,1
1496771339,2,0
1496775173,1,0
1496778849,1,0
1496782576,1,1
1496786489,0,1
1496802042,1,9
1496805866,0,8
1496821257,2,0
1496825080,1,0
1496848159,2,0
1496855816,1,0
1496863719,2,0
1496867564,2,0
1496871393,1,0
1496879066,1,0
1496882918,1,0
1496928994,3,0
1496932838,2,0
1496936664,1,0
1496952135,1,0
1496960359,1,0
1496967861,1,0
1496971706,1,0
1496975557,1,0
1496979406,1,0
1496983232,1,2
1496990911,0,1
1496994744,1,1
1496998576,0,1
1497002512,0,2
1497018041,2,10
1497021888,4,0
1497037816,3,0
1497045769,2,0
1497053347,1,0
1497072548,1,0
1497076374,1,0
1497103343,2,0
1497111176,1,0
1497123193,1,0
1497127022,2,2
1497130857,0,28
1497146227,1,0
1497153892,1,0
1497165410,1,0
1497192289,1,0
1497203805,2,17
1497211490,2,1
1497215338,0,1
1497222859,0,1
1497230442,1,0
1497253487,1,0
1497257326,1,0
1497261196,0,7
1497276788,2,0
1497280637,1,0
1497288282,1,0
1497295978,1,0
1497307464,1,0
1497319013,1,0
1497322937,1,0
1497338225,1,0
1497349737,1,0
1497353568,1,0
1497357411,0,3
1497361255,2,5
1497365084,2,0
1497368943,1,0
1497372780,2,0
1497376900,2,0
1497380721,1,0
1497384557,5,0
1497415220,1,42
1497419072,2,0
1497422901,3,0
1497426755,1,0
1497430586,2,0
1497434495,2,0
1497438166,1,0
1497441887,2,0
1497449577,2,0
1497453429,1,0
1497457265,1,0
1497461108,1,0
1497480277,3,0
1497483969,2,0
1497491580,1,0
1497495406,1,0
1497499334,1,0
1497510772,1,0
1497534039,2,0
1497537883,1,0
1497541724,2,0
1497545557,1,0
1497549401,1,0
1497557333,2,0
1497565025,1,0
1497580398,1,0
1497584199,1,0
1497603398,1,0
1497607349,2,0
1497614941,1,0
1497622886,2,0
1497626687,1,0
1497630515,2,0
1497634384,3,0
1497642074,1,0
1497649771,1,0
1497661405,1,0
1497692243,1,0
1497696129,1,0
1497707812,2,0
1497727313,1,0
1497731086,1,0
1497750077,2,0
1497761596,1,0
1497792518,6,0
1497815544,2,0
1497834798,2,0
1497866013,4,0
1497873778,1,0
1497881358,2,0
1497916378,3,0
1497939715,1,0
1497966838,2,0
1497985974,2,0
1497989856,3,0
1498017196,2,0
1498028708,2,0
1498032539,1,0
1498040618,1,0
1498048413,0,95
1498052488,3,0
1498056288,5,0
1498060134,1,0
1498063999,1,0
1498067853,1,0
1498071674,1,0
1498075492,2,0
1498087127,1,0
1498122160,1,0
1498134119,4,0
1498142074,3,0
1498145855,2,0
1498149656,1,0
1498157366,1,0
1498161173,1,0
1498165043,1,0
1498187822,2,0
1498195743,1,0
1498199617,6,0
1498207245,1,0
1498215220,1,0
1498230582,2,0
1498238248,2,0
1498245957,3,0
1498253642,1,0
1498261258,1,0
1498265087,1,0
1498284559,1,0
1498311889,2,0
1498319620,1,0
1498330976,4,0
1498339075,1,0
1498346754,1,0
1498365904,1,0
1498400491,3,0
1498404283,3,0
1498408155,4,0
1498412009,1,0
1498423503,7,6
1498431192,0,1
1498438943,0,1
1498446553,0,2
1498458062,0,1
1498465737,1,0
1498477246,2,3
1498501866,1,1
1498506703,3,2
1498514548,0,1
1498522157,1,0
1498525981,1,1
1498529852,0,1
1498537481,1,0
1498552847,1,0
1498568251,1,1
1498572168,2,1
1498575913,0,1
1498579757,2,4
1498591083,0,1
1498594961,2,1
1498617658,1,2
1498621536,0,2
