DateTime,Entries,UniqueIPs
1496698381,60,60
1496701981,58,58
1496705581,57,57
1496709181,60,60
1496712781,59,59
1496716381,59,59
1496723582,59,59
1496727182,59,59
1496730781,58,58
1496734381,59,59
1496741581,59,59
1496745182,58,58
1496748782,59,59
1496755981,58,58
1496759581,57,57
1496763181,54,54
1496766781,54,54
1496770382,56,56
1496773981,57,57
1496777582,54,54
1496781181,53,53
1496784781,55,55
1496788381,57,57
1496795581,58,58
1496802781,57,57
1496806381,53,53
1496809982,56,56
1496817181,59,59
1496820781,59,59
1496824382,57,57
1496827981,57,57
1496831581,56,56
1496835181,58,58
1496838781,60,60
1496845982,60,60
1496849581,60,60
1496853181,60,60
1496856781,62,62
1496860382,62,62
1496863981,59,59
1496867581,60,60
1496874781,60,60
1496878381,61,61
1496881981,56,56
1496885581,56,56
1496892781,55,55
1496896381,56,56
1496903581,58,58
1496907181,62,62
1496910781,60,60
1496914381,61,61
1496917981,59,59
1496921581,59,59
1496928781,60,60
1496932381,58,58
1496939581,59,59
1496943181,60,60
1496946781,60,60
1496950381,63,63
1496953981,59,59
1496957581,54,54
1496961181,58,58
1496968381,59,59
1496971981,57,57
1496979181,55,55
1496982781,56,56
1496989981,56,56
1496993581,57,57
1496997181,59,59
1497000781,59,59
1497004381,59,59
1497007981,58,58
1497015181,55,55
1497018781,54,54
1497022381,55,55
1497025981,55,55
1497029581,59,59
1497033181,59,59
1497036781,59,59
1497040381,60,60
1497043981,57,57
1497047581,58,58
1497051181,59,59
1497054781,56,56
1497061981,59,59
1497065582,58,58
1497072781,58,58
1497076381,58,58
1497083581,56,56
1497087181,57,57
1497094381,59,59
1497097982,60,60
1497101581,58,58
1497105181,58,58
1497108781,58,58
1497112382,59,59
1497115981,62,62
1497119581,62,62
1497123181,63,63
1497126781,61,61
1497130381,60,60
1497137581,58,58
1497144781,60,60
1497148382,61,61
1497155581,60,60
1497159181,59,59
1497162781,58,58
1497166381,60,60
1497169981,59,59
1497173581,59,59
1497177181,60,60
1497180781,58,58
1497184381,60,60
1497187981,60,60
1497195181,58,58
1497198781,55,55
1497202381,60,60
1497205981,59,59
1497209581,55,55
1497213181,56,56
1497216781,55,55
1497220381,57,57
1497227581,57,57
1497231181,56,56
1497234781,57,57
1497241981,55,55
1497245581,57,57
1497249182,56,56
1497252781,58,58
1497256382,59,59
1497259981,61,61
1497263582,60,60
1497267181,61,61
1497270781,58,58
1497274382,59,59
1497281581,58,58
1497285181,61,61
1497288781,61,61
1497292381,61,61
1497295981,60,60
1497299581,59,59
1497303181,60,60
1497306781,60,60
1497310381,58,58
1497317581,60,60
1497321181,60,60
1497328381,62,62
1497331982,60,60
1497339181,59,59
1497342781,61,61
1497346382,60,60
1497349981,59,59
1497353581,57,57
1497357181,58,58
1497360781,58,58
1497364381,58,58
1497367981,61,61
1497371581,59,59
1497375181,60,60
1497378781,62,62
1497382382,61,61
1497389581,60,60
1497393181,60,60
1497400382,58,58
1497403981,56,56
1497411181,58,58
1497414781,57,57
1497421981,57,57
1497425582,57,57
1497429182,57,57
1497432781,57,57
1497436381,54,54
1497439981,53,53
1497443581,53,53
1497447182,53,53
1497454381,55,55
1497457981,55,55
1497461581,56,56
1497465181,56,56
1497468782,55,55
1497472381,56,56
1497475981,57,57
1497479581,55,55
1497483181,56,56
1497486781,57,57
1497490382,59,59
1497497581,57,57
1497501181,57,57
1497508381,61,61
1497511981,59,59
1497515581,59,59
1497519181,58,58
1497522781,59,59
1497526381,60,60
1497529981,59,59
1497533581,59,59
1497537181,61,61
1497540782,59,59
1497544381,59,59
1497547981,61,61
1497551581,61,61
1497555181,62,62
1497558781,62,62
1497562382,60,60
1497565981,59,59
1497569582,58,58
1497573181,56,56
1497576782,58,58
1497583981,56,56
1497587582,56,56
1497591181,57,57
1497594781,59,59
1497598381,60,60
1497601981,58,58
1497605581,57,57
1497609181,56,56
1497612781,57,57
1497616381,57,57
1497619981,56,56
1497623582,57,57
1497627181,58,58
1497630781,57,57
1497634381,58,58
1497637981,59,59
1497641582,59,59
1497645181,58,58
1497652381,57,57
1497655981,58,58
1497659582,57,57
1497663181,56,56
1497666781,55,55
1497670381,57,57
1497677581,58,58
1497681181,59,59
1497684782,58,58
1497688381,63,63
1497691981,61,61
1497695581,60,60
1497699181,59,59
1497702781,58,58
1497706381,56,56
1497709981,56,56
1497713581,54,54
1497717181,55,55
1497720781,56,56
1497724381,57,57
1497727981,55,55
1497731581,58,58
1497735182,55,55
1497738781,55,55
1497742381,57,57
1497745981,61,61
1497753181,62,62
1497756782,58,58
1497760381,59,59
1497767581,58,58
1497771181,57,57
1497774781,58,58
1497778381,55,55
1497781982,55,55
1497785581,53,53
1497789181,54,54
1497792781,55,55
1497796381,56,56
1497799981,53,53
1497803581,55,55
1497807181,56,56
1497810781,56,56
1497814381,55,55
1497817982,56,56
1497821582,58,58
1497825181,58,58
1497828782,56,56
1497832381,57,57
1497839581,57,57
1497843181,60,60
1497850381,60,60
1497853981,58,58
1497857582,58,58
1497861182,59,59
1497868381,60,60
1497871981,57,57
1497875581,56,56
1497879181,56,56
1497886381,58,58
1497889981,58,58
1497893581,60,60
1497897181,59,59
1497900781,60,60
1497904381,58,58
1497907982,60,60
1497911581,61,61
1497915181,61,61
1497918781,59,59
1497925981,61,61
1497933181,58,58
1497936781,56,56
1497940381,55,55
1497943981,54,54
1497947581,52,52
1497951181,53,53
1497954781,53,53
1497958381,54,54
1497961981,54,54
1497965581,55,55
1497969181,54,54
1497972781,54,54
1497976381,55,55
1497979981,55,55
1497983581,56,56
1497990781,57,57
1497994382,58,58
1497997981,58,58
1498001581,57,57
1498005182,59,59
1498008781,59,59
1498015981,59,59
1498019581,59,59
1498026781,57,57
1498030382,56,56
1498033981,57,57
1498037581,55,55
1498041181,54,54
1498044781,56,56
1498048381,56,56
1498051982,56,56
1498055581,56,56
1498059181,57,57
1498062781,55,55
1498066381,56,56
1498069981,57,57
1498073581,56,56
1498077181,58,58
1498080781,58,58
1498084381,58,58
1498087981,60,60
1498091582,57,57
1498095181,56,56
1498098781,57,57
1498102381,58,58
1498105981,58,58
1498109581,57,57
1498113181,56,56
1498116781,56,56
1498120381,57,57
1498123981,59,59
1498127581,60,60
1498134781,55,55
1498141981,57,57
1498145581,56,56
1498149181,56,56
1498152781,58,58
1498156381,58,58
1498159981,59,59
1498163581,57,57
1498167181,56,56
1498170781,55,55
1498174381,53,53
1498177981,55,55
1498181581,53,53
1498185181,55,55
1498188782,58,58
1498192381,58,58
1498199581,59,59
1498203181,55,55
1498206781,57,57
1498210381,54,54
1498213981,57,57
1498217581,57,57
1498221181,55,55
1498224781,53,53
1498228381,54,54
1498231981,54,54
1498235581,56,56
1498239182,56,56
1498242781,56,56
1498246381,55,55
1498249981,55,55
1498253581,57,57
1498257181,58,58
1498260782,58,58
1498264381,57,57
1498267981,56,56
1498271581,61,61
1498278781,59,59
1498282381,58,58
1498285981,56,56
1498289581,58,58
1498293182,57,57
1498296781,56,56
1498300381,55,55
1498303981,53,53
1498307581,54,54
1498311181,57,57
1498314781,55,55
1498318381,56,56
1498321981,57,57
1498325582,57,57
1498329181,55,55
1498332781,55,55
1498336381,57,57
1498339981,59,59
1498343581,59,59
1498347181,60,60
1498350781,58,58
1498354381,59,59
1498357981,60,60
1498365181,59,59
1498368782,54,54
1498372381,57,57
1498379582,54,54
1498383181,53,53
1498386781,52,52
1498390381,55,55
1498393982,55,55
1498397581,55,55
1498401181,56,56
1498404781,58,58
1498408381,56,56
1498411981,59,59
1498415581,57,57
1498419181,56,56
1498422782,59,59
1498426381,61,61
1498429981,59,59
1498433581,59,59
1498437181,60,60
1498440781,62,62
1498447981,60,60
1498455181,61,61
1498458781,60,60
1498462381,60,60
1498465982,61,61
1498469582,61,61
1498473182,59,59
1498476781,59,59
1498480381,59,59
1498483981,60,60
1498487581,61,61
1498491181,63,63
1498494782,58,58
1498498381,60,60
1498503029,62,62
1498506629,62,62
1498510229,59,59
1498513830,60,60
1498519982,60,60
1498527181,61,61
1498530781,60,60
1498534381,60,60
1498537981,58,58
1498541581,57,57
1498545181,58,58
1498548781,57,57
1498552381,57,57
1498555981,55,55
1498559581,55,55
